#     6   58  Pure hydrogen grid                   Sun Sep  6 14:45:00 2015
  Teff  logg  M/Mo  Mbol     BC     Age      U      B      V      R      I      J      H      K    IR1    IR2    IR3    IR4     u      g      r      i      z      KG5
  1500. 7.0  0.150 19.064  0.983 1.623E+10 23.034 20.606 18.081 17.823 19.548 19.652 19.658 20.627 16.273 15.848 15.703 15.233 24.045 19.305 17.694 19.779 19.447 18.780
  1750. 7.0  0.151 18.393  0.778 1.338E+10 22.268 20.039 17.615 17.167 18.254 18.394 18.538 19.381 15.681 15.323 15.210 14.843 23.262 18.813 17.082 18.552 18.333 18.198
  2000. 7.0  0.151 17.812  0.538 1.078E+10 21.615 19.573 17.274 16.667 17.204 17.399 17.645 18.347 15.208 14.903 14.802 14.502 22.589 18.421 16.656 17.544 17.410 17.755
  2250. 7.0  0.151 17.297  0.310 7.879E+09 21.036 19.165 16.988 16.260 16.350 16.569 16.889 17.448 14.803 14.540 14.441 14.186 21.990 18.080 16.338 16.734 16.643 17.391
  2500. 7.0  0.152 16.837  0.094 5.479E+09 20.524 18.805 16.743 15.929 15.670 15.869 16.234 16.665 14.449 14.221 14.120 13.893 21.460 17.779 16.094 16.110 16.012 17.091
  2750. 7.0  0.152 16.420 -0.097 3.943E+09 20.045 18.470 16.517 15.651 15.142 15.257 15.644 15.976 14.130 13.932 13.826 13.617 20.967 17.499 15.887 15.639 15.500 16.831
  3000. 7.0  0.152 16.039 -0.259 3.472E+09 19.579 18.141 16.298 15.415 14.753 14.712 15.083 15.332 13.822 13.652 13.540 13.342 20.486 17.224 15.696 15.293 15.101 16.596
  3250. 7.0  0.153 15.689 -0.392 3.145E+09 19.115 17.814 16.080 15.208 14.475 14.226 14.540 14.722 13.515 13.370 13.254 13.064 20.009 16.950 15.511 15.038 14.802 16.376
  3500. 7.0  0.153 15.362 -0.491 2.927E+09 18.634 17.473 15.853 15.013 14.261 13.803 14.014 14.127 13.197 13.070 12.953 12.773 19.517 16.664 15.319 14.831 14.573 16.154
  3750. 7.0  0.154 15.058 -0.546 2.803E+09 18.114 17.103 15.604 14.808 14.070 13.448 13.519 13.555 12.870 12.752 12.639 12.480 18.985 16.352 15.108 14.637 14.377 15.912
  4000. 7.0  0.155 14.771 -0.545 2.550E+09 17.521 16.679 15.316 14.577 13.873 13.174 13.083 13.059 12.559 12.448 12.344 12.216 18.380 15.993 14.865 14.429 14.187 15.632
  4250. 7.0  0.157 14.497 -0.500 2.229E+09 16.885 16.219 14.997 14.317 13.656 12.962 12.722 12.675 12.295 12.195 12.109 12.020 17.734 15.599 14.591 14.199 13.984 15.316
