Teff	logg	T_BB_u	T_BB_g	T_BB_r	T_BB_i	T_BB_z
4000.0	7.0	4436.654486547816	5038.792342164918	5409.869304497316	5678.3027714733835	5990.983362458397
4250.0	7.0	4734.947009242891	5335.406216292509	5713.9140573631075	6007.965147668044	6360.166997949139
4500.0	7.0	5087.022361963424	5684.471706787665	6078.926830654652	6402.715771977334	6793.757396183107
4750.0	7.0	5491.502675113097	6085.471512435456	6502.53518382735	6863.5896992173575	7301.127951012015
5000.0	7.0	5939.369873348902	6507.796639527931	6944.276932584481	7342.974271600044	7824.421853308384
5250.0	7.0	6439.429330036288	6955.769025026408	7411.980796153093	7851.974571259815	8380.640767219942
5500.0	7.0	6961.470527253867	7426.131429375563	7907.674629876513	8387.693481588398	8966.662968496503
6000.0	7.0	7942.945102756521	8374.806179855572	8909.742062188692	9462.556520790711	10128.062017808565
6500.0	7.0	8834.919380743459	9338.156780241827	9952.310466854673	10585.439192062344	11334.137848336119
7000.0	7.0	9637.092344291908	10284.581523481202	10985.10860306568	11690.506396337263	12512.193077231657
7500.0	7.0	10388.14595166771	11277.060024806315	12085.329707381303	12867.291597238347	13740.708955317918
8000.0	7.0	11094.90196619383	12321.059982092509	13255.855169997114	14101.75124922989	15015.90688161998
8500.0	7.0	11770.389719437197	13426.542810261204	14503.626254682122	15410.338290268992	16321.676644736208
9000.0	7.0	12429.888758040901	14600.118326136519	15819.7407630465	16777.394105948882	17647.510733007373
9500.0	7.0	13077.047662783529	15821.745524405784	17171.733822108556	18143.055204821234	18944.104415263213
10000.0	7.0	13719.26577706603	17073.01751078575	18530.270433180223	19480.81829574182	20176.22381290582
10500.0	7.0	14316.216901497683	18262.172676239126	19740.60196845277	20619.85291539401	21207.23736043013
11000.0	7.0	14816.055103948813	19314.377783213033	20725.484170838055	21483.13363766586	21967.9673258953
11500.0	7.0	15218.820804580557	20231.570316280988	21485.589245275813	22094.615117245845	22504.079982582614
12000.0	7.0	15756.977467749324	21231.13022473085	22381.57097858534	22878.70482068872	23212.085189115358
12500.0	7.0	16381.103706346084	22137.291173955222	23242.343982619124	23686.96143455557	23991.345924646554
13000.0	7.0	17052.99468289565	23012.14542185177	24078.89503018858	24504.22510724987	24800.44381654546
13500.0	7.0	17778.8283610106	23913.294813213575	24984.263124141442	25388.071280997076	25676.11779508915
14000.0	7.0	18495.808472389865	24766.662486959463	25813.94955689766	26208.387874529733	26497.154010436123
14500.0	7.0	19267.498660694313	25677.00280503042	26725.951346031772	27095.985156534833	27401.397661224455
15000.0	7.0	20023.917726119445	26523.139867232232	27563.035660529018	27926.15641470518	28220.304533674152
15500.0	7.0	20792.078284569106	27357.341653025855	28407.086177467398	28761.5917752125	29062.822957217326
16000.0	7.0	21609.117999696908	28273.02343427305	29321.356016937374	29683.277954691912	29989.557168665768
16500.0	7.0	22449.520644438137	29188.613630822532	30256.522856099797	30603.344660993407	30915.1048691482
17000.0	7.0	23255.91198894579	30026.061031430563	31091.65099741746	31452.093180930606	31733.128300019165
20000.0	7.0	28638.106287399445	35637.76847727683	36723.40456198307	37052.128968555335	37322.13935282949
25000.0	7.0	39345.029419609884	46329.47879428194	47375.379852217215	47590.86341823972	47785.08722473239
30000.0	7.0	54070.8080760036	60338.54455313465	61262.01713653974	61406.99782278237	61497.89038123248
4000.0	7.5	4447.647293068449	5078.184947287898	5475.994629328047	5750.9348624961185	6064.370991472587
4250.0	7.5	4731.091592806996	5362.571685633768	5768.455827695808	6069.167251313521	6424.103952591527
4500.0	7.5	5069.353852995031	5700.046297025897	6118.328266418549	6450.3484181132335	6845.215255323132
4750.0	7.5	5453.748635176604	6081.2208158460935	6518.7343767126395	6883.740093837944	7321.872509747124
5000.0	7.5	5882.129363801898	6501.39678054203	6962.045068198622	7365.003080858118	7847.804960988425
5250.0	7.5	6356.820024402406	6949.531231732764	7433.279172105383	7880.2236088438	8411.928803830091
5500.0	7.5	6861.888058707411	7403.790291446378	7908.381903766312	8395.206647803148	8973.096600362733
