Teff	log(g)	T_BB_us	T_BB_gs	T_BB_rs	T_BB_is	T_BB_zs
1200.0	4.0	1550.86906	1523.26631	1338.57880	1356.40503	1607.09229
1200.0	4.5	1648.81738	1579.67907	1357.99767	1373.08314	1609.49073
1200.0	5.0	1568.72620	1522.16250	1299.36697	1313.12281	1619.20319
1200.0	5.5	1577.48111	1542.02061	1258.34429	1275.90189	1631.79099
1300.0	4.0	1590.38304	1564.14027	1442.81752	1456.34688	1651.03107
1300.0	4.5	1647.93456	1597.81115	1472.04613	1482.62840	1669.94636
1300.0	5.0	1640.23553	1603.66591	1421.24160	1440.87300	1706.75266
1300.0	5.5	1623.92618	1600.82251	1346.65547	1366.94744	1705.53805
1400.0	4.0	1641.04290	1629.73508	1578.77338	1585.21890	1686.65102
1400.0	4.5	1663.72723	1632.96407	1546.52968	1557.23817	1712.92242
1400.0	5.0	1685.25577	1647.82107	1550.82796	1563.65394	1734.95127
1400.0	5.5	1661.73321	1652.24220	1436.65004	1461.47633	1768.69982
1500.0	4.0	1660.56760	1706.11481	1645.53660	1649.13037	1661.48895
1500.0	4.5	1687.94020	1715.70130	1657.08811	1667.87516	1706.17044
1500.0	5.0	1714.27138	1698.27413	1621.72797	1636.66284	1752.81861
1500.0	5.5	1725.30298	1710.38954	1590.04938	1616.28028	1787.42003
1550.0	5.0	1714.27138	1698.27413	1621.72797	1636.66284	1752.81861
1550.0	5.5	1725.30298	1710.38954	1590.04938	1616.28028	1787.42003
1600.0	4.0	1678.88531	1728.18031	1663.17561	1670.97666	1694.84437
1600.0	4.5	1700.02345	1743.48240	1681.94080	1691.85279	1724.36939
1600.0	5.0	1720.20203	1742.89553	1682.35956	1695.44851	1741.59853
1600.0	5.5	1736.60023	1747.14851	1669.72443	1690.71933	1794.73972
1650.0	5.0	1720.20203	1742.89553	1682.35956	1695.44851	1741.59853
1650.0	5.5	1736.60023	1747.14851	1669.72443	1690.71933	1794.73972
1700.0	4.0	1656.78976	1715.40177	1656.85749	1663.56144	1702.88413
1700.0	4.5	1709.15114	1762.44757	1696.06996	1713.80292	1770.02300
1700.0	5.0	1738.18197	1779.32921	1716.75580	1735.76533	1796.35163
1700.0	5.5	1769.76532	1823.56347	1741.01012	1775.15500	1913.44167
1750.0	5.0	1738.18197	1779.32921	1716.75580	1735.76533	1796.35163
1750.0	5.5	1769.76532	1823.56347	1741.01012	1775.15500	1913.44167
1800.0	4.0	1698.29555	1780.07377	1707.44820	1737.08386	1838.76666
1800.0	4.5	1706.53150	1784.20433	1711.92191	1738.55998	1828.12689
1800.0	5.0	1752.88794	1812.65567	1747.34718	1777.92243	1872.86289
1800.0	5.5	1779.35242	1858.59314	1770.42166	1825.19455	2011.23689
1850.0	5.0	1752.88794	1812.65567	1747.34718	1777.92243	1872.86289
1850.0	5.5	1779.35242	1858.59314	1770.42166	1825.19455	2011.23689
1900.0	4.0	1699.66404	1773.64920	1690.81828	1754.05829	1892.01103
1900.0	4.5	1725.03954	1800.79402	1734.13858	1782.76520	1926.39733
1900.0	5.0	1748.29195	1820.80563	1750.15765	1797.64516	1953.45637
1900.0	5.5	1792.37490	1888.37926	1794.07587	1862.53667	2079.18004
1950.0	5.0	1748.29195	1820.80563	1750.15765	1797.64516	1953.45637
1950.0	5.5	1792.37490	1888.37926	1794.07587	1862.53667	2079.18004
2000.0	4.0	1720.63132	1784.23747	1720.77816	1834.84131	2046.74291
2000.0	4.5	1732.88094	1808.55363	1753.24047	1847.60884	2081.95069
2000.0	5.0	1755.00112	1818.94311	1767.58455	1825.54617	1983.25493
2000.0	5.5	1795.34816	1872.87291	1821.13697	1916.45484	2167.24934
2050.0	4.0	1720.63132	1784.23747	1720.77816	1834.84131	2046.74291
2050.0	4.5	1732.88094	1808.55363	1753.24047	1847.60884	2081.95069
2050.0	5.0	1755.00112	1818.94311	1767.58455	1825.54617	1983.25493
2100.0	4.0	1842.33047	1916.59932	1783.46565	1954.24565	2166.44945
2100.0	4.5	1751.66014	1828.83708	1768.26186	1922.30171	2181.75299
2100.0	5.0	1784.70609	1875.02330	1817.66331	1941.42459	2182.24019
2100.0	5.5	1801.94715	1920.77644	1826.38033	1948.06157	2263.70493
2150.0	4.0	1842.33047	1916.59932	1783.46565	1954.24565	2166.44945
2150.0	4.5	1751.66014	1828.83708	1768.26186	1922.30171	2181.75299
2150.0	5.0	1784.70609	1875.02330	1817.66331	1941.42459	2182.24019
2200.0	4.0	1974.79683	1982.30614	1804.63954	2043.34061	2266.04377
2200.0	4.5	1766.66046	1848.64642	1785.69817	1999.24060	2269.16048
2200.0	5.0	1767.43700	1867.93051	1816.71945	1999.67254	2256.04941
2200.0	5.5	1806.48395	1907.79856	1849.03001	1984.75801	2260.56794
2250.0	4.0	1974.79683	1982.30614	1804.63954	2043.34061	2266.04377
2250.0	4.5	1766.66046	1848.64642	1785.69817	1999.24060	2269.16048
2250.0	5.0	1767.43700	1867.93051	1816.71945	1999.67254	2256.04941
2300.0	4.0	2117.32523	2079.04152	1843.01393	2152.02171	2379.04647
2300.0	4.5	1992.95261	2045.62721	1892.53427	2192.58761	2476.52975
2300.0	5.0	2206.00884	2008.91038	1892.35559	2138.56831	2409.66976
2300.0	5.5	1846.05513	1992.40290	1926.43094	2139.71198	2540.67200
2350.0	4.0	2114.61201	2079.17418	1846.22045	2151.68124	2377.52733
2350.0	4.5	1990.74499	2047.11354	1895.59769	2193.55739	2476.04337
2350.0	5.0	2205.88852	2009.85277	1895.13899	2138.87432	2409.24778
2400.0	4.0	2281.50633	2207.44468	1908.63443	2278.97804	2501.29853
2400.0	4.5	2113.75906	2130.24881	1938.96210	2289.58355	2557.82978
2400.0	5.0	1977.68127	2090.28148	1946.96079	2254.76659	2522.86418
2400.0	5.5	1913.59960	2078.35894	1969.81991	2246.53433	2553.56695
2500.0	4.0	2433.96691	2330.01385	1978.02335	2398.93420	2613.94901
2500.0	4.5	2283.08134	2297.80916	1995.99978	2396.64190	2623.79114
2500.0	5.0	2121.11520	2206.98347	2011.03678	2385.45518	2643.49216
2500.0	5.5	2026.04941	2236.57069	2038.27656	2368.83202	2652.60982
2600.0	4.0	2558.85650	2447.41811	2089.70838	2519.69270	2721.15004
2600.0	4.5	2406.10095	2365.64460	2097.39981	2532.95637	2763.15919
2600.0	5.0	2266.47335	2325.64417	2091.76406	2509.66048	2747.93248
2600.0	5.5	2135.65990	2277.28496	2099.03134	2486.69420	2759.17936
2700.0	4.0	2674.32075	2564.18558	2201.36189	2635.03397	2826.33866
2700.0	4.5	2610.54612	2593.13148	2248.98333	2685.91276	2877.06262
2700.0	5.0	2422.87242	2512.23398	2205.49003	2636.81515	2849.34702
2700.0	5.5	2281.59653	2402.99260	2222.83153	2648.25754	2927.13782
2800.0	4.0	2786.26959	2685.47728	2321.62453	2752.66054	2933.41146
2800.0	4.5	2665.72652	2622.22109	2354.08183	2773.48787	2962.84779
2800.0	5.0	2586.19372	2667.88265	2362.51397	2779.77444	2964.76019
2800.0	5.5	2419.63598	2536.22155	2326.04289	2749.63281	2971.71579
2900.0	4.0	2874.28538	2786.33712	2422.59754	2852.49234	3027.86388
2900.0	4.5	2792.70358	2788.28476	2456.54982	2871.65491	3041.46171
2900.0	5.0	2663.09242	2706.70918	2456.10125	2874.66828	3057.22285
2900.0	5.5	2539.47568	2659.22775	2449.37157	2870.75002	3073.19970
3000.0	4.0	2971.02200	2899.28884	2522.05720	2960.84829	3131.20500
3000.0	4.5	2902.89252	2905.83433	2567.49070	2979.91164	3139.84975
3000.0	5.0	2783.53821	2831.01817	2574.13770	2990.84704	3161.09020
3000.0	5.5	2648.21568	2775.88532	2557.41262	2983.32503	3171.34400
3100.0	4.0	3055.62318	3032.49956	2667.23962	3077.64858	3229.29844
3100.0	4.5	3010.64055	3056.99359	2741.80295	3108.49556	3245.23858
3100.0	5.0	2930.15616	3045.29704	2751.21989	3109.11095	3245.79840
3100.0	5.5	2837.41057	3035.41663	2774.90487	3117.98682	3256.94981
3200.0	4.0	3129.05345	3137.69476	2783.44655	3181.76104	3324.31097
3200.0	4.5	3099.17086	3165.99002	2870.32584	3213.44049	3336.49508
3200.0	5.0	3034.12499	3159.08104	2890.51286	3216.47149	3335.32596
3200.0	5.5	2960.69009	3160.55842	2930.79969	3234.78372	3350.69143
3300.0	4.0	3198.29841	3245.16272	2912.64910	3287.06357	3416.73878
3300.0	4.5	3179.51350	3270.53623	2988.70137	3315.41343	3427.74794
3300.0	5.0	3130.90448	3274.34666	3028.05257	3328.37168	3432.69206
3300.0	5.5	3066.94335	3272.21459	3067.66874	3340.31372	3437.54240
3400.0	4.0	3261.82456	3353.01670	3047.23796	3392.39806	3507.16590
3400.0	4.5	3257.07537	3380.88800	3125.34417	3423.28716	3521.01136
3400.0	5.0	3219.24271	3378.07639	3159.75362	3427.77940	3516.39794
3400.0	5.5	3174.68803	3390.37122	3212.86714	3453.86698	3533.86758
3500.0	4.0	3321.08602	3461.05253	3182.68820	3496.59642	3595.07308
3500.0	4.5	3326.90816	3482.71224	3254.78189	3522.94522	3606.39731
3500.0	5.0	3304.30583	3486.38922	3294.58364	3533.99026	3608.43544
3500.0	5.5	3266.74644	3493.87560	3340.05209	3554.04384	3619.68861
3600.0	4.0	3379.78837	3573.51195	3325.35941	3603.10709	3683.56645
3600.0	4.5	3396.76632	3593.02229	3396.92832	3630.59102	3697.87611
3600.0	5.0	3386.61699	3601.09440	3436.87355	3647.76336	3708.14698
3600.0	5.5	3360.25401	3601.53817	3476.21132	3658.92028	3709.60656
3700.0	4.0	3442.43594	3689.33827	3471.81934	3710.98682	3773.48476
3700.0	4.5	3463.27415	3703.14379	3537.51758	3737.77665	3789.62785
3700.0	5.0	3467.50888	3714.97947	3584.84696	3760.11480	3804.58014
3700.0	5.5	3453.39237	3716.35995	3620.59032	3772.72308	3809.02726
3800.0	4.0	3509.98814	3814.51559	3628.51918	3825.67364	3869.64912
3800.0	4.5	3528.13200	3811.09167	3675.58681	3841.58175	3878.47401
3800.0	5.0	3538.70377	3816.44685	3717.19798	3860.22546	3890.99312
3800.0	5.5	3529.77494	3813.25992	3740.38762	3869.15189	3895.20995
3900.0	4.0	3580.61467	3943.82733	3805.17506	3942.68750	3962.49974
3900.0	4.5	3598.71187	3925.68031	3817.05379	3949.75449	3973.31249
3900.0	5.0	3610.93681	3921.84635	3848.96471	3963.87243	3982.96802
3900.0	5.5	3612.11620	3915.08988	3869.50208	3970.00262	3984.83458
4000.0	4.0	3666.60342	4075.79791	3969.51065	4061.31764	4064.57426
4000.0	4.5	3672.26802	4046.70294	3960.49092	4061.68473	4072.52636
4000.0	5.0	3688.81379	4037.23955	3994.22269	4075.69087	4081.52811
4000.0	5.5	3710.37869	4023.52168	4008.34352	4077.14355	4080.68888
4100.0	4.0	3771.99856	4159.62308	4144.63165	4190.75612	4181.83179
4100.0	4.5	3763.81374	4128.88675	4122.79143	4189.89513	4189.97031
4100.0	5.0	3771.20845	4099.81440	4127.39468	4188.06499	4187.96477
4100.0	5.5	3773.29850	4080.64762	4123.79629	4187.78214	4189.57567
4200.0	4.0	3882.25322	4291.46983	4305.37145	4309.68026	4289.26352
4200.0	4.5	3858.19014	4258.29640	4279.87055	4306.24276	4292.25640
4200.0	5.0	3856.20477	4224.36223	4268.27029	4303.64780	4294.35553
4200.0	5.5	3857.51646	4196.98580	4256.92064	4299.64090	4293.85463
4300.0	4.0	4000.18449	4418.89881	4451.09958	4421.37039	4393.37420
4300.0	4.5	3971.77071	4393.89317	4435.34339	4425.23983	4400.92528
4300.0	5.0	3954.74250	4359.58421	4416.45184	4425.61531	4407.45390
4300.0	5.5	3948.31790	4319.81000	4392.32782	4415.26472	4402.42572
4400.0	4.0	4125.86634	4547.18557	4585.21102	4533.82874	4501.51536
4400.0	4.5	4092.26323	4527.64103	4577.99496	4541.56381	4510.70583
4400.0	5.0	4057.56746	4490.90636	4556.17495	4541.55103	4516.01421
4400.0	5.5	4042.39926	4446.35997	4527.91760	4531.10729	4511.64643
4500.0	4.0	4255.89768	4675.96142	4710.86139	4646.17056	4611.25557
4500.0	4.5	4218.63362	4657.14153	4707.14941	4653.42673	4618.76907
4500.0	5.0	4179.12564	4627.40869	4695.95979	4658.26174	4626.24585
4500.0	5.5	4150.63012	4589.41488	4675.41084	4658.97494	4632.74749
4600.0	4.0	4386.30256	4802.59247	4830.53143	4757.83976	4721.08138
4600.0	4.5	4345.14796	4783.72665	4827.88209	4763.62520	4726.48189
4600.0	5.0	4302.07895	4762.07355	4826.82121	4774.79878	4738.82972
4600.0	5.5	4260.21120	4723.00642	4808.78305	4775.65460	4743.90270
4700.0	4.0	4517.76763	4927.10968	4946.74433	4868.81844	4830.41247
4700.0	4.5	4477.81610	4910.92042	4947.38554	4876.51499	4837.65252
4700.0	5.0	4429.39150	4891.64955	4948.76382	4886.53579	4847.81508
4700.0	5.5	4381.35288	4858.81649	4939.49748	4892.82578	4856.69988
4800.0	4.0	4647.40019	5047.24646	5058.74836	4977.44131	4937.68618
4800.0	4.5	4610.33299	5035.63132	5063.09729	4987.56581	4947.24267
4800.0	5.0	4559.78390	5018.98919	5066.79496	4997.67577	4956.94417
4800.0	5.5	4507.74867	4998.28690	5070.75082	5012.39756	4972.28780
4900.0	4.0	4781.74589	5170.35699	5173.56828	5089.66713	5048.68828
4900.0	4.5	4740.20004	5156.13638	5174.43253	5095.44688	5053.80198
4900.0	5.0	4691.12542	5143.22976	5181.73771	5108.30747	5065.98880
4900.0	5.5	4631.15070	5120.35271	5183.93794	5119.29072	5077.05832
5000.0	4.0	4909.26259	5287.35730	5284.28655	5199.43579	5156.67906
5000.0	4.5	4871.02666	5277.21920	5287.52241	5206.01925	5162.32358
5000.0	5.0	4820.86708	5264.31976	5293.66463	5216.97879	5172.84189
5000.0	5.5	4761.50492	5242.94628	5295.84895	5226.75844	5182.79220
5100.0	4.0	5037.82490	5403.34031	5394.09030	5308.85984	5264.31334
5100.0	4.5	5000.25053	5394.24751	5396.49810	5313.45081	5268.02410
5100.0	5.0	4952.41199	5384.54077	5404.64610	5325.59533	5279.77882
5100.0	5.5	4887.09846	5367.05981	5409.45497	5334.68324	5287.66945
5200.0	4.0	5166.13808	5518.72182	5502.69232	5416.68118	5370.70659
5200.0	4.5	5130.72547	5511.35547	5506.29025	5422.26524	5375.20289
5200.0	5.0	5085.69277	5503.60753	5515.32658	5435.01369	5387.90495
5200.0	5.5	5023.28714	5490.63492	5524.34905	5447.99376	5399.86447
5300.0	4.0	5295.00979	5635.87002	5613.69388	5527.14967	5479.49466
5300.0	4.5	5260.94947	5627.43732	5615.30695	5530.79897	5482.34092
5300.0	5.0	5215.17006	5618.84824	5623.11360	5542.08327	5493.65905
5300.0	5.5	5154.60350	5607.68914	5632.94176	5555.58770	5506.52330
5400.0	4.0	5421.28998	5751.26410	5722.32428	5635.31430	5585.86182
5400.0	4.5	5388.42882	5742.45641	5723.54211	5638.47609	5588.65862
5400.0	5.0	5348.40206	5736.34247	5733.20526	5651.82238	5602.04818
5400.0	5.5	5288.03179	5723.77048	5740.38442	5662.64137	5612.78016
5500.0	4.0	5544.04819	5866.09914	5830.81753	5743.29767	5692.25598
5500.0	4.5	5515.77406	5857.60118	5831.38872	5745.75330	5693.82391
5500.0	5.0	5481.78349	5856.31275	5845.81256	5763.45210	5711.71454
5500.0	5.5	5417.49203	5836.99080	5846.35204	5768.42872	5717.37254
5600.0	4.0	5661.61663	5980.70502	5939.90467	5851.51844	5797.81478
5600.0	4.5	5636.81757	5970.80455	5939.63146	5853.77355	5800.03983
5600.0	5.0	5601.81481	5961.32403	5946.80944	5866.05607	5813.83510
5600.0	5.5	5546.17796	5950.80912	5953.93606	5876.21811	5823.87141
5700.0	4.0	5779.85193	6097.16096	6050.26390	5961.09488	5905.77463
5700.0	4.5	5758.67836	6086.10812	6048.74856	5962.38703	5906.65560
5700.0	5.0	5726.28679	6073.84255	6053.50193	5972.87601	5919.15539
5700.0	5.5	5653.93007	6034.39543	6035.69331	5963.07090	5911.96416
5800.0	4.0	5894.15914	6214.29445	6160.64906	6070.07607	6012.22754
5800.0	4.5	5871.76110	6191.86438	6149.91671	6064.58735	6008.15929
5800.0	5.0	5846.47606	6185.73713	6159.79573	6078.75674	6023.12974
5800.0	5.5	5803.07064	6177.68993	6168.80269	6091.79977	6036.63222
5900.0	4.0	6005.55241	6331.88872	6270.82027	6177.79891	6117.91003
5900.0	4.5	5993.47835	6310.73375	6264.73190	6179.09365	6120.55510
5900.0	5.0	5966.29245	6298.20681	6266.50960	6185.40866	6127.69154
5900.0	5.5	5932.62854	6295.26372	6279.41365	6201.80240	6144.58583
6000.0	4.0	6115.78304	6449.64432	6378.05384	6280.46205	6216.47431
6000.0	4.5	6103.91689	6419.98422	6367.16824	6280.04772	6219.20927
6000.0	5.0	6083.08846	6406.61940	6368.28319	6286.64008	6227.05608
6000.0	5.5	6048.90733	6398.97491	6377.56361	6300.49509	6241.86353
6100.0	4.0	6226.58382	6572.14558	6491.44754	6390.33088	6323.14966
6100.0	4.5	6216.66047	6533.64133	6472.53535	6383.55044	6320.14414
6100.0	5.0	6203.39545	6521.63547	6477.66352	6396.18765	6334.45772
6100.0	5.5	6171.71618	6509.20941	6481.70451	6405.21627	6345.02929
6200.0	4.0	6330.52620	6692.51460	6602.05350	6495.97116	6424.83522
6200.0	4.5	6327.58016	6653.15022	6584.72430	6493.22733	6426.29147
6200.0	5.0	6317.02435	6634.19991	6582.72192	6499.74965	6435.29340
6200.0	5.5	6288.36176	6615.12781	6581.47204	6505.55652	6443.94384
6300.0	4.0	6430.26340	6814.09597	6713.08308	6601.20505	6525.18014
6300.0	4.5	6433.54561	6768.85598	6691.95406	6597.62458	6527.21608
6300.0	5.0	6427.22859	6747.46173	6688.57467	6603.67886	6536.08848
6300.0	5.5	6401.63663	6724.08181	6683.22831	6606.55760	6542.31274
6400.0	4.0	6528.72329	6937.42294	6825.40063	6706.66184	6626.49593
6400.0	4.5	6536.24825	6890.18558	6804.53429	6705.61970	6630.23940
6400.0	5.0	6533.52605	6862.53084	6796.43612	6708.82912	6636.81558
6400.0	5.5	6515.37365	6835.88377	6787.82397	6709.71609	6642.35272
6500.0	4.0	6623.95437	7062.90222	6939.05484	6812.34269	6727.18676
6500.0	4.5	6638.95278	7007.22159	6911.54877	6808.91019	6729.90418
6500.0	5.0	6639.69658	6977.28683	6902.87286	6812.50245	6736.59981
6500.0	5.5	6625.23298	6947.63580	6892.52549	6812.64740	6741.80528
6600.0	4.0	6722.70404	7190.44886	7053.44213	6918.16693	6827.84750
6600.0	4.5	6736.38166	7128.00387	7022.61997	6914.16800	6829.96116
