Teff	log(g)	T_BB_u	T_BB_g	T_BB_r	T_BB_i	T_BB_z
1200.0	4.0	1555.44541	1545.53137	1307.71062	1320.88752	1599.48861
1200.0	4.5	1652.24437	1602.86783	1325.40824	1337.58903	1603.27501
1200.0	5.0	1569.65345	1544.58032	1271.00785	1283.29445	1607.63952
1200.0	5.5	1579.21912	1564.91054	1231.94549	1248.49315	1618.03091
1300.0	4.0	1594.52119	1586.99190	1410.82007	1425.95203	1646.08217
1300.0	4.5	1648.31345	1621.39917	1438.94523	1454.72334	1665.73421
1300.0	5.0	1636.22091	1627.53773	1387.37698	1404.38435	1697.93210
1300.0	5.5	1621.95294	1624.81265	1318.79914	1337.49088	1691.78589
1400.0	4.0	1645.96948	1650.47423	1555.40929	1571.49214	1685.37790
1400.0	4.5	1664.37966	1656.37886	1517.05762	1535.90523	1709.46210
1400.0	5.0	1680.31324	1672.01547	1520.06376	1540.98845	1730.86143
1400.0	5.5	1657.56815	1677.06820	1406.00589	1427.88519	1756.73685
1500.0	4.0	1669.26179	1705.79635	1638.04520	1647.46612	1662.25536
1500.0	4.5	1691.12999	1723.01480	1645.14538	1664.01948	1706.26072
1500.0	5.0	1710.04152	1721.18705	1597.33119	1623.56956	1750.69706
1500.0	5.5	1719.20131	1735.80470	1560.12058	1595.06318	1783.22766
1550.0	5.0	1710.04152	1721.18705	1597.33119	1623.56956	1750.69706
1550.0	5.5	1719.20131	1735.80470	1560.12058	1595.06318	1783.22766
1600.0	4.0	1690.91337	1726.74677	1656.85228	1667.36437	1694.52747
1600.0	4.5	1704.54168	1746.34547	1672.63475	1688.47835	1724.12245
1600.0	5.0	1718.17262	1752.71315	1669.26808	1691.26402	1741.46956
1600.0	5.5	1731.91214	1767.95537	1648.70088	1679.97674	1792.78010
1650.0	5.0	1718.17262	1752.71315	1669.26808	1691.26402	1741.46956
1650.0	5.5	1731.91214	1767.95537	1648.70088	1679.97674	1792.78010
1700.0	4.0	1669.63251	1711.80152	1652.34206	1658.60400	1700.67688
1700.0	4.5	1715.28955	1764.88702	1687.57873	1707.58370	1767.96913
1700.0	5.0	1737.16373	1786.29968	1705.44092	1729.90566	1794.78064
1700.0	5.5	1767.12351	1845.09728	1720.51600	1759.20561	1909.51484
1750.0	5.0	1737.16373	1786.29968	1705.44092	1729.90566	1794.78064
1750.0	5.5	1767.12351	1845.09728	1720.51600	1759.20561	1909.51484
1800.0	4.0	1715.49440	1778.34812	1702.65904	1721.71728	1832.62527
1800.0	4.5	1717.29073	1783.51390	1706.80926	1726.93105	1823.01670
1800.0	5.0	1753.03779	1817.65565	1737.57120	1768.36720	1868.47542
1800.0	5.5	1778.21185	1879.94979	1752.51501	1801.96790	2003.84226
1850.0	5.0	1753.03779	1817.65565	1737.57120	1768.36720	1868.47542
1850.0	5.5	1778.21185	1879.94979	1752.51501	1801.96790	2003.84226
1900.0	4.0	1729.79432	1773.07710	1687.54551	1731.46972	1883.41364
1900.0	4.5	1735.52206	1799.17894	1729.20842	1764.85047	1917.35808
1900.0	5.0	1750.62439	1825.30384	1741.85402	1781.01819	1944.55464
1900.0	5.5	1792.65522	1909.65203	1778.28359	1835.97253	2069.30045
1950.0	5.0	1750.62439	1825.30384	1741.85402	1781.01819	1944.55464
1950.0	5.5	1792.65522	1909.65203	1778.28359	1835.97253	2069.30045
2000.0	4.0	1761.03268	1781.78226	1715.59264	1803.42404	2032.61804
2000.0	4.5	1751.12713	1805.10288	1747.34957	1819.39428	2066.18708
2000.0	5.0	1758.53490	1817.75089	1760.27664	1807.43075	1974.13436
2000.0	5.5	1797.76202	1886.01481	1808.34800	1883.02634	2154.70753
2050.0	4.0	1761.03268	1781.78226	1715.59264	1803.42404	2032.61804
2050.0	4.5	1751.12713	1805.10288	1747.34957	1819.39428	2066.18708
2050.0	5.0	1758.53490	1817.75089	1760.27664	1807.43075	1974.13436
2100.0	4.0	1897.12903	1921.42274	1781.02520	1911.71053	2153.67213
2100.0	4.5	1784.40381	1825.92522	1762.75879	1885.33755	2164.96703
2100.0	5.0	1793.53678	1873.80540	1812.28202	1905.64117	2168.30602
2100.0	5.5	1804.09415	1939.67275	1814.20498	1904.12251	2247.04418
2150.0	4.0	1897.12903	1921.42274	1781.02520	1911.71053	2153.67213
2150.0	4.5	1784.40381	1825.92522	1762.75879	1885.33755	2164.96703
2150.0	5.0	1793.53678	1873.80540	1812.28202	1905.64117	2168.30602
2200.0	4.0	2032.77021	1991.08196	1803.14044	1997.80543	2252.62107
2200.0	4.5	1807.90920	1845.55714	1780.57155	1957.18506	2252.01972
2200.0	5.0	1784.37226	1863.40446	1813.66431	1955.63595	2241.62946
2200.0	5.5	1812.13069	1917.26337	1840.26335	1942.54811	2246.84852
2250.0	4.0	2032.77021	1991.08196	1803.14044	1997.80543	2252.62107
2250.0	4.5	1807.90920	1845.55714	1780.57155	1957.18506	2252.01972
2250.0	5.0	1784.37226	1863.40446	1813.66431	1955.63595	2241.62946
2300.0	4.0	2172.66908	2090.66944	1842.66868	2104.12507	2365.53992
2300.0	4.5	2054.05005	2048.52948	1888.97763	2143.69286	2458.95373
2300.0	5.0	2316.62513	2006.70651	1891.71183	2087.94010	2395.08097
2300.0	5.5	1866.03999	1996.66392	1916.77595	2091.78022	2517.39398
2350.0	4.0	2170.55335	2090.74974	1845.85486	2103.71388	2364.24171
2350.0	4.5	2053.53749	2049.96009	1892.05613	2144.51438	2458.63725
2350.0	5.0	2319.24661	2007.39208	1894.46099	2088.16813	2394.62337
2400.0	4.0	2332.10005	2220.84053	1909.42320	2230.03958	2488.61934
2400.0	4.5	2174.64082	2134.43533	1936.34103	2242.23207	2541.34763
2400.0	5.0	2030.14526	2089.18486	1947.97444	2201.07924	2508.82248
2400.0	5.5	1948.05754	2078.43182	1969.88982	2189.59433	2538.69444
2500.0	4.0	2478.81067	2343.63999	1979.69812	2349.69297	2602.61898
2500.0	4.5	2339.19518	2308.30637	1998.09833	2346.37013	2611.83117
2500.0	5.0	2182.32447	2207.96005	2013.77924	2330.56433	2630.75259
2500.0	5.5	2075.17075	2240.31092	2040.91401	2312.96259	2639.02567
2600.0	4.0	2598.15883	2459.52876	2091.17659	2472.53191	2711.21148
2600.0	4.5	2459.62403	2371.46373	2095.32984	2487.79051	2750.45016
2600.0	5.0	2326.55554	2327.41036	2095.47007	2456.22160	2736.85346
2600.0	5.5	2193.76309	2275.48358	2103.47603	2428.73379	2747.23391
2700.0	4.0	2709.64929	2575.14441	2202.87400	2588.70874	2817.59488
2700.0	4.5	2653.33066	2601.14497	2251.69523	2638.43564	2868.65939
2700.0	5.0	2477.53093	2518.22115	2209.19007	2586.39945	2839.88074
2700.0	5.5	2338.59102	2401.31521	2221.05126	2601.22871	2912.31183
2800.0	4.0	2817.77614	2695.05091	2323.32552	2707.01426	2925.76779
2800.0	4.5	2707.54729	2625.68433	2352.26464	2732.54094	2953.83350
2800.0	5.0	2634.45618	2671.88385	2366.35851	2732.20227	2957.25978
2800.0	5.5	2474.93181	2534.42824	2331.44339	2696.03239	2963.07579
2900.0	4.0	2904.28472	2795.18392	2424.39907	2806.69394	3020.78334
2900.0	4.5	2830.68772	2794.18358	2459.31969	2826.03189	3034.93277
2900.0	5.0	2711.83807	2707.08750	2460.36739	2826.14358	3050.44862
2900.0	5.5	2593.34709	2657.29930	2455.08684	2818.46225	3065.72440
3000.0	4.0	2998.78361	2907.39238	2524.29145	2914.15708	3124.79008
3000.0	4.5	2937.73716	2910.68012	2570.74858	2934.36584	3134.14447
3000.0	5.0	2830.44088	2831.07095	2579.02354	2942.56261	3155.16658
