Teff	log(g)	T_BB_us	T_BB_gs	T_BB_rs	T_BB_is	T_BB_zs
1200.0	4.0	1626.29646	1526.90018	1349.49806	1381.89314	1618.82773
1200.0	4.5	1671.70985	1583.15322	1369.22308	1397.35899	1617.68931
1200.0	5.0	1646.08318	1527.11656	1309.55106	1334.86801	1644.24892
1200.0	5.5	1652.67691	1548.09093	1267.68362	1297.56246	1664.76339
1300.0	4.0	1649.41171	1566.20753	1455.14989	1476.24346	1658.27154
1300.0	4.5	1679.86181	1599.34458	1485.12002	1500.41854	1675.28445
1300.0	5.0	1684.49380	1606.96560	1433.83544	1465.70488	1718.79019
1300.0	5.5	1681.53894	1606.25190	1356.90392	1390.04176	1729.53106
1400.0	4.0	1682.15825	1630.27047	1589.67801	1594.42655	1690.38934
1400.0	4.5	1697.81938	1633.97438	1559.21237	1570.94248	1718.00496
1400.0	5.0	1712.77950	1648.87302	1564.06659	1578.01094	1740.67004
1400.0	5.5	1706.79462	1656.69343	1448.24051	1486.23521	1785.92000
1500.0	4.0	1697.17432	1709.98606	1648.53120	1651.43177	1664.25305
1500.0	4.5	1719.09455	1718.04215	1663.31344	1671.60177	1708.99091
1500.0	5.0	1735.82129	1698.25586	1633.53096	1645.50572	1757.10211
1500.0	5.5	1742.58901	1710.94926	1603.51201	1629.39424	1793.30717
1550.0	5.0	1735.82129	1698.25586	1633.53096	1645.50572	1757.10211
1550.0	5.5	1742.58901	1710.94926	1603.51201	1629.39424	1793.30717
1600.0	4.0	1716.72964	1732.23385	1665.21920	1673.23398	1700.87256
1600.0	4.5	1731.83795	1746.66228	1686.50147	1694.96355	1728.56615
1600.0	5.0	1744.07408	1744.79379	1689.46779	1699.27658	1744.43595
1600.0	5.5	1754.73405	1747.47680	1680.40489	1697.94971	1799.18543
1650.0	5.0	1744.07408	1744.79379	1689.46779	1699.27658	1744.43595
1650.0	5.5	1754.73405	1747.47680	1680.40489	1697.94971	1799.18543
1700.0	4.0	1711.56928	1719.93144	1657.19000	1665.97567	1714.78534
1700.0	4.5	1747.71237	1765.63951	1700.11101	1717.11177	1779.31376
