Teff	log(g)	T_BB_u	T_BB_g	T_BB_r	T_BB_i	T_BB_z
1200.0	4.0	1651.05939	1512.17202	1364.63885	1356.17289	1619.00618
1200.0	4.5	1677.01667	1567.88526	1380.74817	1371.30969	1617.57006
1200.0	5.0	1668.81925	1512.32787	1338.48822	1316.43300	1645.05016
1200.0	5.5	1676.57211	1533.26768	1316.21903	1284.30891	1666.03340
1300.0	4.0	1668.94896	1551.54517	1462.63020	1452.70399	1658.17062
1300.0	4.5	1687.73571	1584.47874	1491.51679	1478.07278	1674.97848
1300.0	5.0	1693.44989	1591.94249	1444.71297	1438.39025	1718.73881
1300.0	5.5	1696.74994	1591.27567	1381.38485	1370.26273	1730.33671
1400.0	4.0	1691.97909	1616.45283	1594.47868	1580.79682	1690.39506
1400.0	4.5	1704.72660	1619.35509	1564.58461	1552.31664	1717.74556
1400.0	5.0	1713.49868	1634.23667	1569.77100	1558.54083	1740.41989
1400.0	5.5	1717.03853	1641.64877	1461.05360	1460.89950	1786.19401
1500.0	4.0	1702.45318	1704.24268	1651.02094	1648.55158	1664.52311
1500.0	4.5	1719.94430	1708.62341	1666.87892	1666.21388	1709.04051
1500.0	5.0	1731.88711	1684.36580	1638.62963	1632.35082	1756.96516
1500.0	5.5	1738.41545	1696.57106	1609.23471	1611.27067	1793.18430
1550.0	5.0	1731.88711	1684.36580	1638.62963	1632.35082	1756.96516
1550.0	5.5	1738.41545	1696.57106	1609.23471	1611.27067	1793.18430
1600.0	4.0	1724.76104	1727.21192	1667.56619	1670.40661	1701.36241
1600.0	4.5	1733.27565	1739.29777	1689.58639	1690.75706	1728.72891
1600.0	5.0	1737.78332	1734.74467	1693.36298	1693.45110	1744.49139
1600.0	5.5	1748.02417	1734.84529	1685.14804	1686.95614	1799.27378
1650.0	5.0	1737.78332	1734.74467	1693.36298	1693.45110	1744.49139
1650.0	5.5	1748.02417	1734.84529	1685.14804	1686.95614	1799.27378
1700.0	4.0	1729.42180	1716.55525	1659.35517	1663.68500	1715.54174
1700.0	4.5	1755.37579	1758.51931	1703.58439	1712.67144	1779.75378
1700.0	5.0	1762.56983	1772.83785	1726.89033	1734.01468	1802.94416
