Teff	log(g)	T_BB_us	T_BB_gs	T_BB_rs	T_BB_is	T_BB_zs
1500.0	4.0	1528.60038	1596.58855	1538.87055	1568.04963	1706.24295
1500.0	4.5	1548.71772	1605.20260	1513.45627	1557.92071	1774.61093
1500.0	5.0	1576.53982	1624.22806	1481.18458	1538.07796	1795.60115
1500.0	5.5	1605.93563	1651.43034	1469.58536	1537.50158	1837.50243
1600.0	4.0	1552.97274	1643.59370	1605.41465	1631.92025	1757.04355
1600.0	4.5	1603.54383	1682.72617	1619.33363	1666.52888	1854.49500
1600.0	5.0	1610.24201	1664.15508	1555.54191	1612.34592	1847.69958
1600.0	5.5	1621.79520	1682.95797	1552.69558	1617.18040	1885.63974
1700.0	4.0	1643.29311	1747.49511	1683.37168	1699.28016	1803.79719
1700.0	4.5	1678.03070	1770.63838	1710.70725	1714.43884	1784.68618
1700.0	5.0	1696.09454	1782.60379	1716.88137	1708.11280	1753.38723
1700.0	5.5	1681.60938	1774.91451	1736.64510	1706.07825	1742.95344
1800.0	4.0	1677.01151	1851.06629	1760.90446	1835.15266	1969.85443
1800.0	4.5	1653.12061	1833.03314	1753.00791	1826.09759	1966.53596
1800.0	5.0	1645.28351	1821.44850	1748.35520	1810.89904	1963.87955
1800.0	5.5	1632.27553	1773.73733	1697.24265	1743.91440	1886.71402
1900.0	4.0	1731.91801	1901.08919	1797.05130	1900.26816	2050.40645
1900.0	4.5	1693.60227	1899.51949	1804.02581	1918.01257	2099.98649
1900.0	5.0	1663.73468	1857.98474	1784.41159	1861.62715	2050.67089
1900.0	5.5	1653.30095	1829.24174	1750.64638	1821.21348	2000.67530
2000.0	4.0	1702.57751	1797.20605	1738.85814	1851.69312	2036.58711
2000.0	4.5	1662.73300	1754.47305	1721.67083	1802.51394	1957.97564
2000.0	5.0	1702.55611	1807.22177	1777.11603	1866.24180	2022.49903
2000.0	5.5	1665.08407	1747.33842	1717.01888	1785.15806	1899.59461
2100.0	4.0	1742.60614	1827.98401	1753.12798	1886.38786	2081.82889
2100.0	4.5	1714.40579	1827.75477	1769.00570	1906.00737	2102.77944
2100.0	5.0	1722.04486	1850.61843	1803.57774	1942.25308	2132.76562
2100.0	5.5	1732.34738	1861.30327	1822.78410	1965.38730	2144.05568
2200.0	4.0	1845.94371	1925.52878	1792.97273	1988.50925	2205.00413
2200.0	4.5	1823.33511	1926.60703	1824.76556	2008.51585	2216.82581
2200.0	5.0	1818.79261	1928.83228	1851.62745	2028.42052	2228.16807
2200.0	5.5	2291.53025	1997.34573	1877.77422	2054.66153	2247.58874
2300.0	4.0	2024.24682	2072.08532	1875.34182	2119.08374	2339.53173
2300.0	4.5	1941.51925	2053.10014	1884.46379	2137.48216	2360.76269
2300.0	5.0	1870.87541	2008.30931	1888.10031	2126.65194	2342.61007
2300.0	5.5	1833.02443	1986.63364	1899.00378	2137.12627	2345.64732
2400.0	4.0	2168.40556	2204.81720	1985.91206	2248.77315	2456.41311
2400.0	4.5	2065.43111	2176.90953	1974.37853	2258.15298	2475.42713
2400.0	5.0	1979.86827	2130.57161	1968.65238	2251.92761	2471.41690
2400.0	5.5	1913.24936	2086.49827	1959.60563	2250.88265	2467.54753
2500.0	4.0	2307.01196	2334.68950	2134.65394	2387.34554	2566.22579
2500.0	4.5	2193.41684	2298.46907	2097.58108	2385.09513	2581.77145
2500.0	5.0	2109.09819	2264.11313	2089.44012	2389.70542	2593.43363
2500.0	5.5	2021.66185	2209.11139	2055.61576	2377.40783	2589.59629
2600.0	4.0	2429.81675	2448.72709	2228.65419	2505.72383	2671.95881
2600.0	4.5	2312.18956	2412.14769	2200.94433	2503.11343	2682.74009
2600.0	5.0	2212.01564	2380.04947	2190.78179	2512.61936	2701.63162
2600.0	5.5	2109.90573	2326.96835	2155.95597	2503.94264	2705.74967
2600.0	6.0	2034.88170	2285.81473	2138.81606	2515.12561	2728.17593
2700.0	4.0	2546.74386	2565.17526	2356.70936	2627.32156	2773.56626
2700.0	4.5	2443.85415	2536.05171	2336.69946	2630.86142	2787.67128
2700.0	5.0	2351.93875	2511.98214	2336.38740	2645.51645	2810.77881
2700.0	5.5	2239.06652	2455.18215	2298.37032	2632.42227	2813.84560
2700.0	6.0	2154.10984	2415.53365	2278.87756	2641.70575	2839.27731
2800.0	4.0	2662.12199	2682.79737	2475.37401	2748.48551	2881.86488
2800.0	4.5	2561.50594	2651.66985	2457.89145	2748.31568	2888.63434
2800.0	5.0	2468.75609	2629.40309	2459.07778	2765.22946	2913.18343
2800.0	5.5	2354.16127	2573.69836	2426.41998	2752.25052	2915.96185
2800.0	6.0	2268.62112	2536.80673	2410.12733	2764.38146	2944.71006
2900.0	4.0	2771.62165	2801.58952	2606.37398	2870.09782	2990.06506
2900.0	4.5	2680.86925	2772.13619	2595.82386	2869.18453	2991.94035
2900.0	5.0	2595.39429	2752.01867	2600.11202	2885.81670	3014.25802
2900.0	5.5	2481.39823	2696.89776	2567.32357	2873.55849	3015.99419
2900.0	6.0	2400.71239	2666.18016	2560.46852	2889.48150	3047.92243
3000.0	4.0	2864.23990	2906.53507	2719.18463	2977.60627	3088.73085
3000.0	4.5	2790.76812	2887.07213	2724.28005	2983.25251	3093.37414
3000.0	5.0	2711.32598	2871.44914	2732.05005	3000.96592	3114.36491
3000.0	5.5	2600.12460	2815.92298	2702.36246	2988.01372	3111.85721
3000.0	6.0	2523.64672	2789.92700	2699.49047	3008.18626	3145.68371
3100.0	4.0	2946.98261	3012.28514	2849.77188	3088.32791	3186.28991
