Teff	log(g)	T_BB_u	T_BB_g	T_BB_r	T_BB_i	T_BB_z
1500.0	4.0	1540.46122	1613.97164	1519.33679	1546.47120	1700.72838
1500.0	4.5	1555.51685	1626.95061	1486.09416	1529.41115	1764.99100
1500.0	5.0	1579.80488	1648.48379	1448.30803	1504.22083	1784.46637
1500.0	5.5	1608.44715	1676.92429	1436.58528	1499.76318	1824.47754
1600.0	4.0	1566.67061	1650.40194	1594.41184	1612.22208	1750.96745
1600.0	4.5	1611.15437	1702.94780	1597.91808	1639.08739	1845.72628
1600.0	5.0	1613.35385	1687.94159	1525.47513	1581.18207	1837.21313
1600.0	5.5	1623.98179	1708.22049	1520.56367	1582.62610	1873.71954
1700.0	4.0	1667.49555	1744.89541	1680.45023	1680.96664	1797.87683
1700.0	4.5	1694.09067	1768.51791	1707.49708	1703.27293	1780.52881
1700.0	5.0	1706.63989	1778.69724	1714.28194	1702.59337	1751.02237
1700.0	5.5	1683.27194	1769.51627	1732.92884	1702.69127	1742.67993
1800.0	4.0	1707.22193	1852.30880	1756.68200	1810.44605	1962.04210
1800.0	4.5	1673.05913	1842.41525	1744.81446	1802.70390	1959.10985
1800.0	5.0	1655.93331	1836.62739	1735.89083	1789.09144	1956.03461
1800.0	5.5	1638.51062	1793.24343	1679.20297	1726.96048	1880.68412
1900.0	4.0	1768.35556	1901.42861	1794.46604	1871.08298	2041.35427
1900.0	4.5	1718.58650	1906.73438	1798.45041	1886.04094	2089.43280
1900.0	5.0	1675.43438	1871.89026	1774.30486	1833.64030	2039.94497
1900.0	5.5	1661.95600	1847.77474	1736.12112	1796.76846	1991.91519
2000.0	4.0	1725.76505	1790.32390	1736.53392	1817.42279	2025.57731
2000.0	4.5	1674.83107	1745.54304	1718.57489	1776.59178	1948.57028
2000.0	5.0	1711.27946	1797.79356	1774.37478	1838.03646	2013.29474
2000.0	5.5	1671.91942	1739.62876	1713.70013	1764.00991	1893.72466
2100.0	4.0	1766.79944	1823.49223	1751.04969	1848.01547	2070.12087
2100.0	4.5	1732.91431	1820.39057	1766.87407	1865.98778	2091.20307
2100.0	5.0	1734.35167	1841.51478	1801.69188	1901.58226	2122.07761
2100.0	5.5	1741.96869	1851.83362	1821.12628	1923.56032	2135.32481
2200.0	4.0	1891.46713	1925.44168	1791.97539	1939.49739	2192.31703
2200.0	4.5	1849.20470	1922.30742	1823.76341	1962.11313	2204.78542
2200.0	5.0	1829.98296	1921.58909	1850.75095	1982.59715	2217.25695
2200.0	5.5	2303.00162	1994.82731	1877.46373	2007.42073	2238.76216
2300.0	4.0	2078.11766	2074.50920	1875.57267	2065.92665	2326.91281
2300.0	4.5	1988.75219	2051.92467	1885.00891	2082.70754	2348.45220
2300.0	5.0	1894.21820	2002.82392	1888.59159	2072.90438	2331.46448
2300.0	5.5	1846.93368	1978.50780	1899.64601	2081.67638	2336.65846
2400.0	4.0	2223.79942	2207.39344	1986.58111	2196.28791	2445.08574
2400.0	4.5	2122.67972	2176.82005	1975.75827	2201.91925	2464.01526
2400.0	5.0	2020.39495	2126.20862	1970.32807	2194.10174	2460.60350
2400.0	5.5	1935.69817	2079.40262	1961.79615	2190.57784	2458.51915
2500.0	4.0	2354.84254	2335.08640	2135.34110	2341.11176	2557.14522
2500.0	4.5	2249.12577	2297.36989	2099.24292	2332.84888	2572.11942
2500.0	5.0	2156.25623	2259.95733	2091.69886	2334.35756	2584.17164
2500.0	5.5	2055.69914	2202.37496	2059.01393	2317.12267	2581.21661
2600.0	4.0	2474.60409	2448.31597	2230.45879	2460.31106	2664.49876
2600.0	4.5	2366.31689	2410.09965	2203.67876	2453.02462	2674.84555
2600.0	5.0	2267.55418	2375.42540	2194.49099	2458.73055	2693.89092
2600.0	5.5	2159.87676	2320.23523	2161.07225	2444.47293	2698.74233
2600.0	6.0	2073.96567	2278.38113	2145.67742	2449.70209	2722.66570
2700.0	4.0	2585.96629	2563.51473	2359.05022	2585.61397	2767.75257
2700.0	4.5	2491.76266	2532.84448	2339.99659	2585.10685	2781.63101
2700.0	5.0	2402.75448	2506.52398	2340.68671	2596.31071	2804.67915
2700.0	5.5	2290.24562	2448.06523	2304.05936	2577.45854	2808.02046
2700.0	6.0	2200.71481	2408.14944	2286.55306	2580.51825	2834.35638
2800.0	4.0	2698.35055	2680.24711	2478.36055	2708.22959	2877.25229
2800.0	4.5	2606.05772	2647.74778	2461.70919	2705.03663	2883.94564
2800.0	5.0	2519.01606	2623.74583	2464.08748	2718.64283	2908.40420
2800.0	5.5	2406.74974	2566.86738	2432.70913	2700.67130	2911.15559
2800.0	6.0	2319.10895	2529.73383	2418.49392	2706.93350	2940.31592
2900.0	4.0	2804.68857	2798.30752	2609.72376	2831.72836	2986.36740
2900.0	4.5	2720.97255	2767.58116	2600.07546	2828.74989	2988.32395
2900.0	5.0	2641.29016	2745.99577	2605.42706	2842.70341	3010.51574
2900.0	5.5	2530.92664	2690.03553	2573.85933	2825.90592	3012.01969
2900.0	6.0	2450.79898	2659.35662	2569.04116	2836.38186	3043.93971
3000.0	4.0	2895.50702	2902.86835	2722.89895	2940.03591	3085.65844
3000.0	4.5	2828.47178	2882.16113	2728.91426	2944.61298	3090.45056
