Teff	log(g)	T_BB_us	T_BB_gs	T_BB_rs	T_BB_is	T_BB_zs
1500.0	4.0	1667.10540	1597.93842	1548.33318	1579.15955	1723.05167
1500.0	4.5	1689.67526	1606.33922	1525.85565	1574.95687	1793.44492
1500.0	5.0	1697.42727	1625.84490	1495.61206	1558.72890	1814.15294
1500.0	5.5	1708.39654	1653.49427	1483.71864	1560.94428	1857.13852
1600.0	4.0	1692.25218	1646.05679	1611.05156	1640.02842	1778.49706
1600.0	4.5	1724.29454	1683.21655	1630.11522	1679.61141	1875.11574
1600.0	5.0	1719.86362	1665.16482	1569.53462	1629.67826	1866.65525
1600.0	5.5	1725.61419	1684.17739	1566.95823	1636.84570	1904.80581
1700.0	4.0	1734.08246	1750.76966	1683.36292	1702.87204	1829.45524
1700.0	4.5	1740.99900	1774.30976	1710.56038	1717.50003	1801.94644
1700.0	5.0	1742.19693	1786.86207	1715.73849	1709.56095	1764.71720
1700.0	5.5	1723.34890	1779.91790	1736.33484	1708.87492	1747.39415
1800.0	4.0	1780.04529	1853.55048	1763.17061	1833.63395	1997.87827
1800.0	4.5	1770.68842	1834.31628	1758.15501	1827.30253	1989.45594
1800.0	5.0	1763.17777	1822.00264	1755.45595	1816.32587	1982.70456
1800.0	5.5	1732.05595	1773.80883	1706.37514	1751.49859	1899.17692
1900.0	4.0	1818.53269	1903.56634	1798.08604	1896.00640	2082.10622
1900.0	4.5	1813.21333	1900.87223	1807.91332	1916.49021	2130.67004
1900.0	5.0	1790.86798	1858.57614	1790.36547	1866.88385	2075.94937
1900.0	5.5	1766.60536	1829.12343	1758.22374	1827.83638	2018.42371
2000.0	4.0	1808.10779	1800.82851	1739.05679	1850.09338	2076.90683
2000.0	4.5	1781.75115	1759.14892	1721.81803	1801.63768	1992.44670
2000.0	5.0	1805.48047	1811.89286	1777.12244	1864.63024	2055.32724
2000.0	5.5	1760.33611	1752.35480	1716.95844	1785.00106	1923.54313
2100.0	4.0	1830.25358	1831.40608	1753.10207	1883.55308	2124.28600
2100.0	4.5	1826.20090	1831.32172	1768.89088	1902.55078	2143.33951
2100.0	5.0	1833.11550	1854.46538	1803.23992	1938.08766	2170.42927
2100.0	5.5	1831.27217	1865.49344	1822.17485	1961.67880	2177.05781
2200.0	4.0	1905.36945	1927.78017	1792.78211	1983.22402	2250.42884
2200.0	4.5	1889.61307	1929.33643	1824.15756	2002.54155	2259.49546
2200.0	5.0	1885.94831	1932.05997	1850.68573	2021.90474	2267.46642
2200.0	5.5	2300.34766	2003.19173	1876.29283	2050.26055	2282.92542
2300.0	4.0	2058.07491	2074.16047	1874.64082	2111.49277	2386.03084
2300.0	4.5	1987.42465	2054.87334	1883.21219	2128.78358	2405.58451
2300.0	5.0	1930.66636	2010.44169	1886.58614	2117.67619	2383.87169
2300.0	5.5	1903.68331	1989.18255	1897.07130	2128.45534	2381.98984
2400.0	4.0	2195.77207	2207.33134	1984.81922	2239.74013	2500.99541
2400.0	4.5	2099.25052	2178.61385	1972.55895	2248.14337	2519.54884
2400.0	5.0	2020.81683	2132.10015	1966.44457	2241.06170	2513.03985
2400.0	5.5	1966.89041	2088.09686	1956.99156	2239.67139	2504.92438
2500.0	4.0	2328.02723	2337.96831	2133.10580	2378.20737	2605.22113
2500.0	4.5	2220.11230	2300.82929	2095.38194	2374.68310	2621.97802
2500.0	5.0	2136.81340	2265.96798	2086.74198	2378.38749	2631.91554
2500.0	5.5	2058.17748	2210.50479	2052.15455	2365.08783	2625.24629
2600.0	4.0	2448.51084	2452.46377	2226.06614	2496.10415	2707.18512
2600.0	4.5	2336.19168	2414.98231	2197.66582	2492.54349	2718.83254
2600.0	5.0	2238.79763	2382.17691	2186.83331	2501.14826	2736.46345
2600.0	5.5	2142.15228	2328.43247	2151.27406	2491.35888	2738.44228
2600.0	6.0	2075.37588	2286.63240	2133.42960	2502.28899	2756.57727
2700.0	4.0	2561.89528	2569.21337	2353.39348	2618.35829	2803.47827
2700.0	4.5	2463.42319	2539.41403	2332.58339	2621.07139	2818.10085
2700.0	5.0	2373.44641	2514.65023	2331.56090	2635.04091	2840.04237
2700.0	5.5	2263.99016	2457.14920	2292.93930	2620.70592	2841.75852
2700.0	6.0	2183.75891	2416.75073	2272.74067	2629.30782	2863.51808
2800.0	4.0	2675.63905	2687.14875	2471.29319	2739.97512	2907.77276
