Teff	log(g)	T_BB_u	T_BB_g	T_BB_r	T_BB_i	T_BB_z
1500.0	4.0	1704.70989	1585.66066	1556.33576	1565.39944	1723.97942
1500.0	4.5	1726.63050	1592.80317	1536.42547	1555.60915	1793.90857
1500.0	5.0	1726.67999	1611.55111	1509.18224	1535.73983	1814.48631
1500.0	5.5	1732.70696	1639.17404	1499.27388	1535.14121	1857.53687
1600.0	4.0	1730.73925	1636.65845	1617.70788	1629.48933	1779.80581
1600.0	4.5	1758.26339	1670.15506	1638.49361	1662.61879	1875.93019
1600.0	5.0	1748.02451	1651.20995	1580.33237	1608.84923	1867.08958
1600.0	5.5	1751.47255	1670.16079	1578.22099	1613.43818	1905.25410
1700.0	4.0	1765.91461	1744.71342	1687.75262	1696.75035	1831.34147
1700.0	4.5	1758.33987	1769.34469	1713.06399	1712.52078	1803.15773
1700.0	5.0	1747.06050	1783.51377	1717.07484	1706.78316	1765.54591
1700.0	5.5	1720.87803	1778.50092	1736.92096	1704.51921	1747.78341
1800.0	4.0	1809.52927	1846.26558	1769.52771	1827.95404	2000.16585
1800.0	4.5	1798.38117	1824.40995	1764.80777	1819.41861	1991.10509
1800.0	5.0	1784.67937	1811.65863	1761.76279	1805.48563	1983.76972
1800.0	5.5	1749.43130	1762.72982	1712.12981	1739.82323	1899.79318
1900.0	4.0	1844.27907	1896.90316	1804.79340	1891.34784	2084.86261
1900.0	4.5	1841.84782	1891.71945	1815.62061	1908.81672	2132.96098
1900.0	5.0	1816.44846	1848.71570	1797.31037	1855.11642	2077.42548
1900.0	5.5	1788.09437	1818.50564	1764.40978	1815.64815	2019.54127
2000.0	4.0	1844.40752	1796.30125	1747.17633	1845.28309	2079.79944
2000.0	4.5	1817.63743	1756.64366	1728.22160	1797.96942	1994.74719
2000.0	5.0	1832.47736	1809.77356	1782.64599	1860.43072	2057.86606
2000.0	5.5	1785.64169	1750.89696	1721.44008	1781.35675	1925.71325
2100.0	4.0	1862.47376	1826.64843	1761.51257	1878.94054	2127.54051
2100.0	4.5	1859.11464	1827.22570	1776.69401	1897.33517	2146.53903
2100.0	5.0	1860.15773	1851.26586	1809.92635	1932.71121	2173.82148
2100.0	5.5	1855.06527	1863.21973	1827.74378	1955.43408	2180.75665
2200.0	4.0	1925.98023	1919.98640	1802.76209	1977.37893	2254.48772
2200.0	4.5	1909.40281	1923.80422	1832.12469	1997.42409	2263.37865
2200.0	5.0	1900.90262	1928.19434	1857.25348	2016.97610	2271.47948
2200.0	5.5	2287.97323	1991.76491	1881.64465	2042.90081	2286.96357
2300.0	4.0	2065.91949	2064.03719	1884.43812	2105.86800	2390.82432
2300.0	4.5	1996.15017	2046.83958	1892.25803	2123.31001	2410.37069
2300.0	5.0	1939.84451	2004.85465	1894.27542	2112.48453	2388.66325
2300.0	5.5	1915.56028	1985.29410	1903.28091	2122.37940	2387.13148
2400.0	4.0	2201.14340	2196.06912	1993.19160	2235.02109	2506.60726
2400.0	4.5	2104.78986	2169.53386	1981.00615	2243.10654	2525.12996
2400.0	5.0	2024.13462	2124.80243	1974.07884	2236.20391	2518.41584
2400.0	5.5	1969.84452	2082.64608	1963.91164	2234.37814	2510.46828
2500.0	4.0	2331.53318	2327.03386	2139.03743	2375.41381	2611.10961
2500.0	4.5	2224.02594	2291.67645	2102.17684	2371.20774	2627.99061
2500.0	5.0	2138.16203	2259.02360	2093.12440	2374.63592	2637.84109
2500.0	5.5	2055.87563	2204.51384	2058.50867	2360.94015	2630.90214
2600.0	4.0	2451.69183	2440.82176	2231.58385	2494.48404	2713.41305
2600.0	4.5	2339.93369	2405.27996	2203.76635	2490.36562	2725.14954
2600.0	5.0	2241.34371	2374.67527	2192.85109	2498.63649	2742.66506
2600.0	5.5	2142.26325	2322.42568	2157.26499	2487.97723	2744.62147
2600.0	6.0	2072.30570	2281.57794	2138.95122	2497.45764	2762.56486
2700.0	4.0	2564.19571	2558.45800	2357.58852	2617.99084	2809.47234
2700.0	4.5	2466.32353	2530.30705	2337.14203	2620.33609	2824.21911
2700.0	5.0	2375.42945	2507.69689	2336.08536	2633.95965	2845.91665
2700.0	5.5	2264.56224	2451.68901	2297.59433	2618.80541	2847.54262
2700.0	6.0	2181.31988	2412.43102	2277.18708	2626.05480	2868.91878
2800.0	4.0	2677.70638	2676.74993	2474.67393	2740.43607	2913.55138
2800.0	4.5	2581.64526	2646.81007	2456.58881	2739.40180	2920.30626
2800.0	5.0	2491.35305	2625.98304	2456.89156	2755.43378	2943.49681
2800.0	5.5	2377.68789	2571.15034	2423.94845	2740.69118	2944.77173
2800.0	6.0	2291.81524	2534.74675	2406.85111	2750.92551	2969.64479
2900.0	4.0	2785.24827	2796.48043	2604.42362	2863.35382	3017.35907
2900.0	4.5	2698.22452	2768.40970	2592.82387	2861.91082	3018.41606
2900.0	5.0	2615.06733	2749.72899	2596.32077	2877.84696	3039.09245
2900.0	5.5	2501.80150	2695.71532	2563.29669	2864.13510	3039.48877
2900.0	6.0	2421.03822	2665.50794	2555.92090	2878.36124	3067.76916
3000.0	4.0	2877.07677	2902.04891	2716.35431	2971.67704	3113.00684
3000.0	4.5	2806.73028	2884.14573	2720.16929	2977.02012	3115.72621
3000.0	5.0	2729.89188	2870.00348	2726.66575	2994.25182	3134.90205
3000.0	5.5	2619.44850	2815.89865	2696.78019	2980.20997	3130.73940
3000.0	6.0	2542.77208	2790.59080	2693.55899	2999.02694	3161.15284
3100.0	4.0	2959.00464	3008.84948	2846.94651	3083.32591	3207.03395
3100.0	4.5	2912.73029	3008.32943	2871.75438	3100.17579	3216.10255
3100.0	5.0	2841.99310	2989.07871	2872.31789	3109.33958	3225.99532
3100.0	5.5	2766.49643	2965.68091	2873.06199	3121.39816	3241.25140
3100.0	6.0	2674.55204	2919.21391	2843.93521	3119.15185	3251.93944
3200.0	4.0	3040.66418	3114.45021	2958.90734	3192.48313	3306.01085
3200.0	4.5	3006.85691	3117.31101	2990.09564	3208.91522	3313.14256
3200.0	5.0	2948.11812	3103.48266	3001.01695	3219.44045	3320.11707
3200.0	5.5	2877.47347	3081.92956	3004.22042	3231.49641	3332.56231
3200.0	6.0	2788.99986	3039.27089	2978.06496	3231.97203	3342.17613
3300.0	4.0	3115.07248	3216.97292	3071.93767	3298.83154	3402.67971
3300.0	4.5	3090.28673	3220.17641	3107.21754	3312.49851	3404.82896
3300.0	5.0	3047.75313	3215.08279	3130.54461	3328.08723	3413.73392
