Teff	log(g)	T_BB_us	T_BB_gs	T_BB_rs	T_BB_is	T_BB_zs
2300.0	4.0	2082.06188	2249.17185	2050.06968	2468.27967	2527.84249
2300.0	4.5	2161.11055	2223.26752	2044.03210	2310.96903	2426.32600
2300.0	5.0	2052.73798	2243.20375	2091.17665	2352.88374	2457.21360
2300.0	5.5	1968.82452	2260.09547	2160.04763	2402.59410	2499.54117
2300.0	6.0	1940.92316	2253.26267	2195.32723	2433.01100	2547.62543
2400.0	4.0	2384.28119	2267.45749	2039.97076	2332.47814	2475.16731
2400.0	4.5	2104.99992	2363.98402	2213.61969	2586.03448	2656.36937
2400.0	5.0	2163.51171	2294.70885	2126.78719	2428.25866	2540.86775
2400.0	5.5	2048.11643	2317.40651	2191.48124	2467.77134	2574.68115
2400.0	6.0	1919.38269	2456.28741	2527.70416	2756.98570	2850.46403
2500.0	4.0	2307.82552	2469.16594	2289.81597	2632.07630	2699.86202
2500.0	4.5	2398.88065	2348.47900	2129.12843	2447.31287	2582.57838
2500.0	5.0	2105.37996	2430.56226	2323.88965	2676.11998	2759.39877
2500.0	5.5	2019.77660	2463.45523	2447.70821	2731.27384	2832.44641
2500.0	6.0	2044.55832	2372.10819	2282.17161	2569.38486	2690.47610
2600.0	4.0	2398.61084	2542.18082	2376.74498	2688.24229	2755.20794
2600.0	4.5	2307.20596	2534.16919	2401.54418	2716.28242	2787.02154
2600.0	5.0	2408.84770	2430.05400	2222.93796	2565.14332	2697.99909
2600.0	5.5	2281.97753	2405.29590	2238.02098	2585.34194	2719.17060
2600.0	6.0	2152.97094	2383.84214	2265.59212	2606.99537	2749.49130
2700.0	4.0	2693.45412	2583.51504	2369.58542	2655.25595	2775.96527
2700.0	4.5	2420.17697	2650.63678	2549.21137	2804.80582	2871.54695
2700.0	5.0	2324.68352	2642.11759	2583.60783	2832.78035	2910.26021
2700.0	5.5	2232.32724	2636.98265	2631.83072	2866.51437	2962.16329
2700.0	6.0	2143.08140	2639.71644	2698.94275	2908.73446	3025.66819
2800.0	4.0	2624.05660	2779.54640	2681.96758	2882.36397	2934.74300
2800.0	4.5	2535.86047	2766.86216	2698.81032	2897.84813	2954.40266
2800.0	5.0	2644.18173	2664.59288	2478.90787	2782.56914	2903.08010
2800.0	5.5	2533.47357	2633.31707	2466.69522	2790.07107	2919.18164
2800.0	6.0	2256.26374	2739.73131	2815.14952	2983.32247	3087.71323
2900.0	4.0	2885.30860	2803.18210	2618.11317	2873.22962	2980.74385
