Teff	log(g)	T_BB_u	T_BB_g	T_BB_r	T_BB_i	T_BB_z
2300.0	4.0	2148.36297	2234.49098	2060.61201	2428.48527	2529.66831
2300.0	4.5	2221.46558	2220.34209	2048.10370	2272.61276	2423.23854
2300.0	5.0	2114.42507	2238.63539	2095.58101	2315.75979	2455.31827
2300.0	5.5	2019.97666	2254.94492	2164.83295	2369.96668	2498.19614
2300.0	6.0	1978.53456	2248.35469	2200.44799	2402.71163	2545.03596
2400.0	4.0	2430.41609	2266.68802	2044.47689	2293.05674	2468.91582
2400.0	4.5	2179.45528	2345.41125	2226.92453	2545.75471	2658.09998
2400.0	5.0	2229.08071	2287.46859	2133.58254	2387.87364	2538.48367
2400.0	5.5	2111.38377	2310.66614	2197.39679	2430.14993	2572.73443
2400.0	6.0	1984.38329	2453.85234	2539.04647	2728.74913	2849.83604
2500.0	4.0	2366.00045	2452.72848	2302.61380	2593.06084	2701.75328
2500.0	4.5	2450.57312	2343.65992	2135.07635	2406.51503	2577.48180
2500.0	5.0	2184.90701	2411.89746	2338.76491	2634.53287	2761.07653
2500.0	5.5	2104.36893	2448.88990	2463.12691	2692.43340	2832.91509
2500.0	6.0	2106.45608	2363.83019	2289.45786	2531.44975	2687.63987
2600.0	4.0	2450.46613	2526.75779	2388.66016	2650.78706	2757.04716
2600.0	4.5	2370.97399	2515.96822	2415.41332	2676.29825	2789.29829
2600.0	5.0	2466.84112	2420.98775	2230.71794	2521.79214	2694.01813
2600.0	5.5	2350.26153	2392.26600	2245.99385	2541.02829	2715.53151
2600.0	6.0	2222.67866	2369.73914	2273.39416	2562.85976	2745.50161
2700.0	4.0	2724.77753	2579.52602	2375.41394	2619.17154	2771.95707
2700.0	4.5	2479.05570	2632.55926	2562.53907	2767.11469	2873.97295
2700.0	5.0	2395.14746	2623.35003	2598.69656	2793.18316	2912.37605
2700.0	5.5	2311.57444	2620.41523	2648.11281	2826.44830	2963.07068
2700.0	6.0	2229.04039	2628.61748	2715.56105	2869.81548	3024.70274
2800.0	4.0	2665.67581	2763.65727	2692.83373	2850.49664	2936.56671
2800.0	4.5	2588.55168	2749.43118	2711.24668	2863.62901	2956.68500
2800.0	5.0	2689.37169	2654.50230	2487.54268	2741.22681	2900.59474
2800.0	5.5	2590.58581	2620.10383	2476.94285	2745.27209	2916.80971
2800.0	6.0	2336.39087	2728.16430	2830.87303	2946.41201	3086.71379
2900.0	4.0	2910.87759	2797.36506	2624.02474	2839.08848	2977.75488
2900.0	4.5	2863.14958	2792.58421	2631.66962	2849.40691	2989.48881
2900.0	5.0	2618.45836	2850.86706	2874.51929	2978.79607	3065.89938
2900.0	5.5	2707.07148	2744.30549	2620.97816	2856.68686	3018.20754
2900.0	6.0	2591.20039	2702.13613	2610.88950	2856.20742	3034.57765
3000.0	4.0	3000.67377	2904.42529	2741.89643	2946.64903	3080.96596
3000.0	4.5	2811.55613	2975.86742	2984.33857	3061.87018	3121.63295
3000.0	5.0	2734.35794	2962.04969	3001.19875	3076.49737	3144.59176
3000.0	5.5	2819.86594	2867.93699	2767.05726	2969.96136	3117.14391
3000.0	6.0	2560.56245	2938.84861	3064.29388	3121.14386	3216.66021
3100.0	4.0	3086.47350	3010.13418	2856.73521	3053.16617	3184.43954
3100.0	4.5	2921.95609	3084.47432	3109.25724	3160.57953	3205.36036
3100.0	5.0	2850.02386	3068.51735	3118.84263	3171.41797	3220.75864
3100.0	5.5	2929.99661	2988.89638	2909.59085	3082.30771	3214.12895
3100.0	6.0	2833.88133	2956.19765	2908.04758	3082.57184	3228.75421
3200.0	4.0	3082.44404	3211.18583	3235.23290	3260.75166	3293.83780
3200.0	4.5	3143.09761	3126.06743	3014.61514	3177.08418	3294.77297
3200.0	5.0	3099.42116	3122.07511	3037.21103	3187.00002	3300.96956
3200.0	5.5	3036.78158	3106.70666	3047.94523	3193.42060	3309.67039
3200.0	6.0	2951.26777	3079.46882	3050.87796	3195.99564	3322.59337
3300.0	4.0	3181.79695	3318.92903	3359.50339	3363.79321	3385.38832
3300.0	4.5	3226.99683	3232.86141	3139.06234	3284.18572	3393.10870
3300.0	5.0	3081.01142	3278.96449	3343.58984	3364.47546	3387.72033
3300.0	5.5	3010.27326	3261.22154	3345.89574	3376.76242	3403.90904
3300.0	6.0	3064.09109	3197.78241	3186.69519	3306.97837	3415.81414
3400.0	4.0	3309.12401	3320.63862	3216.59705	3368.89094	3482.28582
3400.0	4.5	3242.69564	3403.65633	3464.78473	3460.69873	3472.07308
3400.0	5.0	3193.54219	3383.38391	3453.91190	3462.26202	3475.04112
3400.0	5.5	3131.45819	3365.03640	3449.85872	3472.01749	3488.21019
3400.0	6.0	3053.48045	3345.70879	3452.64270	3486.63598	3509.30491
3500.0	4.0	3371.68753	3425.13890	3352.05739	3475.52153	3574.34135
3500.0	4.5	3377.34527	3441.88478	3395.41215	3497.07797	3583.80324
3500.0	5.0	3303.04140	3487.23416	3562.72935	3560.53340	3565.47814
3500.0	5.5	3248.93831	3468.32140	3554.11024	3567.52634	3575.33267
3500.0	6.0	3180.08002	3449.11962	3551.20095	3580.31930	3593.50765
3600.0	4.0	3432.35201	3531.89462	3492.79223	3583.94213	3665.47188
3600.0	4.5	3446.58470	3546.42702	3528.53603	3604.49696	3675.64556
3600.0	5.0	3410.70938	3591.67916	3670.61851	3659.79708	3658.68838
3600.0	5.5	3419.05244	3544.34226	3557.79679	3623.10286	3685.49648
3600.0	6.0	3302.69014	3552.65774	3652.31909	3674.61730	3680.78419
3700.0	4.0	3495.44627	3643.03471	3635.28683	3694.93138	3758.45234
3700.0	4.5	3514.75163	3651.86266	3661.78012	3712.53018	3767.34814
3700.0	5.0	3519.28389	3655.12540	3676.07504	3723.99110	3774.54158
3700.0	5.5	3505.04603	3649.48063	3680.99406	3729.78677	3778.50514
3700.0	6.0	3475.04395	3639.70078	3684.36336	3737.42023	3786.80342
3800.0	4.0	3564.05189	3760.74681	3778.56514	3809.80897	3856.15587
3800.0	4.5	3652.80803	3828.89356	3900.68374	3868.00911	3850.67251
3800.0	5.0	3594.92345	3760.09482	3802.75620	3832.11698	3867.79072
3800.0	5.5	3589.13448	3754.36382	3803.52509	3837.35118	3872.80908
3800.0	6.0	3568.47392	3745.57142	3803.68266	3844.24087	3881.11917
3900.0	4.0	3772.44944	3970.38632	4028.13002	3981.80262	3957.83417
3900.0	4.5	3758.94667	3943.73849	4009.26372	3974.22314	3953.82985
3900.0	5.0	3672.04191	3866.94778	3927.74548	3941.59893	3964.49748
