Teff	log(g)	T_BB_us	T_BB_gs	T_BB_rs	T_BB_is	T_BB_zs
2300.0	4.0	2120.25195	2253.19213	2041.85204	2456.81117	2538.37690
2300.0	4.5	2196.09818	2228.38292	2040.39272	2301.97398	2447.28822
2300.0	5.0	2094.90653	2248.18596	2086.90446	2344.87562	2474.02143
2300.0	5.5	2018.01049	2264.72650	2154.74230	2396.96709	2511.19570
2300.0	6.0	1992.79110	2257.98914	2189.93021	2428.71697	2556.66149
2400.0	4.0	2407.44532	2274.26896	2036.83571	2321.21175	2504.66248
2400.0	4.5	2147.17350	2367.77512	2202.21423	2575.43385	2661.64885
2400.0	5.0	2201.59852	2299.75314	2121.44699	2419.01339	2558.39547
2400.0	5.5	2093.50395	2322.47838	2185.75478	2460.21194	2587.54293
2400.0	6.0	2021.44261	2460.42973	2514.03104	2753.44632	2841.12171
2500.0	4.0	2335.67240	2473.97905	2278.80582	2622.22926	2707.27000
2500.0	4.5	2424.43784	2355.16360	2124.62294	2435.88554	2608.24537
2500.0	5.0	2150.51056	2433.98099	2310.71030	2665.63125	2760.99958
2500.0	5.5	2087.40102	2466.64230	2432.78047	2722.77710	2827.71836
2500.0	6.0	2091.20584	2377.35602	2275.11515	2562.36132	2699.31021
2600.0	4.0	2422.18920	2547.29688	2366.09161	2679.22828	2762.11170
2600.0	4.5	2336.86168	2538.80697	2389.14489	2706.81911	2790.99433
2600.0	5.0	2437.06151	2436.54088	2216.74805	2553.77151	2719.49570
2600.0	5.5	2316.23483	2411.10585	2231.22593	2574.25781	2736.97868
2600.0	6.0	2191.47130	2388.77582	2258.45036	2596.80243	2763.62840
2700.0	4.0	2706.61556	2590.10649	2364.96383	2646.44821	2798.13191
2700.0	4.5	2446.59178	2655.68763	2536.33456	2797.02119	2873.01698
2700.0	5.0	2356.53032	2646.65728	2569.07692	2824.65886	2908.86693
2700.0	5.5	2270.03131	2640.93634	2615.83404	2858.48873	2958.07108
2700.0	6.0	2192.67376	2643.22418	2681.79680	2901.77008	3019.12871
2800.0	4.0	2641.45307	2784.99233	2670.65422	2876.61300	2936.57130
2800.0	4.5	2558.67097	2772.15385	2685.99381	2891.77418	2953.65678
2800.0	5.0	2664.41049	2671.14179	2471.41341	2773.64664	2918.90583
2800.0	5.5	2559.66130	2639.57297	2457.89094	2780.43478	2932.71274
2800.0	6.0	2293.72886	2743.76287	2798.41380	2977.52116	3080.75986
2900.0	4.0	2895.25754	2809.65024	2612.96565	2866.08844	2997.57997
2900.0	4.5	2844.33499	2807.05068	2618.14845	2878.29800	3006.47838
2900.0	5.0	2584.29159	2872.99173	2847.72759	3006.57334	3059.46392
2900.0	5.5	2678.55160	2763.82900	2601.39750	2891.52650	3030.56567
2900.0	6.0	2555.86842	2723.02793	2588.29608	2893.72847	3045.20920
3000.0	4.0	2986.22246	2917.36501	2730.24145	2973.93002	3098.54727
3000.0	4.5	2785.91090	2996.59618	2961.82427	3085.49000	3117.22549
3000.0	5.0	2702.47514	2983.19595	2976.26545	3101.93872	3138.02961
3000.0	5.5	2793.69793	2887.25707	2747.29790	3003.45774	3126.21175
3000.0	6.0	2514.58714	2955.43250	3036.01468	3148.70994	3209.67809
3100.0	4.0	3073.10452	3023.73212	2844.20656	3080.94290	3200.16381
3100.0	4.5	2898.11407	3103.95141	3088.25684	3182.02667	3201.16482
3100.0	5.0	2820.50101	3088.38916	3095.93931	3194.44645	3214.70379
3100.0	5.5	2905.81089	3007.84455	2889.77514	3114.14676	3220.61279
3100.0	6.0	2803.91077	2976.41771	2884.96907	3117.07496	3233.12576
3200.0	4.0	3064.27929	3228.93882	3217.45271	3278.86059	3291.74719
3200.0	4.5	3127.99521	3141.53717	2999.57992	3204.69499	3304.87738
3200.0	5.0	3081.02309	3138.97174	3020.15445	3215.22363	3307.85562
3200.0	5.5	3014.27480	3125.13722	3028.24767	3223.37125	3314.25897
3200.0	6.0	2923.48979	3099.05096	3028.16260	3228.27161	3325.16660
3300.0	4.0	3164.65235	3335.66673	3343.38845	3379.82241	3383.86975
3300.0	4.5	3212.89026	3248.60604	3123.35700	3311.26930	3401.99040
3300.0	5.0	3055.43329	3296.34769	3324.16692	3383.46769	3383.24935
3300.0	5.5	2978.59164	3278.71832	3324.84872	3397.44449	3398.46117
3300.0	6.0	3038.19058	3216.68133	3164.60102	3336.93867	3416.79329
3400.0	4.0	3298.40495	3336.43167	3201.12255	3396.51057	3494.48778
3400.0	4.5	3222.95818	3419.49480	3448.85505	3476.01914	3470.05086
3400.0	5.0	3169.53718	3399.61664	3436.14971	3479.39510	3471.70710
3400.0	5.5	3102.00263	3381.57725	3430.42346	3490.99977	3484.05046
3400.0	6.0	3016.80983	3361.89036	3431.61292	3507.45382	3505.06471
3500.0	4.0	3361.53383	3441.40701	3336.23523	3501.25927	3584.48588
3500.0	4.5	3364.83303	3458.00444	3378.98457	3521.49238	3591.50915
3500.0	5.0	3280.33794	3502.41590	3546.82625	3575.63495	3563.53464
3500.0	5.5	3221.32229	3483.97527	3536.21577	3584.81924	3572.24836
3500.0	6.0	3146.07393	3464.82280	3531.57943	3599.70433	3590.40031
3600.0	4.0	3422.55672	3548.45130	3476.80809	3607.14748	3673.55445
3600.0	4.5	3434.62329	3562.51901	3512.31013	3626.55976	3681.81015
3600.0	5.0	3389.13652	3605.86116	3657.06899	3672.40244	3658.74657
3600.0	5.5	3401.18066	3560.58788	3539.72464	3645.38451	3689.48708
3600.0	6.0	3270.96748	3567.78771	3634.12046	3692.39695	3678.58660
3700.0	4.0	3485.67329	3659.65986	3619.44184	3715.32469	3764.95947
3700.0	4.5	3503.10545	3667.80468	3646.19365	3731.84001	3772.24182
3700.0	5.0	3505.16352	3670.80022	3660.01106	3743.31710	3778.41058
3700.0	5.5	3487.89284	3665.21906	3664.02686	3749.76539	3781.73769
3700.0	6.0	3454.30490	3655.79618	3666.07351	3758.67767	3789.68594
3800.0	4.0	3553.88603	3777.32150	3763.02265	3827.47521	3861.72183
3800.0	4.5	3635.60473	3840.16148	3895.35739	3872.36666	3851.69719
3800.0	5.0	3581.05234	3775.39862	3787.95769	3848.56659	3870.97722
3800.0	5.5	3572.46558	3769.65131	3787.82454	3854.78986	3875.50985
3800.0	6.0	3548.47343	3761.12745	3786.66985	3863.21749	3883.58081
3900.0	4.0	3755.49596	3980.55730	4024.70412	3983.75293	3960.03956
3900.0	4.5	3741.46763	3954.03217	4005.39314	3976.81582	3955.34585
3900.0	5.0	3658.02331	3881.88387	3914.22976	3955.39901	3967.34097
3900.0	5.5	3678.06586	3904.00841	3968.16790	3967.68619	3949.26291
3900.0	6.0	3640.13255	3866.14613	3906.98094	3967.92420	3979.10840
4000.0	4.0	3864.68205	4101.03717	4133.68619	4086.36015	4061.39398
4000.0	4.5	3850.78303	4073.03523	4116.95893	4082.53710	4060.70726
4000.0	5.0	3735.87584	3991.02387	4040.57158	4063.29477	4065.68120
4000.0	5.5	3793.35422	4017.05166	4078.48429	4069.09872	4050.77649
4000.0	6.0	3749.68425	3995.94114	4067.53246	4074.44070	4057.02409
4100.0	4.0	3806.79989	4165.63821	4206.25045	4181.38670	4169.72483
4100.0	4.5	3808.01638	4133.05905	4184.75163	4178.71960	4172.29764
4100.0	5.0	3817.31081	4106.68857	4169.27049	4175.44436	4169.97156
4100.0	5.5	3907.72379	4133.28910	4189.67063	4173.31144	4155.42695
4100.0	6.0	3866.49786	4109.98904	4178.96575	4175.92521	4158.64036
4200.0	4.0	4105.83787	4356.98012	4360.06731	4297.26416	4268.81226
4200.0	4.5	3902.41786	4263.40954	4322.62502	4295.97381	4279.64428
4200.0	5.0	3901.02398	4225.63936	4296.74952	4287.62669	4275.49782
4200.0	5.5	3910.73790	4204.15231	4282.14714	4286.19874	4276.03695
4200.0	6.0	3910.63121	4189.07223	4269.58525	4288.09023	4280.57424
4300.0	4.0	4023.71934	4426.07020	4471.77075	4411.92833	4384.18502
4300.0	4.5	4006.92228	4397.91882	4459.52979	4415.96217	4392.14321
4300.0	5.0	3994.47498	4357.17980	4433.01756	4409.09687	4390.93323
