Teff	log(g)	T_BB_u	T_BB_g	T_BB_r	T_BB_i	T_BB_z
2300.0	4.0	2125.08984	2242.62730	2051.16956	2462.19052	2543.46410
2300.0	4.5	2198.28972	2216.75002	2046.85338	2302.17905	2451.54838
2300.0	5.0	2092.43970	2240.65086	2092.54707	2345.02499	2478.30268
2300.0	5.5	2014.54807	2262.48535	2159.23539	2396.25661	2515.26395
2300.0	6.0	1991.03848	2259.66454	2194.39769	2427.92736	2560.43910
2400.0	4.0	2411.70714	2256.61570	2045.40813	2322.80232	2509.68258
2400.0	4.5	2150.35797	2360.67752	2208.00980	2580.12583	2666.13745
2400.0	5.0	2201.96210	2288.48480	2128.07017	2420.12404	2562.83770
2400.0	5.5	2088.54991	2317.73566	2190.66171	2461.00863	2591.65924
2400.0	6.0	1994.65487	2476.86972	2514.96931	2753.25859	2842.11520
2500.0	4.0	2340.21354	2465.44338	2283.80379	2626.70711	2712.11994
2500.0	4.5	2429.01269	2338.68225	2132.19759	2438.33397	2613.56322
2500.0	5.0	2150.95447	2429.97371	2315.14405	2669.90074	2765.20780
2500.0	5.5	2075.62019	2470.33195	2434.46772	2726.31876	2829.96487
2500.0	6.0	2085.14566	2376.11784	2279.51051	2563.62591	2702.77314
2600.0	4.0	2426.14932	2539.65656	2369.87003	2683.26579	2766.79165
2600.0	4.5	2340.93344	2532.79783	2392.62304	2710.69561	2795.46871
2600.0	5.0	2441.77598	2421.34699	2223.52496	2556.59149	2724.93284
2600.0	5.5	2318.93474	2398.63609	2237.20612	2576.78092	2742.01685
2600.0	6.0	2189.38624	2380.49031	2263.51778	2598.84772	2768.10266
2700.0	4.0	2708.65393	2575.03361	2370.13140	2649.39552	2803.43542
2700.0	4.5	2450.67655	2651.91954	2537.68591	2799.83006	2876.77941
2700.0	5.0	2359.63676	2645.53693	2570.05422	2827.32883	2912.13942
2700.0	5.5	2269.52517	2644.24140	2616.17413	2861.00606	2960.49407
2700.0	6.0	2184.10684	2653.25717	2681.20436	2903.75716	3020.18698
2800.0	4.0	2644.26836	2781.71868	2670.85364	2878.59836	2939.60422
2800.0	4.5	2562.35290	2770.59061	2685.86639	2893.57559	2956.52906
2800.0	5.0	2668.03555	2658.80501	2475.42878	2776.23613	2923.78224
2800.0	5.5	2564.11064	2628.26982	2462.08698	2782.81642	2937.27134
2800.0	6.0	2289.42376	2754.06356	2797.04735	2978.70880	3081.28882
2900.0	4.0	2896.55353	2797.02874	2616.16551	2868.87688	3002.17357
2900.0	4.5	2846.37694	2795.45418	2621.04463	2880.83068	3010.93066
2900.0	5.0	2588.11434	2875.44984	2846.40142	3007.46635	3061.20353
2900.0	5.5	2682.62305	2754.51747	2604.11273	2893.56643	3034.47899
2900.0	6.0	2560.05370	2715.39154	2591.15591	2895.56932	3048.56714
3000.0	4.0	2987.35409	2905.56543	2732.91965	2976.60926	3102.88891
3000.0	4.5	2788.97516	2997.89380	2960.34274	3086.08043	3118.75032
3000.0	5.0	2706.31547	2986.67161	2974.47650	3102.31343	3139.18509
3000.0	5.5	2797.22758	2879.81872	2748.85798	3005.17646	3129.39534
3000.0	6.0	2516.60615	2966.09108	3033.81660	3148.24816	3209.34123
3100.0	4.0	3074.18085	3012.61658	2846.52713	3083.54756	3204.25506
3100.0	4.5	2900.94206	3106.08804	3086.59319	3182.31918	3202.28456
3100.0	5.0	2824.18906	3092.55188	3093.94200	3194.45673	3215.47817
3100.0	5.5	2908.90399	3002.04523	2890.46712	3115.59617	3223.12102
3100.0	6.0	2807.83115	2972.73190	2885.48300	3118.29931	3235.01285
3200.0	4.0	3066.22406	3230.18280	3216.33869	3279.28296	3292.87948
3200.0	4.5	3129.51898	3133.44477	3000.71966	3206.67864	3307.93715
3200.0	5.0	3083.10774	3132.76260	3020.66547	3216.78254	3310.31399
