Teff	log(g)	T_BB_us	T_BB_gs	T_BB_rs	T_BB_is	T_BB_zs
2300.0	3.5	2358.2342672810137	2183.30578477677	1960.1103494918136	2218.444520144482	2369.7677004086063
2300.0	4.0	2271.0187168386333	2189.471998695394	1981.9698954146456	2256.1925406559467	2393.81302031846
2300.0	4.5	2163.0170929853025	2224.3201394830708	2048.781776721098	2312.4388179723915	2427.557321019494
2300.0	5.0	1922.355636762397	2338.291113457897	2270.049468512854	2580.9183278055616	2643.2053080036962
2300.0	5.5	1966.648244419515	2263.113364431761	2164.4959330205734	2403.5704218182022	2501.940469916503
2300.0	6.0	1883.6672795870145	2388.1444427921674	2453.1793002943145	2694.0922233326964	2786.402520068423
2400.0	3.5	2460.416446855469	2276.4579922760818	2036.3556404618084	2315.936941936265	2463.2631036294156
2400.0	4.0	2193.2211966777636	2353.8801232227793	2152.80234306236	2540.3252050879996	2607.2915348629467
2400.0	4.5	2106.981775641286	2367.005202022419	2217.4418136244035	2587.003773041157	2656.9499770450425
2400.0	5.0	2007.126197805752	2341.950882208612	2239.231198369757	2602.7079105076336	2686.5131160886167
2400.0	5.5	2045.6436930567472	2319.285751442993	2194.9272511999384	2468.0941374329004	2576.1581489372675
2400.0	6.0	1979.1031285989152	2319.329263195858	2244.4197618902776	2507.6783562605765	2620.849736365686
2500.0	3.5	2396.934392895436	2473.9064419105216	2266.518360768093	2603.1432929832567	2673.0352266159593
2500.0	4.0	2308.606663565788	2471.582033342518	2291.7591749925546	2632.5703908220444	2699.7046334290676
2500.0	4.5	2400.6152117096203	2350.9035639940757	2131.2456406846795	2447.8997214657807	2582.1363390775628
2500.0	5.0	2106.8371247087625	2432.887584307052	2327.196240384675	2676.9237974051125	2758.9382602151773
2500.0	5.5	2018.82899139797	2465.6313443854333	2452.4722005554186	2731.6580340029795	2832.4510720947414
2500.0	6.0	1964.3563809731143	2526.180832874661	2610.630781637051	2817.6704341520267	2914.333908910719
2600.0	3.5	2651.4834989319866	2483.538622450212	2258.6088620212186	2535.2970841035844	2664.1002382914103
2600.0	4.0	2595.1579795896932	2477.2164816737063	2246.910653085863	2546.14073718064	2674.6285305700794
2600.0	4.5	2308.259273099854	2537.0904057897956	2402.8483367335034	2716.5045336462813	2786.0112089905156
2600.0	5.0	2215.031320892752	2533.252539085564	2445.2339020867084	2751.6706650149968	2831.92653503005
2600.0	5.5	2119.5503879023786	2544.623979174029	2523.6460314661995	2798.0553010289227	2895.5753960750317
2600.0	6.0	2041.495506500801	2600.04319720265	2667.206325181309	2875.6088581941754	2992.309480287658
2700.0	3.5	2741.74938367985	2586.924346123841	2376.172883324952	2642.1387868140114	2763.5964452883495
2700.0	4.0	2693.9808438429945	2586.72214459777	2371.0727026445825	2655.848128378066	2775.8302779716487
2700.0	4.5	2623.575815020838	2572.8527712155774	2358.101133719727	2664.914707514145	2786.793981260439
2700.0	5.0	2325.972813035934	2644.855346296275	2584.425672803814	2833.156574240476	2909.152419111015
2700.0	5.5	2409.0226004992564	2512.895450397781	2333.0331692368536	2681.245824311412	2815.953241720708
2700.0	6.0	2277.254579794654	2480.151838027791	2345.343932635782	2694.6078778281812	2839.55283808057
2800.0	3.5	2699.911946596407	2796.0988555170848	2674.589856094334	2875.9498101291933	2928.361193760939
2800.0	4.0	2792.422010159234	2699.307904349592	2499.5733532209124	2768.15326977504	2880.1248749306815
2800.0	4.5	2537.1581882565574	2771.26921814448	2700.584991252611	2899.697310755357	2954.6882261987002
2800.0	5.0	2442.9843233745537	2758.988167821832	2727.568753245635	2921.5033723124216	2986.036786291519
2800.0	5.5	2534.6032549907554	2635.5477665141752	2465.8687757249354	2790.9546016829627	2918.7843259484744
2800.0	6.0	2255.7347555627384	2741.551103562375	2816.8941498583613	2983.0273783063426	3087.3131590307944
2900.0	3.5	2919.3139361504445	2790.6646969448075	2594.0420520413236	2852.699811675529	2967.3830283581833
2900.0	4.0	2735.451275505148	2898.4355735332683	2828.5828070476778	2982.668652191588	3023.429392145543
2900.0	4.5	2832.2816714277374	2804.552978002616	2626.1261013639755	2886.5577107113277	2991.473123255941
2900.0	5.0	2756.79287236694	2788.456819638074	2621.561162535146	2894.5932598321565	3003.5510785815313
2900.0	5.5	2462.2954240166405	2860.43728649173	2896.81893237123	3037.2577833167165	3102.146864606539
2900.0	6.0	2369.1001332312094	2850.890217733194	2943.6801004531017	3068.580848301211	3152.942570355003
3000.0	3.5	3003.565733249559	2892.7614341253584	2696.0790681407298	2958.7254714268415	3071.945427632277
3000.0	4.0	2844.464818230158	3011.685419425954	2969.6326878080986	3083.838741655276	3112.577085610432
3000.0	4.5	2769.4746022377044	2996.6199532210917	2976.8501621017326	3091.8530672423385	3121.1711801395786
3000.0	5.0	2866.8390970599944	2908.772919174062	2761.871730104889	3006.850327688201	3105.893785837425
3000.0	5.5	2582.581772379937	2968.0341478215505	3016.470709144709	3127.6717142282328	3175.171758046412
3000.0	6.0	2484.642092948349	2954.2690217046243	3052.6134457287403	3154.002062008778	3218.5382667388035
3100.0	3.5	3000.3443169402553	3137.320385855258	3100.40072815177	3186.6706658203925	3209.9412539690825
3100.0	4.0	2949.424698416926	3120.212651561499	3100.2702305650478	3182.442642635258	3202.100413917352
3100.0	4.5	3027.611256212713	3030.063492075976	2883.878383529033	3104.2911755565106	3194.7069166519764
3100.0	5.0	2800.8816925934184	3087.7202233762573	3109.9819686600254	3199.1588746006714	3219.878501304589
3100.0	5.5	2889.6757387678363	3005.449146893962	2900.664899917166	3121.7207577560976	3215.620761100801
3100.0	6.0	2605.986748853479	3056.806712466787	3156.0239593987617	3241.3131367329875	3285.555744213008
3200.0	3.5	3096.119954909688	3248.8618407943	3236.285769566196	3291.854853673113	3304.794225463797
3200.0	4.0	3147.803391405174	3128.666750766018	2968.6800752171075	3196.9369013149744	3291.1691223082903
3200.0	4.5	3119.1210473925858	3140.1987635798146	3009.2671402340297	3212.5052729478007	3297.4642858996417
3200.0	5.0	2920.7080506923417	3192.283004725541	3224.3775321802027	3292.9323965401277	3302.58160763856
3200.0	5.5	2832.298819454812	3175.921698300362	3234.589348217531	3309.38622045372	3323.78100168506
3200.0	6.0	2905.0956479514393	3096.734542669373	3041.03563052277	3235.2431881184375	3325.146105177692
3300.0	3.5	3189.3088122856793	3358.0445883635684	3366.9171045948538	3395.720457827876	3399.8699476114307
3300.0	4.0	3222.145851679883	3232.1487417385156	3086.5662324082696	3301.5660412470343	3389.4819965905313
3300.0	4.5	3103.9603713820507	3315.8224187587502	3343.9281486743507	3382.4402335978502	3382.3476093219533
3300.0	5.0	3039.250053186042	3296.7022124582554	3337.351999154856	3387.9613620421464	3388.6378412326035
3300.0	5.5	3105.782122380075	3237.724847955387	3174.123492341654	3337.854417259608	3408.605820872523
3300.0	6.0	3021.870698470065	3214.777655406523	3178.022141837577	3343.469008652056	3418.964628867996
3400.0	3.5	3280.76304277271	3464.346561812684	3489.229451560912	3496.9047939401876	3494.265811167055
3400.0	4.0	3290.3778379272435	3335.8855365570253	3212.102666859556	3405.8827463145535	3486.1813197138226
3400.0	4.5	3210.211066426339	3420.7929516360305	3460.843941578363	3481.271287852881	3473.954292686306
3400.0	5.0	3254.378644231207	3355.9907632866107	3287.652335437802	3435.176629251071	3496.973822759206
3400.0	5.5	3083.299259885821	3382.0407607104285	3444.4645155513886	3495.113371897356	3490.2977034158234
3400.0	6.0	2993.847746653228	3361.73200846433	3447.1679582807183	3511.4854381486134	3512.552310948476
3500.0	3.5	3329.2687881566626	3411.175812657627	3281.509556326856	3479.580790534516	3560.018035338946
3500.0	4.0	3349.463718227925	3547.195529410719	3592.2180214829687	3586.3817032473826	3575.37429193645
3500.0	4.5	3314.3367410209885	3525.4263096850664	3575.1355051247856	3580.4095331498	3568.7928990696364
3500.0	5.0	3338.3674239485745	3462.2241798068344	3415.7776369751045	3540.55491304697	3592.949458279645
3500.0	5.5	3203.682169753953	3485.0223482112674	3549.972619405757	3589.103316753014	3577.9747477944065
3500.0	6.0	3240.2155277474744	3439.5251578805523	3434.5066579533254	3554.8827691045253	3602.615700805575
3600.0	3.5	3383.9240972815073	3529.6128967191326	3439.4904487752547	3591.067977839322	3653.9996965177775
3600.0	4.0	3444.756143520044	3652.020036939368	3704.324859867621	3686.021268366041	3669.5627438963447
3600.0	4.5	3416.1441125015435	3629.5619741761084	3686.009202812676	3678.8457801734694	3663.122943570757
3600.0	5.0	3417.8551068956203	3567.3219924536975	3544.4674190298024	3645.2952044187587	3686.193481782734
3600.0	5.5	3320.317080276519	3588.57828787435	3656.636805621005	3684.044412914699	3669.860694413329
3600.0	6.0	3251.030117238149	3568.957961374436	3648.5629073865093	3696.590472128041	3684.805366592694
3700.0	3.5	3445.831801519236	3658.6134653599506	3605.0114922257394	3709.3356557461443	3753.1947702954108
3700.0	4.0	3474.4116341788895	3661.6782792135664	3632.5639560349537	3724.558170763833	3763.463972894099
3700.0	4.5	3492.820037897327	3669.5825029453863	3658.891061314366	3739.5871048725453	3772.567485820255
3700.0	5.0	3483.1057822006173	3713.2367752796163	3777.8671081814723	3774.7142115987576	3756.7468673888247
3700.0	5.5	3433.45581986405	3691.6793818262404	3762.106206406565	3778.1383591769454	3762.074412178045
3700.0	6.0	3441.374518605126	3656.514454493118	3679.8787513625552	3764.375122082407	3792.225713627218
3800.0	3.5	3516.761923874572	3791.618555722505	3769.8858365419405	3828.1271159733647	3853.176110715957
3800.0	4.0	3639.1941573151435	3873.5316963419973	3928.2778256867905	3890.126112967349	3864.324206486887
3800.0	4.5	3561.1795556488696	3777.9366831003704	3791.578896805747	3846.261513116557	3866.9760308943555
3800.0	5.0	3569.9425117254136	3777.5839212312494	3800.6278946482244	3855.1349496483986	3873.2855694751806
3800.0	5.5	3560.80189935633	3771.4592999440515	3800.8864106936976	3860.6245046252	3878.228762742539
3800.0	6.0	3497.372657283441	3781.3024928953882	3861.968513428202	3885.895564810339	3870.3876670449145
3900.0	3.5	3592.4441569996575	3928.0270054439584	3936.945740660391	3949.4761049190656	3953.324895118273
3900.0	4.0	3610.2004482001885	3904.5190208190184	3924.70787032668	3950.4192362325925	3958.804730456697
3900.0	4.5	3631.053146552137	3891.1970555262083	3925.487354043947	3955.8331723993524	3964.0998172387003
3900.0	5.0	3645.737462146279	3884.97301619327	3926.617908513451	3962.097877175013	3970.324762504847
3900.0	5.5	3663.277317295396	3907.832472057353	3978.066231233337	3972.6372852653753	3953.945979617416
3900.0	6.0	3614.828434898275	3889.62022230494	3969.9662039528275	3982.360277892747	3965.5547870871887
4000.0	3.5	3682.493631915425	4061.950814447382	4088.7343978450235	4066.7817427372966	4054.941458868093
4000.0	4.0	3691.5988875812022	4036.828429369585	4072.6582139854327	4069.464150694194	4063.541793138741
4000.0	4.5	3832.9327104790927	4080.228961361451	4125.70781511364	4089.5569565826763	4064.6229795160825
4000.0	5.0	3721.952931972665	3995.385811870811	4052.61740967135	4070.366326548908	4068.984262614721
4000.0	5.5	3778.8983382548386	4021.938044524214	4087.3442258553746	4074.5004369897856	4055.5547098784814
4000.0	6.0	3733.6708087437755	4000.178515028651	4077.718435505291	4079.5645648940804	4062.208758182158
4100.0	3.5	3783.223166990649	4193.741337606476	4229.733142236717	4184.467157070685	4161.524749332526
4100.0	4.0	3783.7909205710175	4173.704843883278	4219.594746000016	4190.940470645435	4171.928040186624
4100.0	4.5	3787.5009863659525	4139.995518916644	4197.707912023465	4187.494946627951	4174.6065231746115
4100.0	5.0	3925.1203252084188	4172.135558974091	4217.732237310177	4188.180679752372	4166.367408255192
4100.0	5.5	3809.5658029731967	4095.1378397567155	4168.032802543061	4182.040865114875	4175.448077541728
4100.0	6.0	3850.8713835522963	4115.281961767387	4188.0443805186505	4181.51439344971	4163.879655221227
4200.0	3.5	4099.52782944355	4383.632029359468	4362.342058279404	4282.204619719468	4244.21403317374
4200.0	4.0	3885.6236390136496	4307.117932608999	4356.15422079719	4307.410852564364	4278.549355589903
4200.0	4.5	4048.5573369789536	4337.39398196848	4359.580357993469	4310.553500101043	4281.532776961555
4200.0	5.0	3881.497913858062	4233.121116888654	4308.43181666903	4295.777141796335	4278.200981248489
4200.0	5.5	4005.024732767159	4260.215839274028	4310.1312561785535	4286.474786743766	4266.911416242027
4200.0	6.0	3895.9229680316203	4194.564395618417	4280.458032681287	4294.6707464570345	4285.297600963533
