Teff	log(g)	T_BB_us	T_BB_gs	T_BB_rs	T_BB_is	T_BB_zs
2300.0	4.0	2271.01872	2189.47200	1981.96990	2256.19254	2393.81302
2300.0	4.5	2163.01709	2224.32014	2048.78178	2312.43882	2427.55732
2300.0	5.0	1922.35564	2338.29111	2270.04947	2580.91833	2643.20531
2300.0	5.5	1966.64824	2263.11336	2164.49593	2403.57042	2501.94047
2300.0	6.0	1883.66728	2388.14444	2453.17930	2694.09222	2786.40252
2400.0	4.0	2193.22120	2353.88012	2152.80234	2540.32521	2607.29153
2400.0	4.5	2106.98178	2367.00520	2217.44181	2587.00377	2656.94998
2400.0	5.0	2007.12620	2341.95088	2239.23120	2602.70791	2686.51312
2400.0	5.5	2045.64369	2319.28575	2194.92725	2468.09414	2576.15815
2400.0	6.0	1979.10313	2319.32926	2244.41976	2507.67836	2620.84974
2500.0	4.0	2308.60666	2471.58203	2291.75917	2632.57039	2699.70463
2500.0	4.5	2400.61521	2350.90356	2131.24564	2447.89972	2582.13634
2500.0	5.0	2106.83712	2432.88758	2327.19624	2676.92380	2758.93826
2500.0	5.5	2018.82899	2465.63134	2452.47220	2731.65803	2832.45107
2500.0	6.0	1964.35638	2526.18083	2610.63078	2817.67043	2914.33391
2600.0	4.0	2595.15798	2477.21648	2246.91065	2546.14074	2674.62853
2600.0	4.5	2308.25927	2537.09041	2402.84834	2716.50453	2786.01121
2600.0	5.0	2215.03132	2533.25254	2445.23390	2751.67067	2831.92654
2600.0	5.5	2119.55039	2544.62398	2523.64603	2798.05530	2895.57540
2600.0	6.0	2041.49551	2600.04320	2667.20633	2875.60886	2992.30948
2700.0	4.0	2693.98084	2586.72214	2371.07270	2655.84813	2775.83028
2700.0	4.5	2623.57582	2572.85277	2358.10113	2664.91471	2786.79398
2700.0	5.0	2325.97281	2644.85535	2584.42567	2833.15657	2909.15242
2700.0	5.5	2409.02260	2512.89545	2333.03317	2681.24582	2815.95324
2700.0	6.0	2277.25458	2480.15184	2345.34393	2694.60788	2839.55284
2800.0	4.0	2792.42201	2699.30790	2499.57335	2768.15327	2880.12487
2800.0	4.5	2537.15819	2771.26922	2700.58499	2899.69731	2954.68823
2800.0	5.0	2442.98432	2758.98817	2727.56875	2921.50337	2986.03679
2800.0	5.5	2534.60325	2635.54777	2465.86878	2790.95460	2918.78433
2800.0	6.0	2255.73476	2741.55110	2816.89415	2983.02738	3087.31316
2900.0	4.0	2735.45128	2898.43557	2828.58281	2982.66865	3023.42939
2900.0	4.5	2832.28167	2804.55298	2626.12610	2886.55771	2991.47312
2900.0	5.0	2756.79287	2788.45682	2621.56116	2894.59326	3003.55108
2900.0	5.5	2462.29542	2860.43729	2896.81893	3037.25778	3102.14686
2900.0	6.0	2369.10013	2850.89022	2943.68010	3068.58085	3152.94257
3000.0	4.0	2844.46482	3011.68542	2969.63269	3083.83874	3112.57709
3000.0	4.5	2769.47460	2996.61995	2976.85016	3091.85307	3121.17118
3000.0	5.0	2866.83910	2908.77292	2761.87173	3006.85033	3105.89379
3000.0	5.5	2582.58177	2968.03415	3016.47071	3127.67171	3175.17176
3000.0	6.0	2484.64209	2954.26902	3052.61345	3154.00206	3218.53827
3100.0	4.0	2949.42470	3120.21265	3100.27023	3182.44264	3202.10041
3100.0	4.5	3027.61126	3030.06349	2883.87838	3104.29118	3194.70692
3100.0	5.0	2800.88169	3087.72022	3109.98197	3199.15887	3219.87850
3100.0	5.5	2889.67574	3005.44915	2900.66490	3121.72076	3215.62076
3100.0	6.0	2605.98675	3056.80671	3156.02396	3241.31314	3285.55574
3200.0	4.0	3147.80339	3128.66675	2968.68008	3196.93690	3291.16912
3200.0	4.5	3119.12105	3140.19876	3009.26714	3212.50527	3297.46429
3200.0	5.0	2920.70805	3192.28300	3224.37753	3292.93240	3302.58161
3200.0	5.5	2832.29882	3175.92170	3234.58935	3309.38622	3323.78100
3200.0	6.0	2905.09565	3096.73454	3041.03563	3235.24319	3325.14611
3300.0	4.0	3222.14585	3232.14874	3086.56623	3301.56604	3389.48200
3300.0	4.5	3103.96037	3315.82242	3343.92815	3382.44023	3382.34761
3300.0	5.0	3039.25005	3296.70221	3337.35200	3387.96136	3388.63784
3300.0	5.5	3105.78212	3237.72485	3174.12349	3337.85442	3408.60582
3300.0	6.0	3021.87070	3214.77766	3178.02214	3343.46901	3418.96463
3400.0	4.0	3290.37784	3335.88554	3212.10267	3405.88275	3486.18132
3400.0	4.5	3210.21107	3420.79295	3460.84394	3481.27129	3473.95429
3400.0	5.0	3254.37864	3355.99076	3287.65234	3435.17663	3496.97382
3400.0	5.5	3083.29926	3382.04076	3444.46452	3495.11337	3490.29770
3400.0	6.0	2993.84775	3361.73201	3447.16796	3511.48544	3512.55231
3500.0	4.0	3349.46372	3547.19553	3592.21802	3586.38170	3575.37429
3500.0	4.5	3314.33674	3525.42631	3575.13551	3580.40953	3568.79290
3500.0	5.0	3338.36742	3462.22418	3415.77764	3540.55491	3592.94946
3500.0	5.5	3203.68217	3485.02235	3549.97262	3589.10332	3577.97475
3500.0	6.0	3240.21553	3439.52516	3434.50666	3554.88277	3602.61570
3600.0	4.0	3444.75614	3652.02004	3704.32486	3686.02127	3669.56274
3600.0	4.5	3416.14411	3629.56197	3686.00920	3678.84578	3663.12294
3600.0	5.0	3417.85511	3567.32199	3544.46742	3645.29520	3686.19348
3600.0	5.5	3320.31708	3588.57829	3656.63681	3684.04441	3669.86069
3600.0	6.0	3251.03012	3568.95796	3648.56291	3696.59047	3684.80537
3700.0	4.0	3474.41163	3661.67828	3632.56396	3724.55817	3763.46397
3700.0	4.5	3492.82004	3669.58250	3658.89106	3739.58710	3772.56749
3700.0	5.0	3483.10578	3713.23678	3777.86711	3774.71421	3756.74687
3700.0	5.5	3433.45582	3691.67938	3762.10621	3778.13836	3762.07441
3700.0	6.0	3441.37452	3656.51445	3679.87875	3764.37512	3792.22571
3800.0	4.0	3639.19416	3873.53170	3928.27783	3890.12611	3864.32421
3800.0	4.5	3561.17956	3777.93668	3791.57890	3846.26151	3866.97603
3800.0	5.0	3569.94251	3777.58392	3800.62789	3855.13495	3873.28557
3800.0	5.5	3560.80190	3771.45930	3800.88641	3860.62450	3878.22876
3800.0	6.0	3497.37266	3781.30249	3861.96851	3885.89556	3870.38767
