Teff	log(g)	T_BB_u	T_BB_g	T_BB_r	T_BB_i	T_BB_z
2300.0	4.0	2322.50949	2186.18337	1982.45679	2215.43214	2389.95059
2300.0	4.5	2227.58692	2220.34209	2049.60780	2273.82158	2425.18959
2300.0	5.0	2006.76884	2324.18494	2276.95744	2546.94637	2644.00357
2300.0	5.5	2036.93050	2254.94492	2165.79785	2370.72039	2499.41922
2300.0	6.0	1947.57240	2383.77176	2461.39737	2666.01618	2785.30475
2400.0	4.0	2256.04820	2336.96376	2163.31823	2501.78117	2610.51079
2400.0	4.5	2181.64865	2345.41125	2228.84702	2547.20235	2660.62585
2400.0	5.0	2091.91494	2322.00696	2250.29415	2563.87303	2688.65061
2400.0	5.5	2127.87007	2310.66614	2198.71025	2431.47706	2574.58820
2400.0	6.0	2046.07917	2313.06758	2248.60064	2474.95348	2619.01972
2500.0	4.0	2367.01967	2452.72848	2303.96659	2594.99974	2703.66931
2500.0	4.5	2452.09134	2343.65992	2136.55311	2407.90276	2579.54473
2500.0	5.0	2187.92563	2411.89746	2341.00282	2635.57369	2763.81711
2500.0	5.5	2114.66917	2448.88990	2465.96113	2694.37248	2835.58637
2500.0	6.0	2061.05208	2519.92973	2622.21649	2789.76803	2915.35693
2600.0	4.0	2631.12283	2471.68957	2252.28812	2509.91120	2671.57800
2600.0	4.5	2372.08921	2515.96822	2416.84430	2678.21559	2791.23180
2600.0	5.0	2290.45369	2511.52273	2460.84847	2711.55051	2837.66787
2600.0	5.5	2209.92903	2526.29191	2540.00598	2757.88493	2900.57973
2600.0	6.0	2149.59941	2588.61972	2683.75124	2839.37112	2994.08054
2700.0	4.0	2726.18169	2579.52602	2376.20053	2620.81813	2773.15032
2700.0	4.5	2663.85818	2563.21073	2365.22118	2627.03782	2785.44252
2700.0	5.0	2396.46814	2623.35003	2600.41352	2795.23302	2914.50996
2700.0	5.5	2475.33378	2498.31870	2343.23712	2637.29001	2816.08015
2700.0	6.0	2355.41656	2464.29358	2356.12375	2650.22890	2839.03503
2800.0	4.0	2820.82675	2689.79812	2503.40474	2732.64067	2876.64079
2800.0	4.5	2589.88736	2749.43118	2712.35479	2865.65210	2957.99285
2800.0	5.0	2506.56719	2737.58499	2742.53149	2886.38150	2990.40787
2800.0	5.5	2593.06905	2620.10383	2478.45763	2747.32878	2918.99179
2900.0	4.0	2773.97831	2878.60031	2837.16081	2954.37379	3025.67485
2900.0	4.5	2864.80071	2792.58421	2632.58092	2851.37217	2990.58036
2900.0	5.0	2797.66627	2774.40201	2630.21142	2856.68788	3003.78707
2900.0	5.5	2534.19544	2841.23036	2911.51070	3005.29485	3105.95792
2900.0	6.0	2451.56296	2836.49898	2958.97470	3037.56266	3155.30130
3000.0	4.0	2879.17012	2991.32117	2975.63973	3057.04479	3113.11662
3000.0	4.5	2813.16169	2975.86742	2985.39482	3064.15011	3122.64337
3000.0	5.5	2649.63726	2948.62436	3028.69249	3097.66914	3176.77627
3000.0	6.0	2563.45941	2938.84861	3065.80428	3124.48679	3218.80453
3100.0	4.0	2982.25303	3101.35526	3107.24181	3159.42679	3203.09516
3100.0	4.5	3055.24401	3016.55728	2890.14443	3070.89023	3193.32563
3100.0	5.0	2851.78708	3068.51735	3119.89198	3174.08305	3221.83977
3100.0	5.5	2932.12623	2988.89638	2910.50081	3085.12387	3215.43917
3100.0	6.0	2681.17452	3040.99514	3167.00355	3214.72127	3285.77536
3200.0	4.0	3169.78905	3115.63945	2973.96479	3162.44722	3288.74704
3200.0	4.5	3145.18792	3126.06743	3015.58084	3179.65241	3295.68761
3200.0	5.0	2967.78249	3173.90902	3232.88298	3270.23958	3303.22559
3200.0	5.5	2890.62626	3158.00921	3243.80241	3285.67344	3324.38988
3200.0	6.0	2953.97574	3079.46882	3051.44779	3199.25810	3324.03422
3300.0	4.0	3243.61073	3218.08595	3092.29600	3267.09889	3387.04386
3300.0	4.5	3140.06760	3298.13465	3350.27744	3362.97738	3382.17449
3300.0	5.0	3083.14362	3278.96449	3344.46929	3367.41502	3388.64829
3300.0	5.5	3142.09669	3221.29178	3182.26819	3306.22137	3407.18571
3300.0	6.0	3066.77719	3197.78241	3187.03494	3310.20560	3417.06874
3400.0	4.0	3311.88712	3320.63862	3217.93708	3372.18785	3483.37935
3400.0	4.5	3245.18564	3403.65633	3465.89156	3463.96776	3473.00799
3400.0	5.0	3283.11397	3340.02466	3294.34109	3405.56328	3494.76369
3400.0	5.5	3133.84583	3365.03640	3450.38039	3475.07508	3489.16847
3400.0	6.0	3056.03575	3345.70879	3452.84360	3489.85711	3510.40042
3500.0	4.0	3380.03789	3530.17101	3594.61379	3572.60303	3573.50693
3500.0	4.5	3348.83064	3508.69407	3578.38822	3565.47426	3566.72586
3500.0	5.0	3366.47622	3445.89675	3421.69078	3512.82243	3589.85989
3500.0	5.5	3251.57960	3468.32140	3554.48924	3570.57501	3576.17206
3500.0	6.0	3279.81419	3422.86796	3441.21812	3526.25885	3599.56347
3600.0	4.0	3476.80875	3635.16456	3704.49141	3674.85178	3666.96853
3600.0	4.5	3450.66529	3613.15116	3687.07046	3666.68502	3660.20048
3600.0	5.0	3445.76729	3550.65016	3549.23735	3619.97754	3682.62764
3600.0	5.5	3366.27580	3572.16897	3659.80672	3667.48364	3667.18916
3600.0	6.0	3305.63996	3552.65774	3652.34482	3677.56898	3681.60389
3700.0	4.0	3500.38776	3643.03471	3636.16625	3698.88012	3759.76985
3700.0	4.5	3518.87372	3651.86266	3662.25896	3716.19700	3768.48062
3700.0	5.0	3521.43003	3697.27002	3777.93722	3763.61540	3753.29430
3700.0	5.5	3477.70205	3675.46660	3763.76177	3763.91545	3758.54865
3700.0	6.0	3478.38372	3639.70078	3684.38192	3740.24457	3787.66159
3800.0	4.0	3677.57651	3856.85741	3924.19171	3884.04067	3860.70145
3800.0	4.5	3589.54369	3759.50309	3793.68292	3825.75039	3862.57355
3800.0	5.0	3599.16140	3760.09482	3802.86826	3835.45012	3868.86687
3800.0	5.5	3592.96807	3754.36382	3803.57519	3840.34188	3873.78248
3800.0	6.0	3546.40946	3765.26290	3863.19068	3871.37740	3865.86189
3900.0	4.0	3645.30527	3883.99995	3925.57548	3931.52481	3954.71059
3900.0	4.5	3663.17292	3871.97306	3926.26365	3938.10829	3959.53045
3900.0	5.0	3677.05149	3866.94778	3927.74789	3944.97332	3965.65393
3900.0	5.5	3704.56646	3892.29411	3976.02833	3964.17200	3949.41670
3900.0	6.0	3662.16836	3873.65841	3969.82141	3970.38484	3960.60674
4000.0	4.0	3732.86999	4015.33621	4072.11617	4054.06996	4059.30074
4000.0	4.5	3877.02325	4063.84511	4120.16491	4085.19550	4060.04858
4000.0	5.0	3756.52648	3976.52421	4052.52194	4055.64460	4064.17666
4000.0	5.5	3819.74528	4006.49131	4084.02392	4068.09947	4050.62330
4000.0	6.0	3779.09140	3984.33322	4075.98600	4070.19794	4056.85091
4100.0	4.0	3831.59663	4151.24078	4217.69236	4179.10333	4167.41642
4100.0	4.5	3832.36103	4118.45741	4196.43953	4174.33425	4170.15189
4100.0	5.0	3968.52384	4156.03763	4212.50586	4183.98301	4161.54184
4100.0	5.5	3847.08328	4076.35359	4167.57750	4168.79058	4170.19243
4100.0	6.0	3895.58571	4099.42391	4185.21601	4174.22978	4158.18981
4200.0	4.0	3938.91928	4284.31065	4352.92877	4299.03247	4273.82976
4200.0	4.5	4108.86366	4319.05065	4353.56083	4306.72880	4276.84791
4200.0	5.0	3927.68201	4212.00182	4306.45772	4284.82640	4273.57821
4200.0	5.5	4048.91032	4244.01214	4305.30137	4281.93445	4261.73316
4200.0	6.0	3936.69498	4175.75153	4279.75886	4282.13528	4279.21450
4300.0	4.0	4054.38544	4414.70489	4479.23618	4416.05432	4381.82513
4300.0	4.5	4235.81597	4451.31535	4471.70067	4417.12181	4384.32810
4300.0	5.0	4025.61197	4343.98593	4442.11713	4408.43926	4388.55126
4300.0	5.5	4167.92779	4372.52314	4425.36665	4396.66135	4374.09953
4300.0	6.0	4129.27470	4337.11429	4406.30320	4386.57597	4366.93157
4400.0	4.0	4174.57970	4544.92100	4600.63860	4531.44246	4491.92489
4400.0	4.5	4159.22371	4522.40052	4599.75060	4537.88593	4501.25947
4400.0	5.0	4134.13080	4478.38024	4575.42178	4529.64332	4500.34297
4400.0	5.5	4121.87924	4437.27493	4547.37081	4519.15482	4497.56217
4400.0	6.0	4247.98947	4463.40316	4524.02095	4499.55114	4477.94907
4500.0	4.0	4538.78168	4729.68633	4692.62502	4613.45319	4572.20387
4500.0	4.5	4280.29820	4652.87873	4719.91495	4651.97644	4610.56654
4500.0	5.0	4247.80195	4614.89455	4707.95056	4652.30163	4615.96341
4500.0	5.5	4225.13622	4571.79964	4682.66439	4644.27018	4615.63659
4500.0	6.0	4217.07089	4532.47862	4653.33110	4631.53896	4609.80290
4600.0	4.0	4670.61064	4851.18684	4801.63258	4721.46351	4680.28538
4600.0	4.5	4401.59390	4780.24066	4836.20170	4764.66667	4720.70687
