Teff	log(g)	T_BB_us	T_BB_gs	T_BB_rs	T_BB_is	T_BB_zs
2300.0	4.0	2298.11592	2193.36875	1978.03612	2244.52225	2419.80250
2300.0	4.5	2197.53731	2226.95343	2043.79212	2301.99529	2446.34785
2300.0	5.0	2003.41743	2340.66381	2257.69724	2570.80021	2639.25921
2300.0	5.5	2015.35084	2265.17562	2157.67432	2396.38220	2511.32446
2300.0	6.0	1991.65347	2389.49313	2438.34167	2688.69891	2774.11098
2400.0	4.0	2224.85891	2355.54070	2141.77338	2527.52744	2614.74509
2400.0	4.5	2148.72590	2367.98624	2204.42892	2574.59899	2659.62807
2400.0	5.0	2065.42566	2342.24555	2225.68295	2590.11069	2685.93690
2400.0	5.5	2090.52100	2321.65969	2187.63557	2458.89459	2586.58597
2400.0	6.0	2029.09390	2321.20692	2236.53928	2500.48423	2626.88352
2500.0	4.0	2335.90013	2473.33187	2279.03358	2620.85890	2704.40833
2500.0	4.5	2425.57574	2354.81586	2125.25994	2434.86034	2605.27944
2500.0	5.0	2151.52989	2433.33883	2312.24544	2664.50542	2757.72376
2500.0	5.5	2085.96268	2465.77106	2435.57308	2721.15354	2824.77876
2500.0	6.0	2056.79869	2527.61217	2594.06602	2811.93664	2901.97219
2600.0	4.0	2610.16793	2480.82048	2241.04774	2534.50422	2697.19267
2600.0	4.5	2337.36404	2538.50045	2388.56373	2705.05804	2787.09810
2600.0	5.0	2251.02311	2534.00138	2429.14037	2740.04615	2829.36671
2600.0	5.5	2168.67931	2544.79253	2505.77471	2787.21416	2888.45143
2600.0	6.0	2115.79668	2600.27954	2648.66760	2867.74368	2980.75174
2700.0	4.0	2706.38900	2589.95813	2364.61289	2645.14107	2795.10920
2700.0	4.5	2640.60896	2576.17375	2350.50539	2653.44457	2804.58426
2700.0	5.0	2357.26295	2645.88787	2567.71571	2822.87540	2904.63158
2700.0	5.5	2438.65283	2515.82617	2323.22838	2668.41488	2829.60877
2700.0	6.0	2309.70723	2482.29966	2334.90375	2682.13162	2849.76785
2800.0	4.0	2802.86351	2702.17324	2492.64316	2758.22805	2896.28428
2800.0	4.5	2559.29843	2772.70994	2685.38692	2891.35128	2950.73714
2800.0	5.0	2470.09908	2760.13386	2710.83207	2912.83056	2979.38048
2800.0	5.5	2560.12339	2638.31984	2455.07148	2779.22021	2929.14217
2900.0	4.0	2749.89756	2899.65650	2814.83104	2975.73115	3020.30049
2900.0	4.5	2844.24794	2807.09932	2617.45433	2877.04508	3002.79251
2900.0	5.0	2773.09234	2791.05903	2611.52064	2884.69880	3012.81856
2900.0	5.5	2491.30220	2861.19634	2878.97323	3029.74271	3092.03481
2900.0	6.0	2400.93242	2851.23196	2924.82152	3061.49491	3141.67208
3000.0	4.0	2857.13030	3012.44983	2956.14181	3077.67609	3108.30657
3000.0	4.5	2786.40080	2997.43776	2962.07356	3085.60501	3114.76326
3000.0	5.5	2609.29866	2968.63489	2999.19431	3121.20384	3164.50122
3000.0	6.0	2514.20256	2954.51933	3034.37334	3147.85439	3206.86367
3100.0	4.0	2960.98284	3120.47078	3087.18144	3176.77627	3196.91583
3100.0	4.5	3037.04511	3031.77845	2874.23573	3095.83204	3201.18290
3100.0	5.0	2820.49685	3088.09833	3094.48822	3193.44367	3211.13963
3100.0	5.5	2905.84233	3007.24350	2888.23471	3113.20064	3217.09346
3100.0	6.0	2633.95759	3056.82435	3138.43679	3235.88245	3273.95428
3200.0	4.0	3155.17194	3130.16561	2959.48727	3188.14247	3299.10659
3200.0	4.5	3127.95102	3141.49116	2999.09335	3204.32253	3301.92197
3200.0	5.0	2938.39691	3192.16558	3209.51589	3287.62929	3293.92156
3200.0	5.5	2854.57000	3175.78546	3218.63131	3304.13135	3313.70511
3200.0	6.0	2923.42187	3098.05288	3026.87685	3227.21561	3322.28688
3300.0	4.0	3229.49629	3233.28431	3076.69197	3292.88083	3396.01593
3300.0	4.5	3116.94753	3315.06049	3330.94717	3377.32940	3375.43322
3300.0	5.0	3055.42670	3296.03479	3323.19051	3382.88824	3380.29513
3300.0	5.5	3118.66448	3238.50896	3161.23320	3330.45122	3406.26793
3300.0	6.0	3038.18908	3215.60957	3163.78764	3336.03866	3414.36636
3400.0	4.0	3297.91122	3336.58797	3201.63539	3397.39556	3491.65001
3400.0	4.5	3222.76311	3419.46175	3448.71046	3476.24527	3467.44388
3400.0	5.0	3264.31918	3356.23188	3275.69089	3427.82629	3496.80513
3400.0	5.5	3101.98658	3380.87082	3429.85402	3490.17703	3481.40427
3400.0	6.0	3016.81656	3360.54984	3431.41288	3506.70821	3502.80680
3500.0	4.0	3360.15071	3545.14977	3582.51648	3581.28047	3570.48848
3500.0	4.5	3326.70000	3523.50955	3564.04087	3575.39440	3563.15958
3500.0	5.0	3348.14115	3461.89974	3403.66700	3533.38005	3592.49566
3500.0	5.5	3221.24345	3483.30520	3536.11754	3584.14109	3569.80654
3500.0	6.0	3254.02942	3439.20041	3420.44748	3548.10318	3597.49257
3600.0	4.0	3455.86740	3649.33279	3695.77981	3680.90939	3664.30689
3600.0	4.5	3428.44916	3627.04063	3676.16744	3673.80250	3657.54449
3600.0	5.0	3427.64089	3566.38644	3532.39098	3638.29262	3684.32606
3600.0	5.5	3337.10006	3586.30328	3643.69188	3678.99724	3662.80769
3600.0	6.0	3270.92075	3566.74730	3634.22498	3691.58465	3676.64708
3700.0	4.0	3483.58615	3660.57818	3621.28572	3717.01579	3762.80117
3700.0	4.5	3502.09124	3668.15040	3647.47814	3732.46505	3770.41809
3700.0	5.0	3496.78009	3710.22091	3767.95002	3769.60157	3750.69659
3700.0	5.5	3449.47206	3688.83064	3750.37615	3772.97714	3755.84801
3700.0	6.0	3454.20361	3654.90128	3666.44492	3757.89242	3787.85708
3800.0	4.0	3651.76429	3869.36197	3921.82047	3884.90644	3858.68723
3800.0	4.5	3571.31062	3775.86161	3780.36033	3839.27422	3863.69441
3800.0	5.0	3580.32582	3775.31384	3789.18327	3848.42746	3869.14240
3800.0	5.5	3572.10528	3769.16018	3788.80734	3854.07895	3873.56775
3800.0	6.0	3514.93822	3777.95022	3849.91933	3880.52842	3863.86738
3900.0	4.0	3622.25869	3901.98168	3913.71375	3943.29019	3955.63570
3900.0	4.5	3642.39391	3888.41244	3914.64245	3948.96504	3959.95028
3900.0	5.0	3656.94249	3882.01595	3915.60247	3955.43306	3965.44902
3900.0	5.5	3677.58170	3903.66748	3969.28759	3967.17594	3947.39576
3900.0	6.0	3631.63458	3885.66832	3959.27910	3976.80300	3958.90117
4000.0	4.0	3705.78419	4033.43430	4062.05440	4062.46481	4059.58064
4000.0	4.5	3846.99492	4074.78586	4119.44259	4083.97203	4058.51255
4000.0	5.0	3734.20910	3991.71041	4042.18118	4063.71903	4063.57960
4000.0	5.5	3792.65839	4017.03819	4079.62952	4068.85438	4048.85993
4000.0	6.0	3749.36264	3995.54164	4068.47277	4073.82138	4055.41996
4100.0	4.0	3800.48697	4169.31490	4209.57639	4184.04932	4167.37398
4100.0	4.5	3803.13115	4135.78230	4187.41783	4180.56466	4169.64690
4100.0	5.0	3938.84829	4166.14878	4211.25361	4182.35937	4159.85461
4100.0	5.5	3822.84285	4090.69692	4157.81478	4175.41173	4169.27579
4100.0	6.0	3866.07124	4109.92786	4179.81840	4175.56470	4156.94021
4200.0	4.0	3904.74176	4301.58837	4346.87760	4300.55518	4273.56590
4200.0	4.5	4068.85002	4330.46851	4352.89186	4304.43295	4275.57944
4200.0	5.0	3897.46487	4228.00891	4298.81395	4288.90712	4272.40900
4200.0	5.5	4019.10734	4253.74220	4303.34283	4280.38349	4260.02539
4200.0	6.0	3910.03597	4189.40151	4270.38611	4287.94819	4278.61642
4300.0	4.0	4018.70311	4430.44987	4475.26171	4414.77272	4381.64933
4300.0	4.5	4191.99736	4462.60732	4470.65184	4414.17328	4383.22844
4300.0	5.0	3989.83017	4360.61733	4435.14813	4410.69440	4387.23716
4300.0	5.5	4135.70531	4381.80933	4423.78260	4394.04881	4372.29089
4300.0	6.0	4098.73315	4346.29827	4403.47905	4384.81608	4365.67819
4400.0	4.0	4138.49911	4558.57748	4597.92239	4528.25697	4491.99907
4400.0	4.5	4117.20890	4538.64710	4595.41552	4536.36995	4500.45378
4400.0	5.0	4092.61253	4494.98087	4570.00489	4529.71912	4498.88963
4400.0	5.5	4085.57863	4452.52585	4541.19229	4520.15391	4496.10314
4400.0	6.0	4215.75212	4472.08069	4521.77173	4496.79582	4476.58406
4500.0	4.0	4502.14976	4736.03683	4690.30957	4609.01885	4572.56525
4500.0	4.5	4237.94163	4667.25058	4716.82087	4648.62854	4609.85779
4500.0	5.0	4202.40805	4631.11187	4703.27933	4650.42425	4614.57294
4500.0	5.5	4182.96379	4587.40377	4677.20869	4643.67753	4613.99369
4500.0	6.0	4180.16155	4546.49968	4647.58500	4631.78158	4608.89891
4600.0	4.0	4639.88777	4855.12161	4799.11631	4716.89023	4680.83538
4600.0	4.5	4361.27465	4792.09884	4833.70854	4760.19187	4720.49121
4600.0	5.0	4322.99276	4766.09262	4830.92952	4767.09092	4727.26984
4600.0	5.5	4289.38344	4722.41855	4809.51285	4763.41085	4728.56323
4600.0	6.0	4275.73826	4677.30709	4780.06482	4752.86299	4725.12352
4700.0	4.0	4510.39148	4928.65800	4944.30856	4861.77149	4822.72701
4700.0	4.5	4730.05184	4963.32055	4914.02439	4833.48890	4796.53982
4700.0	5.0	4448.19678	4895.16648	4949.89099	4879.24838	4838.03142
4700.0	5.5	4404.42731	4859.84512	4941.75993	4885.01806	4846.16688
4700.0	6.0	4566.59858	4870.01077	4894.68946	4850.31517	4822.78349
4800.0	4.0	4631.89355	5046.62079	5056.49167	4972.30980	4932.98235
4800.0	4.5	4609.94427	5034.41459	5059.57031	4979.59853	4939.18367
4800.0	5.0	4808.06288	5068.00934	5032.31612	4956.73305	4919.42212
4800.0	5.5	4527.01156	4993.66958	5066.40148	5000.70929	4959.10650
4800.0	6.0	4486.85081	4949.61417	5047.52967	4998.45993	4961.70365
4900.0	4.0	4760.67432	5166.08003	5168.26443	5082.79929	5043.32314
4900.0	4.5	5005.19853	5190.38823	5124.29974	5042.88630	5006.97340
4900.0	5.0	4702.50217	5143.49552	5179.24440	5100.91048	5058.70598
4900.0	5.5	4653.49456	5122.00039	5183.78100	5112.40881	5069.49183
4900.0	6.0	4824.82779	5134.67556	5138.05002	5082.53345	5050.38433
5100.0	4.0	5293.33376	5397.03691	5306.64086	5226.13594	5188.92634
5100.0	4.5	5021.58234	5385.38792	5382.14046	5298.25872	5253.10551
5100.0	5.0	5200.99739	5387.64227	5324.83428	5250.33383	5211.91931
5100.0	5.5	4929.60108	5364.27106	5399.08521	5321.96400	5273.97734
5100.0	6.0	4856.77379	5332.11092	5398.76926	5330.39196	5282.82580
5200.0	4.0	5171.78111	5506.93730	5485.22738	5398.65270	5353.46637
5200.0	4.5	5151.75781	5502.29518	5491.10721	5406.58385	5360.87070
5200.0	5.0	5110.26212	5490.97289	5495.35135	5413.38054	5366.72805
5200.0	5.5	5059.89037	5482.90290	5508.45321	5429.69836	5381.32265
5200.0	6.0	4984.30440	5452.26904	5509.35595	5438.09297	5389.91450
5300.0	4.0	5293.88385	5622.16197	5595.61795	5508.89084	5463.05440
5300.0	4.5	5511.93474	5610.30844	5517.46867	5437.82987	5399.54354
5300.0	5.0	5243.17888	5610.31523	5606.83774	5524.12153	5476.87053
5300.0	5.5	5185.06977	5594.62335	5613.91468	5534.95294	5486.81399
5300.0	6.0	5118.37283	5573.99072	5621.31699	5548.34263	5499.90169
5400.0	4.0	5415.03073	5736.34081	5703.06818	5615.88026	5569.21065
5400.0	4.5	5402.60517	5730.67947	5705.95931	5620.76453	5573.59932
5400.0	5.0	5371.76868	5724.92718	5713.71373	5630.61621	5582.67679
5400.0	5.5	5313.89953	5704.27806	5717.21373	5639.61137	5592.36362
5400.0	6.0	5465.76564	5688.66860	5644.57217	5580.23984	5541.64332
5500.0	4.0	5538.99635	5853.18013	5811.19191	5722.75716	5674.96542
5500.0	4.5	5524.13081	5842.00257	5810.30891	5724.57294	5676.38161
5500.0	5.0	5704.76488	5801.10323	5715.31120	5643.04783	5605.51938
5500.0	5.5	5437.42975	5812.67787	5818.60626	5740.81965	5693.25539
5500.0	6.0	5597.05799	5791.78791	5740.61371	5676.73349	5638.70622
5600.0	4.0	5866.44176	5921.19326	5797.19773	5712.30045	5672.78097
5600.0	4.5	5646.72154	5957.66262	5918.87256	5832.12035	5782.57335
5600.0	5.0	5615.81447	5938.63176	5918.36641	5837.63079	5789.93929
5600.0	5.5	5570.02208	5928.50317	5926.97994	5849.07660	5800.97423
5600.0	6.0	5508.31255	5917.04857	5939.35365	5864.31653	5815.18563
5700.0	4.0	5767.16495	6082.61220	6025.89770	5933.98641	5883.18980
