Teff	log(g)	T_BB_u	T_BB_g	T_BB_r	T_BB_i	T_BB_z
2300.0	4.0	2302.99281	2177.40973	1984.97472	2245.81540	2428.14660
2300.0	4.5	2204.36242	2216.75002	2048.38246	2303.43844	2453.59997
2300.0	5.0	2005.59653	2345.91179	2259.23472	2576.97113	2644.65491
2300.0	5.5	2031.63288	2262.48535	2160.21243	2397.03885	2516.53772
2300.0	6.0	1978.14909	2406.10299	2439.33042	2690.09204	2777.33223
2400.0	4.0	2229.96802	2346.33362	2149.58120	2535.35412	2624.54307
2400.0	4.5	2152.52108	2360.67752	2209.93350	2581.63539	2668.74798
2400.0	5.0	2068.47337	2338.52403	2230.33644	2598.23148	2693.74838
2400.0	5.5	2104.89275	2317.73566	2191.99043	2462.39038	2593.59174
2400.0	6.0	2042.55035	2322.65928	2240.95250	2502.56057	2633.89552
2500.0	4.0	2341.22371	2465.44338	2285.15832	2628.72682	2714.10328
2500.0	4.5	2430.52382	2338.68225	2133.69666	2439.78032	2615.74201
2500.0	5.0	2153.91825	2429.97371	2317.37611	2670.98587	2768.03143
2500.0	5.5	2085.77191	2470.33195	2437.28577	2728.33703	2832.70312
2500.0	6.0	2048.98446	2545.65954	2596.30451	2815.35627	2907.71105
2600.0	4.0	2614.20049	2464.57196	2248.95496	2540.44947	2707.19406
2600.0	4.5	2342.03479	2532.79783	2394.05220	2712.69232	2797.46356
2600.0	5.0	2254.12487	2531.53764	2433.98935	2747.05707	2840.03823
2600.0	5.5	2169.62918	2548.70128	2509.06885	2793.06804	2898.30616
2600.0	6.0	2112.04815	2613.11324	2651.66896	2871.43841	2987.46223
2700.0	4.0	2710.05967	2575.03361	2370.92846	2651.10588	2804.68888
2700.0	4.5	2644.98315	2561.52750	2357.69141	2659.76585	2815.12997
2700.0	5.0	2360.93532	2645.53693	2571.76349	2829.46080	2914.33081
2700.0	5.5	2446.24456	2504.49651	2331.22833	2674.95831	2841.01057
2700.0	6.0	2320.40299	2474.64499	2342.61758	2688.58580	2860.33537
2800.0	4.0	2805.57236	2687.63883	2496.71682	2762.60356	2904.26539
2800.0	4.5	2563.67879	2770.59061	2686.97324	2895.67235	2957.87214
2800.0	5.0	2473.82514	2761.42366	2713.74608	2917.97304	2987.42327
2800.0	5.5	2566.57520	2628.26982	2463.61034	2784.96167	2939.54372
2900.0	4.0	2753.95919	2897.70922	2815.06059	2979.96333	3026.68800
2900.0	4.5	2848.03012	2795.45418	2621.96470	2882.86981	3012.06761
2900.0	5.0	2777.71178	2780.83840	2616.59229	2890.66604	3022.64806
2900.0	5.5	2495.98130	2867.66465	2880.82718	3035.09292	3099.53818
2900.0	6.0	2405.22838	2863.46492	2926.59040	3067.46767	3148.70101
3000.0	4.0	2860.49371	3010.74826	2954.23588	3080.02028	3112.94601
3000.0	4.5	2790.57569	2997.89380	2961.40059	3088.43133	3119.78600
3000.0	5.5	2614.28485	2975.16583	2999.78217	3124.59123	3169.61777
3000.0	6.0	2519.44108	2966.09108	3035.32348	3151.70033	3211.53312
3100.0	4.0	2964.83444	3120.66938	3086.89030	3180.13945	3202.19128
3100.0	4.5	3040.60569	3022.59893	2877.33550	3101.08144	3208.86302
3100.0	5.0	2825.94310	3092.55188	3094.99305	3197.20113	3216.58465
3100.0	5.5	2911.03052	3002.04523	2891.38116	3118.51654	3224.47369
3100.0	6.0	2640.18601	3068.07446	3138.51994	3239.46679	3278.52233
3200.0	4.0	3158.54036	3119.61346	2962.36658	3193.34884	3306.74692
3200.0	4.5	3131.61838	3133.44477	3001.69351	3209.33399	3308.88354
3200.0	5.0	2943.85394	3197.08725	3209.72977	3291.09052	3298.36657
3200.0	5.5	2860.78940	3183.28854	3218.79473	3307.65576	3318.18817
3200.0	6.0	2929.77459	3096.83136	3028.51199	3232.66309	3327.94671
3300.0	4.0	3233.33705	3223.85991	3079.34422	3298.01455	3403.45361
3300.0	4.5	3121.85552	3318.28767	3330.98906	3380.52643	3379.77803
3300.0	5.0	3060.96065	3301.09486	3323.10546	3386.23826	3384.55372
3300.0	5.5	3123.65522	3236.02540	3162.43894	3335.47162	3411.69791
3300.0	6.0	3044.16743	3215.62070	3164.23061	3341.09638	3418.91249
3400.0	4.0	3302.54578	3328.58285	3203.80420	3402.33416	3498.65873
3400.0	4.5	3228.16256	3422.96452	3448.71236	3479.45222	3471.52161
3400.0	5.0	3268.93154	3352.66228	3276.75641	3432.68378	3502.30609
3400.0	5.5	3108.48973	3388.07903	3428.85340	3493.51075	3485.00257
3400.0	6.0	3024.18784	3370.51991	3429.50411	3509.55615	3505.71036
3500.0	4.0	3366.80965	3547.67993	3582.87348	3584.21643	3574.69529
3500.0	4.5	3332.85940	3527.14498	3563.78843	3578.66910	3566.83905
3500.0	5.0	3353.23502	3459.51526	3403.96234	3538.19151	3597.36179
3500.0	5.5	3228.02752	3490.17286	3534.72560	3587.40522	3573.23778
3500.0	6.0	3259.94875	3440.97165	3419.48505	3552.43635	3601.18530
3600.0	4.0	3464.33304	3652.12020	3695.70344	3683.85960	3668.12598
3600.0	4.5	3435.60841	3630.70390	3675.55754	3677.25153	3660.82903
3600.0	5.0	3433.36666	3565.29565	3531.83881	3643.18452	3688.59501
3600.0	5.5	3344.28540	3592.81630	3642.12526	3682.49758	3666.06845
3600.0	6.0	3278.62952	3575.12071	3632.24056	3694.60207	3679.41593
3700.0	4.0	3493.25682	3658.15063	3620.68928	3721.50572	3767.74369
3700.0	4.5	3509.56266	3667.13412	3646.55513	3737.27687	3774.42866
3700.0	5.0	3504.38013	3714.88070	3766.73159	3773.47206	3753.75207
3700.0	5.5	3457.12486	3694.76228	3748.85758	3776.60973	3758.89583
3700.0	6.0	3460.74337	3657.80685	3664.85489	3762.16574	3790.95580
3800.0	4.0	3666.12157	3872.54574	3920.84605	3888.22491	3862.38036
3800.0	4.5	3580.72926	3776.24292	3778.81805	3844.06532	3867.42017
3800.0	5.0	3588.01205	3776.74754	3787.64403	3853.25113	3872.57999
3800.0	5.5	3579.18586	3771.45683	3787.12737	3858.77628	3876.87934
3800.0	6.0	3523.19305	3784.91056	3848.12042	3884.27444	3866.47730
3900.0	4.0	3638.83143	3902.54321	3911.68944	3947.57704	3960.18597
3900.0	4.5	3654.59290	3889.88665	3912.75677	3953.40994	3963.67820
3900.0	5.0	3666.22894	3884.43617	3913.97302	3960.13000	3968.85078
3900.0	5.5	3686.40956	3908.65350	3968.04552	3971.18487	3950.20151
3900.0	6.0	3640.38200	3891.85985	3957.88503	3980.67894	3961.43031
4000.0	4.0	3726.34880	4034.90311	4059.82009	4066.66519	4064.23776
4000.0	4.5	3864.02988	4077.63539	4118.09961	4087.52567	4062.07206
4000.0	5.0	3745.73451	3994.68958	4040.60631	4068.02882	4067.16482
4000.0	5.5	3802.51073	4021.43016	4078.72662	4072.83855	4051.71665
4000.0	6.0	3758.69187	4000.91486	4067.43984	4077.64231	4057.91987
4100.0	4.0	3824.59359	4171.26305	4207.52211	4188.06521	4172.11907
4100.0	4.5	3823.34377	4138.16587	4185.51900	4184.76234	4174.32267
4100.0	5.0	3954.08999	4168.88382	4210.37811	4186.06066	4163.50510
4100.0	5.5	3833.83321	4094.60764	4156.78640	4179.51348	4172.72542
4100.0	6.0	3876.22690	4114.59278	4179.25645	4179.44072	4159.53989
4200.0	4.0	3930.97595	4303.98720	4345.20509	4304.58258	4278.53558
4200.0	4.5	4095.85320	4331.54490	4351.74281	4307.88926	4280.28275
4200.0	5.0	3915.80757	4231.24308	4297.63517	4292.88332	4277.18937
4200.0	5.5	4033.01846	4256.48692	4302.91332	4284.00245	4263.68645
4200.0	6.0	3920.93683	4193.98928	4269.87502	4291.82862	4281.68909
4300.0	4.0	4045.18529	4433.28908	4473.91946	4418.66582	4386.51316
4300.0	4.5	4222.82725	4462.82449	4469.56465	4417.76445	4388.46898
4300.0	5.0	4012.54419	4363.65730	4434.33618	4414.87096	4392.83854
4300.0	5.5	4152.48743	4384.16644	4423.62961	4398.08489	4376.68578
4300.0	6.0	4111.70934	4349.58498	4403.61492	4388.80752	4369.02854
4400.0	4.0	4163.96222	4562.06905	4596.78285	4532.18333	4496.73176
4400.0	4.5	4146.16399	4540.99910	4594.44862	4540.34311	4506.45280
4400.0	5.0	4119.30256	4497.59866	4569.41719	4533.71198	4505.22624
4400.0	5.5	4105.92094	4456.26181	4541.17261	4524.34193	4501.80237
4400.0	6.0	4231.02856	4474.87466	4522.09367	4501.02873	4480.58951
4500.0	4.0	4530.55559	4736.81964	4688.68066	4612.45313	4577.00779
4500.0	4.5	4265.97804	4669.97631	4716.06608	4652.66193	4615.97566
4500.0	5.0	4231.31993	4633.69442	4702.95135	4654.80697	4621.53368
4500.0	5.5	4207.44156	4590.91768	4677.34281	4648.14039	4620.73562
4500.0	6.0	4198.59669	4550.93528	4648.11957	4636.15534	4614.17273
4600.0	4.0	4664.20653	4856.78941	4797.57980	4720.37767	4685.25923
4600.0	4.5	4386.57394	4795.71572	4833.14530	4764.26423	4726.27398
4600.0	5.0	4352.42286	4768.70056	4830.85178	4771.53701	4734.78903
4600.0	5.5	4317.27268	4725.61349	4809.81122	4767.98682	4736.16501
4600.0	6.0	4298.10795	4681.57800	4780.82506	4757.49177	4731.52803
4700.0	4.0	4526.68272	4935.24074	4943.36420	4865.77667	4826.93674
4700.0	4.5	4755.72269	4964.21436	4913.00784	4837.19414	4801.99176
4700.0	5.0	4475.90212	4898.34207	4949.97616	4883.74154	4845.38631
4700.0	5.5	4433.99929	4863.03176	4942.25236	4889.90065	4854.39824
4700.0	6.0	4593.98510	4871.29429	4895.18210	4855.03908	4829.80973
4800.0	4.0	4644.67969	5054.00590	5055.64263	4976.44529	4936.73472
4800.0	4.5	4628.32834	5040.07578	5059.06211	4983.75832	4944.38985
4800.0	5.0	4835.98652	5068.61875	5031.96517	4960.85433	4926.49443
4800.0	5.5	4556.93259	4996.94184	5066.91511	5005.62187	4967.60360
4800.0	6.0	4516.52304	4953.43977	5048.37494	5003.52037	4970.09112
4900.0	4.0	4770.18078	5173.83517	5167.52611	5086.93970	5046.77980
4900.0	4.5	5021.73832	5193.00962	5123.26400	5046.65584	5011.78693
4900.0	5.0	4723.81107	5148.54672	5179.34663	5105.51889	5065.62503
4900.0	5.5	4681.77716	5126.05024	5184.49891	5117.37757	5077.99210
4900.0	6.0	4857.26164	5135.68717	5138.51125	5087.59045	5058.97678
5100.0	4.0	5303.20656	5399.70304	5305.81675	5229.98408	5192.47110
5100.0	4.5	5042.15267	5392.00046	5382.13105	5302.75369	5257.77607
5100.0	5.0	5224.93594	5389.66629	5324.75247	5254.54760	5218.18731
5100.0	5.5	4964.75782	5368.84397	5399.91446	5326.88096	5282.46910
5100.0	6.0	4897.93407	5336.35467	5399.80708	5335.80612	5292.70919
5200.0	4.0	5184.55297	5513.87416	5485.08846	5403.25183	5356.71971
5200.0	4.5	5170.44062	5508.97511	5491.14453	5411.08572	5365.22311
5200.0	5.0	5135.15039	5497.19418	5495.94323	5418.24711	5372.91122
5200.0	5.5	5092.47215	5488.27253	5509.35970	5434.75875	5389.46303
5200.0	6.0	5023.48545	5457.39820	5510.44920	5443.63763	5399.56557
5300.0	4.0	5304.51495	5629.03847	5595.53777	5513.46552	5466.01518
5300.0	4.5	5523.36886	5612.86217	5516.84076	5441.95560	5403.43316
5300.0	5.0	5266.27413	5616.88923	5607.47273	5529.15774	5482.66590
5300.0	5.5	5214.72317	5600.92928	5614.95995	5540.24705	5494.48074
5300.0	6.0	5155.19689	5579.98062	5622.45985	5554.01328	5509.20428
5400.0	4.0	5424.55063	5743.07468	5703.01605	5620.64336	5572.01597
5400.0	4.5	5418.56887	5737.30990	5706.16828	5625.60139	5577.47781
5400.0	5.0	5393.73907	5731.56747	5714.43226	5635.79202	5588.21315
5400.0	5.5	5341.19895	5711.28008	5718.31838	5645.09287	5599.43053
5400.0	6.0	5496.92759	5691.73144	5644.87548	5585.59609	5550.11529
5500.0	4.0	5547.41327	5859.76609	5811.28891	5727.86820	5677.77632
5500.0	4.5	5538.94642	5848.48830	5810.47616	5729.58076	5680.17099
5500.0	5.0	5719.09997	5804.06552	5715.37499	5647.77389	5610.47320
5500.0	5.5	5463.46129	5820.01189	5819.68961	5746.53077	5700.06997
5500.0	6.0	5625.33007	5795.42421	5740.83366	5682.26201	5646.75262
5600.0	4.0	5867.06196	5923.65578	5796.46426	5717.13281	5675.13344
5600.0	4.5	5661.16294	5964.36546	5918.94674	5837.38787	5786.30656
5600.0	5.0	5635.97104	5945.67820	5919.07559	5843.21613	5794.94240
5600.0	5.5	5595.19726	5935.99372	5927.94419	5854.99681	5807.53865
5600.0	6.0	5539.23318	5924.95271	5940.35480	5870.51771	5823.39162
5700.0	4.0	5773.91587	6089.50376	6025.82331	5939.99081	5886.06080
5700.0	4.5	5782.10791	6079.55665	6025.42314	5942.80296	5889.74557
5700.0	5.0	5757.68617	6056.36526	6023.00229	5947.18833	5897.57785
5700.0	5.5	5883.59047	5969.35945	5885.78490	5824.21034	5787.91826
5700.0	6.0	5667.26404	6037.03965	6044.15830	5974.43644	5926.31786
5800.0	4.0	5881.32538	6205.43925	6133.48866	6045.64658	5989.67859
5800.0	4.5	5890.86742	6179.20123	6123.65872	6043.68048	5990.90556
5800.0	5.0	5876.98022	6166.60692	6126.47305	6050.50797	5999.32164
5800.0	5.5	5844.89322	6156.85637	6134.28122	6061.70748	6011.75452
5800.0	6.0	5958.05747	6062.78338	5988.82837	5932.30591	5896.42460
5900.0	4.0	6166.01628	6252.18311	6099.69010	6014.85355	5967.02028
