Teff	log(g)	T_BB_u	T_BB_g	T_BB_r	T_BB_i	T_BB_z
2300.0	4.0	2319.3459054089903	2185.6297018571154	1983.075253748614	2219.0754760126406	2379.7920605195754
2300.0	4.5	2224.665714543878	2217.613724541456	2050.4162719701103	2277.7079688899767	2416.5960159168862
2300.0	5.0	2124.995062086268	2233.8808248219207	2096.4524077037927	2320.677765683607	2449.56945689011
2300.0	5.5	2033.682799665562	2249.373526731801	2164.4954717831856	2375.4416831529475	2493.448136030251
2300.0	6.0	1987.018938336265	2241.4667922317426	2199.5416208990005	2409.2108586543113	2541.361559276211
2400.0	4.0	2428.1563478558055	2265.4875696700387	2046.3604088107652	2297.0412359674715	2459.8877194109086
2400.0	4.5	2341.0933634127136	2251.5211170341095	2060.4560151407904	2329.1156993187847	2484.3639140471323
2400.0	5.0	2234.919001349283	2285.739042519962	2136.5961776414524	2393.481229939604	2532.566376783885
2400.0	5.5	2125.3141902785765	2304.4389339773957	2197.829996281575	2435.816847641019	2567.9467205721435
2400.0	6.0	2043.3868183047935	2306.6740408448313	2246.5171432676107	2480.6431140541986	2613.75832245692
2500.0	4.0	2528.854721350829	2363.4725477983984	2137.249985775009	2399.957943423535	2557.6615375205474
2500.0	4.5	2448.754547792412	2340.578183048922	2136.395493505765	2409.794467649416	2569.7045130324054
2500.0	5.0	2352.609675208189	2315.9948526968647	2145.429729742449	2430.5851186539385	2592.6273447702147
2500.0	5.5	2232.245098125828	2315.9793589591063	2196.487326057617	2488.615136659096	2639.9449654975
2500.0	6.0	2122.12148868045	2357.4203404712184	2290.066362793038	2537.9008973480604	2683.7933053234337
2600.0	4.0	2627.4907243940193	2469.037240265919	2252.005979442392	2511.6896449647797	2661.6630486268327
2600.0	4.5	2557.293020379549	2446.9940656208264	2237.815088707142	2516.0248801759053	2672.728434755767
2600.0	5.0	2465.715468260363	2415.4570311153866	2231.9461427257156	2523.6738624276204	2687.5534701736083
2600.0	5.5	2353.5686435068023	2385.1550984507894	2247.2166787819015	2541.012778342502	2711.2131615165313
2600.0	6.0	2234.4450864774267	2362.648864066864	2274.7997583496344	2563.3812349580644	2743.50949070777
2700.0	4.0	2722.7213532358587	2576.1714792140287	2375.286775041781	2621.3527955033123	2764.2792412378926
2700.0	4.5	2660.2633256959793	2558.809045841015	2364.535360372381	2627.896192127824	2776.9771062656923
2700.0	5.0	2579.095441643275	2530.846136003626	2350.2329995565347	2633.1958703028295	2793.017159823202
2700.0	5.5	2472.9360337863122	2491.669134598662	2343.11206682765	2637.431488549536	2809.1127166899682
2700.0	6.0	2353.5542473738105	2457.235252450248	2356.2654098480734	2651.3582863936654	2833.8229772053983
2800.0	4.0	2817.6378316388796	2685.5950362617496	2502.090242236115	2732.235312712522	2868.9775611669606
2800.0	4.5	2762.8214936046425	2673.9663810086845	2498.7837931270255	2739.482566051663	2881.518427686484
2800.0	5.0	2687.3685047726335	2648.3600650984254	2487.675736559863	2741.7041662634615	2894.873590897366
2800.0	5.5	2590.1470037072468	2613.3692417872735	2478.3452695037745	2747.371507831646	2912.4018171206267
2900.0	4.0	2909.7556381976756	2792.3330494185802	2623.30154240541	2839.61669387961	2972.1345097111644
2900.0	4.5	2861.6458960697423	2786.953335586977	2630.977045724085	2849.5466531935695	2984.1083694495755
2900.0	5.0	2794.2072961134445	2767.652880724346	2628.738458647934	2854.2450186531337	2997.4604623165646
2900.0	5.5	2705.776624659957	2736.250542065157	2621.1867735494257	2856.090495213559	3014.3705133190615
2900.0	6.0	2592.7751914220453	2693.674008879382	2611.9174915045583	2855.5259557930035	3032.25106972579
3000.0	4.0	3000.1796151898184	2898.648530907812	2741.171840259454	2946.673973372182	3076.0719732787825
3000.0	4.5	2959.655355122697	2899.9781383068403	2762.0577443759444	2959.9132214001615	3087.2024101852066
3000.0	5.5	2818.757677816972	2859.4978646529294	2766.9753552831385	2969.1080445468074	3113.8793291199463
3000.0	6.0	2715.192603401858	2821.746600982878	2762.305056765284	2969.041342888458	3131.0950378501593
3100.0	4.0	3086.6339555142617	3003.745811332844	2856.06602406455	3052.802221935932	3180.161933368988
3100.0	4.5	3053.0159965226035	3009.5602250521106	2888.4188243224066	3067.6284280226964	3188.659722167984
3100.0	5.0	3000.8150935206513	3000.74550531518	2903.813580424458	3075.9387596854176	3197.5395587368657
3100.0	5.5	2929.2837284591587	2980.2926400405668	2909.513429283958	3081.1724120920903	3210.9850665867543
3100.0	6.0	2834.120161351377	2946.8579662791253	2908.663336760456	3082.321899888985	3226.92015141074
3200.0	4.0	3168.580413146391	3108.770059287266	2972.3411975886916	3159.3745450798115	3284.628018478476
3200.0	4.5	3143.501886190657	3118.5826153614626	3013.9861018523693	3175.9922337588823	3291.9408431704646
3200.0	5.0	3099.4841063303447	3113.9427338371975	3036.734886054718	3185.565174673227	3297.9921643883918
3200.0	5.5	3036.600636780715	3097.9756846027262	3048.0216018737974	3192.1848536884486	3307.0359785203477
3200.0	6.0	2951.5018491183805	3070.461037880241	3051.570652441788	3195.3769064636567	3320.742633960409
3300.0	4.0	3243.0419708022496	3210.768019713658	3090.758290075846	3263.5121202264686	3383.9296266155575
3300.0	4.5	3228.2376502715133	3224.9483647850993	3138.6373742366836	3283.09349065199	3391.3563452069825
3300.0	5.0	3194.0148368573136	3224.6131314251043	3166.7720359761415	3294.5305015965796	3396.7977365666748
3300.0	5.5	3140.275095333067	3212.4260808078875	3181.3719132047895	3301.895817895054	3404.6627622043516
3300.0	6.0	3064.4543613345313	3188.4731979969024	3186.6931958149635	3306.212745520398	3414.3494709472407
3400.0	4.0	3312.0613432694918	3312.8251470949085	3216.475580984033	3368.218183879927	3481.2693704408093
3400.0	4.5	3306.7702171007836	3329.2151147960863	3264.8622836552813	3389.1962082496707	3489.1604423104245
3400.0	5.0	3282.222070580122	3331.2380650264295	3293.491531697411	3401.145405846507	3492.9642662929277
3400.0	5.5	3238.5956688872266	3322.412383697086	3309.7181093842664	3409.1955361782557	3498.01381721348
3400.0	6.0	3174.4599887539407	3303.7908268182227	3317.8403991422297	3416.0092467669883	3507.6174747424016
3500.0	4.0	3376.0741754393534	3416.8976677521796	3352.133228163454	3475.0092542898233	3574.8248028881894
3500.0	4.5	3380.5957133156594	3433.321050114462	3395.514945767276	3496.256585343612	3584.1443446474445
3500.0	5.0	3366.2463254926765	3437.0170225468714	3421.3370920228067	3508.564759212684	3588.907397539939
3500.0	5.5	3332.887207159331	3430.3215207430353	3435.858012516355	3516.446626596433	3593.1929386988927
3500.0	6.0	3278.401528262	3413.803121512377	3442.028242327353	3522.38166383472	3598.739437533768
3600.0	4.0	3438.4955398544976	3523.0716116584695	3492.9995862032088	3583.9032998455314	3667.535269378003
3600.0	4.5	3451.1380813955207	3537.425843798928	3528.814642265803	3604.1832086305712	3677.316912858409
3600.0	5.0	3446.2416110778745	3541.365907730374	3549.2084273926175	3616.066829046254	3682.712058099792
3600.0	5.5	3422.1885436805333	3534.838850414582	3558.436448642491	3622.322544966216	3686.0636086584236
3600.0	6.0	3380.2893271017497	3522.655434060801	3564.7049732572173	3630.013998438101	3693.5852352181264
3700.0	4.0	3503.759317942164	3633.7568336373906	3635.5168236980794	3695.7550875483394	3761.90580826213
3700.0	4.5	3520.9025393335155	3642.4986424334593	3662.19277298586	3713.045189466523	3770.2207740512918
3700.0	5.0	3524.1392254420566	3645.561584339763	3676.707878938651	3723.973971031336	3776.543579433103
3700.0	5.5	3509.2452690951536	3639.73514204574	3681.997279966837	3729.3901429215994	3779.954680655036
3700.0	6.0	3478.355651176751	3629.951049592688	3685.832463635895	3736.9347387430867	3787.781018340556
3800.0	4.0	3575.165664949973	3751.090629538727	3778.768242866817	3811.7658151425994	3860.9217936946416
3800.0	4.5	3592.588007412255	3749.905184421285	3793.8033572842664	3823.4847967488404	3865.3217243269705
3800.0	5.0	3601.171454345528	3750.2749700407576	3803.420263738312	3833.0224185601514	3870.825010849336
3800.0	5.5	3594.532584303464	3744.4416270163856	3804.6219940368896	3837.7500300840584	3875.0981334394514
3800.0	6.0	3572.9012649340534	3735.582102652553	3805.273119649936	3844.436544026882	3882.911819776094
3900.0	4.0	3651.5438495685944	3874.3220610680587	3925.283751814126	3930.7602685309366	3959.133690987892
3900.0	4.5	3667.39840345988	3862.184198648381	3926.4871937506528	3936.895053847522	3963.1761997137223
3900.0	5.0	3679.997407364637	3857.0430906644106	3928.3713251539607	3943.3237796853973	3968.3654162754424
3900.0	5.5	3679.0149674248787	3849.5373343995766	3926.141834432584	3946.3306604015247	3971.417193402341
3900.0	6.0	3665.306792163647	3841.175549121538	3924.1684876843765	3952.141514930192	3979.4439254478416
4000.0	4.0	3740.55101720301	4005.641332232948	4071.8247556738334	4054.5653551397136	4064.6508100321175
4000.0	4.5	3748.422616944256	3980.2277909395284	4058.963228747305	4052.501252937416	4064.971750702618
4000.0	5.0	3760.477828972681	3966.5611170888965	4053.0717114553563	4054.7187991851424	4067.5782700156706
4000.0	5.5	3764.7064275677258	3956.8077894556627	4047.5068728622837	4056.5873533958907	4071.1619411164484
4000.0	6.0	3757.0876886095944	3947.3810677239167	4042.994111198802	4060.149850966334	4077.270908690409
4100.0	4.0	3840.614348218151	4141.659828990839	4217.386785352859	4180.757631960277	4173.6005526185545
4100.0	4.5	3839.2848636707085	4108.719649093292	4196.640410217918	4174.7290010256265	4175.125974501655
4100.0	5.0	3845.5693378983806	4082.647821845198	4180.462484768492	4169.988393792532	4172.435115813551
4100.0	5.5	3851.182075458979	4066.348726336243	4168.446491687852	4167.943813904804	4173.546203026471
4100.0	6.0	3848.812689221772	4055.647858102007	4162.09281057281	4170.330848083984	4179.064234614723
4200.0	4.0	3948.0287717276146	4274.680374025605	4352.596771840206	4301.534251823381	4280.724847230987
4200.0	4.5	3938.809403677974	4240.079734301351	4332.843393649622	4295.960752927005	4283.079245882318
4200.0	5.0	3933.9970796704115	4202.246794827205	4306.890903527176	4284.942860463929	4278.125424807317
4200.0	5.5	3941.3933177478893	4180.988486291943	4292.067763974302	4281.900852954449	4278.43482886705
4200.0	6.0	3940.918718060981	4165.828639395836	4280.918001407397	4281.385203753308	4282.668184413356
4300.0	4.0	4063.5174892477867	4404.903811540795	4479.093900921797	4419.509706870849	4389.5456272175725
4300.0	4.5	4048.5456387827635	4375.638167977748	4468.648505795743	4419.302371568555	4395.8868775584515
4300.0	5.0	4033.3985575274605	4334.305400624521	4442.536027629263	4408.970417590531	4393.555043778368
4300.0	5.5	4032.44748979504	4302.189592140124	4419.855894181191	4400.989792741895	4391.352383072792
4300.0	6.0	4034.1258085474083	4279.520725805045	4401.431615928207	4394.506257090031	4389.139101173595
4400.0	4.0	4183.549176134234	4534.833290249687	4600.93772936764	4535.654660655574	4500.371355051772
4400.0	4.5	4168.619953494121	4512.97389537744	4600.116226199385	4540.464415861437	4508.1472339004995
4400.0	5.0	4143.075456844472	4468.916313283747	4575.864425153531	4530.7450725102735	4505.981058827798
4400.0	5.5	4129.646460069359	4427.717849429446	4548.056879552087	4519.432141963857	4502.371609950596
4400.0	6.0	4127.433772786663	4399.25745605237	4527.39106328549	4513.127138477561	4502.084064143335
4500.0	4.0	4304.178682135235	4662.1526645667245	4718.9102668590995	4650.010039643465	4611.695385128861
4500.0	4.5	4290.335767933255	4643.19292469628	4720.626414052072	4655.251824814913	4618.116732885173
4500.0	5.0	4258.181794964688	4605.56474750542	4708.556649882329	4653.918422039236	4622.039351961169
4500.0	5.5	4234.636678022033	4562.409398268602	4683.473279042911	4644.891204579097	4620.936524038047
4500.0	6.0	4225.198179467496	4523.226296006063	4654.3709591571715	4631.810427645376	4614.616326727648
4600.0	4.0	4424.515702641419	4787.464374296099	4834.829025582538	4763.186814420588	4723.154172401932
4600.0	4.5	4411.916710409099	4770.487994512703	4837.349653735987	4768.6899572994835	4729.004444870326
4600.0	5.0	4381.71644719362	4741.96418025197	4835.644038807298	4773.032129284193	4735.307610619689
4600.0	5.5	4347.811386655458	4698.029359834902	4814.9938425130185	4766.853466875364	4735.979128233989
4600.0	6.0	4327.975109431806	4654.202702940549	4786.1218120309195	4754.835015747244	4731.564307168256
4700.0	4.0	4549.455911870469	4913.451343222595	4948.253380668878	4873.973288130479	4832.48698962984
4700.0	4.5	4535.309132960759	4897.211135594842	4952.817981870335	4881.340568902273	4840.114842891029
4700.0	5.0	4506.64513533245	4873.268757082486	4954.3476766847725	4886.986241676163	4846.290870793441
4700.0	5.5	4467.978468892409	4836.360117011176	4947.009758794999	4890.628933500792	4853.977251184671
4700.0	6.0	4435.623883459314	4789.916371482964	4921.164728083829	4880.968049723148	4851.634829029878
4800.0	4.0	4668.981160653757	5034.055911064917	5061.31913630624	4985.6084019728805	4943.32697028586
4800.0	4.5	4654.976621148892	5018.6447445102895	5064.024343095367	4990.785200130075	4948.247196365919
4800.0	5.0	4632.17252744574	5002.737892782595	5070.827865242435	4999.709576209397	4957.137425888694
4800.0	5.5	4593.261784918099	4971.823864721746	5071.277495203412	5008.097224660719	4967.288103467735
4800.0	6.0	4553.667375390972	4927.45074994649	5052.7347782109855	5004.136009184307	4969.329032343068
4900.0	4.0	4795.039540144973	5156.346678104567	5174.218412805091	5097.0733074557465	5054.186056476469
4900.0	4.5	4781.700817296288	5143.5498800480955	5177.5910100803785	5102.507478852598	5058.922995922913
4900.0	5.0	4755.314072269079	5127.268701897585	5184.423384777432	5111.262859004756	5067.381742979922
4900.0	5.5	4718.927410996352	5102.812276789917	5189.071205796422	5121.2720448654045	5077.818700229785
4900.0	6.0	4671.795221809248	5062.828130115414	5181.201346553956	5125.611733418439	5086.143143429688
5100.0	4.0	5074.473116506496	5382.70144445462	5382.382305728251	5305.410126748905	5255.958775957544
5100.0	4.5	5066.608985356278	5378.775918893339	5388.959605263791	5312.637280427163	5262.793339940453
5100.0	5.0	5034.8208020387065	5362.676513032538	5391.720190503524	5317.027876520622	5266.8552124792095
