Teff	log(g)	T_BB_us	T_BB_gs	T_BB_rs	T_BB_is	T_BB_zs
2300.0	3.5	2378.803587671139	2187.7372678226056	1956.9300532426378	2206.3851583159953	2400.4044757250094
2300.0	4.0	2298.1159212846615	2193.3687521443694	1978.0361230222006	2244.5222464019666	2419.802504247533
2300.0	4.5	2197.5373133057956	2226.9534341937588	2043.792124394363	2301.9952924035765	2446.347845230726
2300.0	5.0	2003.4174286118623	2340.663810213714	2257.697240086594	2570.8002091870007	2639.2592093054814
2300.0	5.5	2015.3508365104403	2265.175620817132	2157.6743190371203	2396.3822005780376	2511.3244590135137
2300.0	6.0	1991.6534734376871	2389.4931259091986	2438.3416724353247	2688.698908616351	2774.1109765688325
2400.0	3.5	2477.1919263963323	2280.6338921203837	2032.6990830590005	2303.7368228273776	2492.998257914171
2400.0	4.0	2224.858911141735	2355.540703409314	2141.773383775804	2527.5274446941444	2614.7450886218426
2400.0	4.5	2148.7259025396093	2367.98623905387	2204.428916017364	2574.598989627171	2659.628072338176
2400.0	5.0	2065.4256631769067	2342.2455498911795	2225.6829533221726	2590.1106940253962	2685.9368975765947
2400.0	5.5	2090.5210027258954	2321.6596850660253	2187.635569001515	2458.894590056345	2586.5859712276097
2400.0	6.0	2029.0938961138386	2321.206921779145	2236.53928213626	2500.484234741362	2626.883519531785
2500.0	3.5	2416.8177703326455	2476.001945212585	2255.41724063602	2591.758663600606	2681.175713125153
2500.0	4.0	2335.9001300546665	2473.331866589221	2279.0335755166125	2620.8589005370436	2704.408328353484
2500.0	4.5	2425.575741922347	2354.8158567116734	2125.2599368142023	2434.8603370518044	2605.279435502853
2500.0	5.0	2151.5298941197575	2433.3388314885287	2312.2454377213535	2664.505420705609	2757.723761532911
2500.0	5.5	2085.9626788902415	2465.771062241058	2435.5730780238446	2721.153539569321	2824.77876086386
2500.0	6.0	2056.7986892966255	2527.61216536159	2594.0660172966077	2811.9366400660124	2901.9721907152207
2600.0	3.5	2662.78030836035	2487.0484453493214	2253.6507087097484	2524.3560256874102	2687.756625011148
2600.0	4.0	2610.167930930256	2480.8204769826375	2241.0477391371533	2534.5042204254764	2697.192666341432
2600.0	4.5	2337.3640396994215	2538.500445948775	2388.563728563321	2705.0580425049116	2787.0980987344315
2600.0	5.0	2251.0231078953852	2534.001376916714	2429.1403658908844	2740.0461453549183	2829.3667132351466
2600.0	5.5	2168.679313687294	2544.7925301565297	2505.774709734112	2787.214159292374	2888.4514310260197
2600.0	6.0	2115.796684432934	2600.2795442856655	2648.667596149187	2867.7436808962602	2980.7517413085693
2700.0	3.5	2751.303208158804	2590.1391816867817	2370.7656767454455	2631.914480368885	2784.277891723305
2700.0	4.0	2706.3889959357534	2589.958128616918	2364.612891696595	2645.141066725556	2795.1092041801576
2700.0	4.5	2640.6089634810974	2576.173748743877	2350.5053869329695	2653.444566958718	2804.584263831248
2700.0	5.0	2357.2629543878465	2645.887869812791	2567.715705377422	2822.8753992582015	2904.631575408981
2700.0	5.5	2438.6528268411057	2515.8261662497134	2323.228384423109	2668.4148828882353	2829.6087705498444
2700.0	6.0	2309.707233149664	2482.299660731724	2334.9037463584286	2682.131617175124	2849.7678534038605
2800.0	3.5	2711.83197893134	2797.646110032869	2662.3441150289505	2868.159592097749	2929.4152557172497
2800.0	4.0	2802.863509214473	2702.1732393319357	2492.6431596198563	2758.228045696133	2896.2842808377904
2800.0	4.5	2559.2984275707718	2772.7099418575913	2685.3869158343164	2891.3512819440957	2950.73713923096
2800.0	5.0	2470.0990821442974	2760.1338647234825	2710.8320716436065	2912.830559298133	2979.380477393021
2800.0	5.5	2560.1233938335295	2638.319842766166	2455.071484281071	2779.220213565554	2929.142169302439
2900.0	3.5	2926.7245343897885	2793.389708579696	2587.7462452992654	2843.078077915738	2983.987165856375
2900.0	4.0	2749.8975575495692	2899.6564968515827	2814.8310398045014	2975.7311539821244	3020.300491983389
2900.0	4.5	2844.2479372748094	2807.099317550532	2617.4543311336997	2877.045078592866	3002.792505365768
2900.0	5.0	2773.092342379116	2791.059028509675	2611.520643609023	2884.6987994063384	3012.8185624326356
2900.0	5.5	2491.302200857471	2861.1963443384357	2878.9732302356615	3029.7427075799606	3092.034808050405
2900.0	6.0	2400.932420248507	2851.2319637994688	2924.821515365711	3061.4949115442278	3141.6720769746366
3000.0	3.5	3010.42642066111	2895.2497250695033	2689.251417773748	2949.0906512622446	3087.200899210665
3000.0	4.0	2857.1302956890904	3012.4498330402334	2956.1418091409373	3077.6760937314025	3108.3065665856693
3000.0	4.5	2786.4007994033	2997.4377576072375	2962.0735559477043	3085.6050119047827	3114.76325758799
3000.0	5.5	2609.2986639641877	2968.6348869207573	2999.1943125457797	3121.2038388774154	3164.501220862443
3000.0	6.0	2514.2025593850976	2954.5193336972534	3034.3733417675867	3147.854385842933	3206.8636749512193
3100.0	3.5	3009.3429152029407	3137.487482720658	3088.463001007836	3180.8742030409862	3206.443142623377
3100.0	4.0	2960.982844342074	3120.4707751793417	3087.181437608822	3176.776273633662	3196.9158288421404
3100.0	4.5	3037.0451090209162	3031.778454606558	2874.2357339100354	3095.832041768656	3201.1828965610475
3100.0	5.0	2820.4968512249457	3088.0983306016456	3094.4882194733555	3193.4436721501415	3211.139631881215
3100.0	5.5	2905.8423313376356	3007.2434990514616	2888.2347135638056	3113.2006409565124	3217.09346267892
3100.0	6.0	2633.957586094528	3056.824352613918	3138.436787542467	3235.882452010402	3273.954280388576
3200.0	3.5	3104.9140574634425	3248.4868094142475	3224.8963834578476	3286.2962571324356	3300.8182297374597
3200.0	4.0	3155.171939437712	3130.165612536805	2959.487266596707	3188.142465396134	3299.1065899392765
3200.0	4.5	3127.9510201800676	3141.4911582418754	2999.093346308807	3204.3225253679343	3301.9219700340805
3200.0	5.0	2938.3969080878755	3192.1655805456217	3209.5158910158175	3287.6292922833713	3293.9215644494493
3200.0	5.5	2854.569999345533	3175.7854633450465	3218.6313095347264	3304.1313545312496	3313.7051090569557
3200.0	6.0	2923.4218717231415	3098.0528822966658	3026.876853352575	3227.215606574949	3322.2868827173465
3300.0	3.5	3198.13715721544	3357.094313306212	3356.308219815354	3390.2981121294233	3395.7928678351773
3300.0	4.0	3229.4962850597094	3233.2843059255374	3076.6919712488116	3292.880831542584	3396.0159271086404
3300.0	4.5	3116.947526752749	3315.0604929922915	3330.9471742634723	3377.3294042724856	3375.433221046276
3300.0	5.0	3055.426701778507	3296.034789189503	3323.1905089394895	3382.8882429003193	3380.295127828414
3300.0	5.5	3118.664475902223	3238.5089626892373	3161.2331971189633	3330.451219124711	3406.2679317483066
3300.0	6.0	3038.1890795476393	3215.609570826968	3163.7876437332984	3336.0386577854615	3414.3663635336497
3400.0	3.5	3289.8930643662025	3462.8053977216505	3479.5688683150624	3491.567571426387	3490.3170475063403
3400.0	4.0	3297.911220891373	3336.587969952552	3201.6353945125225	3397.3955566436034	3491.650009799467
3400.0	4.5	3222.7631075889412	3419.461749901789	3448.7104572877106	3476.2452656477553	3467.443881169435
3400.0	5.0	3264.319180472247	3356.2318805963914	3275.6908884190784	3427.8262877753764	3496.805130437655
3400.0	5.5	3101.9865755000615	3380.870819535723	3429.8540193417334	3490.1770291370763	3481.4042704573203
3400.0	6.0	3016.8165626050277	3360.5498421521866	3431.4128771930755	3506.708213037657	3502.8067995960573
3500.0	3.5	3336.9587560525306	3411.7954165121773	3271.3126125422336	3470.7358175231147	3566.3786860866753
3500.0	4.0	3360.15070973213	3545.149766145638	3582.5164838909513	3581.280468084694	3570.4884767700128
3500.0	4.5	3326.700001086985	3523.5095467060582	3564.0408662637974	3575.3943969588267	3563.159576025149
3500.0	5.0	3348.1411475879327	3461.8997445616856	3403.667001192879	3533.3800488546594	3592.495662768535
3500.0	5.5	3221.243447721353	3483.3052026189885	3536.11754184344	3584.1410895617746	3569.8065421541014
3500.0	6.0	3254.029420851716	3439.200410934145	3420.4474777883547	3548.103178717783	3597.492565675713
3600.0	3.5	3392.2186443270084	3529.581895552016	3428.6747870116087	3582.7014951129263	3657.4212216258848
3600.0	4.0	3455.867395838282	3649.3327853875617	3695.77981044083	3680.9093869294497	3664.3068918177514
3600.0	4.5	3428.449156744475	3627.040632070597	3676.16744027423	3673.8024965685745	3657.5444911125237
3600.0	5.0	3427.640894354477	3566.3864395626993	3532.3909819398373	3638.292623681462	3684.326064608041
3600.0	5.5	3337.1000583653977	3586.3032795488343	3643.6918847735033	3678.9972430006624	3662.8076888803616
3600.0	6.0	3270.9207504218098	3566.747303971622	3634.224978531316	3691.584646358996	3676.6470773344845
3700.0	3.5	3455.3043118194637	3657.876550835751	3593.819067369434	3701.40194579153	3754.1837098887877
3700.0	4.0	3483.5861479207483	3660.578175803187	3621.285715059303	3717.01578975555	3762.8011699954227
3700.0	4.5	3502.091243088653	3668.1503981464257	3647.478139241064	3732.4650472644057	3770.4180874605418
3700.0	5.0	3496.780086580447	3710.2209098491544	3767.950024409141	3769.601568774567	3750.6965853823062
3700.0	5.5	3449.4720621037804	3688.8306426294625	3750.3761525720306	3772.977138171017	3755.8480148773856
3700.0	6.0	3454.2036105242073	3654.901280701424	3666.444921470604	3757.8924185275064	3787.8570822952875
3800.0	3.5	3527.6509402200377	3790.0701943017607	3758.5754253079913	3820.517277316565	3852.265341164713
3800.0	4.0	3651.7642899540274	3869.3619677793836	3921.8204707657983	3884.9064412686816	3858.6872261157177
3800.0	4.5	3571.310624910865	3775.8616128645217	3780.3603250421997	3839.274224584746	3863.6944096386505
3800.0	5.0	3580.325821824719	3775.313837704087	3789.1832698981684	3848.4274560215954	3869.142401039961
3800.0	5.5	3572.1052844611545	3769.1601779728403	3788.8073411429777	3854.078948324523	3873.5677471851222
3800.0	6.0	3514.938221602598	3777.9502224847706	3849.919328826845	3880.528422795629	3863.867377183743
3900.0	3.5	3604.9149902914874	3925.4486847686367	3926.1259561015468	3942.3325101882842	3950.6679500120754
3900.0	4.0	3622.258689633476	3901.981681282025	3913.7137456225	3943.290189668246	3955.635703707225
3900.0	4.5	3642.3939070038614	3888.4124422987425	3914.6424482961947	3948.965043752338	3959.950280465214
3900.0	5.0	3656.9424918541185	3882.0159505796632	3915.6024748562486	3955.4330617161713	3965.4490243636906
3900.0	5.5	3677.581699947595	3903.667481329601	3969.2875850894434	3967.1759382025357	3947.3957631813832
