Teff	log(g)	T_BB_u	T_BB_g	T_BB_r	T_BB_i	T_BB_z
2300.0	3.5	10000.0	10000.0	10000.0	10000.0	10000.0
2300.0	4.0	2302.9928079462347	2177.4097279282323	1984.9747214453505	2245.8154022878507	2428.146600119801
2300.0	4.5	2204.3624242982805	2216.750019072375	2048.382456187047	2303.438439868564	2453.5999746699713
2300.0	5.0	2005.5965253015795	2345.9117864183236	2259.2347171921456	2576.9711291823355	2644.654913483667
2300.0	5.5	2031.6328847582333	2262.4853486455045	2160.2124286114304	2397.0388542623787	2516.5377238207684
2300.0	6.0	1978.149086774603	2406.102993358143	2439.3304174880404	2690.092039942725	2777.3322338434145
2400.0	3.5	10000.0	10000.0	10000.0	10000.0	10000.0
2400.0	4.0	2229.968023088964	2346.3336172503105	2149.5811999296716	2535.354115058549	2624.5430741207956
2400.0	4.5	2152.5210810190733	2360.677517192056	2209.9334955312083	2581.6353868204837	2668.747982409954
2400.0	5.0	2068.4733651200418	2338.52403294262	2230.336441794577	2598.231479946538	2693.7483824238634
2400.0	5.5	2104.8927462168126	2317.735656594036	2191.990425918276	2462.390377334005	2593.591742019544
2400.0	6.0	2042.5503476445506	2322.6592767451352	2240.9525024760333	2502.5605715711713	2633.89551725465
2500.0	3.5	10000.0	10000.0	10000.0	10000.0	10000.0
2500.0	4.0	2341.223705099633	2465.443382915948	2285.158318595219	2628.7268178005006	2714.103279226216
2500.0	4.5	2430.5238153077444	2338.6822457032936	2133.696659434108	2439.780315164645	2615.7420149017503
2500.0	5.0	2153.9182457360344	2429.9737142403064	2317.3761102027106	2670.985865768299	2768.03142529396
2500.0	5.5	2085.7719056732776	2470.331952818603	2437.28576867961	2728.337030818519	2832.7031218115817
2500.0	6.0	2048.98446186295	2545.659540923763	2596.304510641846	2815.356271945193	2907.7110471261185
2600.0	3.5	10000.0	10000.0	10000.0	10000.0	10000.0
2600.0	4.0	2614.2004921709427	2464.571959555747	2248.954961377378	2540.449474824821	2707.194057890478
2600.0	4.5	2342.0347936368294	2532.7978335332987	2394.052201993302	2712.6923202992616	2797.463560566907
2600.0	5.0	2254.1248745328744	2531.537635753033	2433.9893511336454	2747.057074963373	2840.0382299248904
2600.0	5.5	2169.6291828859466	2548.7012763424796	2509.068848856277	2793.068036004621	2898.3061554919273
2600.0	6.0	2112.0481452609856	2613.1132354007877	2651.6689567561493	2871.4384092158357	2987.4622342973585
2700.0	3.5	10000.0	10000.0	10000.0	10000.0	10000.0
2700.0	4.0	2710.0596741253207	2575.0336126732627	2370.928464985072	2651.105878446658	2804.688877590013
2700.0	4.5	2644.9831462379516	2561.527498582425	2357.6914112112017	2659.765851457016	2815.1299718014525
2700.0	5.0	2360.9353247476392	2645.5369347344104	2571.7634928894954	2829.4608019951875	2914.33081425079
2700.0	5.5	2446.2445579330206	2504.4965143019194	2331.2283332165493	2674.958312459534	2841.010571971556
2700.0	6.0	2320.4029900422875	2474.6449891030534	2342.6175788440105	2688.5858014163605	2860.335370327968
2800.0	3.5	10000.0	10000.0	10000.0	10000.0	10000.0
2800.0	4.0	2805.5723571079384	2687.638829267666	2496.7168231615233	2762.6035615339392	2904.265387839397
2800.0	4.5	2563.6787932086195	2770.5906095537835	2686.973243210503	2895.6723538379965	2957.8721442471992
2800.0	5.0	2473.8251423008214	2761.4236569460695	2713.746080765973	2917.973037263753	2987.4232706709536
2800.0	5.5	2566.575201482959	2628.269818317086	2463.6103441536643	2784.961673306387	2939.5437203013657
2900.0	3.5	10000.0	10000.0	10000.0	10000.0	10000.0
2900.0	4.0	2753.9591860873566	2897.7092171747972	2815.0605857072987	2979.963333174947	3026.688002268978
2900.0	4.5	2848.030121896845	2795.454175565271	2621.964700736024	2882.8698078241173	3012.067608661019
2900.0	5.0	2777.711782658443	2780.8383973671844	2616.592291867462	2890.6660399370767	3022.6480556234073
2900.0	5.5	2495.9813048425244	2867.664650672468	2880.8271813209512	3035.0929163199608	3099.538179869091
2900.0	6.0	2405.228375552183	2863.464919698651	2926.5903979985483	3067.467669193621	3148.7010088174393
3000.0	3.5	10000.0	10000.0	10000.0	10000.0	10000.0
3000.0	4.0	2860.4937129138752	3010.7482637424937	2954.2358798277455	3080.020278886844	3112.9460111698854
3000.0	4.5	2790.575694858584	2997.893795722194	2961.400587013565	3088.4313295503744	3119.785998740624
3000.0	5.5	2614.2848463172577	2975.1658317357014	2999.782174244501	3124.5912320074176	3169.6177693986606
3000.0	6.0	2519.4410840775254	2966.091080135876	3035.3234771893876	3151.70033494375	3211.5331160033893
3100.0	3.5	10000.0	10000.0	10000.0	10000.0	10000.0
3100.0	4.0	2964.834439665132	3120.6693799177488	3086.8902956440206	3180.1394503458273	3202.1912752859644
3100.0	4.5	3040.6056899271443	3022.598931816858	2877.335501292756	3101.081441247702	3208.8630227066365
3100.0	5.0	2825.9430965580545	3092.5518764542508	3094.993045161074	3197.2011310129824	3216.5846544085007
3100.0	5.5	2911.0305153497134	3002.0452317069758	2891.381160732334	3118.516540265289	3224.473688500814
3100.0	6.0	2640.18601171417	3068.0744574068344	3138.5199437172623	3239.466792659814	3278.522326194548
3200.0	3.5	10000.0	10000.0	10000.0	10000.0	10000.0
3200.0	4.0	3158.5403599476163	3119.6134581763226	2962.3665825371318	3193.348838925561	3306.74692466415
3200.0	4.5	3131.618381320197	3133.4447747472673	3001.693505210301	3209.333988588281	3308.8835363187354
3200.0	5.0	2943.8539420177513	3197.0872527450592	3209.7297711946626	3291.090520059142	3298.3665671628137
3200.0	5.5	2860.7894003103897	3183.2885387272963	3218.7947329921913	3307.655760995424	3318.1881666543763
3200.0	6.0	2929.7745947176713	3096.831361601693	3028.511987910818	3232.6630862371676	3327.9467052714213
3300.0	3.5	10000.0	10000.0	10000.0	10000.0	10000.0
3300.0	4.0	3233.3370484242773	3223.859907847624	3079.3442188410568	3298.0145478150703	3403.4536122193417
3300.0	4.5	3121.8555153786388	3318.2876743736783	3330.9890641293277	3380.526433265242	3379.7780266716854
3300.0	5.0	3060.9606498106486	3301.094857625387	3323.105458925582	3386.2382636914076	3384.553716967003
