Teff	log(g)	T_BB_us	T_BB_gs	T_BB_rs	T_BB_is	T_BB_zs
3750.0	7.0	3738.12306	4011.70989	4064.58184	4046.13752	4024.08467
4000.0	7.0	3932.01814	4174.53872	4211.44734	4196.04636	4186.16750
4250.0	7.0	4169.60439	4378.34913	4397.14233	4381.14956	4375.23232
4500.0	7.0	4437.26818	4613.30684	4615.92999	4597.60118	4592.90906
4750.0	7.0	4730.64170	4871.37706	4857.78938	4837.22716	4833.73685
5000.0	7.0	5056.39721	5140.06867	5106.19273	5081.79039	5078.02916
5250.0	7.0	5393.30470	5414.01232	5359.71379	5332.16427	5327.47392
5500.0	7.0	5728.28397	5690.28790	5616.25683	5584.99972	5581.13718
6000.0	7.0	6334.09261	6224.01719	6112.49902	6068.41709	6059.89484
6500.0	7.0	6873.78338	6747.23649	6612.40066	6557.83357	6544.57951
7000.0	7.0	7351.92356	7250.03074	7095.94735	7032.62354	7010.10485
7500.0	7.0	7792.84765	7763.01917	7596.26294	7521.71249	7490.50409
8000.0	7.0	8201.12112	8287.77160	8109.76454	8025.42072	7971.86735
8500.0	7.0	8584.85606	8830.97429	8647.21607	8539.88609	8458.49756
9000.0	7.0	8952.45317	9391.34066	9198.73996	9068.83480	8948.59218
9500.0	7.0	9310.11235	9963.64392	9759.87419	9589.89167	9420.79919
10000.0	7.0	9658.37335	10542.95535	10312.27501	10093.53555	9872.04059
10500.0	7.0	9978.50322	11068.95006	10791.52898	10516.16046	10243.83020
11000.0	7.0	10240.76251	11515.53974	11172.36136	10835.87916	10517.49581
11500.0	7.0	10456.51174	11895.48049	11468.57311	11068.67881	10718.37383
12000.0	7.0	10730.26674	12308.35643	11811.16035	11353.73092	10984.60005
12500.0	7.0	11037.61391	12679.18679	12138.45507	11645.92156	11257.03381
13000.0	7.0	11361.38178	13035.41543	12454.96711	11943.88905	11536.58566
13500.0	7.0	11705.95625	13404.41480	12795.80511	12257.83690	11849.34083
14000.0	7.0	12039.62826	13746.00987	13106.26450	12553.88649	12129.86237
14500.0	7.0	12393.58247	14101.58031	13439.73964	12872.22878	12444.79759
15000.0	7.0	12733.97443	14433.28444	13748.92722	13169.94267	12730.40820
15500.0	7.0	13077.45314	14763.89811	14059.60442	13460.67838	13013.87623
16000.0	7.0	13432.69877	15116.71599	14391.65968	13785.60391	13324.86924
16500.0	7.0	13793.65963	15466.71008	14730.89687	14102.40437	13640.43131
