Teff	log(g)	T_BB_u	T_BB_g	T_BB_r	T_BB_i	T_BB_z
3750.0	7.0	3711.42825	3986.81506	4062.69087	4049.60676	4023.85219
4000.0	7.0	3903.57697	4151.37188	4209.83777	4198.94257	4184.42631
4250.0	7.0	4138.42567	4357.30218	4395.84808	4383.57630	4372.35427
4500.0	7.0	4403.40380	4594.07994	4614.18473	4599.31784	4590.84765
4750.0	7.0	4694.72220	4853.15346	4856.37093	4839.23974	4831.26696
5000.0	7.0	5021.56454	5124.58604	5105.36496	5084.57192	5075.59071
5250.0	7.0	5366.22559	5401.46774	5359.53773	5334.85467	5326.89371
5500.0	7.0	5714.87595	5678.98181	5616.95995	5588.04632	5579.67500
6000.0	7.0	6341.31431	6215.56699	6112.68221	6072.38130	6061.31300
6500.0	7.0	6889.52304	6740.59340	6611.99357	6562.08155	6548.34132
7000.0	7.0	7371.45144	7244.28924	7096.78357	7036.53914	7014.88554
7500.0	7.0	7814.46824	7755.83673	7596.59448	7528.46022	7497.05843
8000.0	7.0	8223.08492	8277.71260	8111.91038	8030.77317	7984.25914
8500.0	7.0	8606.97613	8815.78752	8646.13423	8550.80821	8475.64788
9000.0	7.0	8973.26828	9373.27956	9199.93127	9080.09148	8971.13748
9500.0	7.0	9330.69852	9940.12993	9756.99376	9609.67476	9450.15206
10000.0	7.0	9681.10157	10508.08640	10308.18580	10116.32620	9905.36440
10500.0	7.0	10001.91485	11029.06242	10790.35544	10548.53177	10281.95168
11000.0	7.0	10266.40493	11475.63245	11171.46321	10866.53092	10561.01219
11500.0	7.0	10482.83886	11853.40982	11468.00416	11103.97879	10767.62865
12000.0	7.0	10757.97699	12264.12776	11811.23946	11398.09422	11034.15966
12500.0	7.0	11065.95466	12633.36187	12137.37286	11694.27675	11306.21474
13000.0	7.0	11390.25880	12993.87972	12453.83574	11990.50238	11590.95295
13500.0	7.0	11735.02693	13362.44735	12793.55625	12308.36960	11903.26522
14000.0	7.0	12073.69770	13704.21975	13109.15708	12602.85425	12189.86390
14500.0	7.0	12429.83058	14070.47844	13442.08544	12919.37141	12504.46528
15000.0	7.0	12773.45291	14404.16970	13751.22466	13216.11083	12789.54128
15500.0	7.0	13117.63731	14736.04546	14061.26856	13511.48826	13079.52012
16000.0	7.0	13481.64579	15090.78940	14392.87333	13834.94406	13390.50179
16500.0	7.0	13844.87151	15443.10803	14731.74232	14156.66541	13706.27829
17000.0	7.0	14195.74379	15770.76292	15033.44332	14453.33041	13993.74027
20000.0	7.0	16414.15653	17869.41205	17027.50231	16375.44441	15874.65441
25000.0	7.0	20496.78496	21725.64820	20669.83567	19888.15698	19306.65752
30000.0	7.0	25734.34807	26596.86113	25326.13942	24411.41273	23746.71830
35000.0	7.0	31261.77359	31740.74951	30342.68834	29406.77188	28781.52566
40000.0	7.0	35472.76262	35736.79103	34261.26794	33304.96318	32706.22014
45000.0	7.0	38883.21831	39013.57778	37469.62195	36504.03797	35950.03768
50000.0	7.0	41993.00278	42020.99269	40414.87645	39448.23661	38904.97326
55000.0	7.0	44820.41315	44749.22499	43108.30245	42130.94351	41647.39654
60000.0	7.0	47425.83259	47297.18114	45605.87928	44640.79279	44182.00234
65000.0	7.0	50554.37617	50317.96213	48595.95144	47624.47014	47159.71152
70000.0	7.0	53130.10142	52863.26104	51088.17968	50076.85507	49660.91509
75000.0	7.0	55633.14821	55337.45833	53500.55974	52522.10521	52157.94104
80000.0	7.0	58117.97208	57805.06546	55937.87242	54949.57067	54594.51283
85000.0	7.0	60535.82938	60183.03624	58271.86749	57275.91456	56967.35660
90000.0	7.0	63019.77199	62611.60046	60654.08733	59689.47725	59386.39099
