Teff	log(g)	T_BB_us	T_BB_gs	T_BB_rs	T_BB_is	T_BB_zs
3750.0	7.0	3787.73078	4021.83336	4045.76455	4047.49407	4007.86378
4000.0	7.0	3983.10972	4184.79555	4192.70435	4197.36652	4171.13744
4250.0	7.0	4222.36895	4388.74301	4378.56401	4382.41730	4361.73925
4500.0	7.0	4491.72643	4623.81780	4597.64545	4598.79744	4581.37555
4750.0	7.0	4786.72465	4881.96662	4839.95261	4838.33188	4824.59800
5000.0	7.0	5114.00178	5150.68514	5088.94708	5082.78877	5071.55105
5250.0	7.0	5452.17255	5424.59936	5343.20485	5333.04078	5323.94113
5500.0	7.0	5788.09770	5700.78812	5600.62656	5585.74041	5580.82384
6000.0	7.0	6394.84250	6234.19115	6098.93310	6068.86439	6066.23177
6500.0	7.0	6934.54374	6756.89476	6601.37456	6557.94198	6558.34845
7000.0	7.0	7412.06147	7259.01874	7087.78856	7032.36639	7031.60874
7500.0	7.0	7851.89939	7771.15517	7591.46684	7521.04413	7520.54250
8000.0	7.0	8258.74065	8294.86916	8108.80890	8024.29533	8010.96543
8500.0	7.0	8640.76557	8836.82867	8650.67090	8538.26190	8507.22105
9000.0	7.0	9006.40274	9395.74357	9207.10433	9066.66707	9007.43816
9500.0	7.0	9361.86077	9966.39797	9773.60074	9587.16083	9489.76687
10000.0	7.0	9707.70715	10543.87981	10331.61306	10090.23662	9950.98829
10500.0	7.0	10025.38758	11068.08214	10815.98259	10512.36822	10331.20836
11000.0	7.0	10285.48020	11513.05772	11201.03267	10831.70436	10611.19117
11500.0	7.0	10499.34129	11891.56193	11500.61331	11064.22065	10816.76335
12000.0	7.0	10770.56601	12302.81388	11847.18868	11348.92054	11089.28202
12500.0	7.0	11074.89713	12672.13219	12178.38130	11640.74438	11368.23529
13000.0	7.0	11395.29239	13026.86276	12498.74070	11938.33212	11654.55736
13500.0	7.0	11736.06341	13394.26520	12843.80350	12251.87389	11974.97853
14000.0	7.0	12065.84798	13734.34262	13158.18167	12547.53524	12262.45421
