Teff	log(g)	T_BB_u	T_BB_g	T_BB_r	T_BB_i	T_BB_z
3750.0	7.0	3676.63236	3940.37359	4028.51284	4026.83768	3995.49798
4000.0	7.0	3867.69577	4104.27921	4175.79563	4176.74050	4158.05805
4250.0	7.0	4101.31393	4309.53449	4362.10740	4362.19817	4348.56247
4500.0	7.0	4365.03031	4545.72730	4580.97976	4579.07023	4570.38104
4750.0	7.0	4655.11628	4804.39319	4823.98534	4820.45513	4814.85170
5000.0	7.0	4980.76840	5075.65648	5074.06286	5067.49946	5063.69419
5250.0	7.0	5324.39400	5352.63384	5329.58704	5319.74545	5320.04632
5500.0	7.0	5672.22506	5630.51166	5588.62337	5575.13668	5578.29590
6000.0	7.0	6297.76215	6168.54361	6088.12170	6064.24493	6071.36076
6500.0	7.0	6845.77493	6695.90449	6592.07821	6559.47447	6571.17526
7000.0	7.0	7327.97874	7202.65923	7082.13396	7039.90772	7051.01489
7500.0	7.0	7771.61018	7718.09801	7588.10037	7538.61295	7547.89967
8000.0	7.0	8181.09383	8244.71987	8110.48078	8048.41899	8050.87106
8500.0	7.0	8566.05589	8788.46681	8652.74127	8576.76089	8558.99827
9000.0	7.0	8933.59597	9352.62372	9215.57673	9115.02165	9072.13071
9500.0	7.0	9292.45186	9927.02550	9782.40002	9654.06822	9568.86270
10000.0	7.0	9644.44714	10503.28422	10343.85798	10170.18385	10041.46014
10500.0	7.0	9966.88310	11032.48477	10835.46632	10610.75460	10432.80052
11000.0	7.0	10232.82690	11486.54244	11224.31674	10935.06815	10722.99521
11500.0	7.0	10450.52682	11870.95383	11527.04520	11177.31444	10937.96026
12000.0	7.0	10727.37170	12289.18177	11877.61180	11477.46788	11215.38654
12500.0	7.0	11037.38653	12665.42055	12210.87211	11779.83180	11498.70236
13000.0	7.0	11363.97707	13032.99927	12534.39359	12082.33630	11795.37007
13500.0	7.0	11711.33069	13409.00255	12881.84117	12407.04344	12120.92771
14000.0	7.0	12052.69238	13757.85844	13204.75322	12707.95496	12419.82163
14500.0	7.0	12411.81199	14131.90143	13545.52663	13031.47191	12748.06632
15000.0	7.0	12758.46442	14472.85231	13862.06688	13334.85641	13045.63131
15500.0	7.0	13105.82565	14812.10065	14179.64143	13636.92429	13348.43096
16000.0	7.0	13473.34383	15174.88711	14519.41523	13967.78946	13673.28693
16500.0	7.0	13840.22067	15535.35270	14866.74947	14296.96254	14003.27744
17000.0	7.0	14194.75691	15870.72155	15176.08281	14600.56817	14303.78385
20000.0	7.0	16439.20344	18021.62496	17222.61395	16569.08129	16272.22408
25000.0	7.0	20580.49161	21984.27807	20967.99016	20171.58238	19871.39752
30000.0	7.0	25908.18542	27003.59005	25765.32181	24816.84240	24537.13133
35000.0	7.0	31543.06838	32314.93731	30941.33698	29952.18893	29835.69304
40000.0	7.0	35841.84982	36446.48721	34988.11459	33962.12363	33969.68072
45000.0	7.0	39326.21606	39837.01505	38303.15043	37254.06619	37388.18230
50000.0	7.0	42505.15548	42950.48086	41347.40813	40284.45292	40503.26936
55000.0	7.0	45396.66064	45776.06195	44132.10831	43046.18125	43395.02913
60000.0	7.0	48062.02315	48415.77051	46714.85225	45630.31283	46068.15375
