Teff	log(g)	T_BB_us	T_BB_gs	T_BB_rs	T_BB_is	T_BB_zs
3750.0	5.00	3946.65946	3962.77015	3900.52205	3875.87318	3847.55012
4000.0	5.00	4161.37536	4160.81833	4093.15008	4067.67171	4042.09063
4250.0	5.00	4397.85001	4384.47443	4312.00999	4284.65981	4261.21778
4500.0	5.00	4657.72401	4632.00787	4554.00381	4523.97401	4502.89006
4750.0	5.00	4943.44599	4898.45475	4810.17261	4775.15389	4756.32078
5000.0	5.00	5243.05676	5194.28974	5092.38181	5050.90067	5034.04699
5250.0	5.00	5549.91182	5470.17040	5351.32964	5302.34506	5287.05290
5500.0	5.00	5837.93804	5740.49728	5606.97034	5551.17902	5537.43512
5750.0	5.00	6113.40201	6008.08215	5860.49137	5797.69722	5785.54645
6000.0	5.00	6377.78819	6274.98882	6113.12018	6043.12491	6032.41177
6250.0	5.00	6630.43421	6543.25467	6366.20594	6288.59821	6278.90609
6500.0	5.00	6868.89643	6813.69517	6621.12111	6535.15047	6525.91462
7000.0	5.00	7302.85528	7368.56556	7145.34994	7039.20725	7028.10399
7500.0	5.00	7694.49291	7952.10772	7697.92745	7563.60498	7545.48120
8000.0	5.00	8066.79881	8567.21058	8277.42779	8102.38188	8072.49762
8500.0	5.00	8439.29670	9207.22641	8866.95441	8633.39715	8588.73903
9000.0	5.00	8807.33944	9864.09642	9423.43447	9103.37239	9043.46942
9500.0	5.00	9116.97721	10452.04247	9823.52678	9404.63788	9333.04527
10000.0	5.00	9462.22438	10919.30314	10204.69913	9725.98254	9652.38085
10500.0	5.00	9827.14023	11320.09731	10565.88882	10056.81519	9988.41372
11000.0	5.00	10210.36126	11698.14391	10912.86710	10381.89593	10323.52432
11500.0	5.00	10601.56767	12060.97205	11253.26878	10706.49789	10660.13284
12000.0	5.00	10962.90323	12406.82060	11579.02984	11016.24674	10976.54468
12500.0	5.00	11324.00996	12747.58605	11904.55171	11329.68898	11294.95682
13000.0	5.00	11676.59497	13082.74981	12226.12132	11640.65735	11607.54505
13500.0	5.00	12024.83572	13415.82616	12546.62874	11951.24908	11918.30330
14000.0	5.00	12368.82715	13746.84656	12865.38687	12260.37032	12226.44563
14500.0	5.00	12712.76154	14077.31613	13183.99170	12569.67508	12534.06507
15000.0	5.00	13053.73464	14406.83155	13501.27256	12877.38683	12840.18238
15500.0	5.00	13396.14475	14736.95660	13819.32321	13186.14190	13146.94539
16000.0	5.00	13740.32906	15068.02320	14138.38076	13496.11554	13454.91914
16500.0	5.00	14083.74638	15399.51423	14457.43688	13805.56135	13762.87033
17000.0	5.00	14430.18345	15733.16181	14778.64951	14117.34096	14073.19077
20000.0	5.00	16564.01870	17783.94963	16750.15299	16029.61619	15979.74684
25000.0	5.00	20518.69485	21574.02135	20378.98808	19537.77705	19486.09235
30000.0	5.00	25832.38255	26564.87120	25236.72137	24272.02422	24247.76697
35000.0	5.00	31731.35085	32019.56426	30743.58518	29779.82680	29898.80423
40000.0	5.00	36221.37058	36243.07235	34970.29173	33992.79757	34235.44103
45000.0	5.00	39980.81362	39808.34469	38515.01028	37515.04164	37862.21542
50000.0	5.00	43468.33824	43128.74220	41804.85907	40777.42230	41220.84955
55000.0	5.00	46744.19850	46252.69678	44888.40752	43826.54616	44354.89879
60000.0	5.00	49969.22147	49329.15283	47911.32762	46805.09220	47409.36289
3750.0	5.25	3969.71068	3979.70895	3914.99455	3888.87087	3859.70845
4000.0	5.25	4176.19069	4171.23470	4101.94598	4075.72795	4049.77601
4250.0	5.25	4406.81163	4389.88492	4316.29601	4288.54123	4264.89248
4500.0	5.25	4660.54083	4632.50789	4554.08564	4524.02116	4502.78906
4750.0	5.25	4937.03184	4893.70690	4807.42317	4773.50670	4754.76912
5000.0	5.25	5226.78791	5188.53720	5091.29791	5051.91279	5035.45576
5250.0	5.25	5538.99894	5464.51551	5349.61603	5302.98395	5288.20172
5500.0	5.25	5830.27003	5734.88634	5605.05123	5551.75967	5538.58593
5750.0	5.25	6106.42900	6001.01419	5857.77310	5798.09671	5786.61808
6000.0	5.25	6371.20265	6265.75356	6109.44362	6043.27707	6033.41531
6250.0	5.25	6625.06507	6531.24150	6361.45821	6288.33543	6279.74201
6500.0	5.25	6866.28599	6798.65933	6614.69650	6534.11729	6526.19915
7000.0	5.25	7307.91710	7345.31461	7133.00567	7034.62018	7025.20902
7500.0	5.25	7704.43501	7917.57993	7676.73059	7553.70679	7536.92742
8000.0	5.25	8077.13356	8520.83125	8248.11563	8089.15440	8058.11404
8500.0	5.25	8443.87014	9149.52771	8834.87692	8625.02372	8575.06514
9000.0	5.25	8808.09247	9788.00918	9401.35876	9118.27866	9045.93786
9500.0	5.25	9121.02169	10387.09424	9849.37587	9471.49633	9377.91749
10000.0	5.25	9416.39127	10886.85829	10211.15658	9753.69575	9650.65626
10500.0	5.25	9771.71668	11305.16098	10580.09149	10085.32483	9982.84138
11000.0	5.25	10141.20347	11688.38887	10928.32791	10409.20908	10312.86724
11500.0	5.25	10516.08644	12052.71544	11264.71074	10726.07726	10638.00385
12000.0	5.25	10886.78735	12403.84541	11594.00335	11039.37920	10959.08369
12500.0	5.25	11249.35336	12746.18509	11918.85819	11350.89282	11276.23555
13000.0	5.25	11603.59645	13081.97745	12239.68846	11660.05549	11588.41151
13500.0	5.25	11952.53722	13415.09383	12559.34558	11969.20464	11898.88902
14000.0	5.25	12297.73176	13746.03212	12877.57563	12277.43501	12207.17123
14500.0	5.25	12640.77871	14075.71568	13194.92941	12585.06876	12514.31256
15000.0	5.25	12982.85684	14404.90988	13511.90936	12892.59909	12820.88709
15500.0	5.25	13324.62208	14733.94714	13828.69994	13199.99185	13127.02872
16000.0	5.25	13667.39971	15064.04578	14146.63176	13508.58095	13434.58021
16500.0	5.25	14011.28461	15394.90340	14465.26948	13817.84178	13742.76618
