Teff	log(g)	T_BB_us	T_BB_gs	T_BB_rs	T_BB_is	T_BB_zs
3750.0	5.0	3946.6594632631536	3962.7701516256943	3900.522046983023	3875.8731840091978	3847.5501234163316
4000.0	5.0	4161.375356611804	4160.8183258392655	4093.150081191415	4067.671705406427	4042.090634077465
4250.0	5.0	4397.850005803655	4384.474430015391	4312.009992434967	4284.6598142249795	4261.217777446084
4500.0	5.0	4657.724007961136	4632.0078704520665	4554.003812479168	4523.974012550584	4502.890056698256
4750.0	5.0	4943.445992795962	4898.454752925671	4810.172607142825	4775.153885840602	4756.3207848618395
5000.0	5.0	5243.0567624975565	5194.28974310518	5092.381811871478	5050.900673042531	5034.046989188455
5250.0	5.0	5549.911823207535	5470.170402735689	5351.329641067491	5302.345060869915	5287.052899658653
5500.0	5.0	5837.938041985724	5740.49727856526	5606.970336231781	5551.17901880176	5537.435121092448
5750.0	5.0	6113.402012486287	6008.082149658634	5860.491365583844	5797.69721923929	5785.546445277611
6000.0	5.0	6377.788187829274	6274.988823397121	6113.120177036498	6043.124908715748	6032.411771234829
6250.0	5.0	6630.434205432054	6543.25467128819	6366.2059401283095	6288.598212497559	6278.90608930617
6500.0	5.0	6868.896429423132	6813.695167370924	6621.121105838124	6535.150471288998	6525.914618174187
7000.0	5.0	7302.855284547356	7368.56556405626	7145.349935784635	7039.207247794527	7028.103993841739
7500.0	5.0	7694.492911430788	7952.107717436089	7697.927449118976	7563.604975268915	7545.481199367511
8000.0	5.0	8066.798811637738	8567.210578279955	8277.427794951036	8102.381882834325	8072.497615882123
8500.0	5.0	8439.296703719558	9207.226413080658	8866.954407482577	8633.397150415372	8588.739026883966
9000.0	5.0	8807.339437667146	9864.096423525738	9423.434473031786	9103.372394222626	9043.469424353585
9500.0	5.0	9116.977209600976	10452.042472279354	9823.526776905284	9404.637875908731	9333.045271624667
10000.0	5.0	9462.224376726752	10919.303143178087	10204.699130386762	9725.982536225658	9652.38084791309
10500.0	5.0	9827.14022544216	11320.097309584211	10565.888816844366	10056.815187148111	9988.413720286739
11000.0	5.0	10210.361257364619	11698.143908858332	10912.86710473813	10381.895934849297	10323.524323867856
11500.0	5.0	10601.567672791114	12060.972051793096	11253.268777832558	10706.497894091079	10660.132842219618
12000.0	5.0	10962.903231109269	12406.820600507059	11579.029840668902	11016.24674252911	10976.544679168015
12500.0	5.0	11324.009956523778	12747.586054682652	11904.55170735644	11329.688978768514	11294.956819553223
13000.0	5.0	11676.594966577692	13082.749812049991	12226.121319789103	11640.657354959128	11607.545047137983
13500.0	5.0	12024.835724463554	13415.826161031297	12546.628736157269	11951.249076149374	11918.30329957397
14000.0	5.0	12368.827145236455	13746.846557798839	12865.386874706404	12260.370316076942	12226.445631861383
14500.0	5.0	12712.761541025646	14077.316130774105	13183.99170328174	12569.67507862484	12534.065073166516
15000.0	5.0	13053.734639580047	14406.831546188563	13501.272558460823	12877.386829801619	12840.182378088037
15500.0	5.0	13396.144753769166	14736.956595020845	13819.32321112466	13186.141895342686	13146.94538653303
16000.0	5.0	13740.32905591899	15068.023198426154	14138.380759874475	13496.115535753454	13454.919138572337
16500.0	5.0	14083.746375017792	15399.514229998947	14457.436882575816	13805.561345823398	13762.870329219979
17000.0	5.0	14430.183451231627	15733.161814239435	14778.649505871088	14117.340961679856	14073.19076990275
20000.0	5.0	16564.01869997725	17783.94962575429	16750.15299280163	16029.616194842598	15979.746844065545
25000.0	5.0	20518.694845328377	21574.021352215048	20378.988078943647	19537.777054058388	19486.09235171095
30000.0	5.0	25832.382549273043	26564.871203320632	25236.721366528418	24272.024223051154	24247.76696938535
35000.0	5.0	31731.350851810766	32019.564262364336	30743.58517615403	29779.82680324774	29898.804234368712
40000.0	5.0	36221.37058211835	36243.07234625012	34970.291729724995	33992.79756692097	34235.441031949355
45000.0	5.0	39980.81361927155	39808.34469099729	38515.01028240448	37515.04163809113	37862.21541605533
50000.0	5.0	43468.33823521462	43128.74219614605	41804.85907022047	40777.42229652855	41220.84955245687
55000.0	5.0	46744.19849947022	46252.696783686755	44888.40751729055	43826.546164996274	44354.89878709228
60000.0	5.0	49969.221465152754	49329.15282969487	47911.327621569915	46805.092201923675	47409.3628891282
3750.0	5.25	3969.7106845823487	3979.7089500170073	3914.994549978023	3888.870865217408	3859.708445099781
4000.0	5.25	4176.19069240136	4171.234699517476	4101.945976634243	4075.7279474893417	4049.776005179933
4250.0	5.25	4406.811630004724	4389.884918362458	4316.2960125187155	4288.541231495509	4264.892478185997
4500.0	5.25	4660.54082881142	4632.507887017043	4554.085639229277	4524.021157539389	4502.789064625257
4750.0	5.25	4937.031842938812	4893.706902863006	4807.423165492174	4773.506703457938	4754.769117897025
5000.0	5.25	5226.787910431297	5188.53719524403	5091.297909564016	5051.912787613822	5035.455759773827
5250.0	5.25	5538.998943428681	5464.515508792262	5349.616027336631	5302.983954526839	5288.201718198869
5500.0	5.25	5830.270025777611	5734.886338995223	5605.051234172151	5551.759673648324	5538.5859313045385
5750.0	5.25	6106.429001440622	6001.0141887247455	5857.773095771892	5798.096705675616	5786.618079562126
