Teff	log(g)	T_BB_us	T_BB_gs	T_BB_rs	T_BB_is	T_BB_zs
5000.0	6.50	5090.04761	5130.96730	5077.42524	5054.23722	5048.38505
5000.0	6.75	5070.27711	5130.28324	5080.10299	5058.02855	5051.78222
5000.0	7.00	5049.75994	5129.76320	5082.70765	5061.49762	5055.44296
5000.0	7.25	5029.73728	5129.29858	5085.48759	5064.81478	5058.83265
5000.0	7.50	5010.33818	5128.85981	5088.46884	5068.38590	5061.73137
5000.0	7.75	4991.91953	5128.29996	5091.60691	5071.65563	5064.93878
5000.0	8.00	4974.17684	5127.86066	5094.98635	5074.43151	5069.14263
5000.0	8.25	4956.93146	5127.25502	5098.83863	5078.44502	5072.57198
5000.0	8.50	4940.30336	5126.96432	5103.18832	5082.54601	5077.08346
5000.0	8.75	4923.66254	5126.39822	5107.59127	5087.09581	5081.73974
5000.0	9.00	4907.77580	5125.90643	5112.52959	5092.30379	5087.13924
5000.0	9.25	4892.26526	5125.09778	5117.47457	5097.46209	5092.97795
5000.0	9.50	4877.44694	5124.17913	5122.84095	5103.60274	5099.37236
5250.0	6.50	5425.22790	5400.93813	5332.25211	5304.35057	5297.53473
5250.0	6.75	5407.85339	5399.25384	5334.53081	5308.63732	5301.73528
5250.0	7.00	5388.49784	5398.39663	5337.29308	5312.76692	5306.84329
5250.0	7.25	5366.91942	5398.20285	5340.67364	5317.51800	5311.89632
5250.0	7.50	5345.68268	5398.41580	5344.22997	5322.91353	5316.68896
5250.0	7.75	5324.91314	5398.69234	5348.16295	5327.47634	5321.07730
5250.0	8.00	5305.09085	5398.79524	5352.04067	5331.20487	5325.67541
5250.0	8.25	5286.51835	5398.90407	5356.38778	5336.07433	5329.80870
5250.0	8.50	5269.02329	5398.88686	5360.83233	5340.51522	5334.39786
5250.0	8.75	5252.77266	5398.82185	5365.35323	5344.63505	5339.62872
5250.0	9.00	5237.74595	5398.67739	5370.62828	5350.10241	5344.56665
5250.0	9.25	5223.70102	5398.47765	5375.75513	5355.25765	5350.56124
5250.0	9.50	5211.09766	5398.68598	5381.98464	5362.08013	5357.10067
5500.0	6.50	5745.84275	5671.95819	5589.16405	5556.68718	5548.51487
5500.0	6.75	5729.59884	5668.68635	5590.26514	5560.35480	5552.75154
5500.0	7.00	5714.63413	5665.33109	5590.69243	5563.32195	5555.60743
5500.0	7.25	5696.85268	5664.47930	5591.95946	5567.35177	5559.78251
5500.0	7.50	5676.79253	5664.75210	5596.45534	5572.53622	5565.57763
5500.0	7.75	5655.40874	5665.89839	5602.09950	5579.94792	5571.83461
5500.0	8.00	5634.23466	5667.15359	5606.73296	5585.83413	5578.82161
5500.0	8.25	5613.33120	5668.31200	5612.21099	5592.07838	5584.71733
5500.0	8.50	5593.46400	5669.25644	5616.80669	5597.47536	5591.24015
5500.0	8.75	5575.12719	5669.87715	5622.23553	5602.24719	5597.09268
5500.0	9.00	5558.14151	5670.33404	5628.35135	5608.44341	5602.78903
5500.0	9.25	5542.76194	5670.57494	5634.38045	5614.28645	5609.28418
5500.0	9.50	5529.20153	5670.81602	5640.46536	5620.40962	5615.99406
5750.0	6.50	6046.76419	5938.62454	5840.06943	5800.94278	5790.77238
5750.0	6.75	6036.02396	5937.25757	5843.42473	5806.95143	5798.96835
5750.0	7.00	6024.04871	5935.36855	5845.63078	5812.22342	5804.74467
5750.0	7.25	6012.80771	5932.27755	5847.30120	5817.90317	5809.53738
5750.0	7.50	5997.95926	5930.05590	5849.37868	5822.39015	5814.41617
5750.0	7.75	5979.80170	5929.87566	5851.87712	5828.11102	5820.46105
5750.0	8.00	5960.09658	5931.78150	5857.33132	5834.64301	5826.79741
5750.0	8.25	5939.75869	5934.45756	5863.67919	5841.95094	5834.93288
5750.0	8.50	5918.88839	5937.06519	5869.94663	5849.57589	5843.90407
5750.0	8.75	5898.40322	5939.28570	5876.62242	5857.20465	5850.94818
5750.0	9.00	5878.62236	5941.07189	5883.68268	5866.30995	5858.51255
5750.0	9.25	5860.44839	5942.33435	5891.23402	5872.90866	5866.26954
5750.0	9.50	5843.97132	5943.19620	5897.61190	5879.08492	5874.12633
6000.0	6.50	6325.40262	6195.52886	6083.75963	6040.30499	6027.54807
6000.0	6.75	6322.10199	6196.70573	6086.70056	6045.40961	6034.86838
6000.0	7.00	6316.45260	6197.94111	6093.09488	6054.36443	6043.90169
6000.0	7.25	6309.51617	6198.09562	6098.07293	6061.98439	6053.02406
6000.0	7.50	6302.84649	6196.63835	6100.88114	6069.41945	6060.15754
6000.0	7.75	6291.75851	6195.27305	6104.03816	6076.16316	6066.83262
6000.0	8.00	6276.72056	6195.25255	6107.94948	6082.54461	6074.62656
6000.0	8.25	6259.52307	6196.66356	6113.06964	6090.59600	6082.84039
6000.0	8.50	6241.08210	6200.11695	6118.75879	6098.00448	6091.07960
6000.0	8.75	6221.50451	6204.58096	6126.29268	6108.21148	6100.87538
6000.0	9.00	6201.58591	6208.86858	6136.09589	6118.77002	6110.13902
6000.0	9.25	6181.43903	6212.24269	6144.25830	6127.97434	6120.41335
6000.0	9.50	6162.31835	6214.88260	6153.35095	6137.09997	6130.01062
6250.0	6.50	6585.87290	6450.22577	6324.94687	6275.33894	6263.77856
6250.0	6.75	6587.06153	6450.84181	6330.15854	6283.45582	6270.00373
6250.0	7.00	6588.27233	6452.10222	6335.67948	6292.33715	6280.12559
6250.0	7.25	6587.44444	6454.91683	6340.62637	6301.51764	6289.71311
6250.0	7.50	6585.94071	6457.47244	6346.94885	6309.63030	6298.89562
6250.0	7.75	6583.95607	6458.11657	6351.83226	6318.18775	6308.72017
6250.0	8.00	6577.24327	6458.57191	6356.97743	6327.95203	6317.88644
6250.0	8.25	6566.48581	6459.86664	6361.41176	6337.51099	6327.46779
6250.0	8.50	6552.95660	6462.32107	6367.64150	6346.50302	6337.92330
6250.0	8.75	6537.35321	6465.98862	6374.82827	6356.77278	6348.52062
6250.0	9.00	6520.00240	6470.92446	6382.75545	6367.33586	6359.45812
6250.0	9.25	6501.55518	6477.33465	6392.71147	6377.53746	6370.92124
6250.0	9.50	6482.40539	6483.21261	6403.19447	6388.53692	6381.53041
6500.0	6.50	6834.30396	6702.33159	6569.19413	6516.17452	6500.98887
6500.0	6.75	6839.28674	6701.65680	6571.15265	6521.40353	6506.65865
6500.0	7.00	6844.08198	6702.87372	6573.47714	6527.42233	6513.05933
