Teff	log(g)	T_BB_u	T_BB_g	T_BB_r	T_BB_i	T_BB_z
5000.0	6.50	5065.22431	5132.72107	5079.69693	5055.94891	5047.61732
5000.0	6.75	5042.21075	5131.71545	5082.15925	5059.60988	5051.16683
5000.0	7.00	5018.64405	5130.88737	5084.77203	5062.72924	5054.57577
5000.0	7.25	4995.89909	5130.13388	5087.47500	5065.94783	5057.86698
5000.0	7.50	4974.38998	5129.36031	5090.36867	5068.96957	5061.03499
5000.0	7.75	4954.07549	5128.57655	5093.60676	5072.19589	5064.41081
5000.0	8.00	4934.62218	5127.77759	5097.28313	5076.05671	5068.08454
5000.0	8.25	4915.75756	5126.81311	5101.07823	5079.57697	5071.67459
5000.0	8.50	4897.69956	5126.20307	5105.56787	5084.09117	5076.31492
5000.0	8.75	4879.90680	5125.20188	5110.15153	5088.57628	5080.87582
5000.0	9.00	4862.92803	5124.37387	5115.18820	5093.65077	5086.18662
5000.0	9.25	4846.45145	5123.16805	5120.25371	5098.98713	5091.87843
5000.0	9.50	4831.07942	5121.87868	5125.69585	5105.07999	5098.20554
5250.0	6.50	5413.46360	5404.02235	5334.78872	5306.35844	5296.73766
5250.0	6.75	5391.81531	5402.02078	5336.85836	5309.96514	5300.85523
5250.0	7.00	5367.92280	5400.87960	5339.73984	5314.86673	5305.80682
5250.0	7.25	5342.16567	5400.37800	5343.05174	5319.68563	5310.71353
5250.0	7.50	5316.77075	5400.24689	5346.63592	5323.90845	5315.53260
5250.0	7.75	5292.59317	5400.24268	5350.42580	5328.60065	5320.16672
5250.0	8.00	5269.99478	5400.01130	5354.36436	5333.03660	5324.48578
5250.0	8.25	5249.11738	5399.78811	5358.62688	5337.15041	5328.98527
5250.0	8.50	5229.90838	5399.44052	5363.22802	5341.69704	5333.51551
5250.0	8.75	5212.12614	5399.04604	5368.18230	5346.31178	5338.47384
5250.0	9.00	5195.77665	5398.60654	5373.42845	5351.63822	5343.64893
5250.0	9.25	5180.87218	5397.97947	5378.89343	5356.89324	5349.39583
5250.0	9.50	5167.76588	5397.91263	5385.03622	5363.45604	5356.15695
5500.0	6.50	5746.56175	5676.12930	5591.82795	5558.51073	5547.42276
5500.0	6.75	5726.03550	5672.53574	5592.90671	5561.99657	5551.46176
5500.0	7.00	5707.21163	5669.01242	5593.21056	5564.87105	5554.76483
5500.0	7.25	5685.06102	5667.88767	5595.16644	5568.38673	5558.65641
5500.0	7.50	5659.56701	5667.83808	5599.19781	5573.73761	5564.52150
5500.0	7.75	5633.16136	5668.57453	5604.10486	5580.39509	5571.25267
5500.0	8.00	5607.09994	5669.57714	5609.17289	5587.03071	5577.88982
5500.0	8.25	5582.33196	5670.33080	5614.23240	5593.19257	5584.09006
5500.0	8.50	5559.30829	5670.95191	5619.53691	5598.44705	5589.96653
5500.0	8.75	5538.31159	5671.26021	5625.16942	5604.20859	5595.81881
5500.0	9.00	5519.48806	5671.41577	5631.03554	5610.15488	5601.69663
5500.0	9.25	5502.85966	5671.32434	5637.38558	5616.12641	5607.95280
5500.0	9.50	5488.40390	5671.19546	5643.86073	5622.12555	5614.60959
5750.0	6.50	6056.90401	5943.80419	5842.99768	5803.10273	5790.24560
5750.0	6.75	6042.89553	5942.15385	5846.58667	5809.97898	5797.47039
5750.0	7.00	6027.02866	5939.98376	5849.03090	5815.57454	5803.57541
5750.0	7.25	6012.88755	5936.79558	5850.05501	5819.32349	5808.10699
5750.0	7.50	5993.93986	5934.21257	5851.93894	5824.12039	5813.38102
5750.0	7.75	5970.55698	5933.79709	5854.88604	5829.30841	5819.29761
5750.0	8.00	5945.00233	5935.42174	5859.72929	5835.87301	5825.85266
5750.0	8.25	5918.74860	5937.65130	5866.20393	5844.11678	5834.06442
5750.0	8.50	5892.62623	5939.88546	5872.70117	5851.96398	5842.46575
5750.0	8.75	5867.69752	5941.86943	5879.47669	5859.83543	5850.41085
5750.0	9.00	5844.57447	5943.30575	5886.47576	5866.95332	5857.83593
5750.0	9.25	5823.71879	5944.27375	5893.68376	5874.01595	5865.32190
5750.0	9.50	5805.50599	5944.76156	5901.36121	5881.40438	5872.71849
6000.0	6.50	6341.69445	6201.55421	6086.62392	6041.48782	6026.69741
6000.0	6.75	6336.44281	6202.49518	6090.60893	6048.36705	6034.02355
