Teff	log(g)	T_BB_us	T_BB_gs	T_BB_rs	T_BB_is	T_BB_zs
5000.0	6.50	5071.66637	5130.61847	5076.38870	5053.15436	5045.24982
5000.0	6.75	5049.71183	5129.76346	5078.86151	5056.99663	5048.89263
5000.0	7.00	5027.23743	5129.04973	5082.14678	5060.52659	5052.57579
5000.0	7.25	5005.31678	5128.37990	5084.94894	5063.84111	5055.93053
5000.0	7.50	4984.50387	5127.72460	5088.12119	5067.42367	5058.72165
5000.0	7.75	4964.68055	5126.95215	5091.28130	5070.69110	5061.90559
5000.0	8.00	4945.57072	5126.28276	5094.33770	5073.43686	5066.25133
5000.0	8.25	4927.01176	5125.45166	5098.38938	5077.46114	5069.58355
5000.0	8.50	4909.10556	5124.92773	5102.34119	5081.43747	5074.08677
5000.0	8.75	4891.64376	5124.12871	5106.78185	5085.98265	5078.72768
5000.0	9.00	4874.64742	5123.40465	5111.77475	5091.18298	5084.11870
5000.0	9.25	4858.30802	5122.36331	5117.04870	5096.27692	5090.01762
5000.0	9.50	4842.84413	5121.22059	5122.51216	5102.40898	5096.39706
5250.0	6.50	5415.14987	5400.80255	5330.93599	5303.16955	5294.45177
5250.0	6.75	5395.11340	5398.99811	5333.87256	5307.60060	5298.66165
5250.0	7.00	5373.81453	5397.97925	5336.43401	5311.70844	5303.38388
5250.0	7.25	5349.49081	5397.59953	5339.85681	5316.45456	5309.02867
5250.0	7.50	5325.90697	5397.60045	5343.47423	5321.47882	5313.76536
5250.0	7.75	5302.74114	5397.65023	5347.10246	5326.25849	5318.02629
5250.0	8.00	5281.15616	5397.52049	5351.30978	5330.13030	5322.67129
5250.0	8.25	5260.99288	5397.38952	5355.93686	5335.01054	5326.68759
5250.0	8.50	5242.06149	5397.13383	5360.41173	5339.44685	5331.24973
5250.0	8.75	5224.74621	5396.83418	5364.70332	5343.33804	5336.54430
5250.0	9.00	5208.72825	5396.45297	5369.65915	5348.87026	5341.36772
5250.0	9.25	5193.95648	5396.02244	5375.20809	5353.94511	5347.42299
5250.0	9.50	5180.69710	5396.01073	5381.15028	5360.82949	5353.85062
5500.0	6.50	5742.47358	5671.94624	5588.41033	5555.58868	5545.65943
5500.0	6.75	5724.25499	5668.57315	5589.57801	5559.24893	5549.81393
5500.0	7.00	5707.53891	5665.13823	5590.06808	5562.21002	5552.81902
5500.0	7.25	5687.46672	5664.13688	5589.97731	5565.99839	5556.57085
5500.0	7.50	5664.62158	5664.23213	5595.56768	5570.94830	5561.91466
5500.0	7.75	5640.08537	5665.16829	5601.90108	5578.84159	5568.66502
5500.0	8.00	5616.37225	5666.19357	5605.49770	5584.50397	5575.68365
5500.0	8.25	5593.03680	5667.10120	5610.56881	5591.01577	5581.43661
5500.0	8.50	5571.08983	5667.78394	5616.07604	5595.85896	5588.10023
5500.0	8.75	5551.29753	5668.14432	5621.49718	5600.82782	5593.91390
5500.0	9.00	5532.96075	5668.33940	5627.17851	5607.10560	5599.47664
5500.0	9.25	5516.49561	5668.32706	5633.73188	5613.10705	5606.02894
5500.0	9.50	5502.27518	5668.33006	5639.87836	5618.96195	5612.69841
5750.0	6.50	6048.26349	5938.70767	5839.15345	5799.79967	5788.32453
5750.0	6.75	6035.99645	5937.23868	5842.17473	5805.77631	5796.12213
5750.0	7.00	6022.39452	5935.25852	5844.42871	5810.95805	5801.63004
5750.0	7.25	6009.86416	5932.10509	5845.71780	5816.48804	5806.78408
5750.0	7.50	5992.92079	5929.77425	5848.78997	5821.20785	5811.06993
5750.0	7.75	5972.25692	5929.43996	5850.96777	5826.35803	5816.88061
5750.0	8.00	5949.43944	5931.14962	5855.86293	5833.20796	5823.07751
5750.0	8.25	5925.99722	5933.59691	5862.15057	5840.53885	5831.73348
5750.0	8.50	5902.32936	5935.94441	5869.04845	5848.04981	5840.74451
5750.0	8.75	5879.43117	5937.88332	5875.72721	5855.88982	5847.51067
5750.0	9.00	5857.48140	5939.37307	5881.28447	5865.17905	5855.03322
5750.0	9.25	5837.52231	5940.33743	5890.88698	5871.68241	5862.84112
5750.0	9.50	5819.72406	5940.91049	5896.37772	5877.45073	5870.75052
6000.0	6.50	6329.85168	6195.69992	6083.27261	6039.13348	6025.23896
6000.0	6.75	6325.83257	6196.79534	6084.37339	6043.98013	6032.64718
6000.0	7.00	6319.04260	6197.93392	6091.04748	6052.87812	6041.42780
6000.0	7.25	6310.81740	6198.00880	6096.75267	6060.74620	6049.62058
6000.0	7.50	6303.05497	6196.50443	6099.05435	6067.90681	6056.92183
6000.0	7.75	6290.41094	6195.04690	6102.29734	6074.63981	6063.35706
