Teff	log(g)	T_BB_u	T_BB_g	T_BB_r	T_BB_i	T_BB_z
5000.0	6.50	5068.31159	5130.13177	5076.55559	5056.04632	5046.60507
5000.0	6.75	5045.01720	5129.59104	5078.96101	5059.14891	5049.67588
5000.0	7.00	5021.43760	5129.24502	5081.93561	5063.01982	5053.04472
5000.0	7.25	4998.56219	5128.98011	5084.67536	5066.24575	5056.28296
5000.0	7.50	4976.90025	5128.70137	5087.63342	5069.35443	5059.35760
5000.0	7.75	4956.51198	5128.43068	5090.86420	5072.59203	5062.70406
5000.0	8.00	4936.69385	5128.16775	5094.41022	5076.31408	5066.45661
5000.0	8.25	4917.61361	5127.77019	5098.22619	5079.93644	5069.97269
5000.0	8.50	4899.20216	5127.76840	5102.37459	5084.13196	5074.61771
5000.0	8.75	4881.25799	5127.40881	5106.94767	5088.65862	5079.15729
5000.0	9.00	4863.88071	5127.26350	5112.01108	5093.78227	5084.46550
5000.0	9.25	4847.18985	5126.77233	5117.15266	5099.56830	5090.19211
5000.0	9.50	4831.47876	5126.23398	5122.72279	5105.71033	5096.50987
5250.0	6.50	5416.90429	5399.23398	5331.04383	5306.31760	5296.06209
5250.0	6.75	5395.67027	5397.67009	5333.71272	5310.33704	5300.19394
5250.0	7.00	5372.98654	5397.01690	5336.68332	5315.21997	5304.83601
5250.0	7.25	5347.11587	5397.02547	5339.90475	5319.95459	5309.28633
5250.0	7.50	5322.25633	5397.40944	5343.14138	5325.10600	5314.02427
5250.0	7.75	5297.91026	5397.91575	5346.95974	5329.31026	5318.53536
5250.0	8.00	5275.32509	5398.19305	5351.35615	5333.36259	5322.86152
5250.0	8.25	5254.38862	5398.48790	5355.66505	5337.60460	5327.26203
5250.0	8.50	5234.85688	5398.67413	5360.22329	5342.18797	5331.75598
5250.0	8.75	5217.09197	5398.83733	5364.66929	5346.90219	5336.75555
5250.0	9.00	5200.52566	5398.97919	5369.85815	5351.79215	5341.83457
5250.0	9.25	5185.45888	5398.95361	5375.32493	5357.60870	5347.61710
5250.0	9.50	5171.99943	5399.52653	5381.50419	5363.75318	5354.29381
5500.0	6.50	5747.80425	5669.56196	5588.09372	5558.99195	5547.20582
5500.0	6.75	5728.78698	5666.38958	5589.26165	5562.43751	5550.89160
5500.0	7.00	5711.29612	5663.21539	5589.76010	5565.27948	5553.77173
5500.0	7.25	5690.07393	5662.51375	5591.29516	5568.93960	5558.21662
5500.0	7.50	5665.80359	5662.99836	5595.45135	5575.28489	5563.58423
5500.0	7.75	5639.66049	5664.27899	5600.99538	5580.99560	5569.67521
5500.0	8.00	5614.43022	5665.82031	5605.40718	5587.91023	5576.28533
5500.0	8.25	5589.87436	5667.09763	5610.48837	5593.48011	5582.34211
5500.0	8.50	5566.83295	5668.24029	5615.85086	5600.02482	5588.30643
5500.0	8.75	5546.18470	5669.07479	5621.50691	5604.91588	5594.12025
5500.0	9.00	5527.18731	5669.77024	5627.26939	5610.32656	5599.87261
5500.0	9.25	5510.23587	5670.23426	5634.08018	5616.77036	5606.14733
5500.0	9.50	5495.71909	5670.67961	5639.96569	5623.06085	5612.76745
5750.0	6.50	6055.78348	5935.58834	5838.94157	5803.54391	5789.76839
5750.0	6.75	6043.18902	5934.39699	5842.65187	5810.26598	5798.01598
5750.0	7.00	6028.97347	5932.65136	5844.77153	5816.12620	5803.71976
5750.0	7.25	6016.00601	5929.82008	5845.69719	5820.68434	5808.85798
5750.0	7.50	5998.27073	5927.67983	5848.64905	5824.76074	5812.90911
5750.0	7.75	5976.34087	5927.67421	5851.00091	5831.22118	5818.72251
5750.0	8.00	5952.08371	5929.82633	5855.78107	5837.16380	5824.85198
5750.0	8.25	5926.96951	5932.61482	5862.25795	5844.11251	5832.53433
5750.0	8.50	5901.75229	5935.39023	5868.88209	5852.70980	5840.93294
5750.0	8.75	5877.45946	5937.90647	5875.98046	5860.13649	5848.51204
5750.0	9.00	5854.49183	5939.86854	5882.31973	5867.37431	5856.01927
5750.0	9.25	5833.68408	5941.37313	5890.48223	5874.88179	5863.47515
5750.0	9.50	5815.25769	5942.41103	5897.05723	5882.34548	5870.90273
6000.0	6.50	6338.59668	6191.95363	6082.16314	6042.48235	6027.14970
6000.0	6.75	6334.54339	6193.22351	6085.37610	6048.95939	6035.40925
6000.0	7.00	6327.59398	6194.64879	6091.02241	6057.82885	6042.82499
6000.0	7.25	6318.97694	6195.02397	6097.27034	6065.76440	6051.60159
6000.0	7.50	6311.04551	6193.67705	6099.08685	6072.52250	6059.38251
6000.0	7.75	6297.84303	6192.62568	6102.26619	6079.09841	6065.72810
6000.0	8.00	6279.85684	6192.73915	6106.62273	6085.31004	6073.39588
6000.0	8.25	6258.54499	6194.30698	6111.68642	6093.27106	6081.07762
6000.0	8.50	6235.53198	6197.94015	6118.00670	6101.42486	6088.68708
6000.0	8.75	6210.95675	6202.55284	6125.37157	6110.63697	6098.25243
