Teff	log(g)	T_BB_us	T_BB_gs	T_BB_rs	T_BB_is	T_BB_zs
3750.0	7.0	3738.123063458726	4011.709888207028	4064.5818383459755	4046.1375156726535	4024.084671474358
4000.0	7.0	3932.018144882814	4174.538724658925	4211.447344977091	4196.046358076306	4186.167501966017
4250.0	7.0	4169.604391010268	4378.3491299513025	4397.142332432339	4381.149557872641	4375.232318273397
4500.0	7.0	4437.268180600085	4613.306837682296	4615.92998965486	4597.601180098159	4592.909056135246
4750.0	7.0	4730.641698116254	4871.377057127777	4857.789376326835	4837.227155347248	4833.736851128403
5000.0	7.0	5056.397209197325	5140.068674521242	5106.192729710978	5081.790393072047	5078.029163277901
5250.0	7.0	5393.3047036555945	5414.012317086984	5359.71378784462	5332.164271071243	5327.473921831427
5500.0	7.0	5728.283972297825	5690.287901446935	5616.256829204974	5584.999721989598	5581.137177384674
6000.0	7.0	6334.0926066126995	6224.017190006042	6112.4990173544065	6068.417090724948	6059.894837970826
6500.0	7.0	6873.783376077635	6747.236493716077	6612.400661189922	6557.833566386732	6544.579513386362
7000.0	7.0	7351.923561588035	7250.030739528301	7095.947352284823	7032.623539172333	7010.104854575193
7500.0	7.0	7792.847645741527	7763.019167800161	7596.2629385985765	7521.712486820733	7490.504091174055
8000.0	7.0	8201.121118598474	8287.771604581496	8109.764544832563	8025.420717443605	7971.86735125961
8500.0	7.0	8584.856055871218	8830.97428639163	8647.216070988376	8539.88609450226	8458.497560286614
9000.0	7.0	8952.45317075775	9391.340664202437	9198.739959142182	9068.834798589949	8948.592182380784
9500.0	7.0	9310.112350726087	9963.643918420948	9759.874190619106	9589.891666584877	9420.799188340212
10000.0	7.0	9658.37334945609	10542.95534690455	10312.275012516482	10093.535547483747	9872.040587191708
10500.0	7.0	9978.503219774122	11068.95005669269	10791.52898208039	10516.160460424562	10243.830200150924
11000.0	7.0	10240.762509141436	11515.53974154776	11172.36135689454	10835.879163904923	10517.495806457748
11500.0	7.0	10456.5117378874	11895.480492705328	11468.573105672402	11068.67880753195	10718.373832784157
12000.0	7.0	10730.266739759536	12308.356434163932	11811.160352498193	11353.73092154602	10984.600050131407
12500.0	7.0	11037.613909052672	12679.186789000343	12138.45506678469	11645.921555821542	11257.033813230984
13000.0	7.0	11361.381778003002	13035.415430115127	12454.96710605986	11943.889053249513	11536.585660216082
13500.0	7.0	11705.956245696403	13404.414796485116	12795.805108080314	12257.836896879748	11849.340827729091
14000.0	7.0	12039.62825529782	13746.009871787488	13106.264502351614	12553.886488582979	12129.862374261604
14500.0	7.0	12393.58246905164	14101.580305894238	13439.739636717419	12872.228782675378	12444.797594009335
15000.0	7.0	12733.97442700862	14433.284441148757	13748.92722116006	13169.942666535217	12730.408202630106
15500.0	7.0	13077.453136149476	14763.898111643937	14059.604424773777	13460.678382157312	13013.876230550952
16000.0	7.0	13432.698771763668	15116.715986120606	14391.659680556682	13785.603910565402	13324.869235227108
16500.0	7.0	13793.659626332405	15466.710084229475	14730.896872479332	14102.404372274405	13640.431310746366
17000.0	7.0	14137.337599726581	15791.222261798843	15032.83958545609	14399.833598658202	13920.514873817634
20000.0	7.0	16315.688778750826	17880.19101888968	17020.818882834814	16314.610116347212	15781.558362031843
25000.0	7.0	20322.449103078347	21705.683182734818	20666.22643764489	19819.16113389802	19181.70311776631
30000.0	7.0	25486.015319417835	26529.136453634892	25311.106105033694	24344.344461569708	23590.260425939734
35000.0	7.0	30953.96073853307	31608.270073654938	30327.360560921876	29357.76747862743	28585.93421845291
40000.0	7.0	35117.93195183914	35576.80005833556	34246.31513339277	33269.90097508015	32490.559476732302
45000.0	7.0	38502.75808761192	38825.045368126375	37455.37229969745	36452.81674413542	35692.733640947874
50000.0	7.0	41575.33715292238	41795.79092944784	40373.51054967019	39408.805612617005	38630.67213658121
55000.0	7.0	44382.93710980337	44512.74683512142	43064.3036203991	42098.80291944776	41357.24346254303
60000.0	7.0	46964.240743988164	47023.843724223465	45594.36415032902	44616.870723805485	43878.26988129373
65000.0	7.0	50061.92065033612	50031.370314110034	48545.78812959645	47570.053786589604	46831.7940087
70000.0	7.0	52608.21294727593	52525.989845683594	51037.48642316388	50064.27015733852	49318.96081357932
75000.0	7.0	55111.755546786866	54988.129760967146	53486.01264624842	52520.64908766115	51798.42266796258
80000.0	7.0	57595.33236696047	57404.652813348104	55880.59571304726	54914.720480670396	54223.66079947915
85000.0	7.0	59973.850141943796	59768.4071611339	58214.33819229249	57286.51613196672	56583.03105272405
90000.0	7.0	62414.53599973697	62183.31547049504	60594.97528768228	59664.14053080103	58984.922855994555
3750.0	7.5	3762.2473485717733	4051.3898519914983	4116.637414414	4095.152237987559	4064.221998113903
4000.0	7.5	3942.9616499147155	4210.28631711459	4260.941907054887	4244.705617345183	4229.181568531582
4250.0	7.5	4161.316577564847	4398.015313923417	4431.270533749554	4415.103611316287	4407.220703547967
4500.0	7.5	4422.5994702577445	4623.244039038429	4637.999353489096	4621.180206368563	4615.604070008718
