Teff	log(g)	T_BB_u	T_BB_g	T_BB_r	T_BB_i	T_BB_z
3750.0	7.0	3711.428250906362	3986.8150584674204	4062.6908746275167	4049.6067647158193	4023.8521863169553
4000.0	7.0	3903.576968333238	4151.371882898452	4209.837767960386	4198.942569883548	4184.426310520612
4250.0	7.0	4138.425665889059	4357.302175364953	4395.848078851004	4383.576304739011	4372.354270518269
4500.0	7.0	4403.403803674146	4594.079941597785	4614.184733041531	4599.31784250428	4590.84764702181
4750.0	7.0	4694.722201383734	4853.153456667271	4856.370934317341	4839.2397442836855	4831.266964474575
5000.0	7.0	5021.56454153154	5124.586035059041	5105.364963731595	5084.571919374623	5075.590705575804
5250.0	7.0	5366.225594528234	5401.467740378557	5359.537730184004	5334.854666627535	5326.893705159923
5500.0	7.0	5714.875952675692	5678.981814015113	5616.959947009846	5588.046317191012	5579.675002298737
6000.0	7.0	6341.314306697705	6215.566990898059	6112.682214871654	6072.381298317619	6061.313001757674
6500.0	7.0	6889.523038324404	6740.593395264752	6611.993567060856	6562.081547150636	6548.3413221942355
7000.0	7.0	7371.451437232806	7244.28923909723	7096.783567836655	7036.5391421720515	7014.885543638343
7500.0	7.0	7814.468242218868	7755.836730335818	7596.594480713407	7528.460215049433	7497.058431767192
8000.0	7.0	8223.084915975644	8277.712599284443	8111.910382476771	8030.773171875904	7984.259140126934
8500.0	7.0	8606.976129274666	8815.787521186343	8646.134227361696	8550.808209414134	8475.647876244599
9000.0	7.0	8973.268280479511	9373.279558460274	9199.931273149376	9080.091481376268	8971.13748251513
9500.0	7.0	9330.698515254195	9940.12992772837	9756.993758050972	9609.67475702222	9450.152055073473
10000.0	7.0	9681.101574673783	10508.086399000342	10308.185797483831	10116.3262031094	9905.364395199827
10500.0	7.0	10001.914847447933	11029.06241796159	10790.355437476997	10548.531766603912	10281.951677681058
11000.0	7.0	10266.404928686896	11475.632446862503	11171.463207074628	10866.530922139898	10561.012192430544
11500.0	7.0	10482.838859589243	11853.409816151347	11468.004157091054	11103.978788440432	10767.628650543576
12000.0	7.0	10757.976986871849	12264.127764600551	11811.239459385444	11398.094224125529	11034.159660245132
12500.0	7.0	11065.954655955857	12633.361871075147	12137.372863010563	11694.276750891411	11306.214740877153
13000.0	7.0	11390.258800159207	12993.87971649212	12453.835744900902	11990.502383120172	11590.952949555971
13500.0	7.0	11735.026926149514	13362.447346217912	12793.556251989157	12308.369600115177	11903.265223921539
