Teff	log(g)	T_BB_us	T_BB_gs	T_BB_rs	T_BB_is	T_BB_zs
3750.0	7.0	3787.7307804881416	4021.833359782532	4045.7645478329337	4047.4940742911504	4007.8637829927447
4000.0	7.0	3983.109716209377	4184.79555216351	4192.704346168514	4197.366520059363	4171.137436332204
4250.0	7.0	4222.368946279566	4388.743006124424	4378.564014062002	4382.417303492537	4361.739248177481
4500.0	7.0	4491.726433231969	4623.817797185184	4597.645448249281	4598.797439661107	4581.3755510634055
4750.0	7.0	4786.7246498566265	4881.9666197839215	4839.9526091316175	4838.33188009271	4824.5980004531375
5000.0	7.0	5114.001781600529	5150.685141398498	5088.947080855074	5082.788767398327	5071.55105148134
5250.0	7.0	5452.172554957306	5424.599364815132	5343.204847055007	5333.0407842271625	5323.941132580925
5500.0	7.0	5788.097700129588	5700.788121144017	5600.626560410167	5585.740408806533	5580.82383827647
6000.0	7.0	6394.842501551648	6234.191151962864	6098.9331006571465	6068.864388456409	6066.231766896001
6500.0	7.0	6934.543744749586	6756.89475548403	6601.374556908598	6557.941981930835	6558.348453144983
7000.0	7.0	7412.061466633426	7259.018738118008	7087.788562651418	7032.366391931576	7031.608736437428
7500.0	7.0	7851.89939413838	7771.155167609495	7591.466835819695	7521.044134019698	7520.5425030416845
8000.0	7.0	8258.740645473894	8294.869163436526	8108.808902976067	8024.295328316476	8010.965432721982
8500.0	7.0	8640.76556864409	8836.828672144235	8650.670902660118	8538.261898707846	8507.221047372714
9000.0	7.0	9006.402738157558	9395.74356794311	9207.104334773087	9066.667068923382	9007.438161761629
9500.0	7.0	9361.860772615886	9966.39796619312	9773.600744255142	9587.160832112297	9489.766870372101
10000.0	7.0	9707.707152595674	10543.879808714017	10331.613056630633	10090.236615099291	9950.98829203285
10500.0	7.0	10025.387582325699	11068.082138925905	10815.98258501869	10512.368219269987	10331.20836277269
11000.0	7.0	10285.480199091986	11513.057723941485	11201.032667435875	10831.704363415907	10611.191166089782
11500.0	7.0	10499.341292946423	11891.561932073484	11500.613312874862	11064.22064675096	10816.763352100967
12000.0	7.0	10770.566013634123	12302.8138753307	11847.188683452297	11348.920538275765	11089.282021886449
12500.0	7.0	11074.897131008747	12672.132191865594	12178.381299478771	11640.74438038777	11368.235285291905
13000.0	7.0	11395.29239225081	13026.862763244071	12498.740695991135	11938.332119356968	11654.557358262611
13500.0	7.0	11736.063406531308	13394.265202434883	12843.803498201441	12251.873891410674	11974.978525678307
14000.0	7.0	12065.847979555465	13734.342622361333	13158.181667150866	12547.53523574736	12262.45420503938
14500.0	7.0	12415.465314931349	14088.294736754759	13495.937668702309	12865.454553382862	12585.28028598995
15000.0	7.0	12751.485824185034	14418.455047972528	13809.157751829238	13162.767955643554	12878.119732665407
15500.0	7.0	13090.360039680081	14747.498413134086	14123.94575100031	13453.108201052522	13168.827437067439
16000.0	7.0	13440.645355076253	15098.607055171595	14460.45719523118	13777.586867373937	13487.834109908257
16500.0	7.0	13796.366272335532	15446.872738545642	14804.310838341185	14093.94690177471	13811.599846446901
17000.0	7.0	14134.873928582734	15769.754178558034	15110.414529962462	14390.958565025237	14099.022792672286
20000.0	7.0	16276.680710261424	17847.6372432867	17126.885461471407	16302.963183326012	16010.056166242397
25000.0	7.0	20202.150664693185	21650.68760861692	20828.454869647332	19802.14820165369	19505.75673590122
30000.0	7.0	25241.436295258474	26443.034989455602	25549.940799530184	24320.026811618583	24043.56032421156
35000.0	7.0	30561.514325064545	31487.140277137143	30653.024943383323	29325.04624211619	29190.17168152907
40000.0	7.0	34605.06853103981	35427.175663968825	34641.79919733721	33230.47393124051	33214.88714384315
45000.0	7.0	37888.29032909633	38651.55079984958	37908.96802261562	36407.86572351773	36516.51362792621
50000.0	7.0	40866.31582814221	41600.12033048051	40880.52690374454	39358.68200989925	39546.28442451734
55000.0	7.0	43585.89957999012	44296.55422471148	43620.97914377341	42043.943286855974	42358.485618271836
60000.0	7.0	46085.1135490093	46788.50966941611	46198.02807338091	44557.55689729428	44958.9739156495
65000.0	7.0	49083.007063133846	49772.9210713158	49204.574156907045	47505.49436400456	48005.88668830619
70000.0	7.0	51546.36589762287	52248.23121629095	51743.03090015929	49995.264742198146	50571.90597661921
75000.0	7.0	53967.6649110951	54691.20712011429	54237.67756162028	52447.25304941905	53130.13986896445
80000.0	7.0	56369.040486657555	57088.830223919875	56677.51054124115	54837.03506900378	55632.565530548294
85000.0	7.0	58668.32020761308	59434.019357667436	59055.47629772824	57204.57254605635	58067.14235890797
90000.0	7.0	61027.225626885076	61829.88914423049	61481.33713081567	59577.92056354468	60545.6997166152
3750.0	7.5	3812.045495769179	4061.5477816078387	4097.840757847654	4096.4975006152845	4048.284869578565
4000.0	7.5	3994.133792235887	4220.569578675611	4242.235121822325	4246.012792839029	4214.487373602192
4250.0	7.5	4214.0254616887105	4408.420665343341	4412.730985334816	4416.36086169871	4394.0030436756415
4500.0	7.5	4476.970135773983	4633.758990557895	4619.750357740341	4622.368029361269	4604.286237192005
4750.0	7.5	4761.37037283997	4881.463220817376	4850.653249168267	4850.119143086052	4835.906901541392
5000.0	7.5	5078.947224497345	5149.735346184171	5100.414707809888	5095.691791314084	5084.171629272948
5250.0	7.5	5406.432733642627	5425.008016999686	5358.316280434153	5350.68117138819	5341.934488027375
5500.0	7.5	5738.3769733601675	5694.961432730839	5607.607823305327	5595.904829575088	5588.89646492367
6000.0	7.5	6373.602047808968	6232.225212179725	6108.991558543542	6083.393492730536	6081.05484387164
6500.0	7.5	6934.97241785259	6753.02146954498	6602.6625412916355	6565.397198093753	6566.506233426635
7000.0	7.5	7437.47040919985	7261.027881543501	7094.902038424606	7044.949901477154	7049.879378954109
7500.0	7.5	7892.023848792464	7762.465030830935	7590.595378916749	7532.677350876971	7535.198626096605
8000.0	7.5	8313.085832659697	8270.677154689474	8097.458991493169	8028.215469320671	8023.8307280739255
8500.0	7.5	8709.5789657547	8790.93959597053	8623.193749485998	8538.436422062983	8520.35376859188
9000.0	7.5	9085.402575733115	9321.607595042522	9160.246253873618	9047.241929736165	9007.643348063448
9500.0	7.5	9457.656821076254	9871.68765714194	9716.393348381285	9577.953695500617	9503.255973755737
10000.0	7.5	9823.799511867539	10428.831646144437	10276.107181088146	10097.58620656578	9986.000595187057
10500.0	7.5	10163.464740827501	10952.376205870778	10784.933770122196	10555.754035830983	10402.28635624637
11000.0	7.5	10482.779495744437	11437.481730313286	11248.12986218042	10960.314403774833	10761.340330549823
11500.0	7.5	10755.29466482265	11865.178248863005	11630.142408519503	11287.406014230932	11051.444646038917
12000.0	7.5	10975.675668623697	12224.396436245826	11936.68549507777	11533.651953703407	11280.595205205007
