Teff	log(g)	T_BB_u	T_BB_g	T_BB_r	T_BB_i	T_BB_z
3750.0	7.0	3676.6323636823354	3940.3735940038814	4028.512838363843	4026.8376755331738	3995.4979767433697
4000.0	7.0	3867.6957737911143	4104.279205271913	4175.795628408968	4176.740500339479	4158.058050055568
4250.0	7.0	4101.313933015803	4309.534493239658	4362.10740453778	4362.198165070259	4348.562466289583
4500.0	7.0	4365.0303084558545	4545.7273049822925	4580.97976026489	4579.07022573741	4570.381044518094
4750.0	7.0	4655.116279759104	4804.393185390055	4823.985340719321	4820.455133836731	4814.851704807656
5000.0	7.0	4980.768396732845	5075.656482585876	5074.062858546582	5067.499460565599	5063.69419025849
5250.0	7.0	5324.393996932092	5352.633843184635	5329.587044831217	5319.745451127854	5320.046324492991
5500.0	7.0	5672.225056849739	5630.511663587874	5588.623374523712	5575.136678003767	5578.2959017340445
6000.0	7.0	6297.762152035451	6168.543605664567	6088.1216954067595	6064.244927841985	6071.360759294455
6500.0	7.0	6845.77493441718	6695.904489061213	6592.078213839817	6559.474469338157	6571.175262195273
7000.0	7.0	7327.9787448298675	7202.65923444265	7082.1339605413095	7039.907719559318	7051.014888721775
7500.0	7.0	7771.610178095504	7718.09801127186	7588.1003693272105	7538.612950950186	7547.899667580325
8000.0	7.0	8181.09382726458	8244.719871533602	8110.480779690841	8048.418992915845	8050.8710602570245
8500.0	7.0	8566.055892370829	8788.46681345287	8652.741271301651	8576.760894301005	8558.998272716928
9000.0	7.0	8933.595971538936	9352.623715216718	9215.576726999107	9115.021648900696	9072.130709395988
9500.0	7.0	9292.451859782099	9927.025501314816	9782.400015578487	9654.068216248817	9568.862704823887
10000.0	7.0	9644.447138731271	10503.284221531272	10343.85798115869	10170.18384975607	10041.46013894558
10500.0	7.0	9966.88310073692	11032.484771117764	10835.466323951021	10610.754599166688	10432.80051637283
11000.0	7.0	10232.826898552627	11486.542443234555	11224.31674341266	10935.068151980904	10722.995212338643
11500.0	7.0	10450.526817110165	11870.953827065181	11527.045200801113	11177.314436030345	10937.960257120778
12000.0	7.0	10727.371704318348	12289.181767665605	11877.611804117952	11477.46788327901	11215.38654321282
12500.0	7.0	11037.386530254973	12665.420549211573	12210.872109956446	11779.831800878064	11498.702361015352
13000.0	7.0	11363.97707271614	13032.999271146384	12534.393592859276	12082.3363016157	11795.370070738702
13500.0	7.0	11711.33068554793	13409.002550399284	12881.841168921412	12407.043437539549	12120.927714665992
14000.0	7.0	12052.692381210032	13757.858441551049	13204.753220287905	12707.954959845058	12419.821626051416
14500.0	7.0	12411.811988259167	14131.90143151523	13545.52662954401	13031.471911109646	12748.066316543966
15000.0	7.0	12758.464419498714	14472.852305331508	13862.06687636365	13334.856413165619	13045.63130861972
15500.0	7.0	13105.825651851314	14812.100647425254	14179.64143413371	13636.924294107568	13348.4309634899
16000.0	7.0	13473.343825858747	15174.88711031713	14519.415233208494	13967.789458123747	13673.286928932741
16500.0	7.0	13840.220668327907	15535.352700169624	14866.749469101755	14296.96253638194	14003.277444516507
17000.0	7.0	14194.756909479935	15870.721552480327	15176.082807748096	14600.568172458725	14303.783849838197
20000.0	7.0	16439.203436542703	18021.624962852424	17222.613953919044	16569.08129356298	16272.224080330363
25000.0	7.0	20580.491610100118	21984.27807184623	20967.990162569997	20171.582381190212	19871.397520973154
30000.0	7.0	25908.18541798701	27003.590047728732	25765.32180784136	24816.842398150584	24537.131329442753
35000.0	7.0	31543.06838160211	32314.937306654232	30941.33697570123	29952.188931765028	29835.69303847951
40000.0	7.0	35841.849823851684	36446.48720900298	34988.11458941941	33962.12363140818	33969.68072122803
45000.0	7.0	39326.216059849234	39837.01504720594	38303.150425708234	37254.06618530297	37388.182301490044
50000.0	7.0	42505.15548290373	42950.48086498228	41347.40812772626	40284.45291652607	40503.26935977419
55000.0	7.0	45396.66063704819	45776.061953271244	44132.108312914446	43046.18124878668	43395.029132117146
60000.0	7.0	48062.02314550595	48415.77050710119	46714.85224929073	45630.312830939896	46068.15375384977
65000.0	7.0	51263.50853567873	51546.22913931151	49807.45602156845	48702.67061208043	49209.11123208319
70000.0	7.0	53899.974599658046	54184.59867586174	52385.55329342883	51228.205676757745	51847.80403190122
