log(g) logTeff y Filt Mod Teff
3.5 3.301 0.807 g' PHOENIX 1999.8618696327449
3.5 3.342 0.8061 g' PHOENIX 2197.8598727848253
3.5 3.38 0.7818 g' PHOENIX 2398.83291901949
3.5 3.415 0.6932 g' PHOENIX 2600.159563165272
3.5 3.447 0.6063 g' PHOENIX 2798.981319634363
3.5 3.477 0.6161 g' PHOENIX 2999.16251898765
3.5 3.505 0.6506 g' PHOENIX 3198.895109691397
3.5 3.531 0.6989 g' PHOENIX 3396.2527259040853
3.5 3.556 0.5816 g' PHOENIX 3597.4933515574235
3.5 3.58 0.6842 g' PHOENIX 3801.8939632056126
3.5 3.602 0.3851 g' PHOENIX 3999.4474976109736
3.5 3.623 0.277 g' PHOENIX 4197.589839910078
3.5 3.643 0.3664 g' PHOENIX 4395.416154378243
3.5 3.663 0.379 g' PHOENIX 4602.565735813559
3.5 3.681 -0.0381 g' PHOENIX 4797.334486366892
3.5 3.699 0.257 g' PHOENIX 5000.345349769783
3.5 3.716 0.6362 g' PHOENIX 5199.959965335162
3.5 3.732 0.5859 g' PHOENIX 5395.1062251512785
3.5 3.748 0.5369 g' PHOENIX 5597.576014951104
3.5 3.763 0.4588 g' PHOENIX 5794.286964268809
3.5 3.845 0.2699 g' PHOENIX 6998.419960022738
3.5 3.857 0.1596 g' PHOENIX 7194.489780036998
3.5 3.869 0.1072 g' PHOENIX 7396.052750582382
3.5 3.881 0.3023 g' PHOENIX 7603.262769401815
3.5 3.892 0.7503 g' PHOENIX 7798.3011052325855
3.5 3.903 0.9296 g' PHOENIX 7998.342550070284
3.5 3.914 0.8393 g' PHOENIX 8203.515443298185
3.5 3.924 0.7613 g' PHOENIX 8394.599865193974
3.5 3.934 0.7558 g' PHOENIX 8590.13521505396
3.5 3.944 0.7257 g' PHOENIX 8790.225168308842
3.5 3.954 0.68 g' PHOENIX 8994.975815300355
3.5 3.964 0.654 g' PHOENIX 9204.495717531712
3.5 3.973 0.633 g' PHOENIX 9397.233105646375
3.5 3.982 0.615 g' PHOENIX 9594.006315159337
3.5 3.991 0.5962 g' PHOENIX 9794.89985408699
4.0 3.301 0.8311 g' PHOENIX 1999.8618696327449
4.0 3.342 0.7932 g' PHOENIX 2197.8598727848253
4.0 3.38 0.7701 g' PHOENIX 2398.83291901949
4.0 3.415 0.7054 g' PHOENIX 2600.159563165272
4.0 3.447 0.6301 g' PHOENIX 2798.981319634363
4.0 3.477 0.6041 g' PHOENIX 2999.16251898765
4.0 3.505 0.5737 g' PHOENIX 3198.895109691397
4.0 3.531 0.5491 g' PHOENIX 3396.2527259040853
4.0 3.556 0.5141 g' PHOENIX 3597.4933515574235
4.0 3.58 0.5245 g' PHOENIX 3801.8939632056126
4.0 3.602 0.4591 g' PHOENIX 3999.4474976109736
4.0 3.623 0.5682 g' PHOENIX 4197.589839910078
4.0 3.643 0.6049 g' PHOENIX 4395.416154378243
4.0 3.663 0.621 g' PHOENIX 4602.565735813559
4.0 3.681 0.5646 g' PHOENIX 4797.334486366892
4.0 3.699 0.6617 g' PHOENIX 5000.345349769783
4.0 3.716 0.658 g' PHOENIX 5199.959965335162
4.0 3.732 0.5985 g' PHOENIX 5395.1062251512785
4.0 3.748 0.5463 g' PHOENIX 5597.576014951104
4.0 3.763 0.4625 g' PHOENIX 5794.286964268809
4.0 3.845 0.272 g' PHOENIX 6998.419960022738
4.0 3.857 0.1739 g' PHOENIX 7194.489780036998
4.0 3.869 0.1306 g' PHOENIX 7396.052750582382
4.0 3.881 0.3183 g' PHOENIX 7603.262769401815
4.0 3.892 0.7406 g' PHOENIX 7798.3011052325855
4.0 3.903 0.9519 g' PHOENIX 7998.342550070284
4.0 3.914 0.9167 g' PHOENIX 8203.515443298185
4.0 3.924 0.9002 g' PHOENIX 8394.599865193974
4.0 3.934 0.8982 g' PHOENIX 8590.13521505396
4.0 3.944 0.773 g' PHOENIX 8790.225168308842
4.0 3.954 0.6989 g' PHOENIX 8994.975815300355
4.0 3.964 0.687 g' PHOENIX 9204.495717531712
4.0 3.973 0.6588 g' PHOENIX 9397.233105646375
4.0 3.982 0.6319 g' PHOENIX 9594.006315159337
4.0 3.991 0.6061 g' PHOENIX 9794.89985408699
4.5 3.301 0.8158 g' PHOENIX 1999.8618696327449
4.5 3.342 0.7797 g' PHOENIX 2197.8598727848253
4.5 3.38 0.7588 g' PHOENIX 2398.83291901949
4.5 3.415 0.7047 g' PHOENIX 2600.159563165272
4.5 3.447 0.6284 g' PHOENIX 2798.981319634363
4.5 3.477 0.5692 g' PHOENIX 2999.16251898765
4.5 3.505 0.5135 g' PHOENIX 3198.895109691397
4.5 3.531 0.4791 g' PHOENIX 3396.2527259040853
4.5 3.556 0.4696 g' PHOENIX 3597.4933515574235
4.5 3.58 0.4847 g' PHOENIX 3801.8939632056126
4.5 3.602 0.5785 g' PHOENIX 3999.4474976109736
4.5 3.623 0.6651 g' PHOENIX 4197.589839910078
4.5 3.643 0.7056 g' PHOENIX 4395.416154378243
4.5 3.663 0.7627 g' PHOENIX 4602.565735813559
4.5 3.681 0.732 g' PHOENIX 4797.334486366892
4.5 3.699 0.7061 g' PHOENIX 5000.345349769783
4.5 3.716 0.668 g' PHOENIX 5199.959965335162
4.5 3.732 0.6081 g' PHOENIX 5395.1062251512785
4.5 3.748 0.5512 g' PHOENIX 5597.576014951104
4.5 3.763 0.4564 g' PHOENIX 5794.286964268809
4.5 3.845 0.2778 g' PHOENIX 6998.419960022738
4.5 3.857 0.1929 g' PHOENIX 7194.489780036998
4.5 3.869 0.1436 g' PHOENIX 7396.052750582382
4.5 3.881 0.3254 g' PHOENIX 7603.262769401815
4.5 3.892 0.7391 g' PHOENIX 7798.3011052325855
4.5 3.903 0.9226 g' PHOENIX 7998.342550070284
4.5 3.914 0.9117 g' PHOENIX 8203.515443298185
4.5 3.924 0.9249 g' PHOENIX 8394.599865193974
4.5 3.934 0.8998 g' PHOENIX 8590.13521505396
4.5 3.944 0.876 g' PHOENIX 8790.225168308842
4.5 3.954 0.8074 g' PHOENIX 8994.975815300355
4.5 3.964 0.7035 g' PHOENIX 9204.495717531712
4.5 3.973 0.6775 g' PHOENIX 9397.233105646375
4.5 3.982 0.6546 g' PHOENIX 9594.006315159337
4.5 3.991 0.6236 g' PHOENIX 9794.89985408699
5.0 3.301 0.7932 g' PHOENIX 1999.8618696327449
5.0 3.342 0.7579 g' PHOENIX 2197.8598727848253
5.0 3.38 0.7267 g' PHOENIX 2398.83291901949
5.0 3.415 0.6915 g' PHOENIX 2600.159563165272
5.0 3.447 0.6175 g' PHOENIX 2798.981319634363
5.0 3.477 0.536 g' PHOENIX 2999.16251898765
5.0 3.505 0.48 g' PHOENIX 3198.895109691397
5.0 3.531 0.4332 g' PHOENIX 3396.2527259040853
5.0 3.556 0.4177 g' PHOENIX 3597.4933515574235
5.0 3.58 0.4585 g' PHOENIX 3801.8939632056126
5.0 3.602 0.5162 g' PHOENIX 3999.4474976109736
5.0 3.623 0.6324 g' PHOENIX 4197.589839910078
5.0 3.643 0.7884 g' PHOENIX 4395.416154378243
5.0 3.663 0.7627 g' PHOENIX 4602.565735813559
5.0 3.681 0.7701 g' PHOENIX 4797.334486366892
