Teff log(g) y1 y2 y
2300.0 3.0 3.3424 -0.0167 3.3257
2400.0 3.0 3.3451 -0.001 3.3441
2500.0 3.0 3.2603 0.016 3.2763
2600.0 3.0 3.0008 0.0556 3.0564
2700.0 3.0 2.727 0.1167 2.8436999999999997
2900.0 3.0 2.6723 0.2019 2.8742
3100.0 3.0 2.6979 0.2251 2.923
3200.0 3.0 2.6934 0.2111 2.9045
3300.0 3.0 2.7204 0.1859 2.9063000000000003
3400.0 3.0 2.9204 0.1319 3.0523
3500.0 3.0 3.1163 0.0804 3.1967
3600.0 3.0 3.1302 0.0092 3.1393999999999997
3700.0 3.0 2.9757 -0.0124 2.9633
3800.0 3.0 2.8328 -0.019 2.8138
3900.0 3.0 2.6013 -0.0188 2.5825
4000.0 3.0 2.4014 -0.0023 2.3991000000000002
4100.0 3.0 2.3407 0.0008 2.3415
4200.0 3.0 2.2286 -0.0085 2.2201
4300.0 3.0 2.0366 -0.0099 2.0267
4400.0 3.0 1.919 0.0046 1.9236
4500.0 3.0 1.8396 0.0029 1.8424999999999998
4600.0 3.0 1.7321 0.0101 1.7422
4700.0 3.0 1.6863 0.0197 1.706
4800.0 3.0 1.6791 0.0193 1.6984000000000001
4900.0 3.0 1.6142 0.0059 1.6201
5100.0 3.0 1.5706 0.0071 1.5777
5200.0 3.0 1.5097 0.0024 1.5121
5300.0 3.0 1.5065 -0.0091 1.4973999999999998
5400.0 3.0 1.4402 -0.0224 1.4178
5500.0 3.0 1.3556 -0.0018 1.3538
5600.0 3.0 1.3658 -0.0075 1.3582999999999998
5700.0 3.0 1.3869 -0.0084 1.3785
5800.0 3.0 1.3685 -0.0266 1.3419
5900.0 3.0 1.3537 -0.0119 1.3417999999999999
6000.0 3.0 1.3631 -0.0177 1.3454
6100.0 3.0 1.3253 -0.0131 1.3121999999999998
6200.0 3.0 1.311 -0.0103 1.3007
6300.0 3.0 1.2962 -0.015 1.2812000000000001
6400.0 3.0 1.2805 -0.0174 1.2631
6500.0 3.0 1.2795 -0.0105 1.2690000000000001
6600.0 3.0 1.254 -0.0216 1.2324
6700.0 3.0 1.2533 -0.0081 1.2452
6800.0 3.0 1.2843 -0.0062 1.2781
6900.0 3.0 1.2439 -0.0312 1.2127000000000001
7000.0 3.0 1.2512 -0.0273 1.2239
7200.0 3.0 1.2568 -0.035 1.2218
7400.0 3.0 1.2239 -0.0406 1.1833
7600.0 3.0 1.1279 -0.0201 1.1078
7800.0 3.0 0.9995 -0.0478 0.9517000000000001
8000.0 3.0 0.9064 -0.0138 0.8926
8200.0 3.0 0.853 -0.0192 0.8338
8400.0 3.0 0.8238 -0.0226 0.8012
8600.0 3.0 0.7689 -0.0149 0.754
8800.0 3.0 0.7202 -0.0116 0.7085999999999999
9000.0 3.0 0.6868 -0.0106 0.6761999999999999
9200.0 3.0 0.658 -0.0099 0.6481
9400.0 3.0 0.6287 -0.0085 0.6202000000000001
9600.0 3.0 0.6072 -0.0069 0.6003
9800.0 3.0 0.5968 -0.0044 0.5924
10000.0 3.0 0.5825 -0.0044 0.5781000000000001
10200.0 3.0 0.5671 -0.0042 0.5629000000000001
10400.0 3.0 0.5525 -0.004 0.5485
10600.0 3.0 0.5395 -0.0034 0.5361
10800.0 3.0 0.5297 -0.0029 0.5267999999999999
11000.0 3.0 0.5199 -0.0025 0.5174000000000001
11200.0 3.0 0.511 -0.0021 0.5089
11400.0 3.0 0.5009 -0.0148 0.48610000000000003
11600.0 3.0 0.4968 -0.0102 0.48660000000000003
11800.0 3.0 0.4938 0.0024 0.49620000000000003
12000.0 3.0 0.4831 0.0023 0.4854
2300.0 3.5 3.19 0.0085 3.1985
2400.0 3.5 3.3411 -0.0299 3.3112
2500.0 3.5 3.4125 -0.0264 3.3861
2600.0 3.5 3.3113 -0.0017 3.3096
2700.0 3.5 3.0598 0.0389 3.0987
2900.0 3.5 2.8798 0.1045 2.9842999999999997
3100.0 3.5 2.7436 0.1296 2.8731999999999998
3200.0 3.5 2.5846 0.1265 2.7111
3300.0 3.5 2.4747 0.1216 2.5963
3400.0 3.5 2.5395 0.1022 2.6416999999999997
3500.0 3.5 2.6271 0.0713 2.6984
3600.0 3.5 2.704 0.0307 2.7347
3700.0 3.5 2.763 -0.0004 2.7626
3800.0 3.5 2.7234 -0.021 2.7024
3900.0 3.5 2.625 -0.034 2.591
4000.0 3.5 2.4926 -0.0293 2.4633
4100.0 3.5 2.3535 -0.022 2.3315
4200.0 3.5 2.2194 -0.0187 2.2007
4300.0 3.5 2.118 -0.0143 2.1037
4400.0 3.5 1.9981 -0.0055 1.9926
4500.0 3.5 1.8822 -0.0021 1.8801
4600.0 3.5 1.8168 0.0022 1.819
4700.0 3.5 1.7319 0.0067 1.7386
4800.0 3.5 1.6258 0.0064 1.6321999999999999
