log(g) logTeff y Filt Mod Teff
3.5 3.301 0.54 i' PHOENIX 1999.8618696327449
3.5 3.342 0.5666 i' PHOENIX 2197.8598727848253
3.5 3.38 0.6066 i' PHOENIX 2398.83291901949
3.5 3.415 0.5414 i' PHOENIX 2600.159563165272
3.5 3.447 0.4486 i' PHOENIX 2798.981319634363
3.5 3.477 0.4529 i' PHOENIX 2999.16251898765
3.5 3.505 0.4557 i' PHOENIX 3198.895109691397
3.5 3.531 0.5062 i' PHOENIX 3396.2527259040853
3.5 3.556 0.4621 i' PHOENIX 3597.4933515574235
3.5 3.58 0.6285 i' PHOENIX 3801.8939632056126
3.5 3.602 0.3122 i' PHOENIX 3999.4474976109736
3.5 3.623 0.1593 i' PHOENIX 4197.589839910078
3.5 3.643 0.2152 i' PHOENIX 4395.416154378243
3.5 3.663 0.2416 i' PHOENIX 4602.565735813559
3.5 3.681 -0.0051 i' PHOENIX 4797.334486366892
3.5 3.699 0.1717 i' PHOENIX 5000.345349769783
3.5 3.716 0.3975 i' PHOENIX 5199.959965335162
3.5 3.732 0.362 i' PHOENIX 5395.1062251512785
3.5 3.748 0.3305 i' PHOENIX 5597.576014951104
3.5 3.763 0.2738 i' PHOENIX 5794.286964268809
3.5 3.845 0.1699 i' PHOENIX 6998.419960022738
3.5 3.857 0.116 i' PHOENIX 7194.489780036998
3.5 3.869 0.0873 i' PHOENIX 7396.052750582382
3.5 3.881 0.1922 i' PHOENIX 7603.262769401815
3.5 3.892 0.4094 i' PHOENIX 7798.3011052325855
3.5 3.903 0.4791 i' PHOENIX 7998.342550070284
3.5 3.914 0.4942 i' PHOENIX 8203.515443298185
3.5 3.924 0.525 i' PHOENIX 8394.599865193974
3.5 3.934 0.4958 i' PHOENIX 8590.13521505396
3.5 3.944 0.4822 i' PHOENIX 8790.225168308842
3.5 3.954 0.4823 i' PHOENIX 8994.975815300355
3.5 3.964 0.4751 i' PHOENIX 9204.495717531712
3.5 3.973 0.472 i' PHOENIX 9397.233105646375
3.5 3.982 0.4687 i' PHOENIX 9594.006315159337
3.5 3.991 0.4795 i' PHOENIX 9794.89985408699
4.0 3.301 0.5369 i' PHOENIX 1999.8618696327449
4.0 3.342 0.5618 i' PHOENIX 2197.8598727848253
4.0 3.38 0.5839 i' PHOENIX 2398.83291901949
4.0 3.415 0.5557 i' PHOENIX 2600.159563165272
4.0 3.447 0.4902 i' PHOENIX 2798.981319634363
4.0 3.477 0.4493 i' PHOENIX 2999.16251898765
4.0 3.505 0.4094 i' PHOENIX 3198.895109691397
4.0 3.531 0.4002 i' PHOENIX 3396.2527259040853
4.0 3.556 0.3915 i' PHOENIX 3597.4933515574235
4.0 3.58 0.4399 i' PHOENIX 3801.8939632056126
4.0 3.602 0.3499 i' PHOENIX 3999.4474976109736
4.0 3.623 0.3905 i' PHOENIX 4197.589839910078
4.0 3.643 0.4026 i' PHOENIX 4395.416154378243
4.0 3.663 0.3923 i' PHOENIX 4602.565735813559
4.0 3.681 0.3469 i' PHOENIX 4797.334486366892
4.0 3.699 0.4036 i' PHOENIX 5000.345349769783
4.0 3.716 0.405 i' PHOENIX 5199.959965335162
4.0 3.732 0.37 i' PHOENIX 5395.1062251512785
4.0 3.748 0.3378 i' PHOENIX 5597.576014951104
4.0 3.763 0.2814 i' PHOENIX 5794.286964268809
4.0 3.845 0.1791 i' PHOENIX 6998.419960022738
4.0 3.857 0.1243 i' PHOENIX 7194.489780036998
4.0 3.869 0.0942 i' PHOENIX 7396.052750582382
4.0 3.881 0.2035 i' PHOENIX 7603.262769401815
4.0 3.892 0.4397 i' PHOENIX 7798.3011052325855
4.0 3.903 0.5185 i' PHOENIX 7998.342550070284
4.0 3.914 0.5062 i' PHOENIX 8203.515443298185
4.0 3.924 0.461 i' PHOENIX 8394.599865193974
4.0 3.934 0.4204 i' PHOENIX 8590.13521505396
4.0 3.944 0.4799 i' PHOENIX 8790.225168308842
4.0 3.954 0.5003 i' PHOENIX 8994.975815300355
4.0 3.964 0.469 i' PHOENIX 9204.495717531712
4.0 3.973 0.4498 i' PHOENIX 9397.233105646375
4.0 3.982 0.4437 i' PHOENIX 9594.006315159337
4.0 3.991 0.4467 i' PHOENIX 9794.89985408699
4.5 3.301 0.534 i' PHOENIX 1999.8618696327449
4.5 3.342 0.5559 i' PHOENIX 2197.8598727848253
4.5 3.38 0.5746 i' PHOENIX 2398.83291901949
4.5 3.415 0.5608 i' PHOENIX 2600.159563165272
4.5 3.447 0.4933 i' PHOENIX 2798.981319634363
4.5 3.477 0.4211 i' PHOENIX 2999.16251898765
4.5 3.505 0.3681 i' PHOENIX 3198.895109691397
4.5 3.531 0.3464 i' PHOENIX 3396.2527259040853
4.5 3.556 0.351 i' PHOENIX 3597.4933515574235
4.5 3.58 0.3737 i' PHOENIX 3801.8939632056126
4.5 3.602 0.4055 i' PHOENIX 3999.4474976109736
4.5 3.623 0.4716 i' PHOENIX 4197.589839910078
4.5 3.643 0.4901 i' PHOENIX 4395.416154378243
4.5 3.663 0.4681 i' PHOENIX 4602.565735813559
4.5 3.681 0.4419 i' PHOENIX 4797.334486366892
4.5 3.699 0.4289 i' PHOENIX 5000.345349769783
4.5 3.716 0.4106 i' PHOENIX 5199.959965335162
4.5 3.732 0.3758 i' PHOENIX 5395.1062251512785
4.5 3.748 0.3435 i' PHOENIX 5597.576014951104
4.5 3.763 0.287 i' PHOENIX 5794.286964268809
4.5 3.845 0.1831 i' PHOENIX 6998.419960022738
4.5 3.857 0.1269 i' PHOENIX 7194.489780036998
4.5 3.869 0.0984 i' PHOENIX 7396.052750582382
4.5 3.881 0.2068 i' PHOENIX 7603.262769401815
4.5 3.892 0.448 i' PHOENIX 7798.3011052325855
4.5 3.903 0.5447 i' PHOENIX 7998.342550070284
4.5 3.914 0.5263 i' PHOENIX 8203.515443298185
4.5 3.924 0.5052 i' PHOENIX 8394.599865193974
4.5 3.934 0.4778 i' PHOENIX 8590.13521505396
4.5 3.944 0.42 i' PHOENIX 8790.225168308842
4.5 3.954 0.4306 i' PHOENIX 8994.975815300355
4.5 3.964 0.4719 i' PHOENIX 9204.495717531712
4.5 3.973 0.4499 i' PHOENIX 9397.233105646375
4.5 3.982 0.4441 i' PHOENIX 9594.006315159337
