log(g) logTeff y Filt Mod Teff
3.5 3.301 0.949 r' PHOENIX 1999.8618696327449
3.5 3.342 1.0252 r' PHOENIX 2197.8598727848253
3.5 3.38 1.0324 r' PHOENIX 2398.83291901949
3.5 3.415 0.7821 r' PHOENIX 2600.159563165272
3.5 3.447 0.5668 r' PHOENIX 2798.981319634363
3.5 3.477 0.6265 r' PHOENIX 2999.16251898765
3.5 3.505 0.6652 r' PHOENIX 3198.895109691397
3.5 3.531 0.8099 r' PHOENIX 3396.2527259040853
3.5 3.556 0.824 r' PHOENIX 3597.4933515574235
3.5 3.58 1.269 r' PHOENIX 3801.8939632056126
3.5 3.602 0.5945 r' PHOENIX 3999.4474976109736
3.5 3.623 0.1869 r' PHOENIX 4197.589839910078
3.5 3.643 0.2495 r' PHOENIX 4395.416154378243
3.5 3.663 0.2892 r' PHOENIX 4602.565735813559
3.5 3.681 -0.0074 r' PHOENIX 4797.334486366892
3.5 3.699 0.2044 r' PHOENIX 5000.345349769783
3.5 3.716 0.4798 r' PHOENIX 5199.959965335162
3.5 3.732 0.4409 r' PHOENIX 5395.1062251512785
3.5 3.748 0.4049 r' PHOENIX 5597.576014951104
3.5 3.763 0.3423 r' PHOENIX 5794.286964268809
3.5 3.845 0.207 r' PHOENIX 6998.419960022738
3.5 3.857 0.1347 r' PHOENIX 7194.489780036998
3.5 3.869 0.0965 r' PHOENIX 7396.052750582382
3.5 3.881 0.2318 r' PHOENIX 7603.262769401815
3.5 3.892 0.5139 r' PHOENIX 7798.3011052325855
3.5 3.903 0.6003 r' PHOENIX 7998.342550070284
3.5 3.914 0.6057 r' PHOENIX 8203.515443298185
3.5 3.924 0.6336 r' PHOENIX 8394.599865193974
3.5 3.934 0.6022 r' PHOENIX 8590.13521505396
3.5 3.944 0.5741 r' PHOENIX 8790.225168308842
3.5 3.954 0.5648 r' PHOENIX 8994.975815300355
3.5 3.964 0.5496 r' PHOENIX 9204.495717531712
3.5 3.973 0.5391 r' PHOENIX 9397.233105646375
3.5 3.982 0.5303 r' PHOENIX 9594.006315159337
3.5 3.991 0.5299 r' PHOENIX 9794.89985408699
4.0 3.301 0.9061 r' PHOENIX 1999.8618696327449
4.0 3.342 0.9168 r' PHOENIX 2197.8598727848253
4.0 3.38 0.8988 r' PHOENIX 2398.83291901949
4.0 3.415 0.7786 r' PHOENIX 2600.159563165272
4.0 3.447 0.6762 r' PHOENIX 2798.981319634363
4.0 3.477 0.6383 r' PHOENIX 2999.16251898765
4.0 3.505 0.595 r' PHOENIX 3198.895109691397
4.0 3.531 0.6328 r' PHOENIX 3396.2527259040853
4.0 3.556 0.678 r' PHOENIX 3597.4933515574235
4.0 3.58 0.8126 r' PHOENIX 3801.8939632056126
4.0 3.602 0.572 r' PHOENIX 3999.4474976109736
4.0 3.623 0.5593 r' PHOENIX 4197.589839910078
4.0 3.643 0.543 r' PHOENIX 4395.416154378243
4.0 3.663 0.4983 r' PHOENIX 4602.565735813559
4.0 3.681 0.424 r' PHOENIX 4797.334486366892
4.0 3.699 0.4861 r' PHOENIX 5000.345349769783
4.0 3.716 0.4887 r' PHOENIX 5199.959965335162
4.0 3.732 0.4476 r' PHOENIX 5395.1062251512785
4.0 3.748 0.41 r' PHOENIX 5597.576014951104
4.0 3.763 0.3461 r' PHOENIX 5794.286964268809
4.0 3.845 0.2117 r' PHOENIX 6998.419960022738
4.0 3.857 0.1436 r' PHOENIX 7194.489780036998
4.0 3.869 0.109 r' PHOENIX 7396.052750582382
4.0 3.881 0.2476 r' PHOENIX 7603.262769401815
4.0 3.892 0.5521 r' PHOENIX 7798.3011052325855
4.0 3.903 0.6763 r' PHOENIX 7998.342550070284
4.0 3.914 0.6514 r' PHOENIX 8203.515443298185
4.0 3.924 0.5808 r' PHOENIX 8394.599865193974
4.0 3.934 0.5419 r' PHOENIX 8590.13521505396
4.0 3.944 0.5819 r' PHOENIX 8790.225168308842
4.0 3.954 0.5846 r' PHOENIX 8994.975815300355
4.0 3.964 0.5539 r' PHOENIX 9204.495717531712
4.0 3.973 0.5321 r' PHOENIX 9397.233105646375
4.0 3.982 0.5188 r' PHOENIX 9594.006315159337
4.0 3.991 0.5114 r' PHOENIX 9794.89985408699
4.5 3.301 0.8304 r' PHOENIX 1999.8618696327449
4.5 3.342 0.8496 r' PHOENIX 2197.8598727848253
4.5 3.38 0.8459 r' PHOENIX 2398.83291901949
4.5 3.415 0.7811 r' PHOENIX 2600.159563165272
4.5 3.447 0.6848 r' PHOENIX 2798.981319634363
4.5 3.477 0.5818 r' PHOENIX 2999.16251898765
4.5 3.505 0.529 r' PHOENIX 3198.895109691397
4.5 3.531 0.5309 r' PHOENIX 3396.2527259040853
4.5 3.556 0.5639 r' PHOENIX 3597.4933515574235
4.5 3.58 0.6067 r' PHOENIX 3801.8939632056126
4.5 3.602 0.6034 r' PHOENIX 3999.4474976109736
4.5 3.623 0.678 r' PHOENIX 4197.589839910078
4.5 3.643 0.6789 r' PHOENIX 4395.416154378243
4.5 3.663 0.5895 r' PHOENIX 4602.565735813559
4.5 3.681 0.5378 r' PHOENIX 4797.334486366892
4.5 3.699 0.5163 r' PHOENIX 5000.345349769783
4.5 3.716 0.4931 r' PHOENIX 5199.959965335162
4.5 3.732 0.4515 r' PHOENIX 5395.1062251512785
4.5 3.748 0.4125 r' PHOENIX 5597.576014951104
4.5 3.763 0.3462 r' PHOENIX 5794.286964268809
4.5 3.845 0.2153 r' PHOENIX 6998.419960022738
4.5 3.857 0.1516 r' PHOENIX 7194.489780036998
4.5 3.869 0.1157 r' PHOENIX 7396.052750582382
4.5 3.881 0.2522 r' PHOENIX 7603.262769401815
4.5 3.892 0.5588 r' PHOENIX 7798.3011052325855
4.5 3.903 0.6865 r' PHOENIX 7998.342550070284
4.5 3.914 0.6677 r' PHOENIX 8203.515443298185
4.5 3.924 0.6564 r' PHOENIX 8394.599865193974
4.5 3.934 0.6163 r' PHOENIX 8590.13521505396
4.5 3.944 0.5245 r' PHOENIX 8790.225168308842
4.5 3.954 0.5281 r' PHOENIX 8994.975815300355
4.5 3.964 0.5688 r' PHOENIX 9204.495717531712
4.5 3.973 0.5383 r' PHOENIX 9397.233105646375
4.5 3.982 0.5247 r' PHOENIX 9594.006315159337
4.5 3.991 0.5127 r' PHOENIX 9794.89985408699
5.0 3.301 0.8008 r' PHOENIX 1999.8618696327449
5.0 3.342 0.8291 r' PHOENIX 2197.8598727848253
5.0 3.38 0.799 r' PHOENIX 2398.83291901949
5.0 3.415 0.726 r' PHOENIX 2600.159563165272
5.0 3.447 0.6385 r' PHOENIX 2798.981319634363
5.0 3.477 0.5313 r' PHOENIX 2999.16251898765
5.0 3.505 0.4955 r' PHOENIX 3198.895109691397
5.0 3.531 0.447 r' PHOENIX 3396.2527259040853
5.0 3.556 0.4273 r' PHOENIX 3597.4933515574235
5.0 3.58 0.4851 r' PHOENIX 3801.8939632056126
5.0 3.602 0.5855 r' PHOENIX 3999.4474976109736
5.0 3.623 0.6917 r' PHOENIX 4197.589839910078
5.0 3.643 0.6486 r' PHOENIX 4395.416154378243
5.0 3.663 0.6044 r' PHOENIX 4602.565735813559
5.0 3.681 0.5671 r' PHOENIX 4797.334486366892
5.0 3.699 0.5315 r' PHOENIX 5000.345349769783
5.0 3.716 0.4971 r' PHOENIX 5199.959965335162
5.0 3.732 0.4521 r' PHOENIX 5395.1062251512785
5.0 3.748 0.4112 r' PHOENIX 5597.576014951104
5.0 3.763 0.344 r' PHOENIX 5794.286964268809
5.0 3.845 0.2172 r' PHOENIX 6998.419960022738
5.0 3.857 0.1519 r' PHOENIX 7194.489780036998
5.0 3.869 0.1159 r' PHOENIX 7396.052750582382
5.0 3.881 0.2519 r' PHOENIX 7603.262769401815
5.0 3.892 0.5575 r' PHOENIX 7798.3011052325855
5.0 3.903 0.684 r' PHOENIX 7998.342550070284
5.0 3.914 0.6751 r' PHOENIX 8203.515443298185
5.0 3.924 0.6648 r' PHOENIX 8394.599865193974
5.0 3.934 0.643 r' PHOENIX 8590.13521505396
5.0 3.944 0.6223 r' PHOENIX 8790.225168308842
5.0 3.954 0.581 r' PHOENIX 8994.975815300355
5.0 3.964 0.4914 r' PHOENIX 9204.495717531712
5.0 3.973 0.5035 r' PHOENIX 9397.233105646375
5.0 3.982 0.5319 r' PHOENIX 9594.006315159337
5.0 3.991 0.4556 r' PHOENIX 9794.89985408699
