Teff log(g) y1 y2 y
2300.0 3.0 3.0176 0.0583 3.0759
2400.0 3.0 3.331 -0.0151 3.3159
2500.0 3.0 3.3683 -0.028 3.3403
2600.0 3.0 3.0254 0.0195 3.0448999999999997
2700.0 3.0 2.4911 0.0974 2.5885
2900.0 3.0 2.1942 0.2363 2.4305
3100.0 3.0 2.0844 0.3214 2.4058
3200.0 3.0 2.3286 0.3466 2.6752
3300.0 3.0 2.9543 0.3171 3.2714
3400.0 3.0 3.3837 0.1896 3.5733
3500.0 3.0 3.4333 0.1361 3.5694
3600.0 3.0 3.4338 0.0574 3.4912
3700.0 3.0 3.142 0.0008 3.1428
3800.0 3.0 2.7369 -0.0235 2.7134
3900.0 3.0 2.3267 -0.0147 2.3120000000000003
4000.0 3.0 1.9734 -0.0068 1.9666000000000001
4100.0 3.0 1.7661 -0.0006 1.7655
4200.0 3.0 1.6284 -0.0006 1.6278000000000001
4300.0 3.0 1.511 -0.0004 1.5106
4400.0 3.0 1.4366 0.0011 1.4377000000000002
4500.0 3.0 1.3823 -0.0005 1.3818000000000001
4600.0 3.0 1.3173 0.0001 1.3174
4700.0 3.0 1.2786 0.0038 1.2824
4800.0 3.0 1.2557 0.002 1.2577
4900.0 3.0 1.174 -0.0006 1.1734
5100.0 3.0 1.1301 -0.0025 1.1276000000000002
5200.0 3.0 1.1025 -0.0009 1.1016000000000001
5300.0 3.0 1.0944 -0.0025 1.0919
5400.0 3.0 1.0312 -0.0071 1.0240999999999998
5500.0 3.0 1.0356 0.0027 1.0383
5600.0 3.0 1.0686 -0.0029 1.0657
5700.0 3.0 1.0306 -0.0064 1.0242
5800.0 3.0 1.0185 -0.0201 0.9984
5900.0 3.0 1.0055 -0.0082 0.9973000000000001
6000.0 3.0 0.994 -0.0089 0.9851
6100.0 3.0 0.9811 -0.008 0.9731
6200.0 3.0 0.9666 -0.0073 0.9593
6300.0 3.0 0.9527 -0.0072 0.9455
6400.0 3.0 0.9406 -0.0089 0.9317
6500.0 3.0 0.9267 -0.0025 0.9242
6600.0 3.0 0.9103 -0.0085 0.9018
6700.0 3.0 0.8953 0.001 0.8963
6800.0 3.0 0.8811 0.0042 0.8853
6900.0 3.0 0.8644 -0.0075 0.8569
7000.0 3.0 0.8535 -0.0068 0.8467
7200.0 3.0 0.8099 -0.01 0.7998999999999999
7400.0 3.0 0.7609 -0.0026 0.7583
7600.0 3.0 0.7327 0.0072 0.7399
7800.0 3.0 0.7056 -0.01 0.6956
8000.0 3.0 0.6822 -0.0012 0.681
8200.0 3.0 0.6509 -0.0016 0.6493
8400.0 3.0 0.6284 -0.0012 0.6272
8600.0 3.0 0.6017 -0.0003 0.6014
8800.0 3.0 0.581 0.0003 0.5812999999999999
9000.0 3.0 0.5712 -0.0012 0.5700000000000001
9200.0 3.0 0.5625 -0.0028 0.5597
9400.0 3.0 0.5507 -0.0038 0.5468999999999999
9600.0 3.0 0.5422 -0.0044 0.5378000000000001
9800.0 3.0 0.5398 -0.0038 0.5359999999999999
10000.0 3.0 0.5326 -0.005 0.5276
