log(g) logTeff y Filt Mod Teff
3.5 3.301 0.1475 u' PHOENIX 1999.8618696327449
3.5 3.342 0.3458 u' PHOENIX 2197.8598727848253
3.5 3.38 0.3721 u' PHOENIX 2398.83291901949
3.5 3.415 0.3954 u' PHOENIX 2600.159563165272
3.5 3.447 0.3766 u' PHOENIX 2798.981319634363
3.5 3.477 0.4229 u' PHOENIX 2999.16251898765
3.5 3.505 0.4618 u' PHOENIX 3198.895109691397
3.5 3.531 0.5111 u' PHOENIX 3396.2527259040853
3.5 3.556 0.3447 u' PHOENIX 3597.4933515574235
3.5 3.58 0.2515 u' PHOENIX 3801.8939632056126
3.5 3.602 0.3363 u' PHOENIX 3999.4474976109736
3.5 3.623 0.4538 u' PHOENIX 4197.589839910078
3.5 3.643 0.5112 u' PHOENIX 4395.416154378243
3.5 3.663 0.4787 u' PHOENIX 4602.565735813559
3.5 3.681 -0.2951 u' PHOENIX 4797.334486366892
3.5 3.699 0.3528 u' PHOENIX 5000.345349769783
3.5 3.716 1.0141 u' PHOENIX 5199.959965335162
3.5 3.732 0.9037 u' PHOENIX 5395.1062251512785
3.5 3.748 0.7991 u' PHOENIX 5597.576014951104
3.5 3.763 0.5772 u' PHOENIX 5794.286964268809
3.5 3.845 0.3659 u' PHOENIX 6998.419960022738
3.5 3.857 0.2088 u' PHOENIX 7194.489780036998
3.5 3.869 0.1466 u' PHOENIX 7396.052750582382
3.5 3.881 0.415 u' PHOENIX 7603.262769401815
3.5 3.892 1.1091 u' PHOENIX 7798.3011052325855
3.5 3.903 1.4119 u' PHOENIX 7998.342550070284
3.5 3.914 1.1395 u' PHOENIX 8203.515443298185
3.5 3.924 0.9484 u' PHOENIX 8394.599865193974
3.5 3.934 0.9966 u' PHOENIX 8590.13521505396
3.5 3.944 0.9366 u' PHOENIX 8790.225168308842
3.5 3.954 0.8718 u' PHOENIX 8994.975815300355
3.5 3.964 0.8422 u' PHOENIX 9204.495717531712
3.5 3.973 0.8069 u' PHOENIX 9397.233105646375
3.5 3.982 0.7816 u' PHOENIX 9594.006315159337
3.5 3.991 0.7513 u' PHOENIX 9794.89985408699
4.0 3.301 0.3891 u' PHOENIX 1999.8618696327449
4.0 3.342 0.3567 u' PHOENIX 2197.8598727848253
4.0 3.38 0.4128 u' PHOENIX 2398.83291901949
4.0 3.415 0.4385 u' PHOENIX 2600.159563165272
4.0 3.447 0.4239 u' PHOENIX 2798.981319634363
4.0 3.477 0.4578 u' PHOENIX 2999.16251898765
4.0 3.505 0.4384 u' PHOENIX 3198.895109691397
4.0 3.531 0.4156 u' PHOENIX 3396.2527259040853
4.0 3.556 0.3741 u' PHOENIX 3597.4933515574235
4.0 3.58 0.3658 u' PHOENIX 3801.8939632056126
4.0 3.602 0.4479 u' PHOENIX 3999.4474976109736
4.0 3.623 0.652 u' PHOENIX 4197.589839910078
4.0 3.643 0.8467 u' PHOENIX 4395.416154378243
4.0 3.663 0.986 u' PHOENIX 4602.565735813559
4.0 3.681 1.0568 u' PHOENIX 4797.334486366892
4.0 3.699 1.2702 u' PHOENIX 5000.345349769783
4.0 3.716 1.1398 u' PHOENIX 5199.959965335162
4.0 3.732 0.9968 u' PHOENIX 5395.1062251512785
4.0 3.748 0.8743 u' PHOENIX 5597.576014951104
4.0 3.763 0.6335 u' PHOENIX 5794.286964268809
4.0 3.845 0.4011 u' PHOENIX 6998.419960022738
4.0 3.857 0.233 u' PHOENIX 7194.489780036998
4.0 3.869 0.1755 u' PHOENIX 7396.052750582382
4.0 3.881 0.414 u' PHOENIX 7603.262769401815
4.0 3.892 0.9608 u' PHOENIX 7798.3011052325855
4.0 3.903 1.2396 u' PHOENIX 7998.342550070284
4.0 3.914 1.2314 u' PHOENIX 8203.515443298185
4.0 3.924 1.3634 u' PHOENIX 8394.599865193974
4.0 3.934 1.3335 u' PHOENIX 8590.13521505396
4.0 3.944 1.0339 u' PHOENIX 8790.225168308842
4.0 3.954 0.9245 u' PHOENIX 8994.975815300355
4.0 3.964 0.8773 u' PHOENIX 9204.495717531712
4.0 3.973 0.8444 u' PHOENIX 9397.233105646375
4.0 3.982 0.8101 u' PHOENIX 9594.006315159337
4.0 3.991 0.7714 u' PHOENIX 9794.89985408699
4.5 3.301 0.5047 u' PHOENIX 1999.8618696327449
4.5 3.342 0.4395 u' PHOENIX 2197.8598727848253
4.5 3.38 0.4696 u' PHOENIX 2398.83291901949
4.5 3.415 0.4689 u' PHOENIX 2600.159563165272
4.5 3.447 0.4624 u' PHOENIX 2798.981319634363
4.5 3.477 0.4534 u' PHOENIX 2999.16251898765
4.5 3.505 0.4321 u' PHOENIX 3198.895109691397
4.5 3.531 0.4218 u' PHOENIX 3396.2527259040853
4.5 3.556 0.432 u' PHOENIX 3597.4933515574235
