Teff log(g) y1 y2 y
2300.0 3.0 3.6361 -0.2964 3.3396999999999997
2400.0 3.0 3.4051 -0.223 3.1821
2500.0 3.0 3.1818 -0.1728 3.009
2600.0 3.0 2.9935 -0.1276 2.8659
2700.0 3.0 2.7539 -0.0961 2.6578
2900.0 3.0 2.4897 -0.0006 2.4891
3100.0 3.0 2.2339 0.0775 2.3114000000000003
3200.0 3.0 1.9023 0.091 1.9933
3300.0 3.0 1.4988 0.124 1.6227999999999998
3400.0 3.0 1.4734 0.1766 1.6500000000000001
3500.0 3.0 1.7121 0.1577 1.8698
3600.0 3.0 1.8656 0.1348 2.0004
3700.0 3.0 2.125 0.1189 2.2439
3800.0 3.0 2.4263 0.0978 2.5241
3900.0 3.0 2.6455 0.0595 2.705
4000.0 3.0 2.8542 0.0548 2.9090000000000003
4100.0 3.0 3.0772 0.0531 3.1303
4200.0 3.0 3.1938 0.041 3.2348
4300.0 3.0 3.1583 0.0295 3.1878
4400.0 3.0 3.1824 0.0436 3.226
4500.0 3.0 3.1943 0.0286 3.2229
4600.0 3.0 3.1093 0.0374 3.1467
4700.0 3.0 3.1232 0.0557 3.1789
4800.0 3.0 3.1965 0.0538 3.2502999999999997
4900.0 3.0 3.1176 0.0151 3.1327
5100.0 3.0 2.959 0.0213 2.9803
5200.0 3.0 2.6159 0.0043 2.6202
5300.0 3.0 2.5265 0.023 2.5495
5400.0 3.0 2.3506 0.0011 2.3517
5500.0 3.0 2.2742 0.053 2.3272
5600.0 3.0 2.1713 -0.0006 2.1707
5700.0 3.0 1.935 0.0077 1.9427
5800.0 3.0 1.8381 -0.0194 1.8187
5900.0 3.0 1.7364 0.0064 1.7428
6000.0 3.0 1.695 -0.003 1.6920000000000002
6100.0 3.0 1.5738 0.0068 1.5806
6200.0 3.0 1.4982 0.013 1.5111999999999999
6300.0 3.0 1.4298 0.0047 1.4344999999999999
6400.0 3.0 1.384 0.0027 1.3866999999999998
6500.0 3.0 1.367 0.0114 1.3784
6600.0 3.0 1.2998 -0.0033 1.2965
6700.0 3.0 1.3006 0.0127 1.3133
6800.0 3.0 1.3499 0.0072 1.3571000000000002
6900.0 3.0 1.2814 -0.0245 1.2569000000000001
7000.0 3.0 1.24 -0.0239 1.2161
7200.0 3.0 1.2034 -0.0344 1.169
7400.0 3.0 1.1915 -0.0356 1.1559
7600.0 3.0 1.212 -0.0418 1.1702
7800.0 3.0 1.2376 -0.0628 1.1748
8000.0 3.0 1.2922 -0.0678 1.2244
8200.0 3.0 1.3215 -0.0803 1.2411999999999999
8400.0 3.0 1.321 -0.0869 1.2341
8600.0 3.0 1.2862 -0.0895 1.1967
8800.0 3.0 1.231 -0.0902 1.1408
9000.0 3.0 1.1758 -0.09 1.0857999999999999
9200.0 3.0 1.1234 -0.0903 1.0331
9400.0 3.0 1.0651 -0.089 0.9761
9600.0 3.0 1.0136 -0.0861 0.9275000000000001
9800.0 3.0 0.9755 -0.0802 0.8953
10000.0 3.0 0.9383 -0.0775 0.8608
10200.0 3.0 0.9041 -0.0747 0.8294
10400.0 3.0 0.8717 -0.0719 0.7998000000000001
10600.0 3.0 0.8445 -0.0686 0.7759
10800.0 3.0 0.8237 -0.0656 0.7581
11000.0 3.0 0.8025 -0.0628 0.7397
11200.0 3.0 0.785 -0.0601 0.7249
11400.0 3.0 0.765 -0.0733 0.6917
11600.0 3.0 0.749 -0.0663 0.6827
11800.0 3.0 0.7381 -0.0485 0.6896
12000.0 3.0 0.7221 -0.0471 0.6749999999999999
2300.0 3.5 4.39 -0.5052 3.8848
2400.0 3.5 3.9663 -0.3848 3.5815
2500.0 3.5 3.6224 -0.3037 3.3186999999999998
2600.0 3.5 3.3634 -0.235 3.1284
2700.0 3.5 3.1112 -0.1826 2.9286000000000003
2900.0 3.5 2.8495 -0.0909 2.7586
3100.0 3.5 2.5281 -0.0107 2.5174
3200.0 3.5 2.1545 0.0187 2.1732
3300.0 3.5 1.881 0.0524 1.9334
3400.0 3.5 1.6888 0.094 1.7828000000000002
3500.0 3.5 1.642 0.1067 1.7487
3600.0 3.5 1.7515 0.1081 1.8596000000000001
3700.0 3.5 1.961 0.1014 2.0624000000000002
3800.0 3.5 2.1473 0.0835 2.2308
3900.0 3.5 2.4014 0.0587 2.4601
4000.0 3.5 2.7271 0.0395 2.7666
4100.0 3.5 2.9327 0.021 2.9537
4200.0 3.5 3.0515 0.0042 3.0557
4300.0 3.5 3.1514 -0.0025 3.1489000000000003
4400.0 3.5 3.1738 -0.0006 3.1732
4500.0 3.5 3.1658 -0.0043 3.1614999999999998
4600.0 3.5 3.2162 -0.0032 3.213
4700.0 3.5 3.1791 0.0009 3.18
4800.0 3.5 3.024 -0.0031 3.0209
4900.0 3.5 3.0044 -0.0085 2.9959
5100.0 3.5 2.9187 -0.0183 2.9004
5200.0 3.5 2.6544 -0.0143 2.6401
5300.0 3.5 2.5178 -0.0096 2.5082
5400.0 3.5 2.4913 -0.0134 2.4779
5500.0 3.5 2.2843 -0.0034 2.2809
5600.0 3.5 1.9815 -0.0092 1.9723
5700.0 3.5 1.8706 -0.0052 1.8654
5800.0 3.5 1.8485 -0.0061 1.8424
5900.0 3.5 1.8206 -0.0013 1.8193
6000.0 3.5 1.6774 -0.0028 1.6746
6100.0 3.5 1.6434 -0.0058 1.6376
6200.0 3.5 1.5186 -0.0029 1.5157
6300.0 3.5 1.3979 0.0009 1.3987999999999998
6400.0 3.5 1.4155 0.0004 1.4159
6500.0 3.5 1.3341 0.0011 1.3352000000000002
6600.0 3.5 1.2949 -0.0007 1.2942
6700.0 3.5 1.3275 -0.0012 1.3262999999999998
6800.0 3.5 1.1245 -0.0056 1.1189
6900.0 3.5 1.0882 -0.0101 1.0781
7000.0 3.5 1.1837 -0.0134 1.1703
7200.0 3.5 1.1474 -0.017 1.1304
7400.0 3.5 1.1215 -0.0234 1.0980999999999999
7600.0 3.5 1.0984 -0.0358 1.0626
7800.0 3.5 1.133 -0.0377 1.0953
8000.0 3.5 1.1831 -0.0471 1.1360000000000001
8200.0 3.5 1.2063 -0.0582 1.1481
8400.0 3.5 1.2439 -0.067 1.1769
8600.0 3.5 1.2405 -0.0745 1.166
8800.0 3.5 1.2103 -0.0786 1.1317
9000.0 3.5 1.1639 -0.0806 1.0833
9200.0 3.5 1.1193 -0.0822 1.0371
9400.0 3.5 1.0802 -0.0828 0.9974000000000001
9600.0 3.5 1.0499 -0.0819 0.9680000000000001
9800.0 3.5 1.0132 -0.0811 0.9321000000000002
10000.0 3.5 0.9684 -0.0798 0.8886000000000001
10200.0 3.5 0.9366 -0.0782 0.8583999999999999
10400.0 3.5 0.9093 -0.0765 0.8328
10600.0 3.5 0.8852 -0.0743 0.8109
10800.0 3.5 0.8635 -0.0721 0.7914000000000001
11000.0 3.5 0.8426 -0.0698 0.7728
11200.0 3.5 0.7612 -0.0675 0.6937
11400.0 3.5 0.7425 -0.0653 0.6772
11600.0 3.5 0.8549 -0.0667 0.7882
11800.0 3.5 0.8371 -0.0646 0.7725
12000.0 3.5 0.683 -0.0627 0.6203000000000001
2300.0 4.0 5.5134 -0.7115 4.8019
2400.0 4.0 4.7965 -0.5723 4.2242
2500.0 4.0 4.2589 -0.4636 3.7952999999999997
2600.0 4.0 3.8997 -0.3647 3.535
2700.0 4.0 3.5134 -0.2894 3.2239999999999998
2900.0 4.0 3.2058 -0.1823 3.0235
3100.0 4.0 2.875 -0.0968 2.7782
3200.0 4.0 2.4829 -0.0576 2.4253
3300.0 4.0 2.2144 -0.0192 2.1952
3400.0 4.0 2.0045 0.0171 2.0216000000000003
3500.0 4.0 1.8534 0.0482 1.9016
3600.0 4.0 1.8116 0.0693 1.8809
3700.0 4.0 1.8629 0.0765 1.9394
3800.0 4.0 1.9593 0.0721 2.0314
3900.0 4.0 2.1517 0.062 2.2137
4000.0 4.0 2.4204 0.0397 2.4600999999999997
4100.0 4.0 2.6611 0.0125 2.6736
4200.0 4.0 2.9097 -0.0104 2.8992999999999998
4300.0 4.0 3.0995 -0.0282 3.0713
4400.0 4.0 3.1594 -0.0366 3.1228000000000002
4500.0 4.0 3.1595 -0.0375 3.122
4600.0 4.0 3.1784 -0.0389 3.1395
4700.0 4.0 3.1252 -0.0419 3.0833
4800.0 4.0 3.0663 -0.0451 3.0212
4900.0 4.0 2.9736 -0.0383 2.9353
5100.0 4.0 2.903 -0.0447 2.8583
5200.0 4.0 2.745 -0.0396 2.7054
5300.0 4.0 2.54 -0.0375 2.5025
5400.0 4.0 2.4475 -0.0338 2.4137
5500.0 4.0 2.3404 -0.04 2.3004
5600.0 4.0 2.1424 -0.0287 2.1136999999999997
5700.0 4.0 1.9856 -0.0216 1.964
5800.0 4.0 1.9034 -0.0156 1.8878
5900.0 4.0 1.7938 -0.0257 1.7681
6000.0 4.0 1.6171 -0.0115 1.6056
6100.0 4.0 1.5705 -0.0093 1.5612
6200.0 4.0 1.617 -0.0077 1.6093
6300.0 4.0 1.49 -0.0066 1.4834
6400.0 4.0 1.3877 -0.0004 1.3873
6500.0 4.0 1.3461 -0.0044 1.3417000000000001
6600.0 4.0 1.2558 0.0007 1.2565
6700.0 4.0 1.2061 -0.0019 1.2042
6800.0 4.0 1.1762 -0.0038 1.1723999999999999
6900.0 4.0 1.1275 -0.0001 1.1274
7000.0 4.0 1.1476 -0.0026 1.145
7200.0 4.0 1.0998 -0.0069 1.0929000000000002
7400.0 4.0 0.9906 -0.0146 0.9760000000000001
7600.0 4.0 1.0555 -0.0165 1.0390000000000001
7800.0 4.0 1.1106 -0.0199 1.0907
8000.0 4.0 1.0566 -0.0284 1.0282
8200.0 4.0 1.0869 -0.0371 1.0498
8400.0 4.0 1.1237 -0.0474 1.0762999999999998
8600.0 4.0 1.1436 -0.0571 1.0865
8800.0 4.0 1.1542 -0.0649 1.0893
9000.0 4.0 1.129 -0.0687 1.0603
9200.0 4.0 1.0944 -0.0718 1.0226
9400.0 4.0 1.0687 -0.074 0.9947
9600.0 4.0 1.0369 -0.0742 0.9626999999999999
9800.0 4.0 1.0051 -0.0772 0.9279000000000001
10000.0 4.0 0.9791 -0.0775 0.9016
10200.0 4.0 0.9527 -0.0774 0.8753
10400.0 4.0 0.9305 -0.077 0.8535
10600.0 4.0 0.9113 -0.0762 0.8351
10800.0 4.0 0.8933 -0.0752 0.8180999999999999
11000.0 4.0 0.8748 -0.0738 0.801
11200.0 4.0 0.8581 -0.0723 0.7857999999999999
11400.0 4.0 0.778 -0.0666 0.7114
11600.0 4.0 0.7598 -0.0648 0.6950000000000001
11800.0 4.0 0.8071 -0.0669 0.7402000000000001
12000.0 4.0 0.7882 -0.0648 0.7234
2300.0 4.5 6.452 -0.8252 5.6268
2400.0 4.5 5.6773 -0.7854 4.8919
2500.0 4.5 5.1158 -0.652 4.4638
2600.0 4.5 4.6666 -0.5367 4.1299
2700.0 4.5 4.0721 -0.4311 3.641
2900.0 4.5 3.6523 -0.2845 3.3678
3100.0 4.5 3.2575 -0.1813 3.0762
3200.0 4.5 2.8686 -0.1368 2.7318
3300.0 4.5 2.5902 -0.0918 2.4983999999999997
3400.0 4.5 2.3487 -0.0529 2.2958
3500.0 4.5 2.1679 -0.0164 2.1515
3600.0 4.5 2.0448 0.0146 2.0594
3700.0 4.5 1.9915 0.0369 2.0284
3800.0 4.5 1.9884 0.0505 2.0389
3900.0 4.5 2.0375 0.0572 2.0947
4000.0 4.5 2.1574 0.0503 2.2077
4100.0 4.5 2.3418 0.0337 2.3755
4200.0 4.5 2.5594 0.0081 2.5675000000000003
4300.0 4.5 2.8269 -0.0212 2.8057000000000003
4400.0 4.5 3.0563 -0.0423 3.014
4500.0 4.5 3.1363 -0.0609 3.0753999999999997
4600.0 4.5 3.1576 -0.0664 3.0912
4700.0 4.5 3.0951 -0.0693 3.0258
4800.0 4.5 3.0737 -0.0658 3.0079000000000002
4900.0 4.5 3.0077 -0.0676 2.9400999999999997
5100.0 4.5 2.906 -0.0703 2.8357
5200.0 4.5 2.7622 -0.0704 2.6918
5300.0 4.5 2.607 -0.0633 2.5437000000000003
5400.0 4.5 2.4538 -0.0577 2.3961
5500.0 4.5 2.3644 -0.0539 2.3104999999999998
5600.0 4.5 2.278 -0.0541 2.2239
5700.0 4.5 2.0859 -0.0465 2.0394
5800.0 4.5 1.7798 -0.0402 1.7396
5900.0 4.5 1.8889 -0.0335 1.8554
6000.0 4.5 1.9605 -0.0271 1.9334
6100.0 4.5 1.7105 -0.0254 1.6850999999999998
6200.0 4.5 1.5668 -0.0214 1.5453999999999999
6300.0 4.5 1.5303 -0.0119 1.5184
6400.0 4.5 1.4569 -0.0073 1.4496
6500.0 4.5 1.355 -0.0046 1.3504
6600.0 4.5 1.3427 -0.0012 1.3415
6700.0 4.5 1.2409 0.0015 1.2424
6800.0 4.5 1.159 0.0031 1.1621000000000001
6900.0 4.5 1.1108 0.0044 1.1152
7000.0 4.5 1.0918 0.0058 1.0976000000000001
7200.0 4.5 1.0232 0.0014 1.0246000000000002
7400.0 4.5 1.0187 0.0006 1.0192999999999999
7600.0 4.5 1.0404 0.0022 1.0426
7800.0 4.5 0.9999 -0.007 0.9929
8000.0 4.5 0.985 -0.0125 0.9725
8200.0 4.5 0.9818 -0.0187 0.9631
8400.0 4.5 1.0021 -0.0268 0.9753
8600.0 4.5 1.0247 -0.035 0.9896999999999999
8800.0 4.5 1.0632 -0.0442 1.019
9000.0 4.5 1.0741 -0.0524 1.0217
9200.0 4.5 1.0496 -0.0577 0.9919000000000001
9400.0 4.5 1.0477 -0.0604 0.9873000000000001
9600.0 4.5 1.0057 -0.0635 0.9422
9800.0 4.5 0.9663 -0.0656 0.9007000000000001
10000.0 4.5 0.965 -0.0673 0.8976999999999999
10200.0 4.5 0.9442 -0.0687 0.8755000000000001
10400.0 4.5 0.9272 -0.0696 0.8576
10600.0 4.5 0.9132 -0.0703 0.8429
10800.0 4.5 0.9011 -0.0706 0.8305
11000.0 4.5 0.8886 -0.0706 0.818
11200.0 4.5 0.8768 -0.0702 0.8066
11400.0 4.5 0.8644 -0.0701 0.7943
11600.0 4.5 0.8514 -0.0685 0.7829
11800.0 4.5 0.8378 -0.0672 0.7706
12000.0 4.5 0.8229 -0.0657 0.7572
2300.0 5.0 5.3669 -0.7016 4.6653
2400.0 5.0 5.9918 -0.8595 5.1323
2500.0 5.0 6.0474 -0.8491 5.1983
2600.0 5.0 5.5525 -0.7291 4.8234
2700.0 5.0 4.8431 -0.6118 4.2313
2900.0 5.0 4.2465 -0.4138 3.8327
3100.0 5.0 3.7385 -0.275 3.4635000000000002
3200.0 5.0 3.3077 -0.2201 3.0876
3300.0 5.0 3.0111 -0.1692 2.8419
3400.0 5.0 2.7419 -0.1233 2.6186
3500.0 5.0 2.5332 -0.0814 2.4518
3600.0 5.0 2.3636 -0.0463 2.3173
3700.0 5.0 2.2448 -0.0153 2.2295000000000003
3800.0 5.0 2.1808 0.0089 2.1897
3900.0 5.0 2.1497 0.0273 2.177
4000.0 5.0 2.1502 0.0388 2.189
4100.0 5.0 2.1632 0.041 2.2041999999999997
4200.0 5.0 2.2458 0.0353 2.2811
4300.0 5.0 2.4761 0.0148 2.4909000000000003
4400.0 5.0 2.6566 -0.0129 2.6437
4500.0 5.0 2.8474 -0.0422 2.8052
4600.0 5.0 3.0674 -0.0633 3.0041
4700.0 5.0 3.1326 -0.079 3.0536
4800.0 5.0 3.0906 -0.0814 3.0092
4900.0 5.0 2.9313 -0.0855 2.8457999999999997
5100.0 5.0 2.8752 -0.0899 2.7853
5200.0 5.0 2.8501 -0.0889 2.7611999999999997
5300.0 5.0 2.734 -0.0899 2.6441
5400.0 5.0 2.5932 -0.0833 2.5099
5500.0 5.0 2.3972 -0.0806 2.3166
5600.0 5.0 2.2607 -0.0725 2.1882
5700.0 5.0 2.2142 -0.0674 2.1468
5800.0 5.0 2.1215 -0.0576 2.0639000000000003
5900.0 5.0 2.0159 -0.0549 1.9609999999999999
6000.0 5.0 1.7565 -0.0428 1.7137
6100.0 5.0 1.6713 -0.0362 1.6351
6200.0 5.0 1.8587 -0.0308 1.8279
6300.0 5.0 1.7447 -0.0344 1.7103
6400.0 5.0 1.5212 -0.0244 1.4968000000000001
6500.0 5.0 1.4599 -0.0223 1.4376
6600.0 5.0 1.3714 -0.0133 1.3580999999999999
6700.0 5.0 1.2895 -0.0092 1.2803
6800.0 5.0 1.2344 -0.005 1.2294
6900.0 5.0 1.1806 -0.0031 1.1775
7000.0 5.0 1.1058 0.003 1.1087999999999998
7200.0 5.0 1.0465 0.0072 1.0537
7400.0 5.0 0.9996 0.0125 1.0121
7600.0 5.0 0.9718 0.0096 0.9814
7800.0 5.0 0.945 0.0078 0.9528
8000.0 5.0 0.9224 -0.0007 0.9217
8200.0 5.0 0.9191 -0.0059 0.9132
8400.0 5.0 0.9264 -0.0108 0.9156
8600.0 5.0 0.9276 -0.0134 0.9142
8800.0 5.0 0.9338 -0.02 0.9138
9000.0 5.0 0.9542 -0.0288 0.9254
9200.0 5.0 0.9892 -0.0366 0.9526
9400.0 5.0 0.9912 -0.0436 0.9476
9600.0 5.0 0.9651 -0.0494 0.9157
9800.0 5.0 0.9504 -0.0502 0.9002
10000.0 5.0 0.9348 -0.053 0.8817999999999999
10200.0 5.0 0.919 -0.0551 0.8639
10400.0 5.0 0.9066 -0.057 0.8495999999999999
