log(g) logTeff y Filt Mod Teff
3.5 3.301 0.4623 z' PHOENIX 1999.8618696327449
3.5 3.342 0.4604 z' PHOENIX 2197.8598727848253
3.5 3.38 0.4431 z' PHOENIX 2398.83291901949
3.5 3.415 0.3961 z' PHOENIX 2600.159563165272
3.5 3.447 0.3441 z' PHOENIX 2798.981319634363
3.5 3.477 0.3137 z' PHOENIX 2999.16251898765
3.5 3.505 0.3081 z' PHOENIX 3198.895109691397
3.5 3.531 0.3269 z' PHOENIX 3396.2527259040853
3.5 3.556 0.2829 z' PHOENIX 3597.4933515574235
3.5 3.58 0.2932 z' PHOENIX 3801.8939632056126
3.5 3.602 0.1744 z' PHOENIX 3999.4474976109736
3.5 3.623 0.1542 z' PHOENIX 4197.589839910078
3.5 3.643 0.2027 z' PHOENIX 4395.416154378243
3.5 3.663 0.2097 z' PHOENIX 4602.565735813559
3.5 3.681 -0.0068 z' PHOENIX 4797.334486366892
3.5 3.699 0.1462 z' PHOENIX 5000.345349769783
3.5 3.716 0.3407 z' PHOENIX 5199.959965335162
3.5 3.732 0.3126 z' PHOENIX 5395.1062251512785
3.5 3.748 0.2875 z' PHOENIX 5597.576014951104
3.5 3.763 0.2525 z' PHOENIX 5794.286964268809
3.5 3.845 0.145 z' PHOENIX 6998.419960022738
3.5 3.857 0.0987 z' PHOENIX 7194.489780036998
3.5 3.869 0.068 z' PHOENIX 7396.052750582382
3.5 3.881 0.1805 z' PHOENIX 7603.262769401815
3.5 3.892 0.4169 z' PHOENIX 7798.3011052325855
3.5 3.903 0.4877 z' PHOENIX 7998.342550070284
3.5 3.914 0.485 z' PHOENIX 8203.515443298185
3.5 3.924 0.502 z' PHOENIX 8394.599865193974
3.5 3.934 0.4732 z' PHOENIX 8590.13521505396
3.5 3.944 0.4381 z' PHOENIX 8790.225168308842
3.5 3.954 0.4291 z' PHOENIX 8994.975815300355
3.5 3.964 0.4144 z' PHOENIX 9204.495717531712
3.5 3.973 0.403 z' PHOENIX 9397.233105646375
3.5 3.982 0.3955 z' PHOENIX 9594.006315159337
3.5 3.991 0.3878 z' PHOENIX 9794.89985408699
4.0 3.301 0.4588 z' PHOENIX 1999.8618696327449
4.0 3.342 0.4591 z' PHOENIX 2197.8598727848253
4.0 3.38 0.4448 z' PHOENIX 2398.83291901949
4.0 3.415 0.4013 z' PHOENIX 2600.159563165272
4.0 3.447 0.3396 z' PHOENIX 2798.981319634363
4.0 3.477 0.3052 z' PHOENIX 2999.16251898765
4.0 3.505 0.2843 z' PHOENIX 3198.895109691397
4.0 3.531 0.2665 z' PHOENIX 3396.2527259040853
4.0 3.556 0.2421 z' PHOENIX 3597.4933515574235
4.0 3.58 0.2357 z' PHOENIX 3801.8939632056126
4.0 3.602 0.2184 z' PHOENIX 3999.4474976109736
4.0 3.623 0.279 z' PHOENIX 4197.589839910078
4.0 3.643 0.3001 z' PHOENIX 4395.416154378243
4.0 3.663 0.3185 z' PHOENIX 4602.565735813559
4.0 3.681 0.2958 z' PHOENIX 4797.334486366892
4.0 3.699 0.3483 z' PHOENIX 5000.345349769783
4.0 3.716 0.3488 z' PHOENIX 5199.959965335162
4.0 3.732 0.3196 z' PHOENIX 5395.1062251512785
4.0 3.748 0.2933 z' PHOENIX 5597.576014951104
4.0 3.763 0.2548 z' PHOENIX 5794.286964268809
4.0 3.845 0.1541 z' PHOENIX 6998.419960022738
4.0 3.857 0.1094 z' PHOENIX 7194.489780036998
4.0 3.869 0.0811 z' PHOENIX 7396.052750582382
4.0 3.881 0.1951 z' PHOENIX 7603.262769401815
4.0 3.892 0.4475 z' PHOENIX 7798.3011052325855
4.0 3.903 0.5491 z' PHOENIX 7998.342550070284
4.0 3.914 0.5245 z' PHOENIX 8203.515443298185
4.0 3.924 0.4741 z' PHOENIX 8394.599865193974
4.0 3.934 0.4479 z' PHOENIX 8590.13521505396
4.0 3.944 0.4783 z' PHOENIX 8790.225168308842
4.0 3.954 0.4688 z' PHOENIX 8994.975815300355
4.0 3.964 0.431 z' PHOENIX 9204.495717531712
4.0 3.973 0.416 z' PHOENIX 9397.233105646375
4.0 3.982 0.4013 z' PHOENIX 9594.006315159337
4.0 3.991 0.387 z' PHOENIX 9794.89985408699
4.5 3.301 0.4542 z' PHOENIX 1999.8618696327449
4.5 3.342 0.4522 z' PHOENIX 2197.8598727848253
4.5 3.38 0.4384 z' PHOENIX 2398.83291901949
