Teff log(g) y1 y2 y
2300.0 3.0 1.5626 0.0179 1.5805
2400.0 3.0 1.5462 0.0264 1.5726
2500.0 3.0 1.4926 0.0263 1.5189
2600.0 3.0 1.4108 0.033 1.4438
2700.0 3.0 1.3504 0.0387 1.3891
2900.0 3.0 1.3231 0.0507 1.3738
3100.0 3.0 1.2992 0.048 1.3472
3200.0 3.0 1.1924 0.0416 1.234
3300.0 3.0 1.0649 0.044 1.1089
3400.0 3.0 1.0682 0.045 1.1132
3500.0 3.0 1.106 0.0295 1.1355000000000002
3600.0 3.0 1.0594 0.0155 1.0749
3700.0 3.0 1.0211 0.0206 1.0416999999999998
3800.0 3.0 1.0321 0.0201 1.0522
3900.0 3.0 1.0425 0.016 1.0585
4000.0 3.0 1.0589 0.0083 1.0672
4100.0 3.0 1.0651 0.0031 1.0682
4200.0 3.0 1.0528 0.0012 1.054
4300.0 3.0 1.0349 0.0005 1.0353999999999999
4400.0 3.0 1.0142 -0.0003 1.0139
4500.0 3.0 0.988 -0.0012 0.9868
4600.0 3.0 0.9515 -0.0009 0.9506
4700.0 3.0 0.9323 0.0015 0.9338
4800.0 3.0 0.9236 0.0004 0.9239999999999999
4900.0 3.0 0.849 -0.0009 0.8481
5100.0 3.0 0.8191 -0.0029 0.8162
5200.0 3.0 0.8211 -0.0018 0.8193
5300.0 3.0 0.8135 0.002 0.8155
5400.0 3.0 0.767 -0.0009 0.7661
5500.0 3.0 0.7883 0.0059 0.7942
5600.0 3.0 0.8053 -0.0016 0.8037
5700.0 3.0 0.7521 -0.0037 0.7484
5800.0 3.0 0.7349 -0.015 0.7199
5900.0 3.0 0.7197 -0.0044 0.7153
6000.0 3.0 0.7105 -0.0052 0.7053
6100.0 3.0 0.6909 -0.0043 0.6866
6200.0 3.0 0.6779 -0.0029 0.6749999999999999
6300.0 3.0 0.6712 -0.0038 0.6674
6400.0 3.0 0.6635 -0.0054 0.6581
6500.0 3.0 0.6557 -0.0011 0.6546
6600.0 3.0 0.643 -0.0066 0.6364
6700.0 3.0 0.636 0.0001 0.6361
6800.0 3.0 0.6329 0.0018 0.6347
6900.0 3.0 0.6179 -0.0089 0.609
7000.0 3.0 0.6105 -0.0086 0.6019
7200.0 3.0 0.5785 -0.0126 0.5659000000000001
7400.0 3.0 0.5478 -0.0083 0.5395
7600.0 3.0 0.5368 -0.0077 0.5291
7800.0 3.0 0.5204 -0.0107 0.5096999999999999
8000.0 3.0 0.5126 -0.0122 0.5004
8200.0 3.0 0.4974 -0.0133 0.48410000000000003
8400.0 3.0 0.4824 -0.0133 0.4691
8600.0 3.0 0.4673 -0.0148 0.4525
8800.0 3.0 0.4539 -0.0151 0.4388
9000.0 3.0 0.4472 -0.0162 0.431
9200.0 3.0 0.4429 -0.0178 0.42510000000000003
9400.0 3.0 0.4368 -0.0189 0.41790000000000005
9600.0 3.0 0.4322 -0.0196 0.41259999999999997
9800.0 3.0 0.4308 -0.019 0.4118
10000.0 3.0 0.4266 -0.0197 0.4069
10200.0 3.0 0.4209 -0.0202 0.4007
10400.0 3.0 0.4135 -0.0204 0.3931
10600.0 3.0 0.4065 -0.0201 0.38639999999999997
10800.0 3.0 0.4014 -0.0197 0.3817
11000.0 3.0 0.3951 -0.0193 0.3758
11200.0 3.0 0.3906 -0.0186 0.372
11400.0 3.0 0.384 -0.0254 0.35860000000000003
11600.0 3.0 0.3784 -0.0226 0.3558
11800.0 3.0 0.3756 -0.0143 0.3613
12000.0 3.0 0.3709 -0.0139 0.357
2300.0 3.5 1.4936 0.0515 1.5451000000000001
2400.0 3.5 1.5111 0.0277 1.5388000000000002
2500.0 3.5 1.5001 0.0228 1.5229
2600.0 3.5 1.4425 0.0253 1.4678
2700.0 3.5 1.3795 0.0273 1.4068
2900.0 3.5 1.3317 0.0297 1.3614000000000002
3100.0 3.5 1.2773 0.0262 1.3035
3200.0 3.5 1.1808 0.0238 1.2046000000000001
3300.0 3.5 1.082 0.0252 1.1072000000000002
3400.0 3.5 1.0257 0.0276 1.0533000000000001
3500.0 3.5 1.0019 0.0223 1.0242
3600.0 3.5 1.0132 0.0157 1.0289000000000001
3700.0 3.5 1.0234 0.0134 1.0368000000000002
3800.0 3.5 1.0071 0.012 1.0191000000000001
3900.0 3.5 0.9969 0.0088 1.0057
4000.0 3.5 1.0138 0.0076 1.0214
4100.0 3.5 1.0323 0.0061 1.0384
4200.0 3.5 1.032 0.0036 1.0356
4300.0 3.5 1.0225 0.0018 1.0243
4400.0 3.5 1.0039 0.001 1.0049
4500.0 3.5 0.9824 0.0002 0.9826
4600.0 3.5 0.959 -0.0001 0.9589
4700.0 3.5 0.9348 -0.0002 0.9346
4800.0 3.5 0.9126 -0.0006 0.9119999999999999
4900.0 3.5 0.8376 -0.001 0.8366
5100.0 3.5 0.8154 -0.0022 0.8132
5200.0 3.5 0.8448 -0.0016 0.8432
5300.0 3.5 0.8193 -0.0008 0.8185
5400.0 3.5 0.7888 -0.001 0.7878
5500.0 3.5 0.7822 0.001 0.7832
5600.0 3.5 0.7553 -0.0018 0.7535
5700.0 3.5 0.6946 -0.0019 0.6927
5800.0 3.5 0.7297 -0.0024 0.7273000000000001
5900.0 3.5 0.7598 -0.0024 0.7574000000000001
6000.0 3.5 0.7 -0.0028 0.6971999999999999
6100.0 3.5 0.692 -0.0049 0.6870999999999999
6200.0 3.5 0.6846 -0.0048 0.6798
6300.0 3.5 0.6624 -0.0039 0.6585
6400.0 3.5 0.6725 -0.0043 0.6682
6500.0 3.5 0.6457 -0.0047 0.641
6600.0 3.5 0.6448 -0.0052 0.6396000000000001
6700.0 3.5 0.6721 -0.0055 0.6666000000000001
6800.0 3.5 0.5829 -0.0062 0.5767
6900.0 3.5 0.5621 -0.0067 0.5554
7000.0 3.5 0.5962 -0.007 0.5892
7200.0 3.5 0.5776 -0.0073 0.5703
7400.0 3.5 0.5553 -0.0077 0.5476
7600.0 3.5 0.5318 -0.0094 0.5224000000000001
7800.0 3.5 0.5109 -0.0072 0.5037
8000.0 3.5 0.4961 -0.0082 0.4879
8200.0 3.5 0.4845 -0.0103 0.4742
8400.0 3.5 0.4722 -0.0115 0.4607
