Mass logg Beta1 logTeff
0.0750 5.3940 0.2150 3.3010
0.0800 5.3300 0.2200 3.3640
0.0900 5.2920 0.2150 3.4217
0.1000 5.2310 0.2000 3.4490
0.1300 5.1700 0.1900 3.4849
0.1750 5.0940 0.1800 3.5097
0.2000 5.0460 0.1700 3.5180
0.3000 4.9920 0.1800 3.5361
0.4000 4.8670 0.1800 3.5470
0.5000 4.8210 0.1900 3.5640
0.6000 4.7280 0.2300 3.5920
0.7000 4.6520 0.3400 3.6280
0.8000 4.5940 0.4100 3.6633
0.9000 4.5755 0.4345 3.7031
1.0000 4.5484 0.4048 3.7424
1.0500 4.5177 0.3888 3.7557
1.1200 4.4737 0.3675 3.7707
1.1800 4.4291 0.3463 3.7844
1.2500 4.3845 0.3239 3.7964
1.3300 4.3340 0.3004 3.8116
1.4100 4.2946 0.2753 3.8251
1.5000 4.2802 0.2499 3.8458
