Teff log(g) a1 a2 a3 a4 I1 beaming
3750.0 5.0 0.3274 1.5895 -2.0572 0.8062 8.65396e-07 -4.9907
4000.0 5.0 0.8078 0.3883 -0.8722 0.387 1.24796e-06 -4.493
4250.0 5.0 1.0595 -0.2704 -0.1806 0.1317 1.81349e-06 -4.0544
4500.0 5.0 1.1824 -0.5392 0.1077 0.0244 2.62992e-06 -3.6653
4750.0 5.0 1.0478 -0.1836 -0.1982 0.1284 3.76315e-06 -3.3179
5000.0 5.0 0.6128 0.897 -1.18 0.4619 5.367e-06 -3.006
5250.0 5.0 0.1594 2.0056 -2.1944 0.7984 7.22109e-06 -2.7248
5500.0 5.0 -0.1873 2.7747 -2.833 0.9873 9.39693e-06 -2.47
5750.0 5.0 -0.3509 2.992 -2.864 0.9466 1.19179e-05 -2.2382
6000.0 5.0 -0.3832 2.8372 -2.5022 0.7627 1.48087e-05 -2.0266
6250.0 5.0 -0.3345 2.4749 -1.9397 0.5113 1.8101e-05 -1.8329
6500.0 5.0 -0.2453 2.0449 -1.3444 0.2579 2.1817e-05 -1.6549
7000.0 5.0 -0.1 1.4638 -0.5892 -0.0595 3.06911e-05 -1.3394
7500.0 5.0 -0.1049 1.5177 -0.6529 -0.0537 4.1809e-05 -1.069
8000.0 5.0 -0.2256 2.1148 -1.4676 0.2685 5.54332e-05 -0.8351
8500.0 5.0 -0.2497 2.5935 -2.3113 0.6525 7.15652e-05 -0.6312
9000.0 5.0 -0.0241 2.1587 -2.0695 0.6323 9.00459e-05 -0.4521
9500.0 5.0 0.3124 1.0587 -0.9121 0.262 0.000108108 -0.2939
10000.0 5.0 0.4754 0.5995 -0.4387 0.0905 0.000123407 -0.1532
10500.0 5.0 0.5401 0.519 -0.4505 0.1146 0.00013715 -0.0275
11000.0 5.0 0.6076 0.37 -0.3539 0.0921 0.000150606 0.0854
11500.0 5.0 0.6588 0.2172 -0.221 0.0492 0.000163945 0.1873
12000.0 5.0 0.672 0.1837 -0.2122 0.0516 0.000177026 0.2796
12500.0 5.0 0.6832 0.1345 -0.1742 0.0405 0.000190246 0.3636
13000.0 5.0 0.6889 0.0991 -0.1482 0.0333 0.000203553 0.4402
13500.0 5.0 0.6788 0.1012 -0.1579 0.0388 0.000217061 0.5104
14000.0 5.0 0.6943 0.0414 -0.1021 0.0197 0.000230752 0.5749
14500.0 5.0 0.6651 0.0908 -0.1584 0.042 0.000244672 0.6344
15000.0 5.0 0.6974 -0.0088 -0.0595 0.0064 0.00025879 0.6893
15500.0 5.0 0.6983 -0.0315 -0.0397 0.0001 0.000273161 0.7403
16000.0 5.0 0.6699 0.0178 -0.0941 0.0215 0.00028779 0.7876
16500.0 5.0 0.7035 -0.0839 0.0087 -0.0158 0.000302645 0.8316
17000.0 5.0 0.7075 -0.1128 0.0366 -0.0254 0.000317796 0.8727
20000.0 5.0 0.7463 -0.3103 0.2327 -0.0941 0.000414785 1.0708
25000.0 5.0 0.9037 -0.7948 0.713 -0.2639 0.000607325 1.284
30000.0 5.0 1.0381 -1.1391 0.9952 -0.3503 0.000877717 1.419
35000.0 5.0 1.039 -1.2723 1.1065 -0.3847 0.00118621 1.5118
40000.0 5.0 1.0976 -1.5105 1.3648 -0.4826 0.00143084 1.5793
45000.0 5.0 1.1786 -1.7568 1.6248 -0.5793 0.00164002 1.6305
50000.0 5.0 1.26 -1.9756 1.8481 -0.6605 0.00183649 1.6707
55000.0 5.0 1.3309 -2.1485 2.0185 -0.7212 0.00202249 1.7031
60000.0 5.0 1.3893 -2.2768 2.1396 -0.7631 0.00220655 1.7297
3750.0 5.25 0.4176 1.3854 -1.8723 0.7456 8.94191e-07 -4.9907
4000.0 5.25 0.9147 0.1231 -0.6078 0.2924 1.271e-06 -4.493
4250.0 5.25 1.1846 -0.5914 0.1459 0.0124 1.8291e-06 -4.0544
4500.0 5.25 1.3211 -0.9014 0.4744 -0.1096 2.63179e-06 -3.6653
4750.0 5.25 1.2251 -0.6257 0.2238 -0.0214 3.74047e-06 -3.3179
5000.0 5.25 0.8331 0.3656 -0.6909 0.2952 5.33212e-06 -3.006
5250.0 5.25 0.3812 1.4855 -1.7295 0.6467 7.17944e-06 -2.7248
5500.0 5.25 -0.0225 2.4336 -2.5739 0.9172 9.34803e-06 -2.47
5750.0 5.25 -0.2587 2.8809 -2.8719 0.9805 1.18465e-05 -2.2382
6000.0 5.25 -0.3486 2.9073 -2.7193 0.8773 1.47023e-05 -2.0266
