log(g) Teff a1 a2 a3 a4 I1 beaming
5.0 3750.0 -0.6227 3.0965 -2.7475 0.8604 1.9981e-07 -7.3421
5.0 4000.0 -0.5103 3.3012 -3.356 1.1781 3.33e-07 -6.696
5.0 4250.0 -0.2725 2.9101 -3.1213 1.136 5.51691e-07 -6.1261
5.0 4500.0 -0.0169 2.3627 -2.5961 0.9566 9.05694e-07 -5.6197
5.0 4750.0 0.0373 2.2081 -2.3607 0.8646 1.47089e-06 -5.1669
5.0 5000.0 -0.2345 2.7779 -2.7255 0.9572 2.31098e-06 -4.7596
5.0 5250.0 -0.3966 3.2065 -3.0861 1.0622 3.49013e-06 -4.3916
5.0 5500.0 -0.547 3.6099 -3.4419 1.1661 4.94112e-06 -4.0573
5.0 5750.0 -0.6277 3.7487 -3.4795 1.1436 6.68293e-06 -3.7526
5.0 6000.0 -0.6398 3.6442 -3.2311 1.0091 8.71435e-06 -3.4737
5.0 6250.0 -0.5867 3.3323 -2.7542 0.7895 1.10116e-05 -3.2176
5.0 6500.0 -0.4792 2.8831 -2.1585 0.5353 1.35194e-05 -2.9817
5.0 7000.0 -0.2211 2.0197 -1.1739 0.1526 1.89814e-05 -2.5621
5.0 7500.0 -0.0341 1.5387 -0.7894 0.0457 2.4959e-05 -2.2004
5.0 8000.0 0.1004 1.302 -0.7652 0.0991 3.1602e-05 -1.886
5.0 8500.0 0.3021 0.9188 -0.6236 0.1217 3.92077e-05 -1.6107
5.0 9000.0 0.5898 0.2148 -0.077 -0.019 4.76757e-05 -1.3678
5.0 9500.0 0.783 -0.335 0.4148 -0.1655 5.55354e-05 -1.1523
5.0 10000.0 0.8586 -0.5826 0.6703 -0.2543 6.50876e-05 -0.9601
5.0 10500.0 0.8563 -0.606 0.7083 -0.2721 7.60782e-05 -0.7877
5.0 11000.0 0.8581 -0.6274 0.7375 -0.2873 8.85928e-05 -0.6325
5.0 11500.0 0.8636 -0.6437 0.7454 -0.2917 0.000102373 -0.4921
5.0 12000.0 0.8395 -0.5864 0.684 -0.2715 0.000115979 -0.3647
5.0 12500.0 0.8323 -0.5715 0.658 -0.2617 0.000130394 -0.2485
5.0 13000.0 0.8276 -0.5664 0.6434 -0.2558 0.000145233 -0.1423
5.0 13500.0 0.7694 -0.4398 0.5082 -0.2058 0.000160606 -0.0449
5.0 14000.0 0.8188 -0.5665 0.6306 -0.2502 0.000176467 0.0447
5.0 14500.0 0.6968 -0.2903 0.3453 -0.1452 0.000192973 0.1274
5.0 15000.0 0.8112 -0.5725 0.6287 -0.2491 0.000209953 0.2038
5.0 15500.0 0.8051 -0.57 0.623 -0.247 0.000227599 0.2747
5.0 16000.0 0.6935 -0.3153 0.3593 -0.1496 0.000245914 0.3406
5.0 16500.0 0.8011 -0.5824 0.6294 -0.249 0.000264743 0.4019
5.0 17000.0 0.8021 -0.5942 0.6382 -0.2519 0.000284277 0.4592
5.0 20000.0 0.8312 -0.709 0.7357 -0.2854 0.000415298 0.7352
5.0 25000.0 0.9677 -1.0286 1.0053 -0.3732 0.000696139 1.0314
5.0 30000.0 1.0123 -1.0784 0.9648 -0.3411 0.00112422 1.2181
5.0 35000.0 0.9884 -1.148 1.0115 -0.3549 0.00163968 1.3457
5.0 40000.0 1.0599 -1.4111 1.2907 -0.46 0.00204935 1.4381
5.0 45000.0 1.1489 -1.666 1.5537 -0.5569 0.00240012 1.508
5.0 50000.0 1.2331 -1.8803 1.7676 -0.634 0.00273024 1.5625
