Teff log(g) a1 a2 a3 a4 I1 beaming
3750.0 5.0 1.7389 -2.3431 1.919 -0.6301 3.35549e-06 -2.1343
4000.0 5.0 1.7424 -2.4633 2.0907 -0.7035 4.24579e-06 -1.8245
4250.0 5.0 1.7325 -2.4675 2.1167 -0.7175 5.40554e-06 -1.5532
4500.0 5.0 1.6029 -2.0433 1.6425 -0.5332 6.87317e-06 -1.314
4750.0 5.0 1.3147 -1.228 0.7986 -0.22 8.62538e-06 -1.1018
5000.0 5.0 0.7805 0.1666 -0.5737 0.2685 1.07944e-05 -0.9125
5250.0 5.0 0.2443 1.4611 -1.7785 0.6741 1.29891e-05 -0.7428
5500.0 5.0 -0.0956 2.1429 -2.2911 0.8095 1.53564e-05 -0.59
5750.0 5.0 -0.2049 2.1803 -2.1246 0.6962 1.78855e-05 -0.4519
6000.0 5.0 -0.1849 1.8939 -1.6496 0.4801 2.0577e-05 -0.3265
6250.0 5.0 -0.1045 1.4864 -1.0901 0.246 2.34343e-05 -0.2122
6500.0 5.0 -0.0057 1.0851 -0.5858 0.0456 2.64624e-05 -0.1077
7000.0 5.0 0.1429 0.5683 0.0085 -0.1793 3.31141e-05 0.0762
7500.0 5.0 0.2087 0.3836 0.1974 -0.2533 4.06353e-05 0.2327
8000.0 5.0 0.2189 0.4194 0.1114 -0.2215 4.89337e-05 0.3672
8500.0 5.0 0.2658 0.4152 -0.0005 -0.157 5.76218e-05 0.4838
9000.0 5.0 0.45 -0.027 0.3451 -0.2442 6.5705e-05 0.5857
9500.0 5.0 0.5645 -0.2777 0.4468 -0.2215 7.10743e-05 0.6755
10000.0 5.0 0.5884 -0.304 0.4 -0.1804 7.68785e-05 0.7551
10500.0 5.0 0.5708 -0.24 0.3106 -0.1447 8.29425e-05 0.8261
11000.0 5.0 0.5792 -0.2554 0.3019 -0.1369 8.89976e-05 0.8898
11500.0 5.0 0.6157 -0.3638 0.3961 -0.1669 9.51359e-05 0.9472
12000.0 5.0 0.6006 -0.3357 0.3607 -0.1529 0.000101086 0.9992
12500.0 5.0 0.6072 -0.3727 0.3948 -0.1644 0.000107184 1.0465
13000.0 5.0 0.6114 -0.4039 0.4248 -0.1749 0.000113307 1.0896
13500.0 5.0 0.5811 -0.349 0.3659 -0.1524 0.000119494 1.1291
14000.0 5.0 0.6188 -0.4603 0.4802 -0.1945 0.000125717 1.1655
14500.0 5.0 0.5436 -0.2927 0.3046 -0.1286 0.000132005 1.199
15000.0 5.0 0.6265 -0.5135 0.534 -0.2139 0.000138319 1.23
15500.0 5.0 0.6284 -0.5334 0.5535 -0.2207 0.000144709 1.2588
16000.0 5.0 0.5553 -0.3671 0.3785 -0.1549 0.000151174 1.2855
16500.0 5.0 0.6381 -0.5837 0.6027 -0.238 0.000157678 1.3104
17000.0 5.0 0.6454 -0.6134 0.6322 -0.2485 0.000164276 1.3337
20000.0 5.0 0.7151 -0.8374 0.8522 -0.3264 0.000205613 1.4464
25000.0 5.0 0.9207 -1.3201 1.2921 -0.4745 0.000284306 1.5689
30000.0 5.0 0.9312 -1.2576 1.1437 -0.4024 0.000393963 1.6474
35000.0 5.0 0.8608 -1.2381 1.151 -0.4121 0.000524081 1.7018
40000.0 5.0 0.9472 -1.5564 1.5047 -0.5471 0.000624824 1.7418
45000.0 5.0 1.0557 -1.8678 1.8295 -0.6666 0.000709591 1.7723
50000.0 5.0 1.1615 -2.1409 2.1043 -0.7656 0.000788429 1.7965
