Teff log(g) a1 a2 a3 a4 I1 beaming
3750.0 5.0 1.3503 -1.0914 0.5754 -0.1261 2.11773e-06 -3.2178
4000.0 5.0 1.5722 -1.7693 1.3265 -0.4136 2.81122e-06 -2.8347
4250.0 5.0 1.6473 -2.0054 1.6034 -0.5227 3.76242e-06 -2.4982
4500.0 5.0 1.5892 -1.7841 1.3581 -0.4273 5.02855e-06 -2.2005
4750.0 5.0 1.3292 -1.0622 0.632 -0.1614 6.62569e-06 -1.9356
5000.0 5.0 0.8012 0.3001 -0.6867 0.3039 8.70152e-06 -1.6987
5250.0 5.0 0.2565 1.6217 -1.916 0.7179 1.09008e-05 -1.4856
5500.0 5.0 -0.1123 2.3898 -2.5205 0.8872 1.3349e-05 -1.2932
5750.0 5.0 -0.2512 2.501 -2.4225 0.7963 1.60459e-05 -1.1189
6000.0 5.0 -0.2493 2.2443 -1.9596 0.5791 1.89958e-05 -0.9602
6250.0 5.0 -0.1747 1.8272 -1.3656 0.3256 2.22079e-05 -0.8153
6500.0 5.0 -0.0734 1.3929 -0.8025 0.0966 2.56957e-05 -0.6826
7000.0 5.0 0.0824 0.8222 -0.1153 -0.174 3.36278e-05 -0.4484
7500.0 5.0 0.1255 0.706 0.0116 -0.2329 4.30226e-05 -0.2486
8000.0 5.0 0.0786 0.9638 -0.3435 -0.0998 5.39124e-05 -0.0765
8500.0 5.0 0.0802 1.1931 -0.7755 0.0961 6.59734e-05 0.073
9000.0 5.0 0.2746 0.7695 -0.4761 0.0314 7.81897e-05 0.2038
9500.0 5.0 0.4806 0.2138 -0.0267 -0.0658 8.74617e-05 0.3191
10000.0 5.0 0.5656 0.0121 0.1147 -0.0919 9.65544e-05 0.4214
10500.0 5.0 0.5743 0.0408 0.0306 -0.0511 0.000105395 0.5127
11000.0 5.0 0.603 -0.0163 0.0483 -0.0485 0.000114097 0.5945
11500.0 5.0 0.6449 -0.145 0.162 -0.0852 0.000122824 0.6683
12000.0 5.0 0.6389 -0.1354 0.1372 -0.0731 0.000131346 0.7351
12500.0 5.0 0.6456 -0.1749 0.1714 -0.084 0.000140015 0.7958
13000.0 5.0 0.6489 -0.2056 0.1988 -0.0932 0.000148722 0.8513
13500.0 5.0 0.6283 -0.177 0.1655 -0.0798 0.000157534 0.902
14000.0 5.0 0.6527 -0.2586 0.2478 -0.1097 0.000166422 0.9487
14500.0 5.0 0.602 -0.1542 0.1366 -0.0675 0.00017542 0.9917
15000.0 5.0 0.6566 -0.3083 0.2958 -0.1265 0.000184491 1.0314
15500.0 5.0 0.6574 -0.3284 0.3147 -0.1328 0.000193688 1.0683
16000.0 5.0 0.6089 -0.2261 0.2061 -0.0916 0.000203012 1.1025
16500.0 5.0 0.6643 -0.3789 0.3637 -0.1498 0.000212427 1.1344
17000.0 5.0 0.6701 -0.4087 0.393 -0.1601 0.000221995 1.1641
20000.0 5.0 0.7265 -0.6244 0.6074 -0.236 0.000282408 1.3079
25000.0 5.0 0.925 -1.1457 1.1058 -0.4092 0.00039924 1.4634
30000.0 5.0 1.0019 -1.2809 1.1588 -0.4093 0.00056262 1.5625
35000.0 5.0 0.9532 -1.2975 1.1775 -0.4169 0.000753165 1.631
40000.0 5.0 1.026 -1.5794 1.4906 -0.5367 0.000901831 1.6811
45000.0 5.0 1.1246 -1.8693 1.7954 -0.6495 0.0010276 1.7193
50000.0 5.0 1.2228 -2.127 2.0568 -0.7442 0.00114498 1.7493
55000.0 5.0 1.308 -2.3319 2.2574 -0.8152 0.00125545 1.7736
60000.0 5.0 1.38 -2.4908 2.4074 -0.8672 0.00136411 1.7936
3750.0 5.25 1.4013 -1.2337 0.7297 -0.1844 2.16543e-06 -3.2178
4000.0 5.25 1.6137 -1.8868 1.4546 -0.4624 2.8461e-06 -2.8347
4250.0 5.25 1.6864 -2.121 1.7278 -0.5698 3.78291e-06 -2.4982
4500.0 5.25 1.6601 -1.9925 1.5797 -0.5108 5.02903e-06 -2.2005
4750.0 5.25 1.445 -1.378 0.9458 -0.2753 6.60691e-06 -1.9356
5000.0 5.25 0.9868 -0.1704 -0.2406 0.1494 8.69244e-06 -1.6987
5250.0 5.25 0.4523 1.1592 -1.5035 0.5842 1.0885e-05 -1.4856
5500.0 5.25 0.0171 2.1407 -2.3562 0.8519 1.33293e-05 -1.2932
5750.0 5.25 -0.1994 2.4891 -2.5257 0.8631 1.60152e-05 -1.1189
6000.0 5.25 -0.2526 2.3963 -2.243 0.7126 1.89502e-05 -0.9602
6250.0 5.25 -0.2181 2.0885 -1.7599 0.4969 2.21438e-05 -0.8153
6500.0 5.25 -0.1415 1.7037 -1.2298 0.2736 2.56026e-05 -0.6826
7000.0 5.25 0.0184 1.0671 -0.4276 -0.051 3.34266e-05 -0.4484
7500.0 5.25 0.0844 0.8511 -0.1742 -0.1584 4.26396e-05 -0.2486
8000.0 5.25 0.0549 1.0269 -0.4218 -0.0673 5.33328e-05 -0.0765
8500.0 5.25 0.0324 1.3046 -0.8864 0.1346 6.52865e-05 0.073
9000.0 5.25 0.157 1.1203 -0.8559 0.166 7.7674e-05 0.2038
9500.0 5.25 0.3721 0.5299 -0.3313 0.0217 8.80353e-05 0.3191
10000.0 5.25 0.5164 0.1329 -0.001 -0.0537 9.67145e-05 0.4214
10500.0 5.25 0.5624 0.0453 0.0396 -0.0574 0.00010576 0.5127
11000.0 5.25 0.5888 0.0035 0.0371 -0.0467 0.000114506 0.5945
11500.0 5.25 0.6122 -0.0567 0.0712 -0.0526 0.00012314 0.6683
12000.0 5.25 0.6281 -0.1136 0.116 -0.0656 0.00013176 0.7351
12500.0 5.25 0.636 -0.1557 0.1522 -0.0771 0.000140418 0.7958
13000.0 5.25 0.639 -0.1857 0.1784 -0.0856 0.000149111 0.8513
13500.0 5.25 0.6407 -0.2127 0.2031 -0.0939 0.000157904 0.902
14000.0 5.25 0.6409 -0.2352 0.224 -0.1009 0.000166781 0.9487
14500.0 5.25 0.6416 -0.2583 0.2463 -0.1086 0.000175749 0.9917
15000.0 5.25 0.6413 -0.2773 0.2644 -0.1148 0.000184815 1.0314
15500.0 5.25 0.6432 -0.301 0.2875 -0.1228 0.000193979 1.0683
16000.0 5.25 0.6446 -0.3222 0.3079 -0.1298 0.000203272 1.1025
16500.0 5.25 0.6423 -0.3332 0.3179 -0.1329 0.000212678 1.1344
17000.0 5.25 0.6505 -0.3694 0.3539 -0.1458 0.000222198 1.1641
20000.0 5.25 0.6823 -0.5279 0.5099 -0.2001 0.000282377 1.3079
25000.0 5.25 0.8864 -1.0708 1.0329 -0.3829 0.000398291 1.4634
30000.0 5.25 0.9599 -1.2077 1.0912 -0.3855 0.000558189 1.5625
35000.0 5.25 0.8605 -1.1128 1.0001 -0.3535 0.000745546 1.631
40000.0 5.25 0.8958 -1.3232 1.248 -0.4509 0.00089213 1.6811
45000.0 5.25 0.9749 -1.5843 1.5306 -0.557 0.00101495 1.7193
50000.0 5.25 1.0627 -1.8347 1.791 -0.6525 0.0011287 1.7493
55000.0 5.25 1.1457 -2.0513 2.0094 -0.7313 0.00123453 1.7736
60000.0 5.25 1.2214 -2.2354 2.19 -0.7953 0.0013374 1.7936
3750.0 5.5 1.4493 -1.3652 0.8727 -0.2385 2.21974e-06 -3.2178
4000.0 5.5 1.6469 -1.9782 1.5544 -0.5004 2.88572e-06 -2.8347
4250.0 5.5 1.7158 -2.207 1.8206 -0.6051 3.80832e-06 -2.4982
4500.0 5.5 1.709 -2.1367 1.7329 -0.5685 5.03435e-06 -2.2005
4750.0 5.5 1.5336 -1.6276 1.1992 -0.3684 6.59401e-06 -1.9356
5000.0 5.5 1.1455 -0.5815 0.1545 0.0104 8.69076e-06 -1.6987
5250.0 5.5 0.6471 0.6823 -1.0632 0.4364 1.08761e-05 -1.4856
5500.0 5.5 0.1697 1.8115 -2.0943 0.7772 1.33173e-05 -1.2932
5750.0 5.5 -0.1232 2.3917 -2.5242 0.8882 1.59975e-05 -1.1189
6000.0 5.5 -0.2332 2.4692 -2.4307 0.8088 1.89177e-05 -0.9602
6250.0 5.5 -0.2342 2.2655 -2.0609 0.6345 2.2093e-05 -0.8153
6500.0 5.5 -0.1901 1.9669 -1.616 0.4396 2.55279e-05 -0.6826
7000.0 5.5 -0.0476 1.3382 -0.7871 0.0952 3.3257e-05 -0.4484
7500.0 5.5 0.0366 1.0317 -0.4108 -0.062 4.23016e-05 -0.2486
8000.0 5.5 0.0261 1.1192 -0.5419 -0.0172 5.2789e-05 -0.0765
8500.0 5.5 -0.0072 1.3987 -0.9846 0.1706 6.45939e-05 0.073
9000.0 5.5 0.0925 1.3084 -1.0643 0.2418 7.71303e-05 0.2038
9500.0 5.5 0.3111 0.7244 -0.5327 0.0821 8.87416e-05 0.3191
10000.0 5.5 0.499 0.179 -0.0445 -0.0461 9.73235e-05 0.4214
10500.0 5.5 0.5496 0.0558 0.0396 -0.0597 0.000106156 0.5127
11000.0 5.5 0.5768 0.0151 0.0364 -0.0492 0.00011497 0.5945
11500.0 5.5 0.5991 -0.0337 0.0535 -0.0478 0.000123645 0.6683
12000.0 5.5 0.6179 -0.0932 0.0975 -0.0596 0.000132259 0.7351
12500.0 5.5 0.6266 -0.1354 0.1315 -0.0696 0.000140914 0.7958
13000.0 5.5 0.6305 -0.1683 0.1606 -0.079 0.000149638 0.8513
13500.0 5.5 0.6337 -0.1988 0.1889 -0.0886 0.000158386 0.902
14000.0 5.5 0.6321 -0.2174 0.2061 -0.0943 0.000167257 0.9487
14500.0 5.5 0.632 -0.2386 0.2261 -0.1011 0.000176219 0.9917
15000.0 5.5 0.6319 -0.2585 0.2453 -0.1077 0.000185271 1.0314
15500.0 5.5 0.632 -0.2782 0.2645 -0.1144 0.00019444 1.0683
16000.0 5.5 0.6116 -0.2464 0.23 -0.1009 0.000203719 1.1025
16500.0 5.5 0.6333 -0.3165 0.3012 -0.1269 0.000213098 1.1344
17000.0 5.5 0.6361 -0.3396 0.3239 -0.1347 0.000222621 1.1641
20000.0 5.5 0.6818 -0.5342 0.518 -0.2034 0.000282636 1.3079
25000.0 5.5 0.8695 -1.0427 1.007 -0.3739 0.000398004 1.4634
30000.0 5.5 0.9238 -1.141 1.0281 -0.3631 0.000555552 1.5625
35000.0 5.5 0.781 -0.9484 0.8401 -0.2959 0.000740025 1.631
40000.0 5.5 0.7799 -1.0839 1.0162 -0.3678 0.000884774 1.6811
45000.0 5.5 0.836 -1.3035 1.2623 -0.4617 0.00100529 1.7193
50000.0 5.5 0.9078 -1.5283 1.5018 -0.5507 0.00111628 1.7493
55000.0 5.5 0.9808 -1.7334 1.713 -0.6276 0.0012186 1.7736
60000.0 5.5 1.0515 -1.9182 1.8987 -0.6944 0.0013175 1.7936
3750.0 5.75 1.489 -1.4737 0.9924 -0.2843 2.27645e-06 -3.2178
4000.0 5.75 1.6744 -2.051 1.634 -0.5309 2.93046e-06 -2.8347
4250.0 5.75 1.739 -2.2723 1.8909 -0.6317 3.83863e-06 -2.4982
4500.0 5.75 1.7904 -2.4016 2.037 -0.6883 5.04879e-06 -2.2005
4750.0 5.75 1.5967 -1.8112 1.389 -0.439 6.58655e-06 -1.9356
5000.0 5.75 1.2761 -0.9283 0.4924 -0.1101 8.70215e-06 -1.6987
5250.0 5.75 0.8322 0.2179 -0.6254 0.2862 1.08735e-05 -1.4856
5500.0 5.75 0.3406 1.4165 -1.7509 0.6689 1.33116e-05 -1.2932
5750.0 5.75 -0.0173 2.1949 -2.4035 0.866 1.59907e-05 -1.1189
6000.0 5.75 -0.1819 2.4338 -2.4878 0.8536 1.89019e-05 -0.9602
6250.0 5.75 -0.2318 2.3765 -2.2806 0.7401 2.20545e-05 -0.8153
6500.0 5.75 -0.2137 2.1558 -1.9224 0.5773 2.54688e-05 -0.6826
7000.0 5.75 -0.1059 1.6049 -1.1587 0.2514 3.31171e-05 -0.4484
7500.0 5.75 -0.0143 1.2399 -0.6923 0.055 4.20091e-05 -0.2486
8000.0 5.75 -0.0071 1.2422 -0.7084 0.0533 5.229e-05 -0.0765
