log(g) Teff a1 a2 a3 a4 I1 beaming
5.0 3750.0 0.3264 1.5874 -2.0515 0.8032 8.58202e-07 -5.0093
5.0 4000.0 0.8031 0.3978 -0.8797 0.3892 1.23798e-06 -4.5104
5.0 4250.0 1.0535 -0.2564 -0.1937 0.1361 1.79964e-06 -4.0707
5.0 4500.0 1.1761 -0.5242 0.0934 0.0294 2.61097e-06 -3.6807
5.0 4750.0 1.042 -0.17 -0.2108 0.1327 3.73805e-06 -3.3324
5.0 5000.0 0.6077 0.9084 -1.1896 0.4651 5.33417e-06 -3.0198
5.0 5250.0 0.1561 2.0129 -2.1998 0.8 7.18156e-06 -2.7379
5.0 5500.0 -0.1894 2.7797 -2.8365 0.9883 9.35067e-06 -2.4824
5.0 5750.0 -0.3527 2.9968 -2.8678 0.9478 1.18651e-05 -2.2501
5.0 6000.0 -0.3851 2.8431 -2.5075 0.7645 1.47498e-05 -2.038
5.0 6250.0 -0.3366 2.4821 -1.9465 0.5136 1.80364e-05 -1.8437
5.0 6500.0 -0.2476 2.0531 -1.3521 0.2605 2.17469e-05 -1.6652
5.0 7000.0 -0.1027 1.4734 -0.5985 -0.0565 3.06093e-05 -1.3489
5.0 7500.0 -0.1078 1.5291 -0.665 -0.0494 4.17132e-05 -1.0778
5.0 8000.0 -0.2284 2.1271 -1.4822 0.2741 5.53218e-05 -0.8432
5.0 8500.0 -0.2514 2.6039 -2.3251 0.6582 7.14423e-05 -0.6387
5.0 9000.0 -0.0247 2.1663 -2.0807 0.6372 8.99316e-05 -0.4592
5.0 9500.0 0.3124 1.0626 -0.9174 0.2643 0.000108052 -0.3005
5.0 10000.0 0.4753 0.6031 -0.4429 0.0922 0.000123401 -0.1594
5.0 10500.0 0.5404 0.5212 -0.4531 0.1157 0.000137196 -0.0333
5.0 11000.0 0.608 0.3718 -0.3559 0.0929 0.00015071 0.0799
5.0 11500.0 0.6591 0.2194 -0.2234 0.0501 0.000164108 0.1821
5.0 12000.0 0.6724 0.1858 -0.2146 0.0525 0.000177244 0.2747
5.0 12500.0 0.6836 0.1366 -0.1768 0.0415 0.000190519 0.3589
5.0 13000.0 0.6894 0.1013 -0.1508 0.0344 0.000203881 0.4358
5.0 13500.0 0.6793 0.1033 -0.1605 0.0398 0.000217445 0.5062
5.0 14000.0 0.6949 0.0436 -0.1049 0.0208 0.000231192 0.5709
5.0 14500.0 0.6658 0.0927 -0.1609 0.043 0.000245171 0.6305
5.0 15000.0 0.698 -0.0067 -0.0623 0.0075 0.000259351 0.6856
5.0 15500.0 0.6989 -0.0294 -0.0425 0.0013 0.000273784 0.7367
5.0 16000.0 0.6706 0.0195 -0.0966 0.0225 0.000288478 0.7842
5.0 16500.0 0.7042 -0.0819 0.0059 -0.0147 0.0003034 0.8283
5.0 17000.0 0.7081 -0.1108 0.0337 -0.0242 0.000318621 0.8696
5.0 20000.0 0.7468 -0.3081 0.2296 -0.0928 0.000416084 1.0683
5.0 25000.0 0.9038 -0.7918 0.7092 -0.2624 0.000609656 1.2821
5.0 30000.0 1.0384 -1.1373 0.9929 -0.3494 0.000881566 1.4175
5.0 35000.0 1.04 -1.2723 1.1058 -0.3844 0.00119177 1.5105
5.0 40000.0 1.0987 -1.5103 1.3638 -0.4821 0.0014378 1.5782
5.0 45000.0 1.1795 -1.7561 1.6232 -0.5786 0.00164822 1.6296
5.0 50000.0 1.2607 -1.9745 1.8461 -0.6597 0.00184587 1.6699
5.0 55000.0 1.3314 -2.1469 2.016 -0.7202 0.00203301 1.7023
5.0 60000.0 1.3896 -2.2747 2.1366 -0.7619 0.00221819 1.729
5.25 3750.0 0.4156 1.3864 -1.8701 0.744 8.86811e-07 -5.0093
5.25 4000.0 0.9096 0.134 -0.6173 0.2955 1.2609e-06 -4.5104
5.25 4250.0 1.1787 -0.5772 0.1323 0.0172 1.8152e-06 -4.0707
5.25 4500.0 1.3153 -0.8872 0.4607 -0.1048 2.61287e-06 -3.6807
5.25 4750.0 1.22 -0.6132 0.212 -0.0173 3.71543e-06 -3.3324
