Teff log(g) a1 a2 a3 a4 I1 beaming
3750.0 5.0 -0.5727 2.8142 -2.3402 0.6893 1.57559e-07 -7.7372
4000.0 5.0 -0.5643 3.3022 -3.2436 1.1121 2.67929e-07 -7.0664
4250.0 5.0 -0.3892 3.0996 -3.2226 1.1524 4.5179e-07 -6.4745
4500.0 5.0 -0.1651 2.6479 -2.809 1.0174 7.54103e-07 -5.9487
4750.0 5.0 -0.118 2.5142 -2.5995 0.9372 1.24663e-06 -5.4783
5000.0 5.0 -0.3883 3.0508 -2.9051 1.0052 1.96497e-06 -5.0553
5250.0 5.0 -0.5218 3.4193 -3.2137 1.0925 3.03801e-06 -4.6729
5500.0 5.0 -0.6407 3.766 -3.5275 1.1841 4.36913e-06 -4.3255
5750.0 5.0 -0.7 3.8765 -3.5529 1.1602 5.97489e-06 -4.0088
6000.0 5.0 -0.6999 3.7632 -3.3091 1.0299 7.85102e-06 -3.7188
6250.0 5.0 -0.6382 3.4422 -2.8307 0.8113 9.96886e-06 -3.4525
6500.0 5.0 -0.5179 2.9583 -2.1974 0.5433 1.2269e-05 -3.2071
7000.0 5.0 -0.2026 1.8936 -0.976 0.0726 1.71998e-05 -2.7703
7500.0 5.0 0.0556 1.1371 -0.2626 -0.1552 2.24304e-05 -2.3936
8000.0 5.0 0.2421 0.6576 0.0695 -0.2183 2.8082e-05 -2.066
8500.0 5.0 0.4463 0.1981 0.3241 -0.2388 3.44588e-05 -1.7788
9000.0 5.0 0.6991 -0.374 0.6912 -0.3018 4.15071e-05 -1.5254
9500.0 5.0 0.8409 -0.7081 0.914 -0.35 4.80498e-05 -1.3003
10000.0 5.0 0.8879 -0.8523 1.0499 -0.3972 5.63192e-05 -1.0995
10500.0 5.0 0.8682 -0.8364 1.0543 -0.4056 6.60578e-05 -0.9193
11000.0 5.0 0.8643 -0.837 1.0597 -0.4125 7.73308e-05 -0.757
11500.0 5.0 0.873 -0.8472 1.0528 -0.4102 9.00453e-05 -0.6101
12000.0 5.0 0.8416 -0.7791 0.9891 -0.3917 0.000102833 -0.4766
12500.0 5.0 0.8317 -0.7539 0.9542 -0.3796 0.00011671 -0.355
13000.0 5.0 0.8234 -0.7352 0.9269 -0.3702 0.000131248 -0.2437
13500.0 5.0 0.7417 -0.5442 0.725 -0.2963 0.000146507 -0.1417
14000.0 5.0 0.8075 -0.7043 0.8819 -0.3544 0.000162405 -0.0478
14500.0 5.0 0.6427 -0.3146 0.4766 -0.2052 0.000179094 0.0389
15000.0 5.0 0.7941 -0.6816 0.8479 -0.3426 0.000196359 0.1191
15500.0 5.0 0.7845 -0.6631 0.8238 -0.334 0.000214413 0.1934
16000.0 5.0 0.6388 -0.3153 0.4601 -0.1994 0.000233252 0.2625
16500.0 5.0 0.7763 -0.65 0.7994 -0.3251 0.00025269 0.3268
17000.0 5.0 0.7762 -0.6519 0.7953 -0.3234 0.000272938 0.3869
20000.0 5.0 0.8051 -0.7277 0.8358 -0.3349 0.000410262 0.6765
25000.0 5.0 0.9538 -1.0262 1.0546 -0.4001 0.000709551 0.9874
30000.0 5.0 0.9786 -0.9881 0.8976 -0.3211 0.00117205 1.1832
35000.0 5.0 0.9396 -1.0155 0.891 -0.3141 0.00173081 1.3169
40000.0 5.0 1.013 -1.2849 1.1748 -0.4207 0.00217491 1.4137
45000.0 5.0 1.1057 -1.5497 1.4468 -0.5208 0.00255544 1.4868
50000.0 5.0 1.1934 -1.7722 1.6681 -0.6004 0.00291379 1.5439
55000.0 5.0 1.2656 -1.9366 1.8252 -0.6555 0.00325423 1.5897
60000.0 5.0 1.3217 -2.0487 1.9263 -0.6896 0.00359239 1.6272
3750.0 5.25 -0.6434 3.1313 -2.7678 0.8671 1.67587e-07 -7.7372
4000.0 5.25 -0.5234 3.3304 -3.3758 1.185 2.77801e-07 -7.0664
4250.0 5.25 -0.2469 2.861 -3.074 1.1208 4.61005e-07 -6.4745
4500.0 5.25 0.0353 2.2505 -2.4911 0.9207 7.58929e-07 -5.9487
4750.0 5.25 0.1427 1.9947 -2.1853 0.8077 1.23366e-06 -5.4783
5000.0 5.25 -0.1416 2.5612 -2.5202 0.8896 1.90956e-06 -5.0553
5250.0 5.25 -0.2861 2.9224 -2.8013 0.9667 2.98874e-06 -4.6729
5500.0 5.25 -0.4406 3.354 -3.1988 1.0895 4.32725e-06 -4.3255
5750.0 5.25 -0.5509 3.6248 -3.4138 1.1411 5.9329e-06 -4.0088
