log(g) Teff a1 a2 a3 a4 I1 beaming
5.0 3750.0 1.7552 -2.4062 1.9893 -0.657 3.45813e-06 -2.0559
5.0 4000.0 1.7452 -2.491 2.1234 -0.7162 4.36099e-06 -1.7515
5.0 4250.0 1.7311 -2.4833 2.1362 -0.7252 5.53248e-06 -1.485
5.0 4500.0 1.5986 -2.0508 1.6522 -0.537 7.00952e-06 -1.2501
5.0 4750.0 1.3102 -1.2339 0.8054 -0.2225 8.76626e-06 -1.0418
5.0 5000.0 0.7777 0.1576 -0.5653 0.2657 1.09326e-05 -0.8561
5.0 5250.0 0.2437 1.4472 -1.7661 0.6701 1.31177e-05 -0.6896
5.0 5500.0 -0.0937 2.1227 -2.2728 0.8036 1.5469e-05 -0.5397
5.0 5750.0 -0.2012 2.1564 -2.1036 0.6895 1.79754e-05 -0.4042
5.0 6000.0 -0.1804 1.8698 -1.6301 0.4744 2.06372e-05 -0.2812
5.0 6250.0 -0.1 1.4645 -1.0746 0.2423 2.34571e-05 -0.1692
5.0 6500.0 -0.002 1.0671 -0.5762 0.0444 2.64395e-05 -0.0668
5.0 7000.0 0.1457 0.5553 0.0102 -0.1768 3.297e-05 0.1135
5.0 7500.0 0.2131 0.3662 0.2021 -0.2511 4.03215e-05 0.2669
5.0 8000.0 0.2277 0.3854 0.135 -0.2259 4.83951e-05 0.3987
5.0 8500.0 0.2784 0.3627 0.0466 -0.1705 5.68048e-05 0.5129
5.0 9000.0 0.4608 -0.0775 0.3911 -0.2573 6.45778e-05 0.6128
5.0 9500.0 0.5684 -0.3075 0.4716 -0.2282 6.9707e-05 0.7008
5.0 10000.0 0.5888 -0.3259 0.4187 -0.1859 7.52936e-05 0.7788
5.0 10500.0 0.5698 -0.2608 0.3306 -0.1512 8.11607e-05 0.8483
5.0 11000.0 0.5771 -0.2747 0.3218 -0.1437 8.70316e-05 0.9107
5.0 11500.0 0.6131 -0.3812 0.4143 -0.1732 9.29909e-05 0.967
5.0 12000.0 0.5975 -0.3525 0.3789 -0.1594 9.87616e-05 1.0179
5.0 12500.0 0.6042 -0.3896 0.4134 -0.1711 0.000104679 1.0642
5.0 13000.0 0.6087 -0.4209 0.4437 -0.1817 0.000110622 1.1065
