log(g) Teff a1 a2 a3 a4 I1 beaming
5.0 3750.0 1.3621 -1.1238 0.6083 -0.138 2.14327e-06 -3.1919
5.0 4000.0 1.5806 -1.7938 1.3521 -0.4231 2.84252e-06 -2.8106
5.0 4250.0 1.6534 -2.0246 1.6234 -0.5301 3.80063e-06 -2.4756
5.0 4500.0 1.593 -1.7972 1.3714 -0.4322 5.07446e-06 -2.1793
5.0 4750.0 1.3315 -1.0709 0.6404 -0.1643 6.67906e-06 -1.9156
5.0 5000.0 0.8027 0.2941 -0.6821 0.3025 8.76043e-06 -1.6797
5.0 5250.0 0.2571 1.6174 -1.9132 0.7172 1.09632e-05 -1.4677
5.0 5500.0 -0.1116 2.3844 -2.5161 0.8858 1.34127e-05 -1.2763
5.0 5750.0 -0.2498 2.493 -2.4153 0.7938 1.61087e-05 -1.1027
5.0 6000.0 -0.247 2.2341 -1.9503 0.576 1.90546e-05 -0.9448
5.0 6250.0 -0.1719 1.8157 -1.3558 0.3225 2.2259e-05 -0.8007
5.0 6500.0 -0.0704 1.3817 -0.7939 0.0943 2.5735e-05 -0.6687
5.0 7000.0 0.0854 0.8122 -0.1098 -0.1747 3.36298e-05 -0.4356
5.0 7500.0 0.1295 0.6928 0.0199 -0.2343 4.29643e-05 -0.2369
5.0 8000.0 0.0851 0.9414 -0.3243 -0.1053 5.37662e-05 -0.0657
5.0 8500.0 0.0887 1.1605 -0.7427 0.085 6.5709e-05 0.083
5.0 9000.0 0.2834 0.7337 -0.4384 0.0181 7.77705e-05 0.2131
5.0 9500.0 0.4862 0.1899 -0.0035 -0.0738 8.68688e-05 0.3278
5.0 10000.0 0.5687 -0.0041 0.1286 -0.0961 9.58401e-05 0.4295
5.0 10500.0 0.5762 0.0261 0.0444 -0.0557 0.000104594 0.5203
5.0 11000.0 0.6039 -0.0288 0.0607 -0.0527 0.000113219 0.6017
5.0 11500.0 0.6453 -0.1564 0.1734 -0.0891 0.000121872 0.6751
5.0 12000.0 0.6388 -0.1457 0.1479 -0.0768 0.000130319 0.7416
5.0 12500.0 0.6454 -0.1846 0.1816 -0.0876 0.000138912 0.802
5.0 13000.0 0.6486 -0.2152 0.2091 -0.0969 0.000147541 0.8571
5.0 13500.0 0.6275 -0.1854 0.1746 -0.083 0.000156272 0.9076
5.0 14000.0 0.6523 -0.2678 0.2579 -0.1134 0.000165077 0.954
5.0 14500.0 0.6007 -0.1611 0.1444 -0.0703 0.000173992 0.9967
5.0 15000.0 0.6563 -0.3177 0.3062 -0.1302 0.000182977 1.0362
5.0 15500.0 0.6571 -0.3376 0.3249 -0.1365 0.000192085 1.0729
5.0 16000.0 0.6076 -0.2331 0.2141 -0.0945 0.000201318 1.1069
5.0 16500.0 0.664 -0.3881 0.374 -0.1536 0.000210642 1.1387
5.0 17000.0 0.6698 -0.4177 0.4031 -0.1638 0.000220116 1.1683
5.0 20000.0 0.7266 -0.6337 0.6177 -0.2398 0.00027992 1.3113
5.0 25000.0 0.9256 -1.1542 1.1148 -0.4124 0.000395512 1.466
5.0 30000.0 1.0005 -1.2832 1.1614 -0.4102 0.000557158 1.5646
5.0 35000.0 0.9508 -1.298 1.1791 -0.4177 0.000745848 1.6327
5.0 40000.0 1.0242 -1.5813 1.4938 -0.5381 0.000893024 1.6825
5.0 45000.0 1.1233 -1.8723 1.7998 -0.6513 0.0010175 1.7205
5.0 50000.0 1.2218 -2.1309 2.062 -0.7462 0.00113366 1.7505
5.0 55000.0 1.3073 -2.3364 2.2631 -0.8175 0.00124297 1.7746
5.0 60000.0 1.3796 -2.4959 2.4137 -0.8696 0.00135046 1.7945
5.25 3750.0 1.4125 -1.2646 0.7614 -0.1959 2.19132e-06 -3.1919
5.25 4000.0 1.6211 -1.9091 1.4781 -0.4711 2.8776e-06 -2.8106
5.25 4250.0 1.6914 -2.1374 1.745 -0.5762 3.8212e-06 -2.4756
5.25 4500.0 1.6632 -2.0036 1.5911 -0.515 5.07493e-06 -2.1793
5.25 4750.0 1.4466 -1.3853 0.9528 -0.2777 6.66041e-06 -1.9156
5.25 5000.0 0.9879 -0.1757 -0.2366 0.1482 8.7518e-06 -1.6797
5.25 5250.0 0.4525 1.1557 -1.5015 0.5837 1.09477e-05 -1.4677
5.25 5500.0 0.0173 2.1366 -2.3532 0.8511 1.33933e-05 -1.2763
5.25 5750.0 -0.1986 2.4826 -2.5198 0.8611 1.60784e-05 -1.1027
5.25 6000.0 -0.2509 2.3872 -2.2345 0.7096 1.90099e-05 -0.9448
5.25 6250.0 -0.2158 2.0776 -1.7499 0.4936 2.21966e-05 -0.8007
5.25 6500.0 -0.1387 1.6919 -1.2199 0.2706 2.56444e-05 -0.6687
5.25 7000.0 0.0215 1.0559 -0.4198 -0.0527 3.34328e-05 -0.4356
5.25 7500.0 0.0882 0.8377 -0.165 -0.1603 4.25882e-05 -0.2369
5.25 8000.0 0.0608 1.006 -0.404 -0.0724 5.31966e-05 -0.0657
5.25 8500.0 0.0405 1.2738 -0.8555 0.1242 6.50362e-05 0.083
5.25 9000.0 0.1658 1.0839 -0.8167 0.152 7.72785e-05 0.2131
5.25 9500.0 0.3792 0.499 -0.2987 0.0099 8.74681e-05 0.3278
5.25 10000.0 0.5199 0.1154 0.0145 -0.0587 9.59945e-05 0.4295
5.25 10500.0 0.5646 0.0302 0.0535 -0.0618 0.000104943 0.5203
5.25 11000.0 0.5899 -0.0095 0.0498 -0.051 0.000113608 0.6017
5.25 11500.0 0.6124 -0.0678 0.0825 -0.0564 0.000122166 0.6751
5.25 12000.0 0.6278 -0.1236 0.1263 -0.0692 0.000130711 0.7416
5.25 12500.0 0.6355 -0.1651 0.1621 -0.0805 0.000139293 0.802
5.25 13000.0 0.6384 -0.1947 0.1881 -0.089 0.000147908 0.8571
5.25 13500.0 0.64 -0.2216 0.2127 -0.0972 0.000156621 0.9076
5.25 14000.0 0.6402 -0.2439 0.2336 -0.1043 0.000165416 0.954
5.25 14500.0 0.6409 -0.2669 0.2557 -0.112 0.0001743 0.9967
5.25 15000.0 0.6406 -0.2859 0.2739 -0.1182 0.00018328 1.0362
5.25 15500.0 0.6425 -0.3095 0.297 -0.1263 0.000192355 1.0729
5.25 16000.0 0.6439 -0.3306 0.3173 -0.1332 0.000201558 1.1069
5.25 16500.0 0.6415 -0.3414 0.3271 -0.1363 0.000210872 1.1387
5.25 17000.0 0.6499 -0.3778 0.3633 -0.1492 0.000220298 1.1683
5.25 20000.0 0.6818 -0.5358 0.5188 -0.2034 0.000279869 1.3113
5.25 25000.0 0.8864 -1.0781 1.0407 -0.3857 0.000394552 1.466
5.25 30000.0 0.958 -1.2087 1.0925 -0.3859 0.00055275 1.5646
5.25 35000.0 0.8576 -1.1118 1.0002 -0.3536 0.00073828 1.6327
5.25 40000.0 0.8933 -1.3234 1.2495 -0.4516 0.000883401 1.6825
5.25 45000.0 0.9729 -1.5855 1.533 -0.558 0.00100497 1.7205
5.25 50000.0 1.061 -1.8364 1.7938 -0.6537 0.00111754 1.7505
5.25 55000.0 1.1442 -2.0533 2.0124 -0.7325 0.00122227 1.7746
5.25 60000.0 1.22 -2.2377 2.1933 -0.7966 0.00132406 1.7945
5.5 3750.0 1.4597 -1.3946 0.903 -0.2496 2.24603e-06 -3.1919
5.5 4000.0 1.6536 -1.9986 1.5758 -0.5084 2.91748e-06 -2.8106
5.5 4250.0 1.7198 -2.221 1.8355 -0.6106 3.84674e-06 -2.4756
5.5 4500.0 1.7113 -2.146 1.7426 -0.572 5.08025e-06 -2.1793
5.5 4750.0 1.5346 -1.6337 1.2051 -0.3705 6.64759e-06 -1.9156
5.5 5000.0 1.1461 -0.5861 0.1581 0.0093 8.75056e-06 -1.6797
5.5 5250.0 0.6471 0.6796 -1.0619 0.4362 1.09392e-05 -1.4677
5.5 5500.0 0.1695 1.8086 -2.0926 0.7768 1.33817e-05 -1.2763
5.5 5750.0 -0.1229 2.3867 -2.5199 0.8868 1.60611e-05 -1.1027
5.5 6000.0 -0.2322 2.4614 -2.4233 0.8063 1.89778e-05 -0.9448
5.5 6250.0 -0.2323 2.2554 -2.0514 0.6312 2.21467e-05 -0.8007
5.5 6500.0 -0.1876 1.9554 -1.6055 0.4361 2.55716e-05 -0.6687
5.5 7000.0 -0.0445 1.326 -0.7775 0.0926 3.3267e-05 -0.4356
5.5 7500.0 0.0403 1.0181 -0.4007 -0.0645 4.22566e-05 -0.2369
5.5 8000.0 0.0315 1.0995 -0.525 -0.022 5.26625e-05 -0.0657
5.5 8500.0 0.0003 1.3697 -0.9558 0.1609 6.43567e-05 0.083
5.5 9000.0 0.1009 1.2729 -1.0259 0.228 7.67528e-05 0.2131
5.5 9500.0 0.319 0.6897 -0.4951 0.0684 8.8194e-05 0.3278
5.5 10000.0 0.5037 0.1567 -0.0226 -0.0538 9.66082e-05 0.4295
5.5 10500.0 0.552 0.0403 0.0535 -0.064 0.000105323 0.5203
5.5 11000.0 0.5782 0.0014 0.0496 -0.0536 0.000114051 0.6017
5.5 11500.0 0.5995 -0.0453 0.0651 -0.0517 0.000122647 0.6751
5.5 12000.0 0.6177 -0.1035 0.1081 -0.0632 0.000131184 0.7416
5.5 12500.0 0.626 -0.1447 0.1412 -0.073 0.000139763 0.802
5.5 13000.0 0.6297 -0.177 0.1698 -0.0822 0.000148409 0.8571
5.5 13500.0 0.6328 -0.2073 0.198 -0.0918 0.000157078 0.9076
5.5 14000.0 0.6311 -0.2257 0.2151 -0.0975 0.000165867 0.954
5.5 14500.0 0.6311 -0.2468 0.2352 -0.1044 0.000174744 0.9967
5.5 15000.0 0.6309 -0.2665 0.2542 -0.1109 0.00018371 1.0362
5.5 15500.0 0.631 -0.2862 0.2734 -0.1176 0.000192791 1.0729
5.5 16000.0 0.6103 -0.2534 0.238 -0.1038 0.000201979 1.1069
5.5 16500.0 0.6324 -0.3243 0.31 -0.13 0.000211266 1.1387
5.5 17000.0 0.6351 -0.3473 0.3326 -0.1379 0.000220695 1.1683
5.5 20000.0 0.6813 -0.5422 0.5269 -0.2067 0.000280102 1.3113
5.5 25000.0 0.8694 -1.0497 1.0144 -0.3765 0.000394244 1.466
5.5 30000.0 0.9215 -1.1412 1.0285 -0.3631 0.000550115 1.5646
5.5 35000.0 0.7777 -0.9464 0.8391 -0.2956 0.000732787 1.6327
5.5 40000.0 0.7771 -1.0832 1.0167 -0.3681 0.000876094 1.6825
5.5 45000.0 0.8336 -1.3036 1.2635 -0.4623 0.00099539 1.7205
5.5 50000.0 0.9057 -1.5288 1.5033 -0.5513 0.00110524 1.7505
5.5 55000.0 0.9789 -1.7341 1.7145 -0.6282 0.0012065 1.7746
5.5 60000.0 1.0496 -1.9189 1.9002 -0.695 0.00130438 1.7945
5.75 3750.0 1.4988 -1.5016 1.0213 -0.295 2.30316e-06 -3.1919
5.75 4000.0 1.6804 -2.0697 1.6538 -0.5382 2.96252e-06 -2.8106
5.75 4250.0 1.7424 -2.2846 1.9039 -0.6366 3.87721e-06 -2.4756
5.75 4500.0 1.7927 -2.4113 2.0471 -0.692 5.09477e-06 -2.1793
5.75 4750.0 1.5973 -1.8162 1.3938 -0.4407 6.64016e-06 -1.9156
5.75 5000.0 1.2765 -0.9324 0.4958 -0.1112 8.76239e-06 -1.6797
5.75 5250.0 0.832 0.2154 -0.6241 0.286 1.09371e-05 -1.4677
5.75 5500.0 0.34 1.4144 -1.7501 0.6689 1.33763e-05 -1.2763
5.75 5750.0 -0.0175 2.1912 -2.4005 0.8651 1.60546e-05 -1.1027
5.75 6000.0 -0.1814 2.4273 -2.4818 0.8515 1.89625e-05 -0.9448
5.75 6250.0 -0.2305 2.3674 -2.2718 0.737 2.21087e-05 -0.8007
5.75 6500.0 -0.2117 2.145 -1.912 0.5737 2.55136e-05 -0.6687
5.75 7000.0 -0.103 1.5924 -1.1479 0.248 3.31307e-05 -0.4356
5.75 7500.0 -0.0108 1.2261 -0.6812 0.052 4.19699e-05 -0.2369
5.75 8000.0 -0.0022 1.2234 -0.6922 0.0485 5.21726e-05 -0.0657
5.75 8500.0 -0.0337 1.4597 -1.0599 0.2019 6.3684e-05 0.083
5.75 9000.0 0.0373 1.4573 -1.2324 0.3052 7.60918e-05 0.2131
5.75 9500.0 0.2 1.0686 -0.9178 0.2203 8.81105e-05 0.3278
5.75 10000.0 0.4044 0.4538 -0.3194 0.0362 9.73969e-05 0.4295
5.75 10500.0 0.5306 0.0882 0.0071 -0.0496 0.000105733 0.5203
5.75 11000.0 0.5681 0.0074 0.0539 -0.0575 0.0001145 0.6017
5.75 11500.0 0.5885 -0.0294 0.0562 -0.0505 0.000123158 0.6751
5.75 12000.0 0.6072 -0.0821 0.0885 -0.0569 0.000131723 0.7416
5.75 12500.0 0.6176 -0.1264 0.1235 -0.067 0.000140275 0.802
5.75 13000.0 0.6232 -0.1622 0.1544 -0.0767 0.000148905 0.8571
5.75 13500.0 0.6249 -0.1891 0.1789 -0.0848 0.000157611 0.9076
5.75 14000.0 0.6248 -0.2113 0.1996 -0.0918 0.0001664 0.954
5.75 14500.0 0.6244 -0.2319 0.2193 -0.0984 0.000175279 0.9967
5.75 15000.0 0.6237 -0.251 0.2379 -0.1049 0.000184254 1.0362
5.75 15500.0 0.6229 -0.2682 0.2544 -0.1105 0.000193331 1.0729
5.75 16000.0 0.6228 -0.2862 0.2718 -0.1164 0.000202514 1.1069
5.75 16500.0 0.6236 -0.3054 0.2904 -0.1227 0.000211811 1.1387
5.75 17000.0 0.5938 -0.2493 0.2309 -0.1 0.000221238 1.1683
5.75 20000.0 0.6679 -0.5132 0.4969 -0.1955 0.000280573 1.3113
5.75 25000.0 0.8634 -1.043 1.009 -0.3748 0.00039442 1.466
5.75 30000.0 0.8917 -1.0836 0.9728 -0.3431 0.000548757 1.5646
5.75 35000.0 0.7127 -0.8091 0.704 -0.2467 0.000728924 1.6327
5.75 40000.0 0.6797 -0.8764 0.814 -0.295 0.000870375 1.6825
5.75 45000.0 0.7128 -1.0492 1.0157 -0.3733 0.000987798 1.7205
5.75 50000.0 0.7674 -1.242 1.2262 -0.4523 0.00109524 1.7505
5.75 55000.0 0.8277 -1.4257 1.4197 -0.5236 0.00119401 1.7746
5.75 60000.0 0.8888 -1.5971 1.595 -0.5872 0.00128896 1.7945
6.0 3750.0 1.5367 -1.6026 1.1323 -0.3374 2.36688e-06 -3.1919
6.0 4000.0 1.703 -2.1268 1.7164 -0.5623 3.01334e-06 -2.8106
6.0 4250.0 1.7603 -2.3321 1.9549 -0.656 3.91301e-06 -2.4756
6.0 4500.0 1.7957 -2.4335 2.0733 -0.7025 5.11151e-06 -2.1793
6.0 4750.0 1.6531 -1.9803 1.5672 -0.5058 6.63796e-06 -1.9156
6.0 5000.0 1.3838 -1.2221 0.7817 -0.2141 8.77294e-06 -1.6797
6.0 5250.0 1.0006 -0.2152 -0.2126 0.1425 1.0947e-05 -1.4677
6.0 5500.0 0.5188 0.985 -1.3604 0.5404 1.33784e-05 -1.2763
6.0 5750.0 0.1115 1.9182 -2.1895 0.8071 1.60546e-05 -1.1027
6.0 6000.0 -0.1151 2.3361 -2.4685 0.8677 1.89558e-05 -0.9448
6.0 6250.0 -0.2033 2.3917 -2.3858 0.8009 2.2092e-05 -0.8007
6.0 6500.0 -0.2129 2.2532 -2.1184 0.672 2.54684e-05 -0.6687
6.0 7000.0 -0.1429 1.8127 -1.4765 0.3912 3.30162e-05 -0.4356
6.0 7500.0 -0.0596 1.4445 -0.987 0.1816 4.17245e-05 -0.2369
6.0 8000.0 -0.0366 1.3687 -0.897 0.1368 5.1735e-05 -0.0657
6.0 8500.0 -0.0619 1.5514 -1.1799 0.2526 6.30427e-05 0.083
6.0 9000.0 -0.0192 1.6224 -1.4211 0.3775 7.5374e-05 0.2131
6.0 9500.0 0.1355 1.286 -1.1788 0.32 8.77645e-05 0.3278
6.0 10000.0 0.3444 0.6589 -0.5451 0.1095 9.84939e-05 0.4295
6.0 10500.0 0.4838 0.2292 -0.1403 -0.0035 0.000106398 0.5203
6.0 11000.0 0.5567 0.0227 0.0438 -0.0553 0.000114993 0.6017
6.0 11500.0 0.5797 -0.0211 0.0558 -0.0524 0.000123686 0.6751
6.0 12000.0 0.5975 -0.0634 0.0729 -0.0524 0.000132289 0.7416
6.0 12500.0 0.6107 -0.11 0.1068 -0.0613 0.000140878 0.802
6.0 13000.0 0.618 -0.1485 0.1393 -0.0712 0.00014951 0.8571
6.0 13500.0 0.6209 -0.1779 0.1656 -0.0796 0.000158214 0.9076
6.0 14000.0 0.6211 -0.201 0.1872 -0.0869 0.000167008 0.954
6.0 14500.0 0.6206 -0.2214 0.2068 -0.0936 0.000175892 0.9967
6.0 15000.0 0.6196 -0.2397 0.2245 -0.0996 0.000184876 1.0362
6.0 15500.0 0.6184 -0.2567 0.2411 -0.1053 0.000193961 1.0729
6.0 16000.0 0.6181 -0.2743 0.2583 -0.1112 0.000203153 1.1069
6.0 16500.0 0.6172 -0.2894 0.2725 -0.1159 0.00021246 1.1387
6.0 17000.0 0.6194 -0.3115 0.2944 -0.1236 0.000221882 1.1683
6.0 20000.0 0.6588 -0.4914 0.4736 -0.1868 0.000281234 1.3113
6.0 25000.0 0.8503 -1.0143 0.9792 -0.3638 0.000394981 1.466
6.0 30000.0 0.8456 -0.9818 0.8698 -0.3053 0.000548385 1.5646
6.0 35000.0 0.6609 -0.6979 0.5938 -0.2067 0.000726263 1.6327
6.0 40000.0 0.6008 -0.7049 0.644 -0.2333 0.000866005 1.6825
6.0 45000.0 0.6124 -0.8319 0.8013 -0.2957 0.000981668 1.7205
6.0 50000.0 0.6505 -0.9918 0.9811 -0.364 0.00108688 1.7505
6.0 55000.0 0.6971 -1.1492 1.1503 -0.427 0.00118339 1.7746
6.0 60000.0 0.7508 -1.3115 1.3194 -0.4888 0.00128187 1.7945
6.0 65000.0 0.4882 -0.5482 0.5427 -0.208 0.00155303 1.8112
6.0 70000.0 0.5313 -0.6849 0.6873 -0.2611 0.00165284 1.8254
6.0 75000.0 0.5778 -0.8198 0.8264 -0.3117 0.00175271 1.8376
6.0 80000.0 0.6264 -0.952 0.9604 -0.36 0.00185292 1.8482
6.0 85000.0 0.6753 -1.0784 1.0865 -0.4051 0.00195375 1.8575
6.0 90000.0 0.7239 -1.1984 1.205 -0.4475 0.00205537 1.8658
6.0 100000.0 0.8167 -1.421 1.4247 -0.5261 0.00226336 1.8797
6.25 3750.0 1.573 -1.6975 1.2368 -0.3776 2.43555e-06 -3.1919
6.25 4000.0 1.723 -2.1746 1.7689 -0.5825 3.07015e-06 -2.8106
6.25 4250.0 1.7767 -2.3719 1.9971 -0.6719 3.95396e-06 -2.4756
6.25 4500.0 1.7978 -2.4464 2.0876 -0.7081 5.13392e-06 -2.1793
6.25 4750.0 1.6998 -2.1168 1.712 -0.5604 6.64028e-06 -1.9156
6.25 5000.0 1.4415 -1.3796 0.9328 -0.2678 8.80062e-06 -1.6797
6.25 5250.0 1.1396 -0.5785 0.1386 0.0185 1.09566e-05 -1.4677
6.25 5500.0 0.6977 0.5423 -0.9473 0.4002 1.33869e-05 -1.2763
6.25 5750.0 0.2603 1.5812 -1.9037 0.7194 1.60619e-05 -1.1027
6.25 6000.0 -0.031 2.188 -2.3889 0.8581 1.89594e-05 -0.9448
6.25 6250.0 -0.1627 2.3648 -2.4338 0.8379 2.20836e-05 -0.8007
6.25 6500.0 -0.2074 2.3311 -2.2831 0.7528 2.54414e-05 -0.6687
6.25 7000.0 -0.1668 1.9793 -1.7417 0.51 3.2914e-05 -0.4356
6.25 7500.0 -0.0989 1.6469 -1.2855 0.3118 4.15125e-05 -0.2369
6.25 8000.0 -0.0686 1.5239 -1.1259 0.2374 5.13427e-05 -0.0657
6.25 8500.0 -0.085 1.6486 -1.3219 0.3158 6.24437e-05 0.083
6.25 9000.0 -0.0633 1.759 -1.5866 0.444 7.46311e-05 0.2131
6.25 9500.0 0.0776 1.4875 -1.4278 0.4185 8.72104e-05 0.3278
6.25 10000.0 0.2331 1.0487 -1.0033 0.2803 9.8815e-05 0.4295
6.25 10500.0 0.411 0.4711 -0.401 0.0804 0.000107528 0.5203
6.25 11000.0 0.5317 0.0942 -0.0346 -0.0285 0.00011557 0.6017
6.25 11500.0 0.5725 -0.0139 0.0534 -0.0528 0.000124256 0.6751
6.25 12000.0 0.5909 -0.0542 0.0677 -0.052 0.000132902 0.7416
6.25 12500.0 0.6055 -0.0972 0.0936 -0.0568 0.000141525 0.802
6.25 13000.0 0.6144 -0.1369 0.1251 -0.0658 0.000150167 0.8571
6.25 13500.0 0.6187 -0.1687 0.1532 -0.0747 0.000158875 0.9076
6.25 14000.0 0.6197 -0.1935 0.1763 -0.0824 0.000167671 0.954
6.25 14500.0 0.6194 -0.2148 0.1969 -0.0894 0.000176562 0.9967
6.25 15000.0 0.6184 -0.2334 0.2152 -0.0957 0.000185556 1.0362
