Teff log(g) a1 a2 a3 a4 I1 beaming
3750.0 5.0 1.8041 -2.7089 2.3445 -0.7957 4.2391e-06 -1.4723
4000.0 5.0 1.7196 -2.5905 2.2586 -0.7711 5.21236e-06 -1.2091
4250.0 5.0 1.6866 -2.5254 2.2059 -0.7546 6.43872e-06 -0.9792
4500.0 5.0 1.5464 -2.068 1.6907 -0.5537 7.94494e-06 -0.7771
4750.0 5.0 1.2692 -1.2712 0.8562 -0.2422 9.69025e-06 -0.5981
5000.0 5.0 0.7626 0.0673 -0.4739 0.2338 1.17876e-05 -0.4389
5250.0 5.0 0.2512 1.3118 -1.6416 0.6291 1.38572e-05 -0.2964
5500.0 5.0 -0.0698 1.9578 -2.1299 0.7588 1.60446e-05 -0.1683
5750.0 5.0 -0.1714 1.9919 -1.9743 0.653 1.83397e-05 -0.0526
6000.0 5.0 -0.1518 1.7249 -1.5342 0.4532 2.07407e-05 0.0522
6250.0 5.0 -0.0765 1.349 -1.0212 0.2391 2.32464e-05 0.1477
6500.0 5.0 0.0147 0.9835 -0.5665 0.0594 2.58578e-05 0.2348
7000.0 5.0 0.1549 0.5091 -0.0356 -0.1375 3.14431e-05 0.3881
7500.0 5.0 0.2263 0.3162 0.1438 -0.2009 3.75314e-05 0.5183
8000.0 5.0 0.2539 0.2938 0.1084 -0.1804 4.40185e-05 0.6302
8500.0 5.0 0.3192 0.2162 0.0722 -0.1393 5.05941e-05 0.7271
9000.0 5.0 0.4979 -0.2233 0.413 -0.2246 5.65173e-05 0.8118
9500.0 5.0 0.5954 -0.4478 0.5143 -0.2162 6.03583e-05 0.8864
10000.0 5.0 0.6176 -0.4953 0.5151 -0.2015 6.47004e-05 0.9526
10500.0 5.0 0.6068 -0.4692 0.4805 -0.1884 6.93718e-05 1.0116
11000.0 5.0 0.6133 -0.4904 0.4909 -0.1904 7.41204e-05 1.0646
11500.0 5.0 0.6403 -0.575 0.5686 -0.2167 7.89747e-05 1.1123
12000.0 5.0 0.626 -0.549 0.5399 -0.2062 8.36046e-05 1.1556
12500.0 5.0 0.6292 -0.5743 0.565 -0.2153 8.83318e-05 1.1949
13000.0 5.0 0.6309 -0.5965 0.5885 -0.2241 9.30298e-05 1.2309
13500.0 5.0 0.6035 -0.5465 0.5366 -0.2046 9.77476e-05 1.2638
14000.0 5.0 0.6348 -0.641 0.6362 -0.242 0.000102465 1.2942
14500.0 5.0 0.5683 -0.4935 0.4831 -0.1848 0.000107215 1.3221
15000.0 5.0 0.6397 -0.6852 0.6842 -0.2599 0.000111971 1.348
15500.0 5.0 0.6413 -0.7038 0.7049 -0.2679 0.00011677 1.3721
16000.0 5.0 0.5758 -0.5556 0.5506 -0.21 0.000121617 1.3944
16500.0 5.0 0.6495 -0.7491 0.7525 -0.2852 0.000126488 1.4153
17000.0 5.0 0.6565 -0.7778 0.7827 -0.2964 0.000131423 1.4347
20000.0 5.0 0.7229 -0.9872 0.9942 -0.3727 0.000162216 1.5292
25000.0 5.0 0.9172 -1.4226 1.3881 -0.505 0.000220357 1.6323
30000.0 5.0 0.9002 -1.2913 1.1857 -0.4177 0.000301192 1.6986
35000.0 5.0 0.8311 -1.2821 1.2183 -0.4398 0.000398544 1.7447
40000.0 5.0 0.9235 -1.6112 1.5822 -0.5781 0.000473835 1.7786
45000.0 5.0 1.0338 -1.9224 1.9046 -0.6962 0.000537057 1.8046
50000.0 5.0 1.1392 -2.1907 2.1725 -0.7922 0.000595758 1.8252
55000.0 5.0 1.2287 -2.4012 2.3758 -0.8636 0.000650649 1.8418
60000.0 5.0 1.3049 -2.5676 2.5318 -0.9175 0.000704238 1.8556
3750.0 5.25 1.8268 -2.759 2.3968 -0.8154 4.29775e-06 -1.4723
4000.0 5.25 1.7242 -2.6029 2.2725 -0.7766 5.25351e-06 -1.2091
4250.0 5.25 1.6855 -2.5316 2.2138 -0.7579 6.46069e-06 -0.9792
4500.0 5.25 1.5889 -2.2026 1.838 -0.61 7.94453e-06 -0.7771
