Teff log(g) a1 a2 a3 a4 I1 beaming
3750.0 5.0 1.8057 -2.7394 2.382 -0.8105 4.3577e-06 -1.382
4000.0 5.0 1.7102 -2.5929 2.2661 -0.7746 5.33831e-06 -1.1253
4250.0 5.0 1.6752 -2.5216 2.2063 -0.7554 6.56766e-06 -0.9012
4500.0 5.0 1.5363 -2.067 1.6937 -0.5554 8.07159e-06 -0.7042
4750.0 5.0 1.2629 -1.2791 0.8672 -0.2467 9.80799e-06 -0.5299
5000.0 5.0 0.7626 0.0467 -0.4525 0.2261 1.18876e-05 -0.3747
5250.0 5.0 0.2557 1.2831 -1.6149 0.6203 1.39329e-05 -0.236
5500.0 5.0 -0.0638 1.9292 -2.1065 0.752 1.60891e-05 -0.1113
5750.0 5.0 -0.166 1.9684 -1.9588 0.6496 1.83467e-05 0.0013
6000.0 5.0 -0.1479 1.7083 -1.5276 0.4534 2.07043e-05 0.1033
6250.0 5.0 -0.0745 1.3394 -1.0229 0.2425 2.31615e-05 0.1962
6500.0 5.0 0.0151 0.9793 -0.574 0.0648 2.572e-05 0.281
7000.0 5.0 0.1529 0.5119 -0.049 -0.1305 3.1191e-05 0.4301
7500.0 5.0 0.2206 0.3312 0.1187 -0.1902 3.71613e-05 0.5568
8000.0 5.0 0.2401 0.3403 0.0466 -0.1563 4.35427e-05 0.6656
8500.0 5.0 0.2978 0.3004 -0.0385 -0.0959 5.00466e-05 0.7599
9000.0 5.0 0.4778 -0.1333 0.2939 -0.1785 5.5956e-05 0.8423
9500.0 5.0 0.5894 -0.4014 0.445 -0.1888 5.97977e-05 0.9148
10000.0 5.0 0.6207 -0.4744 0.4721 -0.1829 6.40987e-05 0.9792
10500.0 5.0 0.6159 -0.4625 0.4506 -0.1739 6.86919e-05 1.0366
11000.0 5.0 0.6251 -0.4913 0.4691 -0.1787 7.33357e-05 1.0881
11500.0 5.0 0.6512 -0.5775 0.5514 -0.2071 7.80587e-05 1.1346
12000.0 5.0 0.6382 -0.555 0.5266 -0.1981 8.25476e-05 1.1767
12500.0 5.0 0.6403 -0.579 0.5516 -0.2074 8.71095e-05 1.215
13000.0 5.0 0.6408 -0.5993 0.574 -0.216 9.16284e-05 1.2499
13500.0 5.0 0.616 -0.5571 0.5312 -0.2 9.61578e-05 1.282
14000.0 5.0 0.6426 -0.6412 0.6207 -0.2337 0.000100683 1.3115
14500.0 5.0 0.5832 -0.5124 0.4879 -0.1842 0.000105232 1.3388
15000.0 5.0 0.646 -0.6841 0.6689 -0.252 0.000109788 1.364
15500.0 5.0 0.6471 -0.7028 0.6902 -0.2602 0.000114381 1.3874
16000.0 5.0 0.5883 -0.5718 0.5545 -0.2094 0.000119018 1.4091
16500.0 5.0 0.6545 -0.7481 0.7391 -0.2783 0.000123679 1.4294
17000.0 5.0 0.6607 -0.7758 0.7688 -0.2893 0.000128399 1.4484
20000.0 5.0 0.7247 -0.9852 0.9837 -0.3674 0.000157833 1.5404
25000.0 5.0 0.9186 -1.4284 1.3904 -0.5053 0.000213377 1.6409
30000.0 5.0 0.9063 -1.3128 1.2064 -0.425 0.000290555 1.7055
35000.0 5.0 0.8363 -1.3013 1.2372 -0.4464 0.000383577 1.7505
40000.0 5.0 0.9272 -1.6273 1.5983 -0.5838 0.00045557 1.7837
45000.0 5.0 1.0364 -1.9361 1.9186 -0.7011 0.00051604 1.809
50000.0 5.0 1.1409 -2.2026 2.1848 -0.7966 0.000572194 1.8291
55000.0 5.0 1.2298 -2.4116 2.3867 -0.8675 0.000624697 1.8454
60000.0 5.0 1.3054 -2.577 2.5418 -0.9211 0.000675944 1.8588
3750.0 5.25 1.8304 -2.7923 2.4362 -0.8308 4.41588e-06 -1.382
4000.0 5.25 1.7149 -2.6048 2.2792 -0.7797 5.37921e-06 -1.1253
4250.0 5.25 1.6736 -2.526 2.2122 -0.7578 6.58938e-06 -0.9012
4500.0 5.25 1.5777 -2.1987 1.8379 -0.6106 8.07093e-06 -0.7042
4750.0 5.25 1.3448 -1.5174 1.1119 -0.3368 9.79688e-06 -0.5299
5000.0 5.25 0.9156 -0.3542 -0.0626 0.0892 1.18986e-05 -0.3747
5250.0 5.25 0.4199 0.8922 -1.2639 0.5063 1.39425e-05 -0.236
5500.0 5.25 0.036 1.746 -1.9972 0.7337 1.60993e-05 -0.1113
5750.0 5.25 -0.1355 1.9912 -2.0768 0.7167 1.83567e-05 0.0013
6000.0 5.25 -0.1632 1.8615 -1.7837 0.57 2.07141e-05 0.1033
6250.0 5.25 -0.1197 1.5682 -1.3495 0.3811 2.317e-05 0.1962
6500.0 5.25 -0.0455 1.2293 -0.9019 0.1971 2.5723e-05 0.281
7000.0 5.25 0.1022 0.6838 -0.2509 -0.0557 3.11585e-05 0.4301
7500.0 5.25 0.1853 0.4317 0.0109 -0.1525 3.70601e-05 0.5568
8000.0 5.25 0.2118 0.3996 -0.0055 -0.1401 4.33649e-05 0.6656
8500.0 5.25 0.2509 0.3901 -0.102 -0.0814 4.98714e-05 0.7599
9000.0 5.25 0.391 0.0671 0.1289 -0.1339 5.59885e-05 0.8423
9500.0 5.25 0.5285 -0.2863 0.3853 -0.1858 6.03981e-05 0.9148
10000.0 5.25 0.5756 -0.391 0.4104 -0.1662 6.40753e-05 0.9792
10500.0 5.25 0.5923 -0.4385 0.4421 -0.1732 6.86152e-05 1.0366
11000.0 5.25 0.5984 -0.4582 0.4515 -0.175 7.31871e-05 1.0881
