Teff log(g) a1 a2 a3 a4 I1
2300.0 3.0 1.03693 -0.98972 1.80652 -0.63522 263.229
2400.0 3.0 2.25479 -3.27691 3.75577 -1.29767 332.134
2500.0 3.0 2.134 -2.6106 2.86352 -0.96458 339.221
2600.0 3.0 3.13187 -4.47881 4.38022 -1.44672 256.002
2700.0 3.0 3.72048 -5.58524 5.25626 -1.71255 306.242
2900.0 3.0 4.4256 -7.12465 6.62697 -2.13716 1679.55
3100.0 3.0 3.73519 -6.1481 5.97878 -1.90329 484523.0
3200.0 3.0 3.44131 -5.78488 5.73784 -1.78087 6006210.0
3300.0 3.0 3.43973 -5.86554 5.70959 -1.67799 30774900.0
3400.0 3.0 4.4556 -7.91279 7.3786 -2.15956 49030100.0
3500.0 3.0 4.32769 -7.67747 7.02641 -1.95166 58568200.0
3600.0 3.0 4.48137 -8.20584 7.48001 -2.03677 65538400.0
3700.0 3.0 4.62645 -8.52127 7.72886 -2.09356 72696700.0
3800.0 3.0 4.38987 -8.09274 7.41776 -2.01947 78556800.0
3900.0 3.0 3.71708 -6.81339 6.40937 -1.74504 82509000.0
4000.0 3.0 3.87874 -7.16515 6.81063 -1.92648 86908500.0
4100.0 3.0 4.15203 -7.69624 7.33025 -2.13527 91385900.0
4200.0 3.0 4.0171 -7.41566 7.13353 -2.10956 95046200.0
4300.0 3.0 3.96811 -7.29437 7.05859 -2.11777 97322000.0
4400.0 3.0 4.08075 -7.49697 7.25359 -2.20651 97094200.0
4500.0 3.0 3.80398 -6.87653 6.68319 -2.03247 91981300.0
4600.0 3.0 4.19022 -7.70935 7.51262 -2.35458 80650800.0
4700.0 3.0 4.28782 -7.9076 7.70587 -2.4366 59850200.0
4800.0 3.0 4.40319 -8.14769 7.93989 -2.53194 36374400.0
4900.0 3.0 4.51376 -8.37355 8.16121 -2.62318 25065600.0
5100.0 3.0 5.07718 -9.4807 9.14092 -2.96101 925105.0
5200.0 3.0 4.9535 -9.22144 8.92254 -2.90325 1057720.0
5300.0 3.0 4.92079 -9.17256 8.90428 -2.913 1416110.0
5400.0 3.0 5.04679 -9.41894 9.12931 -2.99777 1530010.0
5500.0 3.0 5.45704 -10.1813 9.76085 -3.20134 1310280.0
5600.0 3.0 5.31609 -9.89204 9.62217 -3.23715 1531730.0
5700.0 3.0 5.54834 -10.35272 10.03937 -3.38661 1866880.0
5800.0 3.0 5.66048 -10.5477 10.20752 -3.45136 2350680.0
5900.0 3.0 5.92927 -11.09558 10.71013 -3.62972 2735800.0
6000.0 3.0 5.99968 -11.23025 10.84201 -3.68643 3101990.0
6100.0 3.0 5.95658 -11.11858 10.74164 -3.66247 3316760.0
6200.0 3.0 6.16122 -11.51633 11.09682 -3.78809 3410760.0
6300.0 3.0 6.1392 -11.42504 10.9964 -3.75829 3309000.0
6400.0 3.0 6.16326 -11.42879 10.98055 -3.75597 3101390.0
6500.0 3.0 6.14211 -11.32132 10.84765 -3.70925 2869790.0
6600.0 3.0 6.0315 -11.04641 10.58419 -3.62723 2648540.0
6700.0 3.0 6.12626 -11.1952 10.68925 -3.65958 2580150.0
6800.0 3.0 5.92403 -10.70724 10.21173 -3.50029 2602250.0
6900.0 3.0 5.5584 -9.84344 9.36324 -3.20835 2720490.0
7000.0 3.0 5.46361 -9.59091 9.10548 -3.12361 2955580.0
7200.0 3.0 5.45238 -9.36681 8.74584 -2.96927 3806690.0
7400.0 3.0 5.27776 -8.79446 8.03527 -2.6758 4868150.0
7600.0 3.0 6.00693 -10.08409 8.96636 -2.90913 6306900.0
7800.0 3.0 6.85804 -11.63531 10.18461 -3.27007 7884040.0
8000.0 3.0 7.76641 -13.31422 11.54377 -3.69329 9177590.0
8200.0 3.0 8.75437 -15.08449 12.91752 -4.10059 9984400.0
8400.0 3.0 9.72631 -16.90487 14.39659 -4.55331 10777800.0
8600.0 3.0 10.32212 -17.93947 15.1709 -4.77343 11112100.0
8800.0 3.0 11.14146 -19.35776 16.24417 -5.08058 11150400.0
9000.0 3.0 12.12343 -21.14443 17.67122 -5.50963 11934100.0
9200.0 3.0 13.48174 -23.71398 19.80328 -6.17088 12804300.0
9400.0 3.0 13.87652 -24.34063 20.22696 -6.27834 13668800.0
9600.0 3.0 15.34586 -27.12405 22.53749 -6.99355 14407800.0
9800.0 3.0 16.34404 -28.97239 24.03863 -7.45032 15300300.0
10000.0 3.0 17.23092 -30.62131 25.37882 -7.85777 16274200.0
10200.0 3.0 17.36639 -30.75285 25.38451 -7.83286 17092300.0
10400.0 3.0 18.2015 -32.30586 26.64492 -8.21493 17871900.0
10600.0 3.0 20.00298 -35.81123 29.62043 -9.15097 19056700.0
10800.0 3.0 19.4378 -34.61806 28.52161 -8.78341 19562400.0
11000.0 3.0 19.98062 -35.63043 29.33912 -9.0296 19232900.0
11200.0 3.0 22.02424 -39.61036 32.72243 -10.09472 18455200.0
11400.0 3.0 22.75207 -40.96077 33.81312 -10.42282 17868900.0
11600.0 3.0 23.38021 -42.11319 34.73252 -10.69596 18455200.0
11800.0 3.0 22.05417 -39.42503 32.34884 -9.91914 19256600.0
12000.0 3.0 22.29311 -39.86443 32.694 -10.02054 20128500.0
2300.0 3.5 0.26705 0.23575 0.87167 -0.33341 364.834
2400.0 3.5 0.74534 -0.40855 1.2944 -0.47648 457.392
2500.0 3.5 1.20154 -1.11629 1.80869 -0.66236 561.019
2600.0 3.5 1.57139 -1.55433 1.9755 -0.69735 319.194
2700.0 3.5 2.18663 -2.65405 2.81358 -0.9591 338.972
2900.0 3.5 3.00506 -4.27771 4.16632 -1.39169 4676.82
3100.0 3.5 3.01331 -4.51885 4.53126 -1.53191 10358000.0
3200.0 3.5 2.8219 -4.20296 4.30646 -1.45568 30788400.0
3300.0 3.5 2.58671 -3.83441 4.02697 -1.35068 51108000.0
3400.0 3.5 2.87876 -4.607 4.7572 -1.56969 66540700.0
3500.0 3.5 2.94113 -4.79248 4.83228 -1.53336 77660700.0
3600.0 3.5 2.91025 -4.78868 4.72969 -1.42341 86748000.0
3700.0 3.5 2.89105 -4.95958 4.88839 -1.41523 93542400.0
3800.0 3.5 2.81866 -4.94442 4.87594 -1.3626 100486000.0
3900.0 3.5 2.55383 -4.66348 4.74246 -1.3138 104614000.0
4000.0 3.5 2.93102 -5.48145 5.48907 -1.55196 110384000.0
4100.0 3.5 2.98018 -5.5755 5.61689 -1.62394 114995000.0
4200.0 3.5 2.85846 -5.32544 5.44992 -1.60754 118752000.0
4300.0 3.5 2.84076 -5.2965 5.48318 -1.65827 120790000.0
4400.0 3.5 2.78547 -5.17033 5.40927 -1.66775 118839000.0
4500.0 3.5 2.84442 -5.27456 5.52931 -1.73594 110471000.0
4600.0 3.5 2.80569 -5.15903 5.43084 -1.72421 91928200.0
4700.0 3.5 2.93394 -5.41277 5.67767 -1.82852 61460100.0
4800.0 3.5 3.01157 -5.56059 5.8216 -1.89404 38176200.0
4900.0 3.5 3.05034 -5.62657 5.88725 -1.9304 31879100.0
5100.0 3.5 3.33009 -6.18706 6.40134 -2.12386 1300480.0
5200.0 3.5 3.41996 -6.38622 6.60409 -2.20729 1677890.0
5300.0 3.5 3.48499 -6.51442 6.80261 -2.335 2092040.0
5400.0 3.5 3.39069 -6.30415 6.61963 -2.28815 2179070.0
5500.0 3.5 3.58222 -6.67502 6.95702 -2.41453 1882710.0
5600.0 3.5 3.5995 -6.68432 6.96172 -2.42627 2260690.0
5700.0 3.5 3.73098 -6.95066 7.21105 -2.52175 2766530.0
5800.0 3.5 3.8461 -7.18162 7.43162 -2.60648 3697500.0
5900.0 3.5 3.86168 -7.18819 7.42384 -2.61029 4073390.0
6000.0 3.5 3.91018 -7.29169 7.53199 -2.65898 4651660.0
6100.0 3.5 3.95677 -7.3827 7.62591 -2.70177 5187630.0
6200.0 3.5 4.07018 -7.615 7.83931 -2.78077 5473910.0
6300.0 3.5 3.96497 -7.36302 7.5988 -2.70452 5373820.0
6400.0 3.5 4.01076 -7.45763 7.69386 -2.74582 5247720.0
6500.0 3.5 4.03818 -7.45828 7.66125 -2.73275 4552220.0
6600.0 3.5 4.13014 -7.64949 7.84441 -2.80264 4279840.0
6700.0 3.5 4.12626 -7.57551 7.7366 -2.76276 3527340.0
6800.0 3.5 4.10906 -7.47072 7.59352 -2.7074 3313950.0
6900.0 3.5 4.06801 -7.36888 7.49305 -2.67523 3439980.0
7000.0 3.5 3.90105 -6.95589 7.0808 -2.53541 3446650.0
7200.0 3.5 3.7236 -6.45954 6.54877 -2.34896 3861490.0
7400.0 3.5 3.59846 -6.03989 6.04819 -2.15829 4609650.0
7600.0 3.5 3.57979 -5.8041 5.66143 -1.9827 5636330.0
7800.0 3.5 3.78832 -5.85542 5.34212 -1.77311 6644380.0
8000.0 3.5 4.4587 -7.24877 6.58335 -2.17535 7608850.0
8200.0 3.5 4.95314 -8.08553 7.18805 -2.34952 8208850.0
8400.0 3.5 5.68632 -9.46881 8.31161 -2.69617 8905740.0
8600.0 3.5 6.31677 -10.65564 9.27087 -2.98938 9120290.0
8800.0 3.5 7.02495 -11.98463 10.35071 -3.31997 9295800.0
9000.0 3.5 7.66919 -13.18628 11.32378 -3.6169 9944450.0
9200.0 3.5 7.96062 -13.69176 11.69719 -3.72252 10688800.0
9400.0 3.5 8.44711 -14.60097 12.4357 -3.94904 11462100.0
9600.0 3.5 9.15898 -15.97831 13.59633 -4.31491 12061400.0
9800.0 3.5 9.40314 -16.38461 13.88167 -4.39101 12854700.0
10000.0 3.5 10.08453 -17.71474 15.0089 -4.74729 13714200.0
10200.0 3.5 10.58543 -18.66425 15.79081 -4.98899 14336100.0
10400.0 3.5 11.05292 -19.55535 16.52563 -5.21588 15125900.0
10600.0 3.5 11.46682 -20.3536 17.18842 -5.42161 16027800.0
10800.0 3.5 11.50669 -20.37257 17.14697 -5.39372 15912200.0
11000.0 3.5 11.5759 -20.44363 17.14598 -5.37724 15290100.0
11200.0 3.5 12.46886 -22.18706 18.6239 -5.84191 14536600.0
11400.0 3.5 11.61643 -20.55596 17.23102 -5.40098 16704900.0
