Teff log(g) filter a1 a2 a3 a4
2300 4.0 is 2.115672145496054 -3.396118439543444 4.041525630622841 -1.4964062977062051
2300 4.5 is 1.7291563722030476 -2.5535454114499103 3.2376954845142167 -1.2315368209218018
2300 5.0 is 1.2712398737061426 -1.5279271419009983 2.239258476407828 -0.8870802255964453
2300 5.5 is 1.403938851426954 -1.651088011757773 2.147292559512587 -0.8182527329157104
2300 6.0 is 1.150873944438856 -1.0430926569336063 1.5479205328063448 -0.6195742427500914
2400 4.0 is 1.5342431429816576 -1.8544084058091004 2.5191755757323504 -0.9928599279492303
2400 4.5 is 1.1224392771913496 -1.0550969509171193 1.827772510928496 -0.7703066919329359
2400 5.0 is 0.8008147608759824 -0.2500147847696448 0.9925342713200956 -0.4798543413477734
2400 5.5 is 0.7239286385434174 -0.035674615958882994 0.7152249381986053 -0.3738729139081427
2400 6.0 is 0.8074168777540933 -0.16087903371526638 0.7283703382078135 -0.35866240432943597
2500 4.0 is 1.4220068968222823 -1.105677088348112 1.513056360469003 -0.616004441269112
2500 4.5 is 0.8831965608301567 -0.21120541873306387 0.8691860405240973 -0.4297085479515096
2500 5.0 is 0.5234814859491451 0.41490860153231224 0.377449316470152 -0.2753422769611301
2500 5.5 is 0.35255709245375627 1.004279692706506 -0.3265740179704924 -0.023954539855235244
2500 6.0 is 0.5244036597764221 0.6405704317040981 -0.06469058440196208 -0.09602158685647111
2600 4.0 is 2.250308272375398 -2.4718443575611273 2.438216478095328 -0.8740918748600031
2600 4.5 is 0.942135112248915 0.13469221741535642 0.22648056639226635 -0.1680254295698281
2600 5.0 is 0.42765989921830755 1.0147433299086144 -0.41928415380456874 0.02203584006198204
2600 5.5 is 0.35273961842511253 1.0267833220470732 -0.35194459647620296 -0.009933591435470278
2600 6.0 is 0.2758167647863625 1.0744228695245306 -0.3423041327736677 -0.0209561941284006
2700 4.0 is 3.759744754023737 -5.579535335923142 5.110981961737698 -1.739815540581017
2700 4.5 is 1.878722300180173 -1.569238234385179 1.4939777786231123 -0.5398361967714744
2700 5.0 is 0.7442016985648227 0.7375744683011444 -0.4836512040975344 0.09631381124196119
2700 5.5 is 0.356575349615353 1.3817021787163424 -0.929644153710391 0.22139324115668416
2700 6.0 is 0.26634517117504714 1.4443165492743117 -0.9129469448219665 0.205817201063697
2800 4.0 is 5.602650270452668 -9.611048031753663 8.773766371387573 -2.9649231669523823
2800 4.5 is 3.2467375846653597 -4.471406447778726 4.028976994280194 -1.3670934203390381
2800 5.0 is 1.6579346231260277 -1.0796413562002896 0.9787871256573512 -0.3550280348314922
2800 5.5 is 0.8654963982262432 0.5444376276867896 -0.4220337733007163 0.09906224071793011
2900 4.0 is 6.682268337472953 -12.096851995968333 11.099277544944307 -3.7581448173985685
2900 4.5 is 4.173785436888941 -6.54699140504641 5.893376861753691 -1.9862888940022543
2900 5.0 is 2.6117997282108956 -3.138354639361076 2.761501856253862 -0.9329680646292949
2900 5.5 is 1.598226115064563 -0.9783346946304375 0.8488655555433511 -0.3044740895241797
2900 6.0 is 0.8716267127563853 0.513949843390363 -0.4117642353595659 0.09585493204378137
3000 4.0 is 7.259532360239767 -13.512408733860125 12.471909555071914 -4.237674333907204
3000 4.5 is 4.9859981783348335 -8.430983968910208 7.644274928533306 -2.5809496968136876
3000 5.5 is 2.200917291144021 -2.3001621629577014 1.970998209467384 -0.6633770033537519
3000 6.0 is 1.3974576215925691 -0.5882470843041991 0.4697165573765106 -0.17446159232486458
3100 4.0 is 7.9104182551606135 -15.032435756387516 13.930720228399085 -4.742296875591605
3100 4.5 is 5.602921329185329 -9.91259561239413 9.05979786954212 -3.0704949350051685
3100 5.0 is 3.864031454761121 -6.031500103204247 5.382087764892272 -1.8083062286458407
3100 5.5 is 2.698739098882307 -3.442094005818199 2.974720814142996 -0.9920986004716285
3100 6.0 is 1.8970239588035183 -1.6968193077019287 1.4102934867316652 -0.4752404595840787
3200 4.0 is 9.064804549666297 -17.683821535204007 16.48709009615414 -5.629202598204536
3200 4.5 is 6.6525278997272235 -12.396884872408624 11.476487665410733 -3.916467233082076
3200 5.0 is 4.48534702096779 -7.5199092291892375 6.799433174565915 -2.2978951263119693
3200 5.5 is 3.165302662383867 -4.548179398507045 3.982583792248097 -1.3301672544920071
3200 6.0 is 2.290002193126368 -2.606483434572314 2.1978993610329676 -0.7303097954619141
3300 4.0 is 9.8134645943489 -19.431055083596647 18.18588513330823 -6.219391381304024
3300 4.5 is 7.39336953970601 -14.160931391027969 13.200632051668093 -4.520903647747106
3300 5.0 is 5.128491889958131 -9.072057151539397 8.305640914073802 -2.824615237221221
3300 5.5 is 3.7055814306131705 -5.849242068171878 5.213661037373684 -1.753660511889688
3300 6.0 is 2.694923522501262 -3.564785132788303 3.0609675063458117 -1.0173988109201701
3400 4.0 is 10.377057843332167 -20.82822148380158 19.586118458152935 -6.71314642410132
3400 4.5 is 7.792873055430435 -15.16288491120703 14.20438990656617 -4.877245461243709
3400 5.0 is 5.493965555132412 -9.988304387224293 9.208308290278987 -3.1429947103256928
3400 5.5 is 4.035821651883125 -6.6637651902101345 5.9863922862433965 -2.019713090302105
3400 6.0 is 3.0395236530579726 -4.392423395886731 3.8147407817973944 -1.2696034869553823
3500 4.0 is 11.180253339719936 -22.82222814366819 21.577304710003254 -7.413031110925622
3500 4.5 is 8.182941434049164 -16.167699807559316 15.225935577287595 -5.242516358304871
3500 5.0 is 5.740149568506802 -10.636226435458694 9.861406685683653 -3.3763640695848594
3500 5.5 is 4.251443991244395 -7.218287332348433 6.520005992157044 -2.2049437368204723
3500 6.0 is 3.297055890353093 -5.024784665132189 4.396829430939335 -1.4654092453663825
3600 4.0 is 11.906188455617325 -24.637951335220574 23.394370546615345 -8.048235925752332
3600 4.5 is 8.601791538731069 -17.24734443575284 16.324590516378237 -5.634205372716536
3600 5.0 is 5.894456818706481 -11.06519642513339 10.30164608879315 -3.5345838013882354
3600 5.5 is 4.41079282947896 -7.644852851157432 6.941169445491757 -2.3535222390779693
3600 6.0 is 3.4685939246485282 -5.465456031134026 4.808171697088093 -1.6049867200723893
