Teff log(g) a1 a2 a3 a4 I1
2300.0 3.0 2.10137 -2.60988 2.90188 -1.03588 660.537
2400.0 3.0 3.26613 -4.64155 4.48876 -1.54335 719.782
2500.0 3.0 4.36129 -6.58177 5.92791 -1.96514 4340.73
2600.0 3.0 5.56234 -8.98072 7.92989 -2.5972 3887.52
2700.0 3.0 6.25024 -10.39876 9.12858 -2.97529 2992.77
2900.0 3.0 6.61529 -11.18685 9.81343 -3.18649 33918.8
3100.0 3.0 6.07009 -10.20591 9.06712 -2.95425 4253130.0
3200.0 3.0 5.42535 -8.85039 7.838 -2.52321 24434000.0
3300.0 3.0 5.65864 -9.44221 8.38352 -2.67802 120474000.0
3400.0 3.0 7.15417 -12.75277 11.38444 -3.65405 173413000.0
3500.0 3.0 6.59471 -11.77462 10.55336 -3.36726 177717000.0
3600.0 3.0 6.32398 -11.55283 10.51666 -3.37045 168633000.0
3700.0 3.0 6.21519 -11.37903 10.34971 -3.3025 157920000.0
3800.0 3.0 5.673 -10.25007 9.33048 -2.97036 145086000.0
3900.0 3.0 5.1654 -9.21593 8.42591 -2.68792 131668000.0
4000.0 3.0 5.33923 -9.56979 8.75251 -2.80708 132275000.0
4100.0 3.0 5.87324 -10.663 9.7307 -3.13733 130419000.0
4200.0 3.0 5.65152 -10.19735 9.30595 -3.00307 121356000.0
4300.0 3.0 5.55848 -10.00891 9.1383 -2.95538 114357000.0
4400.0 3.0 5.23855 -9.3329 8.51885 -2.75442 111756000.0
4500.0 3.0 5.06427 -8.9724 8.18959 -2.65054 96622900.0
4600.0 3.0 5.61057 -10.12195 9.24286 -3.01157 75372200.0
4700.0 3.0 5.60543 -10.10299 9.21462 -3.0049 45142400.0
4800.0 3.0 5.65586 -10.19482 9.28163 -3.02821 14660400.0
4900.0 3.0 5.72084 -10.30862 9.36218 -3.0541 3638760.0
5100.0 3.0 5.92772 -10.60591 9.50607 -3.07385 100408.0
5200.0 3.0 5.6989 -10.11819 9.04827 -2.92083 102183.0
5300.0 3.0 5.60918 -9.9533 8.90481 -2.87763 119027.0
5400.0 3.0 6.11592 -11.00326 9.84145 -3.18826 149881.0
5500.0 3.0 6.11855 -10.92269 9.70194 -3.12977 161675.0
5600.0 3.0 6.13319 -10.99628 9.81625 -3.1882 162018.0
5700.0 3.0 6.37771 -11.49029 10.2451 -3.32859 172294.0
5800.0 3.0 6.4791 -11.66171 10.36393 -3.36108 198862.0
5900.0 3.0 6.76151 -12.22981 10.85431 -3.51992 225543.0
6000.0 3.0 6.80964 -12.311 10.90486 -3.53286 278745.0
6100.0 3.0 6.74398 -12.14195 10.71952 -3.46507 310264.0
6200.0 3.0 6.99271 -12.62485 11.12119 -3.59136 384747.0
6300.0 3.0 7.0194 -12.64136 11.09995 -3.57735 471589.0
6400.0 3.0 7.06856 -12.70319 11.1183 -3.5762 552139.0
6500.0 3.0 7.12617 -12.78546 11.15715 -3.58245 630742.0
6600.0 3.0 6.98328 -12.46092 10.83644 -3.47171 716140.0
6700.0 3.0 7.29156 -13.08723 11.38255 -3.65023 801708.0
6800.0 3.0 7.10116 -12.6972 11.02542 -3.53319 886529.0
6900.0 3.0 6.6901 -11.84628 10.25084 -3.27737 986170.0
7000.0 3.0 6.58543 -11.64165 10.06329 -3.21627 1099370.0
7200.0 3.0 6.51775 -11.4979 9.9056 -3.15997 1431810.0
7400.0 3.0 6.67298 -11.8306 10.18978 -3.2522 1745040.0
7600.0 3.0 6.70254 -11.87976 10.20058 -3.2495 2149400.0
7800.0 3.0 6.56178 -11.54897 9.85442 -3.12456 2563630.0
8000.0 3.0 6.84754 -12.09958 10.29783 -3.25823 2856920.0
8200.0 3.0 7.48809 -13.36495 11.3718 -3.59669 2990670.0
8400.0 3.0 7.56538 -13.46772 11.40562 -3.59262 3101350.0
8600.0 3.0 7.90018 -14.08734 11.89886 -3.73895 3083980.0
8800.0 3.0 8.65079 -15.50696 13.07565 -4.10193 3008260.0
9000.0 3.0 9.17337 -16.46054 13.84307 -4.3328 3143150.0
9200.0 3.0 9.25004 -16.52089 13.83182 -4.31353 3303660.0
9400.0 3.0 9.7362 -17.40358 14.54339 -4.52869 3463660.0
9600.0 3.0 10.71961 -19.27844 16.11992 -5.02223 3597970.0
9800.0 3.0 10.76924 -19.26619 16.03597 -4.97804 3769810.0
10000.0 3.0 11.28283 -20.1978 16.78595 -5.20491 3963960.0
10200.0 3.0 11.84368 -21.21165 17.59764 -5.44897 4121560.0
10400.0 3.0 12.40426 -22.23444 18.42075 -5.69734 4272160.0
10600.0 3.0 13.81041 -24.96676 20.74605 -6.43136 4522030.0
10800.0 3.0 13.39362 -24.06842 19.91108 -6.15044 4611380.0
11000.0 3.0 13.87792 -24.97087 20.64417 -6.37266 4506880.0
11200.0 3.0 14.38703 -25.91729 21.41054 -6.60404 4301320.0
11400.0 3.0 16.28722 -29.62563 24.57072 -7.60084 4144500.0
11600.0 3.0 15.36481 -27.73172 22.87277 -7.04278 4259120.0
11800.0 3.0 15.72846 -28.40994 23.42001 -7.20703 4421600.0
12000.0 3.0 15.95611 -28.83842 23.764 -7.30957 4601450.0
2300.0 3.5 0.94561 -0.59037 1.31646 -0.55813 1015.63
2400.0 3.5 1.37744 -1.05878 1.50728 -0.60336 1062.38
2500.0 3.5 2.25978 -2.51182 2.5308 -0.90737 1321.36
2600.0 3.5 3.40513 -4.65549 4.20703 -1.41707 2138.43
2700.0 3.5 4.27195 -6.42394 5.67331 -1.8775 1646.11
2900.0 3.5 5.08305 -8.17443 7.1734 -2.35601 83077.1
3100.0 3.5 4.84253 -7.73547 6.80192 -2.23195 40235100.0
3200.0 3.5 5.10535 -8.28825 7.31659 -2.40041 122077000.0
3300.0 3.5 4.91003 -7.91138 6.98839 -2.28267 185373000.0
3400.0 3.5 4.88103 -8.01212 7.1485 -2.33677 214132000.0
3500.0 3.5 4.6399 -7.69483 6.91662 -2.2529 215825000.0
3600.0 3.5 4.40903 -7.3962 6.71544 -2.18087 213466000.0
3700.0 3.5 4.05753 -6.9032 6.4006 -2.08663 199964000.0
3800.0 3.5 3.88964 -6.70271 6.30058 -2.05549 186118000.0
3900.0 3.5 3.27169 -5.64259 5.47721 -1.80014 171254000.0
4000.0 3.5 3.71648 -6.59507 6.32554 -2.06915 162127000.0
4100.0 3.5 3.78716 -6.71161 6.41446 -2.10273 152289000.0
4200.0 3.5 3.69466 -6.50296 6.21428 -2.04061 144783000.0
4300.0 3.5 3.65962 -6.44057 6.16529 -2.03348 136341000.0
4400.0 3.5 3.64808 -6.42796 6.1603 -2.04015 121622000.0
4500.0 3.5 3.68653 -6.51311 6.24143 -2.07517 104264000.0
4600.0 3.5 3.53811 -6.17912 5.91962 -1.96954 74723300.0
4700.0 3.5 3.63692 -6.38175 6.09815 -2.03387 36310900.0
4800.0 3.5 3.64862 -6.3877 6.08544 -2.03051 11140200.0
4900.0 3.5 3.61916 -6.29877 5.97858 -1.99311 3302530.0
5100.0 3.5 3.80601 -6.65262 6.24222 -2.07111 114924.0
5200.0 3.5 3.88565 -6.82719 6.39646 -2.12449 134024.0
5300.0 3.5 4.00531 -7.08153 6.64357 -2.222 169085.0
5400.0 3.5 3.87708 -6.81899 6.40132 -2.14337 217973.0
5500.0 3.5 4.09703 -7.2688 6.79599 -2.27461 199742.0
5600.0 3.5 4.09787 -7.25772 6.76973 -2.26459 215876.0
5700.0 3.5 4.22323 -7.52613 7.01001 -2.34624 221232.0
5800.0 3.5 4.35089 -7.78137 7.23073 -2.41852 255053.0
5900.0 3.5 4.32488 -7.71792 7.15169 -2.38922 289957.0
6000.0 3.5 4.32665 -7.7184 7.14064 -2.38435 332557.0
6100.0 3.5 4.36529 -7.78915 7.19128 -2.39939 386574.0
6200.0 3.5 4.47057 -8.00726 7.37407 -2.4578 450537.0
6300.0 3.5 4.36207 -7.75139 7.11383 -2.36573 552581.0
6400.0 3.5 4.36836 -7.74874 7.08781 -2.35237 636364.0
6500.0 3.5 4.45336 -7.89392 7.18745 -2.37952 753778.0
6600.0 3.5 4.51527 -8.00978 7.2731 -2.40462 830803.0
6700.0 3.5 4.51448 -7.96676 7.19499 -2.37122 958783.0
6800.0 3.5 4.54665 -8.00858 7.20465 -2.36947 1060280.0
6900.0 3.5 4.56729 -8.06079 7.25151 -2.38661 1114890.0
7000.0 3.5 4.44269 -7.78646 6.98361 -2.29478 1215630.0
