Teff log(g) a1 a2 a3 a4 I1
2300.0 3.0 2.52262 -4.23683 4.5826 -1.53606 163.816
2400.0 3.0 2.1238 -3.06226 3.43316 -1.15767 195.033
2500.0 3.0 2.70381 -3.95472 4.12399 -1.41006 210.612
2600.0 3.0 3.646 -5.53387 5.28076 -1.76174 852.088
2700.0 3.0 4.5472 -7.24081 6.64636 -2.18453 1216.0
2900.0 3.0 5.14781 -8.52839 7.73256 -2.50743 16224.7
3100.0 3.0 3.99758 -6.5528 6.09907 -1.9095 2281970.0
3200.0 3.0 3.69321 -6.21229 5.84441 -1.74938 18378000.0
3300.0 3.0 4.29058 -7.65001 7.09187 -2.08408 136364000.0
3400.0 3.0 3.91274 -6.92436 6.40486 -1.83732 213305000.0
3500.0 3.0 4.2481 -7.75931 7.20419 -2.08765 237200000.0
3600.0 3.0 4.59336 -8.64777 8.08506 -2.38502 247945000.0
3700.0 3.0 4.61341 -8.63363 8.14522 -2.45132 255920000.0
3800.0 3.0 4.93508 -9.22405 8.74164 -2.71041 257962000.0
3900.0 3.0 4.39469 -8.01918 7.66994 -2.40163 253943000.0
4000.0 3.0 4.60111 -8.28387 7.83921 -2.47087 246555000.0
4100.0 3.0 5.23737 -9.49538 8.87463 -2.82012 239796000.0
4200.0 3.0 5.13934 -9.2763 8.67119 -2.76743 230972000.0
4300.0 3.0 5.05942 -9.10701 8.52061 -2.7317 218752000.0
4400.0 3.0 4.79056 -8.52621 7.9851 -2.56305 200450000.0
4500.0 3.0 4.68868 -8.30019 7.77096 -2.50006 174534000.0
4600.0 3.0 5.00486 -8.94819 8.36558 -2.7135 138430000.0
4700.0 3.0 5.05796 -9.03816 8.43032 -2.73952 85417400.0
4800.0 3.0 5.15446 -9.21639 8.57105 -2.78888 31431000.0
4900.0 3.0 5.27224 -9.43485 8.74472 -2.84755 10602200.0
5100.0 3.0 5.84711 -10.503 9.59064 -3.10334 303511.0
5200.0 3.0 5.66382 -10.111 9.2217 -2.98121 315537.0
5300.0 3.0 5.59887 -9.99632 9.12397 -2.95361 346525.0
5400.0 3.0 5.71296 -10.21885 9.3071 -3.01305 350945.0
5500.0 3.0 6.16925 -11.08616 10.02552 -3.23889 361152.0
5600.0 3.0 6.19554 -11.20277 10.22596 -3.35148 390908.0
5700.0 3.0 6.45574 -11.73233 10.69369 -3.50771 428980.0
5800.0 3.0 6.56831 -11.93495 10.85355 -3.55903 475388.0
5900.0 3.0 6.86662 -12.54727 11.39849 -3.74119 524109.0
6000.0 3.0 6.93678 -12.68447 11.51392 -3.78075 584907.0
6100.0 3.0 6.88934 -12.56488 11.38823 -3.73768 649172.0
6200.0 3.0 7.15619 -13.09692 11.84947 -3.88867 742006.0
6300.0 3.0 7.20365 -13.16494 11.88743 -3.89839 828599.0
6400.0 3.0 7.2702 -13.26731 11.9518 -3.91558 922747.0
6500.0 3.0 7.34718 -13.39012 12.0335 -3.93828 1018110.0
6600.0 3.0 7.21351 -13.07355 11.71694 -3.82856 1129100.0
6700.0 3.0 7.29486 -13.20279 11.79998 -3.85005 1245880.0
6800.0 3.0 7.07525 -12.72599 11.35245 -3.7012 1380510.0
6900.0 3.0 6.85305 -12.24937 10.91187 -3.55736 1542920.0
7000.0 3.0 6.73387 -11.98318 10.65308 -3.47018 1726980.0
7200.0 3.0 6.66802 -11.75902 10.37301 -3.36337 2298980.0
7400.0 3.0 6.4031 -11.12323 9.71987 -3.13072 2864540.0
7600.0 3.0 6.75768 -11.73812 10.15831 -3.2483 3603090.0
7800.0 3.0 7.09568 -12.31036 10.5603 -3.35607 4384130.0
8000.0 3.0 7.65677 -13.36762 11.41431 -3.61621 4976170.0
8200.0 3.0 8.30436 -14.59377 12.4192 -3.92783 5293700.0
8400.0 3.0 8.89718 -15.71381 13.3297 -4.20466 5566270.0
8600.0 3.0 9.14941 -16.12087 13.60155 -4.27147 5603090.0
8800.0 3.0 9.86594 -17.41258 14.624 -4.5749 5522320.0
9000.0 3.0 10.95764 -19.48357 16.35154 -5.11218 5820260.0
9200.0 3.0 11.14279 -19.73046 16.48002 -5.13304 6168320.0
9400.0 3.0 12.23622 -21.80967 18.22082 -5.67658 6514530.0
9600.0 3.0 12.40592 -22.01334 18.30345 -5.6808 6808740.0
9800.0 3.0 13.07451 -23.22111 19.26739 -5.97011 7175380.0
10000.0 3.0 13.69814 -24.35575 20.17677 -6.24391 7582910.0
10200.0 3.0 14.41841 -25.66833 21.22913 -6.56027 7921760.0
10400.0 3.0 15.11843 -26.95704 22.26948 -6.87464 8241770.0
10600.0 3.0 16.71686 -30.06112 24.90362 -7.70352 8754220.0
10800.0 3.0 17.36891 -31.29532 25.92125 -8.01631 8951660.0
11000.0 3.0 18.00756 -32.50075 26.91047 -8.31858 8770670.0
11200.0 3.0 17.33609 -31.08997 25.61955 -7.88795 8388270.0
11400.0 3.0 17.90854 -32.15327 26.47706 -8.14549 8099200.0
11600.0 3.0 19.91635 -36.06239 29.7986 -9.18992 8340540.0
11800.0 3.0 20.37732 -36.92745 30.50164 -9.40243 8673780.0
12000.0 3.0 20.65519 -37.4496 30.92098 -9.52746 9040570.0
2300.0 3.5 0.71031 -0.50617 1.07268 -0.31675 266.342
2400.0 3.5 1.3914 -1.87977 2.46655 -0.82283 280.624
