Teff log(g) filter a1 a2 a3 a4
2300 4.0 rs 5.207803206907876 -10.999426510686833 11.146346860627668 -3.8004305894584673
2300 4.5 rs 3.9805308318419663 -7.957589418968913 8.034534691914633 -2.6901402728414907
2300 5.0 rs 2.6983445173000544 -5.084954874121011 5.36223641089655 -1.8024006182534715
2300 5.5 rs 2.802240667254572 -4.8743510533872305 4.772791195761348 -1.5342227158668107
2300 6.0 rs 2.3597158278229347 -3.989732170848222 4.011990595846276 -1.2925544507919102
2400 4.0 rs 3.330023065749563 -6.6884832269089705 7.120011503334509 -2.4070505108345035
2400 4.5 rs 2.9978882390962642 -5.99090506584424 6.360864264778537 -2.113805160462216
2400 5.0 rs 2.451420419489019 -4.811621026046823 5.3039562442918795 -1.7814526786298046
2400 5.5 rs 1.8223001084066104 -3.075701282349747 3.485869645646434 -1.1502101984548225
2400 6.0 rs 1.8255131043372363 -3.011138636490957 3.285629871680249 -1.0494154176960138
2500 4.0 rs 2.117479758405766 -3.691122774426783 4.262989151573426 -1.4389212316200224
2500 4.5 rs 1.9543388345425432 -3.4334291370185857 3.921951325602838 -1.260984733536743
2500 5.0 rs 1.8706802287045472 -3.443828207023179 3.899838367352844 -1.213375461518171
2500 5.5 rs 1.6650577837395526 -3.017956746417272 3.472766122038424 -1.062476773782908
2500 6.0 rs 1.6400520689403555 -2.8300185235083144 3.3037645033756373 -1.0582664236909163
2600 4.0 rs 1.3909737516202687 -1.7677459985814576 2.4046505310832127 -0.8416481499358935
2600 4.5 rs 1.0700608977346704 -1.49812286653342 2.309684793690304 -0.7816076864751942
2600 5.0 rs 1.1431744934339982 -1.8671014049868118 2.60466477872201 -0.8099267962837934
2600 5.5 rs 1.5745194412035834 -2.9530155193250884 3.5224686765386988 -1.0621815751396784
2600 6.0 rs 1.3346884664499525 -2.0185886195920406 2.193865320569388 -0.4822274037608708
2700 4.0 rs 1.725921412992963 -2.2084083442089906 2.686289232434352 -0.9550444852828892
2700 4.5 rs 0.9989068920341784 -0.9948654050655595 1.7343622084626809 -0.620238133192249
2700 5.0 rs 0.8269058760662851 -1.099053167338177 2.009261348649556 -0.6747429326495837
2700 5.5 rs 0.8899310619236557 -1.461396551737502 2.307861140721258 -0.694858667588753
2700 6.0 rs 1.0263696919771301 -1.7943801718159167 2.4611381778384285 -0.662901078547021
2800 4.0 rs 2.7404794590922252 -4.23096158949726 4.437994200591848 -1.5517368578525952
2800 4.5 rs 1.5127074064241148 -1.8673231784746136 2.4265448668945564 -0.8768139502518509
2800 5.0 rs 0.9023815856964886 -0.9141480748230937 1.7263139132759866 -0.6259036334218755
2800 5.5 rs 0.7567994136362235 -0.9808811816788999 1.9283064586120806 -0.656807580568466
2900 4.0 rs 3.3237440514124037 -5.437947944845186 5.483669450500767 -1.9050341487393798
2900 4.5 rs 1.8658780771294023 -2.474227255001033 2.880702065107278 -1.0398117567544818
2900 5.0 rs 1.1660080170271967 -1.240992967965469 1.912490678108538 -0.7177194001343599
2900 5.5 rs 0.9346183095570073 -1.1505013165394165 2.0562280285088264 -0.7641899411492349
2900 6.0 rs 0.9059512539894549 -1.5492608991612833 2.639550803476413 -0.9418033575647842
3000 4.0 rs 3.6795532596450937 -6.2752882358346795 6.26799097395532 -2.177307124214663
3000 4.5 rs 2.221574297161722 -3.166625577641899 3.4521895843141523 -1.239206002488703
3000 5.5 rs 0.9384397071722869 -0.8824726975809148 1.685295590626177 -0.6743659481753568
3000 6.0 rs 0.7731209811595227 -0.9632929643221778 2.04258399492002 -0.818454136121932
3100 4.0 rs 4.025775798893366 -7.162821009304735 7.162414809471769 -2.492773155716114
3100 4.5 rs 2.558617288213572 -3.9023935486265864 4.11305593377911 -1.470865175294117
3100 5.0 rs 1.5377978634916198 -1.7214100984523235 2.138364358005718 -0.8129726870858748
3100 5.5 rs 0.9785798189599877 -0.7056011752267959 1.364274518892069 -0.5771242771470662
3100 6.0 rs 0.6743984026160772 -0.37458020944719717 1.311242719018344 -0.5964058706756553
3200 4.0 rs 4.804960241055114 -9.156458761713965 9.21436200787335 -3.226231955205121
3200 4.5 rs 3.251969998747908 -5.5656635149637825 5.757091158377781 -2.059994066738324
3200 5.0 rs 1.9717312061077026 -2.6343306467395338 2.9492367876885455 -1.1002699805809202
3200 5.5 rs 1.1290837442388637 -0.807622753568048 1.2913458623856415 -0.547266774541569
3200 6.0 rs 0.6678548195176752 0.017459663208910348 0.6983305266920256 -0.380167713600281
3300 4.0 rs 5.143701470640152 -10.22282778200546 10.418977140913741 -3.674875034592926
3300 4.5 rs 3.544312774729463 -6.353205685999196 6.588473516921523 -2.3703983201321366
3300 5.0 rs 2.2928065765014876 -3.334237639012718 3.5818747180456887 -1.3251597076095005
3300 5.5 rs 1.450324314626391 -1.3680238420658972 1.6823150150867139 -0.6720757440729755
3300 6.0 rs 0.8433870676099088 -0.06516913204981921 0.5336073930733138 -0.299323332080238
3400 4.0 rs 5.599830630833071 -11.52549638919185 11.832294786202477 -4.197540943094102
3400 4.5 rs 3.738180480476984 -6.933882054538894 7.2340857312364575 -2.6200514755836775
3400 5.0 rs 2.4430352954819607 -3.679233653910831 3.8950451966765085 -1.4402932047449035
3400 5.5 rs 1.6636034435529603 -1.7346057361578306 1.914218913135496 -0.7397354897824623
3400 6.0 rs 1.077635949147071 -0.3523873357421937 0.5821282319708174 -0.2828403773505912
3500 4.0 rs 6.359344642435094 -13.338254655897272 13.613042775842805 -4.826974576877561
3500 4.5 rs 4.098326731646692 -7.821456764596074 8.125935132443674 -2.946418917209189
3500 5.0 rs 2.6552958056725307 -4.16465648644186 4.341713766668684 -1.5998698340869772
3500 5.5 rs 1.8734750859106437 -2.1355917087953076 2.202678530272629 -0.8268969150717042
3500 6.0 rs 1.3555097846158097 -0.829436861106167 0.8667573330650513 -0.3514038371036078
3600 4.0 rs 6.8340476934508505 -14.339396865462675 14.506495068033894 -5.122560339714304
3600 4.5 rs 4.475239120509645 -8.63658838624019 8.864810807450297 -3.199634905711295
3600 5.0 rs 2.898781033303543 -4.676334117783858 4.77899674654991 -1.7460954299169207
3600 5.5 rs 2.078883240429322 -2.545512305375446 2.5135662891278856 -0.9212382351306813
3600 6.0 rs 1.6138623328180002 -1.3324428249654283 1.223017141833296 -0.45000897210448715
3700 4.0 rs 7.071397435346758 -14.748697258157929 14.785626849420785 -5.184885301846213
3700 4.5 rs 4.839593236224461 -9.346782024095798 9.439456685832848 -3.3752518690033595
3700 5.0 rs 3.1785539247009997 -5.234526075417212 5.232260878848293 -1.8879565366476545
3700 5.5 rs 2.3456834118731504 -3.1075982361757335 2.9753416422874994 -1.0660854969551379
3700 6.0 rs 1.8649782850739898 -1.856965054457619 1.634521277813563 -0.5729437679124483
3800 4.0 rs 7.1060725141899725 -14.747472615784725 14.691427706111075 -5.109981378450955
3800 4.5 rs 5.10527909030531 -9.846126652618105 9.809563740027222 -3.4688165398650908
3800 5.0 rs 3.56768620244747 -6.053703347654179 5.926280816895941 -2.104645929136472
3800 5.5 rs 2.6400746846213594 -3.7391702059067358 3.5086002438333206 -1.2335941315484973
3800 6.0 rs 2.1265565397439805 -2.4433320120730886 2.1344638499255324 -0.7307789461887222
3900 4.0 rs 7.648742357040979 -15.953863292357074 15.765112548320037 -5.440322867651725
3900 4.5 rs 5.469686230110484 -10.672196937420594 10.538717758480276 -3.6861075162353742
3900 5.0 rs 3.8296081562286384 -6.609242265451541 6.392224391959329 -2.241156205859095
