Teff log(g) filter a1 a2 a3 a4
2300 4.0 i 2.1321903144092276 -3.53920346303707 4.234157367797742 -1.5650588663069056
2300 4.5 i 1.723567178273298 -2.6266801387827377 3.35679716623498 -1.2756192515414928
2300 5.0 i 1.2563769933173787 -1.566422902410179 2.3189280309540448 -0.9172302311338792
2300 5.5 i 1.3906530297110538 -1.6697205590276851 2.197767671278306 -0.8395223905943947
2300 6.0 i 1.1293608439982914 -1.035906046954373 1.572362638104518 -0.6332454728885173
2400 4.0 i 1.4730591899312029 -1.8285533524856918 2.5697291912413394 -1.0203533603047688
2400 4.5 i 1.0926195652284942 -1.0894602281877643 1.9286460524708102 -0.8138896364192678
2400 5.0 i 0.7631095976826091 -0.24118405598879886 1.0389636846485124 -0.5033406477324721
2400 5.5 i 0.6774825930681461 0.012367231374625143 0.7145491211963039 -0.38083765950953885
2400 6.0 i 0.7744121090945193 -0.12426416660884425 0.7246639236759927 -0.3626810210705465
2500 4.0 i 1.2838944669673276 -0.8796147026668144 1.3660924625222457 -0.5774732660786518
2500 4.5 i 0.7969400328286557 -0.10000433172564605 0.827950669514296 -0.4262450263204369
2500 5.0 i 0.4776665990796929 0.44838849646137974 0.3983871407198275 -0.29064557667299495
2500 5.5 i 0.298465934496355 1.066503946074463 -0.3364397208498057 -0.028897051108914253
2500 6.0 i 0.4780625693992705 0.7106334269917419 -0.10043897193191034 -0.0887777959230887
2600 4.0 i 2.0740158776620015 -2.1202708346102477 2.1494102735682965 -0.7840253445262092
2600 4.5 i 0.8105020897875466 0.3770154452300676 0.04711258596747281 -0.11638596850814986
2600 5.0 i 0.373855330593152 1.0816032316330404 -0.43409226335310414 0.01819579887496836
2600 5.5 i 0.30328987183506095 1.0947131670529238 -0.3799407881505339 -0.005890720905588953
2600 6.0 i 0.24109674900437325 1.1212900628668638 -0.36251193346280886 -0.016472455015565237
2700 4.0 i 3.584595133307993 -5.199202180277198 4.772016498861957 -1.6280829080927972
2700 4.5 i 1.7445397580742998 -1.2884895289985485 1.255512940938769 -0.4638383311012024
2700 5.0 i 0.6394766451652377 0.9453063390975018 -0.6488463457535933 0.14677992909614235
2700 5.5 i 0.28381277281937944 1.5160615754076232 -1.0277819594145328 0.25034841417554915
2700 6.0 i 0.2207763098419781 1.5195163993310215 -0.9605093986530319 0.2194739280848794
2800 4.0 i 5.443972751665532 -9.252744092388136 8.442438768726937 -2.8528871316012285
2800 4.5 i 3.1310249685807636 -4.2138858623516775 3.796845360780107 -1.2898540611388214
2800 5.0 i 1.5728843366981595 -0.8979541952259863 0.8230085469998452 -0.30462941669461824
2800 5.5 i 0.7996446899978122 0.6769914519726553 -0.5284441016206225 0.13259859555316672
2900 4.0 i 6.549958551136386 -11.792943282431152 10.813905783873118 -3.6605374953052636
2900 4.5 i 4.082839705246462 -6.338623375151921 5.700914118369543 -1.9210664191816706
2900 5.0 i 2.5441755838925415 -2.988080077453121 2.627950004266911 -0.8886059325574209
2900 5.5 i 1.5452941109817637 -0.8695708761229238 0.7598868498898415 -0.2760968825202646
2900 6.0 i 0.8352351115255642 0.5756150878714701 -0.4506111643914186 0.10647010041773734
3000 4.0 i 7.147472203584468 -13.253582034869403 12.227498151777315 -4.153646966493383
3000 4.5 i 4.910289576966586 -8.255708691939502 7.480759150560408 -2.5250946955115845
3000 5.5 i 2.157995812439991 -2.210140086467614 1.896427072780175 -0.6395179727725308
3000 6.0 i 1.3633648939634186 -0.526913365892291 0.4284387702342615 -0.16306183095026683
3100 4.0 i 7.807316139332965 -14.795323991230068 13.707041298591367 -4.665363932253003
3100 4.5 i 5.536140746364291 -9.75816063517869 8.915556041451838 -3.0211414299593895
3100 5.0 i 3.8176304195976525 -5.926226304794064 5.2870368860901245 -1.7764139566175232
3100 5.5 i 2.6608734569396915 -3.3611313078181713 2.9067190706390487 -0.970306233314721
3100 6.0 i 1.863035855875443 -1.6313332084607157 1.3624102659435795 -0.4614937622111417
3200 4.0 i 8.962289048266639 -17.450535738661507 16.268079715922312 -5.554068385589147
3200 4.5 i 6.585650395160336 -12.243144173463758 11.332882546244628 -3.867331263037773
3200 5.0 i 4.441352926607257 -7.419886524629455 6.708663755704694 -2.2673916188608167
3200 5.5 i 3.1300550802659455 -4.471150291631518 3.916529235821371 -1.3088300387598761
3200 6.0 i 2.2561157743835745 -2.53629748301502 2.1421238269111735 -0.7134413371719113
3300 4.0 i 9.715129140610228 -19.210874186055158 17.98128057589841 -6.149629976354366
3300 4.5 i 7.3265316242300225 -14.008903327850057 13.059371225731434 -4.472759649275758
3300 5.0 i 5.084144780938384 -8.971183380551004 8.213658825617973 -2.7936676498309416
3300 5.5 i 3.670793960322885 -5.771515414005566 5.145348457645203 -1.7313113440157022
3300 6.0 i 2.6620536607069507 -3.492633486268961 2.999894842536546 -0.998125395426987
3400 4.0 i 10.286517082190166 -20.628531589404783 19.402532138480364 -6.650944014873573
3400 4.5 i 7.728329352708634 -15.017586250311332 14.070305028036076 -4.831775139214559
3400 5.0 i 5.450154699232296 -9.888837427577862 9.11752058112659 -3.112473675950123
3400 5.5 i 4.002336584399479 -6.587999104435143 5.918854602042349 -1.9974474514283675
3400 6.0 i 3.0090975359601484 -4.323505156003058 3.754464398688565 -1.250147506155106
3500 4.0 i 11.097767917740057 -22.641661854954148 21.41214279082228 -7.357203312163054
3500 4.5 i 8.122460213578362 -16.032362675490855 15.101587298773765 -5.200473306826386
3500 5.0 i 5.6984731087211955 -10.541625423207888 9.77498471146468 -3.347317225692794
3500 5.5 i 4.2202092864006815 -7.146789960910217 6.4555181965217345 -2.1835307402161406
3500 6.0 i 3.2704446414878054 -4.963139506398663 4.341698116034381 -1.4473108935087922
3600 4.0 i 11.828667502559513 -24.468126363254804 23.23879821568472 -7.995527602821122
3600 4.5 i 8.54556653649324 -17.12160283806811 16.209086236854894 -5.595143151798168
3600 5.0 i 5.931771991740348 -11.161616330229103 10.406812793414987 -3.5741663312308725
3600 5.5 i 4.382047983830905 -7.578511848805383 6.880883299005971 -2.3334031943744473
3600 6.0 i 3.445482176472499 -5.411115615020663 4.758897145028747 -1.5886241981022273
3700 4.0 i 12.172225461166592 -25.396694971614576 24.19716563024648 -8.326779760950824
3700 4.5 i 8.7913980604059 -17.78331008148044 16.891792870698858 -5.8362237680404725
3700 5.0 i 6.055117500907008 -11.507825836149184 10.764863453491449 -3.7022618733136476
3700 5.5 i 4.472025538701799 -7.845286105549701 7.152151414929921 -2.4302471249609825
3700 6.0 i 3.5322896648056523 -5.654721425322661 4.989027027797721 -1.6669948207753056
3800 4.0 i 12.069276239316943 -25.32715083800668 24.222253074341964 -8.336740277621494
3800 4.5 i 8.81880681547768 -17.93255966094155 17.078581645613625 -5.900440163471765
3800 5.0 i 6.156021021166697 -11.812191579481036 11.089241672947802 -3.8181389942297086
3800 5.5 i 4.535996532864262 -8.039810519156632 7.351495012662413 -2.5008898963711332
3800 6.0 i 3.5911108506758898 -5.833677796377417 5.162551119828424 -1.7267247934578975
3900 4.0 i 12.231837205446638 -25.899631671944096 24.874311055191423 -8.565323230367738
3900 4.5 i 8.742401361421663 -17.894604445020303 17.1164858963101 -5.9156433066284215
3900 5.0 i 6.116210553883943 -11.772984215398344 11.078088025513237 -3.8133451662998525
3900 5.5 i 4.572173597226198 -8.18023144690292 7.507868806413834 -2.557127668963416
3900 6.0 i 3.622578513538948 -5.954280490096747 5.287836538361671 -1.7708475809232158
4000 4.0 i 11.997011598056774 -25.528934660756942 24.61302106982606 -8.477594363153004
4000 4.5 i 8.494400370249865 -17.449482748345677 16.755943528245684 -5.786488898275266
4000 5.0 i 6.024966547606263 -11.666030752949519 11.032453058118243 -3.7994764820741223
4000 5.5 i 4.534987117710991 -8.152225727888505 7.5105685055076865 -2.559990563971875
4000 6.0 i 3.612560623606677 -6.0076547909920865 5.369589619758116 -1.8036739880557724
4100 4.0 i 11.825598559993566 -25.330088912933842 24.546617744399942 -8.470053941284736
4100 4.5 i 7.956066021025927 -16.36618631921785 15.817747301290995 -5.4653715729619945
4100 5.0 i 5.7757102608122315 -11.20902087016173 10.666117670889445 -3.6740504946898347
4100 5.5 i 4.427070058392393 -7.968770404486247 7.375647785602204 -2.5151149285414314
4100 6.0 i 3.5524973853775923 -5.918684460136957 5.310171408739347 -1.7858238129227069
4200 4.0 i 11.874229387001689 -25.511978719651207 24.746465943585775 -8.533150221359161
4200 4.5 i 7.774562041539341 -16.13975111085686 15.710904537264753 -5.435271449191147
4200 5.0 i 5.583649272605267 -10.90250251685331 10.462782554752309 -3.607178987645668
4200 5.5 i 4.236831647663918 -7.687340120187106 7.202564933176353 -2.466551749280509
4200 6.0 i 3.4594183533441325 -5.7717640353236925 5.212078997557438 -1.7566119130716018
