Teff log(g) a1 a2 a3 a4 I1
2300.0 3.0 1.64509 -1.49228 1.82971 -0.654 232.55
2400.0 3.0 3.03271 -4.13343 3.99486 -1.34457 308.565
2500.0 3.0 3.90495 -5.77305 5.30705 -1.75394 285.931
2600.0 3.0 4.70609 -7.31965 6.58416 -2.15535 232.939
2700.0 3.0 5.34174 -8.56002 7.62581 -2.48431 368.1
2900.0 3.0 5.87195 -9.58483 8.46674 -2.73144 6703.23
3100.0 3.0 5.6929 -9.38205 8.37117 -2.68996 364351.0
3200.0 3.0 5.37899 -8.81586 7.88635 -2.49913 1330540.0
3300.0 3.0 5.14618 -8.40817 7.48399 -2.30241 5993890.0
3400.0 3.0 6.17826 -10.63808 9.39167 -2.85845 14019900.0
3500.0 3.0 5.53786 -9.46217 8.27297 -2.40258 20854900.0
3600.0 3.0 5.17272 -8.87975 7.63974 -2.07245 27330900.0
3700.0 3.0 5.31229 -9.05988 7.56307 -1.93114 34648500.0
3800.0 3.0 4.66128 -7.72219 6.26187 -1.42891 41764400.0
3900.0 3.0 4.32491 -7.2088 5.83309 -1.24866 47515200.0
4000.0 3.0 3.90941 -6.3569 5.01373 -0.92752 58459400.0
4100.0 3.0 3.74867 -5.96906 4.5961 -0.74264 66189700.0
4200.0 3.0 3.62039 -5.74586 4.38391 -0.64247 72502500.0
4300.0 3.0 3.5559 -5.69173 4.35476 -0.61563 80732000.0
4400.0 3.0 3.6902 -6.10634 4.80434 -0.76978 96161800.0
4500.0 3.0 3.70561 -6.31675 5.11925 -0.90076 112182000.0
4600.0 3.0 3.79545 -6.77018 5.79095 -1.20537 134051000.0
4700.0 3.0 3.8648 -7.11986 6.31484 -1.44861 173387000.0
4800.0 3.0 3.94865 -7.47303 6.837 -1.69641 253567000.0
4900.0 3.0 4.16389 -8.07801 7.57831 -2.01796 370237000.0
5100.0 3.0 4.29289 -8.41366 8.30877 -2.51594 84407500.0
5200.0 3.0 4.09546 -8.07179 8.14703 -2.53826 125010000.0
5300.0 3.0 4.2808 -8.51149 8.67484 -2.78752 186758000.0
5400.0 3.0 4.06825 -8.03516 8.31511 -2.72662 217175000.0
5500.0 3.0 3.8114 -7.30866 7.60619 -2.51955 13596500.0
5600.0 3.0 4.01457 -7.67255 7.99149 -2.70418 10141500.0
5700.0 3.0 3.88337 -7.19015 7.45375 -2.53106 6312490.0
5800.0 3.0 4.28656 -7.88903 8.05622 -2.76078 4491470.0
5900.0 3.0 4.14673 -7.36387 7.42533 -2.53004 3864550.0
6000.0 3.0 4.77643 -8.61794 8.58109 -2.95535 3643260.0
6100.0 3.0 4.92217 -8.7054 8.5082 -2.90816 3484890.0
6200.0 3.0 5.01079 -8.62276 8.23006 -2.77485 3269870.0
6300.0 3.0 5.28891 -9.03433 8.49138 -2.85142 2959560.0
6400.0 3.0 5.87232 -10.13568 9.41083 -3.15284 2648460.0
6500.0 3.0 5.86621 -9.91362 9.02945 -2.9831 2338730.0
6600.0 3.0 6.66161 -11.49768 10.41117 -3.44248 2093550.0
6700.0 3.0 7.07024 -12.30065 11.08398 -3.65763 1960260.0
6800.0 3.0 7.34049 -12.73357 11.34218 -3.70881 1969450.0
6900.0 3.0 7.52345 -13.03691 11.54366 -3.76479 2009910.0
7000.0 3.0 6.89022 -11.48753 9.9115 -3.15444 2203200.0
7200.0 3.0 7.6896 -13.1312 11.36111 -3.64338 2814110.0
7400.0 3.0 7.83266 -13.37733 11.4824 -3.65391 3603160.0
7600.0 3.0 8.52939 -14.76881 12.61431 -3.98358 4707590.0
7800.0 3.0 9.09516 -15.91744 13.56793 -4.26808 6001420.0
8000.0 3.0 9.34734 -16.48005 14.07305 -4.43028 7234460.0
8200.0 3.0 9.58001 -16.93135 14.44898 -4.54727 8424730.0
8400.0 3.0 9.80201 -17.31098 14.73943 -4.63312 9738030.0
8600.0 3.0 10.25242 -18.10312 15.35237 -4.81019 9753700.0
8800.0 3.0 10.6873 -18.82913 15.89089 -4.95966 9991620.0
9000.0 3.0 11.29413 -19.91702 16.77297 -5.2306 11111800.0
9200.0 3.0 12.28631 -21.75934 18.30349 -5.70937 12375100.0
9400.0 3.0 12.49809 -21.99409 18.3927 -5.71425 13680500.0
9600.0 3.0 13.84736 -24.50855 20.46811 -6.3568 14911200.0
9800.0 3.0 14.81067 -26.2478 21.8592 -6.7761 16323300.0
10000.0 3.0 15.75313 -27.97375 23.2535 -7.19936 17866900.0
10200.0 3.0 15.98227 -28.27288 23.39879 -7.21901 19274700.0
10400.0 3.0 16.84406 -29.8612 24.68302 -7.60816 20664500.0
10600.0 3.0 18.60726 -33.2801 27.58169 -8.52052 22556600.0
10800.0 3.0 18.16467 -32.31943 26.67969 -8.21544 23678000.0
11000.0 3.0 17.70596 -31.33271 25.75853 -7.90493 23782300.0
11200.0 3.0 18.23056 -32.29 26.51727 -8.1303 23303400.0
11400.0 3.0 19.91583 -35.53664 29.24932 -8.98362 23024500.0
11600.0 3.0 20.47029 -36.54578 30.04618 -9.21882 24207400.0
11800.0 3.0 19.59322 -34.75878 28.45233 -8.69794 25692400.0
12000.0 3.0 21.12447 -37.7453 30.98956 -9.49604 27336100.0
2300.0 3.5 -0.17517 1.82939 -0.83365 0.19105 201.031
2400.0 3.5 1.1652 -0.55802 1.01532 -0.39897 305.891
2500.0 3.5 2.34162 -2.80963 2.85221 -0.98975 404.931
2600.0 3.5 3.23451 -4.53346 4.24987 -1.42947 279.636
2700.0 3.5 3.89849 -5.8511 5.34663 -1.77903 345.08
2900.0 3.5 4.54832 -7.1201 6.38216 -2.09982 16501.0
3100.0 3.5 4.66943 -7.44817 6.72058 -2.21296 1799930.0
3200.0 3.5 4.75414 -7.61739 6.86888 -2.2484 6167330.0
3300.0 3.5 4.62959 -7.39089 6.67864 -2.16881 15047600.0
3400.0 3.5 4.22407 -6.6596 6.05818 -1.9431 25796100.0
3500.0 3.5 4.11388 -6.63626 6.0978 -1.93148 37778000.0
3600.0 3.5 3.85882 -6.28862 5.78793 -1.7753 51382000.0
3700.0 3.5 3.60481 -5.98815 5.50873 -1.60369 63377500.0
3800.0 3.5 3.49282 -5.83973 5.25941 -1.41263 74302600.0
3900.0 3.5 3.11623 -5.17643 4.52719 -1.04736 88655300.0
4000.0 3.5 3.01589 -4.84284 4.015 -0.76495 101120000.0
4100.0 3.5 2.87343 -4.55515 3.71444 -0.62205 113544000.0
4200.0 3.5 2.70522 -4.22872 3.39932 -0.48627 128159000.0
4300.0 3.5 2.73715 -4.35124 3.51529 -0.50379 145098000.0
4400.0 3.5 2.72898 -4.40386 3.57905 -0.50875 165143000.0
4500.0 3.5 2.75096 -4.57252 3.80545 -0.59004 198556000.0
4600.0 3.5 2.73783 -4.70148 4.04322 -0.69518 246706000.0
4700.0 3.5 2.81262 -5.05029 4.53453 -0.90823 321211000.0
4800.0 3.5 2.94928 -5.52544 5.16281 -1.18295 456513000.0
4900.0 3.5 3.03631 -5.86012 5.65069 -1.41452 688540000.0
5100.0 3.5 3.01668 -5.96171 6.17503 -1.8252 161355000.0
5200.0 3.5 2.99702 -5.95842 6.29219 -1.93195 242761000.0
5300.0 3.5 3.07639 -6.25877 6.81002 -2.22226 325558000.0
5400.0 3.5 3.20877 -6.60079 7.27085 -2.45833 372727000.0
5500.0 3.5 2.9315 -5.85845 6.55482 -2.24394 42324200.0
5600.0 3.5 3.01025 -5.95721 6.68325 -2.33868 24870900.0
5700.0 3.5 2.65306 -4.95989 5.62319 -1.96866 15899200.0
5800.0 3.5 2.84679 -5.28875 5.9285 -2.10361 9281120.0
5900.0 3.5 2.68262 -4.67466 5.17831 -1.82367 8595820.0
6000.0 3.5 2.96655 -5.20497 5.65669 -2.01205 7613560.0
6100.0 3.5 3.02872 -5.17393 5.52931 -1.96397 6824800.0
6200.0 3.5 2.90099 -4.66175 4.87426 -1.7096 6624700.0
6300.0 3.5 3.305 -5.50118 5.67263 -2.01356 5629150.0
6400.0 3.5 3.57992 -5.98108 6.03781 -2.13165 5219030.0
6500.0 3.5 3.79444 -6.24859 6.12071 -2.12347 4041160.0
6600.0 3.5 3.89042 -6.32181 6.06661 -2.07771 3714620.0
6700.0 3.5 4.28544 -7.07094 6.67107 -2.2678 2787370.0
6800.0 3.5 4.9826 -8.53643 7.99505 -2.7172 2538680.0
6900.0 3.5 4.76385 -7.91725 7.25138 -2.41074 2667880.0
7000.0 3.5 4.81353 -7.95018 7.21534 -2.39024 2612430.0
7200.0 3.5 5.10609 -8.50432 7.62877 -2.51295 2888380.0
7400.0 3.5 5.34123 -8.93535 7.9111 -2.57817 3455940.0
7600.0 3.5 5.35355 -8.88022 7.74016 -2.48822 4226210.0
7800.0 3.5 5.89072 -9.97714 8.6563 -2.77362 5065760.0
8000.0 3.5 6.03851 -10.30107 8.90142 -2.82737 5893970.0
8200.0 3.5 6.36876 -11.03889 9.57573 -3.05158 6799660.0
8400.0 3.5 6.70733 -11.78381 10.26808 -3.28619 7811310.0
8600.0 3.5 6.81372 -11.96759 10.40552 -3.32542 7507350.0
8800.0 3.5 7.13013 -12.53418 10.85188 -3.45683 7834500.0
9000.0 3.5 7.47379 -13.17979 11.38963 -3.62419 8685290.0
9200.0 3.5 7.56373 -13.29894 11.46326 -3.64312 9661910.0
9400.0 3.5 7.82256 -13.74462 11.81789 -3.75283 10683500.0
9600.0 3.5 8.35704 -14.74229 12.65183 -4.01635 11606200.0
9800.0 3.5 8.52813 -14.97438 12.78537 -4.0454 12773100.0
10000.0 3.5 9.17426 -16.20492 13.82198 -4.37325 14014900.0
10200.0 3.5 9.63012 -17.04173 14.50138 -4.58182 15064500.0
10400.0 3.5 10.08367 -17.88659 15.19358 -4.7956 16298800.0
10600.0 3.5 10.48815 -18.64872 15.8216 -4.99042 17711600.0
10800.0 3.5 10.55574 -18.71119 15.81755 -4.97567 18030300.0
11000.0 3.5 10.65209 -18.82756 15.85651 -4.97351 17715900.0
