Teff log(g) filter a1 a2 a3 a4
2300 4.0 r 5.094926847666351 -10.762943976301903 10.936999094581616 -3.726803574587588
2300 4.5 r 3.9202885659999542 -7.851627829895581 7.960312934658439 -2.667078118738838
2300 5.0 r 2.636122369934963 -4.958670662883378 5.257062006599859 -1.7651404108434845
2300 5.5 r 2.8023771971005185 -4.886940294594327 4.803499424247289 -1.5464848594486515
2300 6.0 r 2.3032033222267554 -3.8700397343998136 3.915809125631839 -1.2609817551042002
2400 4.0 r 3.234672807009468 -6.486320109046501 6.938844020244133 -2.342282560120464
2400 4.5 r 2.9289904700245546 -5.857939429077075 6.255100577403748 -2.077877935010915
2400 5.0 r 2.3847877285372796 -4.670816449622974 5.180571269850725 -1.7372707746642195
2400 5.5 r 1.7808910583759785 -2.9984587292076266 3.429092001651744 -1.1306074682944693
2400 6.0 r 1.780626418705643 -2.921189683197432 3.217799305872973 -1.0272564492072334
2500 4.0 r 2.0594334509596943 -3.576704559887497 4.17040307851013 -1.4080286957508577
2500 4.5 r 1.8958816880953309 -3.3246165247413035 3.8394890392098544 -1.2338916477161737
2500 5.0 r 1.826423603913433 -3.363837580774654 3.8389939245045874 -1.190754998494596
2500 5.5 r 1.6176098349534884 -2.9172437575348447 3.386978017172635 -1.0317935305501584
2500 6.0 r 1.6024543765337118 -2.7555079549668933 3.243122816257916 -1.0351861741571307
2600 4.0 r 1.358463870141683 -1.7090599052088151 2.3623314938502795 -0.8281328758285346
2600 4.5 r 1.0364986811054264 -1.4387391780693801 2.268359577807628 -0.7683202174023346
2600 5.0 r 1.1074888325444214 -1.8061600708414889 2.5646238644070762 -0.7971343412305131
2600 5.5 r 1.5364357693325437 -2.8817400987622785 3.4672294640531796 -1.0418245326767102
2600 6.0 r 1.3185625258641156 -2.005087965091319 2.1974911766811034 -0.482436183125073
2700 4.0 r 1.6911234810836466 -2.1425110755866354 2.635418850807847 -0.9386227340083764
2700 4.5 r 0.9718383216234139 -0.9495221251934224 1.70582743357714 -0.6119917057874905
2700 5.0 r 0.8029443451215514 -1.0616313652170344 1.989548809663069 -0.6695578125582258
2700 5.5 r 0.8661072240749172 -1.4242900767924338 2.2879773021417154 -0.6889304532283171
2700 6.0 r 1.0063004891918186 -1.764933300084432 2.446290202989935 -0.6574627123028143
2800 4.0 r 2.6930099361098794 -4.131990173077759 4.352810240365604 -1.523049250300424
2800 4.5 r 1.4759674720657825 -1.7953078798199027 2.3698715389210063 -0.8587421899844518
2800 5.0 r 0.8755515957182007 -0.867773962338323 1.6967865289296078 -0.6177168244848084
2800 5.5 r 0.7154445555529639 -0.9019632203355663 1.8670959617686975 -0.6371252256259953
2900 4.0 r 3.2755282003638078 -5.333899766195095 5.391748885960129 -1.873705499297671
2900 4.5 r 1.8287406183571542 -2.3959461461141447 2.8149221186059146 -1.018183917847276
2900 5.0 r 1.1346324277323199 -1.1787044639538724 1.8647711648293446 -0.703060944225859
2900 5.5 r 0.9072270621408182 -1.1004563443854696 2.022465210230245 -0.7547181587231753
2900 6.0 r 0.8875595987703688 -1.52246128937789 2.6281409896664254 -0.9393172144260956
3000 4.0 r 3.629289873769801 -6.163604972691675 6.167364152294335 -2.1427890486580585
3000 4.5 r 2.185169753339598 -3.0853703099611933 3.3808400350515058 -1.2152578400993634
3000 5.5 r 0.910638688628955 -0.8249592021761705 1.641024947932667 -0.6610439453897023
3000 6.0 r 0.7393825564422873 -0.8951980541752759 1.9893579042992338 -0.8018939052993173
3100 4.0 r 3.9700539122774043 -7.03557375376903 7.04544346635924 -2.4524773944974316
3100 4.5 r 2.522414255146768 -3.8178951565618315 4.036582977960127 -1.4448815195020004
3100 5.0 r 1.5100709413565432 -1.6566020235432586 2.08177956634054 -0.7943803902746991
3100 5.5 r 0.9523348240877256 -0.6453193331442045 1.3134924424003904 -0.5610164190784342
3100 6.0 r 0.6510060783823222 -0.32394100702255135 1.2718764788152974 -0.58455469489162
3200 4.0 r 4.725379797566533 -8.969287298890645 9.036928531150359 -3.164612732746887
3200 4.5 r 3.2025167017423724 -5.445270794981301 5.642739777192948 -2.020314440794508
3200 5.0 r 1.9401251495169134 -2.5555267674416555 2.87584783086854 -1.0752491358999794
3200 5.5 r 1.1053485222173516 -0.7478206601161522 1.2374420116108116 -0.529431153986333
3200 6.0 r 0.6457649244157283 0.07150120165414722 0.6516639560757976 -0.36517429849071004
3300 4.0 r 5.057810474997262 -10.015655373678777 10.2199910751514 -3.6056983455256417
3300 4.5 r 3.49381595524298 -6.225247331016193 6.46399310027652 -2.3268353407023246
3300 5.0 r 2.2619200908509494 -3.25264393575344 3.5028123937958466 -1.2976228726144785
3300 5.5 r 1.427797239014935 -1.3071702968553456 1.624451534310666 -0.6522258252080264
3300 6.0 r 0.8066370981500075 0.027401091427135982 0.44585466327957957 -0.2691557314663151
3400 4.0 r 5.506792624605877 -11.297327929052315 11.611029834240398 -4.120544168264891
3400 4.5 r 3.6878906361884116 -6.801364636542879 7.1023449172262785 -2.5735671786884162
